cohort,feature_set,fold,feature,itemid,representation,importance
cohort_C18-K91,cont,0,cont_50803,50803,cont,0.0003679798444394838
cohort_C18-K91,cont,0,cont_50804,50804,cont,0.0027898149678955535
cohort_C18-K91,cont,0,cont_50805,50805,cont,0.0
cohort_C18-K91,cont,0,cont_50806,50806,cont,0.0003916724347272052
cohort_C18-K91,cont,0,cont_50808,50808,cont,0.001997023908064528
cohort_C18-K91,cont,0,cont_50809,50809,cont,0.00023872965175029972
cohort_C18-K91,cont,0,cont_50811,50811,cont,0.0011725541250990326
cohort_C18-K91,cont,0,cont_50813,50813,cont,0.00442962814179312
cohort_C18-K91,cont,0,cont_50814,50814,cont,0.0
cohort_C18-K91,cont,0,cont_50818,50818,cont,0.003285851181948413
cohort_C18-K91,cont,0,cont_50820,50820,cont,0.003267471858795976
cohort_C18-K91,cont,0,cont_50821,50821,cont,0.00248554649583396
cohort_C18-K91,cont,0,cont_50822,50822,cont,0.0016769101157796127
cohort_C18-K91,cont,0,cont_50824,50824,cont,0.001528533082116278
cohort_C18-K91,cont,0,cont_50853,50853,cont,0.0005956430219996258
cohort_C18-K91,cont,0,cont_50856,50856,cont,0.0
cohort_C18-K91,cont,0,cont_50861,50861,cont,0.015321600938151665
cohort_C18-K91,cont,0,cont_50862,50862,cont,0.017221045731659012
cohort_C18-K91,cont,0,cont_50863,50863,cont,0.01796799455926047
cohort_C18-K91,cont,0,cont_50866,50866,cont,0.0003809894090113227
cohort_C18-K91,cont,0,cont_50867,50867,cont,0.00038615267423799157
cohort_C18-K91,cont,0,cont_50868,50868,cont,0.027357576181034713
cohort_C18-K91,cont,0,cont_50877,50877,cont,0.0
cohort_C18-K91,cont,0,cont_50878,50878,cont,0.019672682675333012
cohort_C18-K91,cont,0,cont_50881,50881,cont,0.0
cohort_C18-K91,cont,0,cont_50882,50882,cont,0.038430439126865015
cohort_C18-K91,cont,0,cont_50883,50883,cont,0.0013168983718226384
cohort_C18-K91,cont,0,cont_50885,50885,cont,0.0162194620063096
cohort_C18-K91,cont,0,cont_50889,50889,cont,0.010831245290803293
cohort_C18-K91,cont,0,cont_50890,50890,cont,5.517241379310343e-05
cohort_C18-K91,cont,0,cont_50891,50891,cont,0.0
cohort_C18-K91,cont,0,cont_50893,50893,cont,0.024988330061234767
cohort_C18-K91,cont,0,cont_50894,50894,cont,0.0
cohort_C18-K91,cont,0,cont_50895,50895,cont,0.0
cohort_C18-K91,cont,0,cont_50896,50896,cont,0.0
cohort_C18-K91,cont,0,cont_50899,50899,cont,0.0
cohort_C18-K91,cont,0,cont_50902,50902,cont,0.029657819346365608
cohort_C18-K91,cont,0,cont_50904,50904,cont,0.0010323291798499427
cohort_C18-K91,cont,0,cont_50905,50905,cont,0.0
cohort_C18-K91,cont,0,cont_50906,50906,cont,8.285795201683049e-05
cohort_C18-K91,cont,0,cont_50907,50907,cont,0.0011378033945296435
cohort_C18-K91,cont,0,cont_50908,50908,cont,0.0
cohort_C18-K91,cont,0,cont_50910,50910,cont,0.0
cohort_C18-K91,cont,0,cont_50911,50911,cont,0.003919584953012851
cohort_C18-K91,cont,0,cont_50912,50912,cont,0.027075847926139842
cohort_C18-K91,cont,0,cont_50914,50914,cont,0.0
cohort_C18-K91,cont,0,cont_50915,50915,cont,0.0
cohort_C18-K91,cont,0,cont_50916,50916,cont,0.0
cohort_C18-K91,cont,0,cont_50917,50917,cont,0.00020812428276727993
cohort_C18-K91,cont,0,cont_50924,50924,cont,0.004916898772742464
cohort_C18-K91,cont,0,cont_50925,50925,cont,0.00025604761108871465
cohort_C18-K91,cont,0,cont_50927,50927,cont,0.0008970277400310781
cohort_C18-K91,cont,0,cont_50930,50930,cont,0.0009166226932645223
cohort_C18-K91,cont,0,cont_50931,50931,cont,0.0
cohort_C18-K91,cont,0,cont_50935,50935,cont,0.0007265701076584235
cohort_C18-K91,cont,0,cont_50945,50945,cont,0.0
cohort_C18-K91,cont,0,cont_50949,50949,cont,0.0004678727108702179
cohort_C18-K91,cont,0,cont_50950,50950,cont,0.00012133782732693796
cohort_C18-K91,cont,0,cont_50951,50951,cont,0.0004764855702048559
cohort_C18-K91,cont,0,cont_50952,50952,cont,0.005436358992590124
cohort_C18-K91,cont,0,cont_50953,50953,cont,0.007275024820479789
cohort_C18-K91,cont,0,cont_50954,50954,cont,0.01217192241957091
cohort_C18-K91,cont,0,cont_50956,50956,cont,0.0033745920968757965
cohort_C18-K91,cont,0,cont_50957,50957,cont,0.00011720057131197711
cohort_C18-K91,cont,0,cont_50960,50960,cont,0.028787043956628303
cohort_C18-K91,cont,0,cont_50964,50964,cont,0.0004217684663557141
cohort_C18-K91,cont,0,cont_50965,50965,cont,6.746650175221598e-05
cohort_C18-K91,cont,0,cont_50966,50966,cont,0.0
cohort_C18-K91,cont,0,cont_50967,50967,cont,0.0
cohort_C18-K91,cont,0,cont_50968,50968,cont,0.0
cohort_C18-K91,cont,0,cont_50969,50969,cont,0.0
cohort_C18-K91,cont,0,cont_50970,50970,cont,0.03444256116059472
cohort_C18-K91,cont,0,cont_50971,50971,cont,0.026352284170739006
cohort_C18-K91,cont,0,cont_50976,50976,cont,0.0003045900157622997
cohort_C18-K91,cont,0,cont_50978,50978,cont,0.0
cohort_C18-K91,cont,0,cont_50981,50981,cont,0.0
cohort_C18-K91,cont,0,cont_50982,50982,cont,0.0
cohort_C18-K91,cont,0,cont_50983,50983,cont,0.030685376420599986
cohort_C18-K91,cont,0,cont_50986,50986,cont,0.0
cohort_C18-K91,cont,0,cont_50988,50988,cont,0.0
cohort_C18-K91,cont,0,cont_50989,50989,cont,0.0
cohort_C18-K91,cont,0,cont_50990,50990,cont,0.0
cohort_C18-K91,cont,0,cont_50992,50992,cont,0.0
cohort_C18-K91,cont,0,cont_50993,50993,cont,0.002722826053724494
cohort_C18-K91,cont,0,cont_50994,50994,cont,0.00017502237206301654
cohort_C18-K91,cont,0,cont_50995,50995,cont,0.0002135677259409511
cohort_C18-K91,cont,0,cont_50997,50997,cont,0.0
cohort_C18-K91,cont,0,cont_50998,50998,cont,0.0036479702569983444
cohort_C18-K91,cont,0,cont_51000,51000,cont,0.008345774555440902
cohort_C18-K91,cont,0,cont_51001,51001,cont,0.0
cohort_C18-K91,cont,0,cont_51005,51005,cont,0.0
cohort_C18-K91,cont,0,cont_51006,51006,cont,0.03166151259606793
cohort_C18-K91,cont,0,cont_51007,51007,cont,0.0011877145102445169
cohort_C18-K91,cont,0,cont_51008,51008,cont,0.0
cohort_C18-K91,cont,0,cont_51009,51009,cont,0.002111596958665548
cohort_C18-K91,cont,0,cont_51010,51010,cont,0.0015816549500831697
cohort_C18-K91,cont,0,cont_51070,51070,cont,0.0
cohort_C18-K91,cont,0,cont_51080,51080,cont,0.0
cohort_C18-K91,cont,0,cont_51099,51099,cont,0.0
cohort_C18-K91,cont,0,cont_51110,51110,cont,0.0
cohort_C18-K91,cont,0,cont_51111,51111,cont,0.0
cohort_C18-K91,cont,0,cont_51114,51114,cont,0.0
cohort_C18-K91,cont,0,cont_51116,51116,cont,0.00015465994816087146
cohort_C18-K91,cont,0,cont_51117,51117,cont,0.00015133865631603195
cohort_C18-K91,cont,0,cont_51118,51118,cont,0.00011623439000960614
cohort_C18-K91,cont,0,cont_51120,51120,cont,0.0
cohort_C18-K91,cont,0,cont_51124,51124,cont,6.940427993059806e-06
cohort_C18-K91,cont,0,cont_51125,51125,cont,0.00025816731810363513
cohort_C18-K91,cont,0,cont_51127,51127,cont,0.0
cohort_C18-K91,cont,0,cont_51130,51130,cont,0.0
cohort_C18-K91,cont,0,cont_51131,51131,cont,0.0
cohort_C18-K91,cont,0,cont_51132,51132,cont,0.0001304993597951344
cohort_C18-K91,cont,0,cont_51133,51133,cont,0.013862705943505166
cohort_C18-K91,cont,0,cont_51138,51138,cont,0.0
cohort_C18-K91,cont,0,cont_51139,51139,cont,0.0
cohort_C18-K91,cont,0,cont_51140,51140,cont,0.0
cohort_C18-K91,cont,0,cont_51143,51143,cont,0.00344223276407984
cohort_C18-K91,cont,0,cont_51144,51144,cont,0.0030279313971009083
cohort_C18-K91,cont,0,cont_51146,51146,cont,0.009651483169471313
cohort_C18-K91,cont,0,cont_51148,51148,cont,0.0
cohort_C18-K91,cont,0,cont_51149,51149,cont,0.0
cohort_C18-K91,cont,0,cont_51181,51181,cont,8.561643835616461e-05
cohort_C18-K91,cont,0,cont_51196,51196,cont,0.0
cohort_C18-K91,cont,0,cont_51199,51199,cont,0.0
cohort_C18-K91,cont,0,cont_51200,51200,cont,0.008901875564549324
cohort_C18-K91,cont,0,cont_51202,51202,cont,0.0
cohort_C18-K91,cont,0,cont_51203,51203,cont,0.0
cohort_C18-K91,cont,0,cont_51204,51204,cont,0.0
cohort_C18-K91,cont,0,cont_51205,51205,cont,0.0
cohort_C18-K91,cont,0,cont_51206,51206,cont,0.0
cohort_C18-K91,cont,0,cont_51207,51207,cont,0.0
cohort_C18-K91,cont,0,cont_51208,51208,cont,0.0
cohort_C18-K91,cont,0,cont_51209,51209,cont,0.0
cohort_C18-K91,cont,0,cont_51214,51214,cont,0.0017531465667896087
cohort_C18-K91,cont,0,cont_51218,51218,cont,0.0
cohort_C18-K91,cont,0,cont_51221,51221,cont,0.028883723279911424
cohort_C18-K91,cont,0,cont_51222,51222,cont,0.02719882872888467
cohort_C18-K91,cont,0,cont_51223,51223,cont,0.0
cohort_C18-K91,cont,0,cont_51224,51224,cont,0.0
cohort_C18-K91,cont,0,cont_51225,51225,cont,0.0
cohort_C18-K91,cont,0,cont_51227,51227,cont,0.0
cohort_C18-K91,cont,0,cont_51228,51228,cont,0.00030438494570286177
cohort_C18-K91,cont,0,cont_51229,51229,cont,0.0
cohort_C18-K91,cont,0,cont_51232,51232,cont,0.0
cohort_C18-K91,cont,0,cont_51237,51237,cont,0.013629114098813348
cohort_C18-K91,cont,0,cont_51241,51241,cont,0.0
cohort_C18-K91,cont,0,cont_51244,51244,cont,0.011395758799773415
cohort_C18-K91,cont,0,cont_51245,51245,cont,9.628647214854096e-05
cohort_C18-K91,cont,0,cont_51248,51248,cont,0.03359303904514236
cohort_C18-K91,cont,0,cont_51249,51249,cont,0.028651463356410115
cohort_C18-K91,cont,0,cont_51250,51250,cont,0.029075948865194042
cohort_C18-K91,cont,0,cont_51251,51251,cont,0.0033150309287387565
cohort_C18-K91,cont,0,cont_51254,51254,cont,0.01111737793005131
cohort_C18-K91,cont,0,cont_51255,51255,cont,0.0014266453872275602
cohort_C18-K91,cont,0,cont_51256,51256,cont,0.010970688693521906
cohort_C18-K91,cont,0,cont_51257,51257,cont,0.0005820100995493057
cohort_C18-K91,cont,0,cont_51259,51259,cont,0.0
cohort_C18-K91,cont,0,cont_51263,51263,cont,0.0
cohort_C18-K91,cont,0,cont_51265,51265,cont,0.03103445809421262
cohort_C18-K91,cont,0,cont_51269,51269,cont,0.0
cohort_C18-K91,cont,0,cont_51270,51270,cont,0.0
cohort_C18-K91,cont,0,cont_51271,51271,cont,0.0
cohort_C18-K91,cont,0,cont_51272,51272,cont,0.0
cohort_C18-K91,cont,0,cont_51273,51273,cont,0.0
cohort_C18-K91,cont,0,cont_51274,51274,cont,0.019757439005415645
cohort_C18-K91,cont,0,cont_51275,51275,cont,0.016489027590069868
cohort_C18-K91,cont,0,cont_51276,51276,cont,0.0
cohort_C18-K91,cont,0,cont_51277,51277,cont,0.026607976887852276
cohort_C18-K91,cont,0,cont_51279,51279,cont,0.03228796452429146
cohort_C18-K91,cont,0,cont_51282,51282,cont,0.001119232964876622
cohort_C18-K91,cont,0,cont_51283,51283,cont,0.0011546490726500145
cohort_C18-K91,cont,0,cont_51284,51284,cont,0.0
cohort_C18-K91,cont,0,cont_51288,51288,cont,0.0
cohort_C18-K91,cont,0,cont_51289,51289,cont,0.0
cohort_C18-K91,cont,0,cont_51297,51297,cont,0.0
cohort_C18-K91,cont,0,cont_51298,51298,cont,0.0
cohort_C18-K91,cont,0,cont_51299,51299,cont,0.0
cohort_C18-K91,cont,0,cont_51300,51300,cont,0.0
cohort_C18-K91,cont,0,cont_51301,51301,cont,0.028555448340312158
cohort_C18-K91,cont,0,cont_51366,51366,cont,0.0
cohort_C18-K91,cont,0,cont_51368,51368,cont,0.0
cohort_C18-K91,cont,0,cont_51375,51375,cont,0.0
cohort_C18-K91,cont,0,cont_51376,51376,cont,0.0
cohort_C18-K91,cont,0,cont_51377,51377,cont,0.0
cohort_C18-K91,cont,0,cont_51379,51379,cont,0.0
cohort_C18-K91,cont,0,cont_51382,51382,cont,0.0
cohort_C18-K91,cont,0,cont_51383,51383,cont,0.0
cohort_C18-K91,cont,0,cont_51386,51386,cont,0.0
cohort_C18-K91,cont,0,cont_51419,51419,cont,0.0
cohort_C18-K91,cont,0,cont_51427,51427,cont,0.0
cohort_C18-K91,cont,0,cont_51428,51428,cont,0.0
cohort_C18-K91,cont,0,cont_51429,51429,cont,0.0
cohort_C18-K91,cont,0,cont_51431,51431,cont,6.643369262805068e-05
cohort_C18-K91,cont,0,cont_51433,51433,cont,0.0
cohort_C18-K91,cont,0,cont_51435,51435,cont,0.0
cohort_C18-K91,cont,0,cont_51436,51436,cont,0.0
cohort_C18-K91,cont,0,cont_51438,51438,cont,0.0
cohort_C18-K91,cont,0,cont_51440,51440,cont,0.0
cohort_C18-K91,cont,0,cont_51441,51441,cont,0.0
cohort_C18-K91,cont,0,cont_51442,51442,cont,0.0
cohort_C18-K91,cont,0,cont_51444,51444,cont,0.0
cohort_C18-K91,cont,0,cont_51446,51446,cont,5.270846587026698e-05
cohort_C18-K91,cont,0,cont_51447,51447,cont,0.0
cohort_C18-K91,cont,0,cont_51448,51448,cont,0.0
cohort_C18-K91,cont,0,cont_51450,51450,cont,0.0
cohort_C18-K91,cont,0,cont_51452,51452,cont,0.0
cohort_C18-K91,cont,0,cont_51454,51454,cont,0.0
cohort_C18-K91,cont,0,cont_51455,51455,cont,1.1160195303417768e-06
cohort_C18-K91,cont,0,cont_51457,51457,cont,0.00017232902722679955
cohort_C18-K91,cont,0,cont_51467,51467,cont,0.0
cohort_C18-K91,cont,0,cont_51471,51471,cont,0.0
cohort_C18-K91,cont,0,cont_51479,51479,cont,0.0004920353399189287
cohort_C18-K91,cont,0,cont_51482,51482,cont,0.003088583676664922
cohort_C18-K91,cont,0,cont_51484,51484,cont,0.002722779875444359
cohort_C18-K91,cont,0,cont_51492,51492,cont,0.004990404486351236
cohort_C18-K91,cont,0,cont_51493,51493,cont,0.005340121819377608
cohort_C18-K91,cont,0,cont_51494,51494,cont,0.0
cohort_C18-K91,cont,0,cont_51498,51498,cont,0.011107812779088335
cohort_C18-K91,cont,0,cont_51507,51507,cont,0.0
cohort_C18-K91,cont,0,cont_51515,51515,cont,0.0
cohort_C18-K91,cont,0,cont_51516,51516,cont,0.007240433498580946
cohort_C18-K91,cont,0,cont_51517,51517,cont,0.0
cohort_C18-K91,cont,0,cont_51567,51567,cont,9.363125094999234e-05
cohort_C18-K91,cont,0,cont_51621,51621,cont,0.0
cohort_C18-K91,cont,0,cont_51625,51625,cont,0.000170873786407767
cohort_C18-K91,cont,0,cont_51626,51626,cont,0.00013724340175953084
cohort_C18-K91,cont,0,cont_51627,51627,cont,0.0
