cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_C56-E83,bin,balanced_rf,all,all,507,136,0.2682445759368836,0.398422090729783,0.5023386713175837,0.26252435859980616,0.33727810650887574,0.025594223597007543,0.5141410337719994,0.41911764705882354,0.3908355795148248,0.28217821782178215
cohort_C56-E83,bin,balanced_rf,gender,F,507,136,0.2682445759368836,0.398422090729783,0.5023386713175837,0.26252435859980616,0.33727810650887574,0.025594223597007543,0.5141410337719994,0.41911764705882354,0.3908355795148248,0.28217821782178215
cohort_C56-E83,bin,balanced_rf,age_band,18-39,47,18,0.3829787234042553,0.3617021276595745,0.435823754789272,0.37471049251823346,0.34285714285714286,-0.046514772603096555,0.4770114942528736,0.3333333333333333,0.3793103448275862,0.35294117647058826
cohort_C56-E83,bin,balanced_rf,age_band,40-64,275,80,0.2909090909090909,0.41454545454545455,0.4879487179487179,0.27474984223141885,0.3402061855670103,-0.002659407265500551,0.4985576923076923,0.4125,0.4153846153846154,0.2894736842105263
cohort_C56-E83,bin,balanced_rf,age_band,65-79,161,34,0.2111801242236025,0.391304347826087,0.5487494210282539,0.25593798266913353,0.35051546391752575,0.11523710362224311,0.5688976377952756,0.5,0.36220472440944884,0.2698412698412698
cohort_C56-E83,bin,balanced_rf,age_band,80+,24,4,0.16666666666666666,0.3333333333333333,0.525,0.20818713450292398,0.16666666666666666,-0.07905694150420949,0.45,0.25,0.35,0.125
cohort_C56-E83,cont,balanced_rf,all,all,507,136,0.2682445759368836,0.3214990138067061,0.5266965276676708,0.2867017485624578,0.34782608695652173,0.07888711016466683,0.5415807832566989,0.38235294117647056,0.2991913746630728,0.31901840490797545
cohort_C56-E83,cont,balanced_rf,gender,F,507,136,0.2682445759368836,0.3214990138067061,0.5266965276676708,0.2867017485624578,0.34782608695652173,0.07888711016466683,0.5415807832566989,0.38235294117647056,0.2991913746630728,0.31901840490797545
cohort_C56-E83,cont,balanced_rf,age_band,18-39,47,18,0.3829787234042553,0.425531914893617,0.5067049808429118,0.39417502444659536,0.42105263157894735,0.03013615571648046,0.5153256704980842,0.4444444444444444,0.41379310344827586,0.4
cohort_C56-E83,cont,balanced_rf,age_band,40-64,275,80,0.2909090909090909,0.33454545454545453,0.4840064102564103,0.2858145246546433,0.313953488372093,0.004010805473326297,0.5020833333333333,0.3375,0.3333333333333333,0.29347826086956524
cohort_C56-E83,cont,balanced_rf,age_band,65-79,161,34,0.2111801242236025,0.3105590062111801,0.6051412691060676,0.3211355576039768,0.40476190476190477,0.21183169721156955,0.6200787401574803,0.5,0.25984251968503935,0.34
cohort_C56-E83,cont,balanced_rf,age_band,80+,24,4,0.16666666666666666,0.041666666666666664,0.38125,0.2076086956521739,0.0,-0.09325048082403138,0.475,0.0,0.05,0.0
cohort_C56-E83,cont_bin,balanced_rf,all,all,507,136,0.2682445759368836,0.29191321499013806,0.5344458538132234,0.28727675606748887,0.30985915492957744,0.04210386869533783,0.5216029808149675,0.3235294117647059,0.2803234501347709,0.2972972972972973
cohort_C56-E83,cont_bin,balanced_rf,gender,F,507,136,0.2682445759368836,0.29191321499013806,0.5344458538132234,0.28727675606748887,0.30985915492957744,0.04210386869533783,0.5216029808149675,0.3235294117647059,0.2803234501347709,0.2972972972972973
cohort_C56-E83,cont_bin,balanced_rf,age_band,18-39,47,18,0.3829787234042553,0.40425531914893614,0.5134099616858238,0.40594960712818606,0.32432432432432434,-0.11385711699531495,0.44252873563218387,0.3333333333333333,0.4482758620689655,0.3157894736842105
cohort_C56-E83,cont_bin,balanced_rf,age_band,40-64,275,80,0.2909090909090909,0.29454545454545455,0.49128205128205127,0.2874251029280699,0.2857142857142857,-0.009899790966420853,0.49503205128205124,0.2875,0.29743589743589743,0.2839506172839506
cohort_C56-E83,cont_bin,balanced_rf,age_band,65-79,161,34,0.2111801242236025,0.2919254658385093,0.6185734136174155,0.30073935533952706,0.37037037037037035,0.16985540957864845,0.5946039833256137,0.4411764705882353,0.25196850393700787,0.3191489361702128
cohort_C56-E83,cont_bin,balanced_rf,age_band,80+,24,4,0.16666666666666666,0.041666666666666664,0.35000000000000003,0.19927536231884058,0.0,-0.09325048082403138,0.475,0.0,0.05,0.0
cohort_C56-E83,cont_disc_bin,balanced_rf,all,all,507,136,0.2682445759368836,0.28994082840236685,0.5361998573014111,0.30275797888133327,0.3462897526501767,0.09387824192179094,0.5480715871254161,0.3602941176470588,0.2641509433962264,0.3333333333333333
cohort_C56-E83,cont_disc_bin,balanced_rf,gender,F,507,136,0.2682445759368836,0.28994082840236685,0.5361998573014111,0.30275797888133327,0.3462897526501767,0.09387824192179094,0.5480715871254161,0.3602941176470588,0.2641509433962264,0.3333333333333333
cohort_C56-E83,cont_disc_bin,balanced_rf,age_band,18-39,47,18,0.3829787234042553,0.3829787234042553,0.603448275862069,0.4670401497606396,0.3333333333333333,-0.08045977011494253,0.45977011494252873,0.3333333333333333,0.41379310344827586,0.3333333333333333
cohort_C56-E83,cont_disc_bin,balanced_rf,age_band,40-64,275,80,0.2909090909090909,0.2909090909090909,0.5021153846153846,0.28815697516114547,0.3375,0.06570512820512821,0.5328525641025641,0.3375,0.2717948717948718,0.3375
cohort_C56-E83,cont_disc_bin,balanced_rf,age_band,65-79,161,34,0.2111801242236025,0.2919254658385093,0.5642658638258453,0.3184457529102058,0.37037037037037035,0.16985540957864845,0.5946039833256137,0.4411764705882353,0.25196850393700787,0.3191489361702128
cohort_C56-E83,cont_disc_bin,balanced_rf,age_band,80+,24,4,0.16666666666666666,0.08333333333333333,0.375,0.24094202898550723,0.3333333333333333,0.26967994498529685,0.6,0.25,0.05,0.5
cohort_C56-E83,disc,balanced_rf,all,all,507,136,0.2682445759368836,0.33136094674556216,0.5670286982717615,0.3034039980817392,0.375,0.11287980590258942,0.5599631361978754,0.41911764705882354,0.2991913746630728,0.3392857142857143
cohort_C56-E83,disc,balanced_rf,gender,F,507,136,0.2682445759368836,0.33136094674556216,0.5670286982717615,0.3034039980817392,0.375,0.11287980590258942,0.5599631361978754,0.41911764705882354,0.2991913746630728,0.3392857142857143
cohort_C56-E83,disc,balanced_rf,age_band,18-39,47,18,0.3829787234042553,0.5106382978723404,0.5373563218390804,0.4255282889939087,0.5238095238095238,0.15834856621183813,0.5814176245210728,0.6111111111111112,0.4482758620689655,0.4583333333333333
