cohort,feature_set,fold,feature,itemid,representation,importance
cohort_C56-E83,cont,0,cont_50803,50803,cont,0.0005396915657818904
cohort_C56-E83,cont,0,cont_50804,50804,cont,0.007577936791947174
cohort_C56-E83,cont,0,cont_50805,50805,cont,0.00040982501939472
cohort_C56-E83,cont,0,cont_50806,50806,cont,0.003012222127837356
cohort_C56-E83,cont,0,cont_50808,50808,cont,0.005384580921634248
cohort_C56-E83,cont,0,cont_50809,50809,cont,0.0035526437773085
cohort_C56-E83,cont,0,cont_50811,50811,cont,0.00655514521489561
cohort_C56-E83,cont,0,cont_50813,50813,cont,0.009031016802067401
cohort_C56-E83,cont,0,cont_50814,50814,cont,0.00013531164652324707
cohort_C56-E83,cont,0,cont_50818,50818,cont,0.006089350683475725
cohort_C56-E83,cont,0,cont_50820,50820,cont,0.01060626449137373
cohort_C56-E83,cont,0,cont_50821,50821,cont,0.003901017377297938
cohort_C56-E83,cont,0,cont_50822,50822,cont,0.0037518820038755386
cohort_C56-E83,cont,0,cont_50824,50824,cont,0.0032694975548261196
cohort_C56-E83,cont,0,cont_50853,50853,cont,0.0007924634783268108
cohort_C56-E83,cont,0,cont_50856,50856,cont,0.0
cohort_C56-E83,cont,0,cont_50861,50861,cont,0.023450844255644452
cohort_C56-E83,cont,0,cont_50862,50862,cont,0.00964910481029168
cohort_C56-E83,cont,0,cont_50863,50863,cont,0.022257626512700586
cohort_C56-E83,cont,0,cont_50866,50866,cont,0.0
cohort_C56-E83,cont,0,cont_50867,50867,cont,0.004420684983869417
cohort_C56-E83,cont,0,cont_50868,50868,cont,0.02076752191817464
cohort_C56-E83,cont,0,cont_50877,50877,cont,0.0
cohort_C56-E83,cont,0,cont_50878,50878,cont,0.01548278157988135
cohort_C56-E83,cont,0,cont_50881,50881,cont,0.0
cohort_C56-E83,cont,0,cont_50882,50882,cont,0.02455389746424213
cohort_C56-E83,cont,0,cont_50883,50883,cont,0.00035333739455569753
cohort_C56-E83,cont,0,cont_50885,50885,cont,0.014139425266562934
cohort_C56-E83,cont,0,cont_50889,50889,cont,0.0010159939031553467
cohort_C56-E83,cont,0,cont_50890,50890,cont,0.0
cohort_C56-E83,cont,0,cont_50891,50891,cont,0.0
cohort_C56-E83,cont,0,cont_50893,50893,cont,0.025007287259041888
cohort_C56-E83,cont,0,cont_50894,50894,cont,0.0
cohort_C56-E83,cont,0,cont_50895,50895,cont,0.0
cohort_C56-E83,cont,0,cont_50896,50896,cont,0.0
cohort_C56-E83,cont,0,cont_50899,50899,cont,0.0
cohort_C56-E83,cont,0,cont_50902,50902,cont,0.025280935060496883
cohort_C56-E83,cont,0,cont_50904,50904,cont,0.0003666882134905986
cohort_C56-E83,cont,0,cont_50905,50905,cont,0.0
cohort_C56-E83,cont,0,cont_50906,50906,cont,0.0
cohort_C56-E83,cont,0,cont_50907,50907,cont,0.0004706392405970543
cohort_C56-E83,cont,0,cont_50908,50908,cont,0.0
cohort_C56-E83,cont,0,cont_50910,50910,cont,0.0
cohort_C56-E83,cont,0,cont_50911,50911,cont,0.0010709540066966155
cohort_C56-E83,cont,0,cont_50912,50912,cont,0.022178911470844165
cohort_C56-E83,cont,0,cont_50914,50914,cont,0.0
cohort_C56-E83,cont,0,cont_50915,50915,cont,0.0
cohort_C56-E83,cont,0,cont_50916,50916,cont,0.0
cohort_C56-E83,cont,0,cont_50917,50917,cont,0.00022216989413531533
cohort_C56-E83,cont,0,cont_50924,50924,cont,0.0029221125646918707
cohort_C56-E83,cont,0,cont_50925,50925,cont,8.794248625179398e-05
cohort_C56-E83,cont,0,cont_50927,50927,cont,0.0005552120790287823
cohort_C56-E83,cont,0,cont_50930,50930,cont,0.00019153282113462238
cohort_C56-E83,cont,0,cont_50931,50931,cont,0.0
cohort_C56-E83,cont,0,cont_50935,50935,cont,0.0011341363392902818
cohort_C56-E83,cont,0,cont_50945,50945,cont,0.0
cohort_C56-E83,cont,0,cont_50949,50949,cont,0.0006193158807082625
cohort_C56-E83,cont,0,cont_50950,50950,cont,0.000183378694783317
cohort_C56-E83,cont,0,cont_50951,50951,cont,2.250541265608413e-05
cohort_C56-E83,cont,0,cont_50952,50952,cont,0.0036167978492124097
cohort_C56-E83,cont,0,cont_50953,50953,cont,0.0032663836882565753
cohort_C56-E83,cont,0,cont_50954,50954,cont,0.0062990230862367885
cohort_C56-E83,cont,0,cont_50956,50956,cont,0.004727690998757174
cohort_C56-E83,cont,0,cont_50957,50957,cont,0.0
cohort_C56-E83,cont,0,cont_50960,50960,cont,0.026580416496798844
cohort_C56-E83,cont,0,cont_50964,50964,cont,0.001560891168505466
cohort_C56-E83,cont,0,cont_50965,50965,cont,5.863357352548704e-05
cohort_C56-E83,cont,0,cont_50966,50966,cont,0.0
cohort_C56-E83,cont,0,cont_50967,50967,cont,0.0
cohort_C56-E83,cont,0,cont_50968,50968,cont,0.0
cohort_C56-E83,cont,0,cont_50969,50969,cont,0.0
cohort_C56-E83,cont,0,cont_50970,50970,cont,0.027386640289705853
cohort_C56-E83,cont,0,cont_50971,50971,cont,0.02500170986614792
cohort_C56-E83,cont,0,cont_50976,50976,cont,0.0005449178169811406
cohort_C56-E83,cont,0,cont_50978,50978,cont,0.0
cohort_C56-E83,cont,0,cont_50981,50981,cont,0.0
cohort_C56-E83,cont,0,cont_50982,50982,cont,0.0
cohort_C56-E83,cont,0,cont_50983,50983,cont,0.022296758373666098
cohort_C56-E83,cont,0,cont_50986,50986,cont,0.0
cohort_C56-E83,cont,0,cont_50988,50988,cont,0.0
cohort_C56-E83,cont,0,cont_50989,50989,cont,0.0
cohort_C56-E83,cont,0,cont_50990,50990,cont,0.0
cohort_C56-E83,cont,0,cont_50992,50992,cont,0.0
cohort_C56-E83,cont,0,cont_50993,50993,cont,0.006598728699853764
cohort_C56-E83,cont,0,cont_50994,50994,cont,0.0008453978460119742
cohort_C56-E83,cont,0,cont_50995,50995,cont,0.00015781230827107012
cohort_C56-E83,cont,0,cont_50997,50997,cont,0.0
cohort_C56-E83,cont,0,cont_50998,50998,cont,0.002316784618828624
cohort_C56-E83,cont,0,cont_51000,51000,cont,0.003175661289119197
cohort_C56-E83,cont,0,cont_51001,51001,cont,0.0
cohort_C56-E83,cont,0,cont_51005,51005,cont,0.0
cohort_C56-E83,cont,0,cont_51006,51006,cont,0.02144699332806266
cohort_C56-E83,cont,0,cont_51007,51007,cont,0.0017547642185240426
cohort_C56-E83,cont,0,cont_51008,51008,cont,0.0
cohort_C56-E83,cont,0,cont_51009,51009,cont,0.0009447078702945956
cohort_C56-E83,cont,0,cont_51010,51010,cont,0.0008897848920070755
cohort_C56-E83,cont,0,cont_51070,51070,cont,0.00010911240973635512
cohort_C56-E83,cont,0,cont_51080,51080,cont,0.0
cohort_C56-E83,cont,0,cont_51099,51099,cont,0.00014532205418497837
cohort_C56-E83,cont,0,cont_51110,51110,cont,0.0
cohort_C56-E83,cont,0,cont_51111,51111,cont,0.0
cohort_C56-E83,cont,0,cont_51114,51114,cont,3.264079025071133e-05
cohort_C56-E83,cont,0,cont_51116,51116,cont,0.0014565003003213705
cohort_C56-E83,cont,0,cont_51117,51117,cont,0.001589406386372182
cohort_C56-E83,cont,0,cont_51118,51118,cont,0.0009048229658952023
cohort_C56-E83,cont,0,cont_51120,51120,cont,0.002601400075486216
cohort_C56-E83,cont,0,cont_51124,51124,cont,7.16845878136201e-05
cohort_C56-E83,cont,0,cont_51125,51125,cont,0.0029083370109911967
cohort_C56-E83,cont,0,cont_51127,51127,cont,0.0023825248865865377
cohort_C56-E83,cont,0,cont_51130,51130,cont,0.0
cohort_C56-E83,cont,0,cont_51131,51131,cont,0.0
cohort_C56-E83,cont,0,cont_51132,51132,cont,0.0
cohort_C56-E83,cont,0,cont_51133,51133,cont,0.01850969754765992
cohort_C56-E83,cont,0,cont_51138,51138,cont,0.0
cohort_C56-E83,cont,0,cont_51139,51139,cont,0.0
