cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_C56-K63,bin,balanced_rf,all,all,638,66,0.10344827586206896,0.26959247648902823,0.5589770078406442,0.13702858893185718,0.226890756302521,0.10678414586694515,0.5777972027972028,0.4090909090909091,0.2534965034965035,0.1569767441860465
cohort_C56-K63,bin,balanced_rf,gender,F,638,66,0.10344827586206896,0.26959247648902823,0.5589770078406442,0.13702858893185718,0.226890756302521,0.10678414586694515,0.5777972027972028,0.4090909090909091,0.2534965034965035,0.1569767441860465
cohort_C56-K63,bin,balanced_rf,age_band,18-39,75,16,0.21333333333333335,0.18666666666666668,0.44279661016949157,0.22679825120161468,0.2,0.0011137432052683363,0.5005296610169492,0.1875,0.1864406779661017,0.21428571428571427
cohort_C56-K63,bin,balanced_rf,age_band,40-64,337,34,0.10089020771513353,0.32344213649851633,0.6164337021937488,0.17124459368597572,0.2937062937062937,0.21067708820056055,0.6636090079596195,0.6176470588235294,0.29042904290429045,0.1926605504587156
cohort_C56-K63,bin,balanced_rf,age_band,65-79,201,16,0.07960199004975124,0.22388059701492538,0.5557432432432432,0.09457295467438073,0.09836065573770492,-0.025666783666517,0.4802364864864865,0.1875,0.22702702702702704,0.06666666666666667
cohort_C56-K63,bin,balanced_rf,age_band,80+,25,0,0.0,0.16,,,,,,,0.16,0.0
cohort_C56-K63,cont,balanced_rf,all,all,638,66,0.10344827586206896,0.13322884012539185,0.5071916719643992,0.10549201406500733,0.10596026490066225,-0.012011811442378197,0.4932983682983683,0.12121212121212122,0.1346153846153846,0.09411764705882353
cohort_C56-K63,cont,balanced_rf,gender,F,638,66,0.10344827586206896,0.13322884012539185,0.5071916719643992,0.10549201406500733,0.10596026490066225,-0.012011811442378197,0.4932983682983683,0.12121212121212122,0.1346153846153846,0.09411764705882353
cohort_C56-K63,cont,balanced_rf,age_band,18-39,75,16,0.21333333333333335,0.24,0.4290254237288136,0.20290084728402658,0.17647058823529413,-0.06401487059620371,0.4666313559322034,0.1875,0.2542372881355932,0.16666666666666666
cohort_C56-K63,cont,balanced_rf,age_band,40-64,337,34,0.10089020771513353,0.13353115727002968,0.5206270627062707,0.10894518307701039,0.10126582278481013,-0.015642743807257834,0.4911667637351971,0.11764705882352941,0.1353135313531353,0.08888888888888889
cohort_C56-K63,cont,balanced_rf,age_band,65-79,201,16,0.07960199004975124,0.09950248756218906,0.5261824324324325,0.0830641833767682,0.05555555555555555,-0.03635354946162769,0.4798986486486487,0.0625,0.10270270270270271,0.05
cohort_C56-K63,cont,balanced_rf,age_band,80+,25,0,0.0,0.08,,,,,,,0.08,0.0
