cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_C56-K63,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.13677546983184966,0.5771253822629969,18-39,40-64,3,3
cohort_C56-K63,bin,balanced_rf,age_band,predictive_parity,ppv,0.1476190476190476,0.3111111111111111,65-79,18-39,3,3
cohort_C56-K63,bin,balanced_rf,age_band,equal_opportunity,tpr,0.43014705882352944,0.30357142857142855,18-39,40-64,3,3
cohort_C56-K63,bin,balanced_rf,age_band,predictive_equality,fpr,0.10398836493818875,0.6419491525423728,18-39,40-64,3,3
cohort_C56-K63,bin,balanced_rf,age_band,equalised_odds,tpr,0.43014705882352944,0.30357142857142855,18-39,40-64,3,3
cohort_C56-K63,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.14049751243781095,0.4145936981757878,65-79,18-39,3,3
cohort_C56-K63,cont,balanced_rf,age_band,predictive_parity,ppv,0.11666666666666665,0.30000000000000004,65-79,18-39,3,3
cohort_C56-K63,cont,balanced_rf,age_band,equal_opportunity,tpr,0.125,0.3333333333333333,65-79,18-39,3,3
cohort_C56-K63,cont,balanced_rf,age_band,predictive_equality,fpr,0.1515345854328905,0.403963963963964,65-79,18-39,3,3
cohort_C56-K63,cont,balanced_rf,age_band,equalised_odds,fpr,0.1515345854328905,0.403963963963964,65-79,18-39,3,3
cohort_C56-K63,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.12218905472636815,0.46093064091308167,65-79,18-39,3,3
cohort_C56-K63,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.17647058823529413,0.0,65-79,18-39,3,3
cohort_C56-K63,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.20588235294117646,0.0,65-79,40-64,3,3
cohort_C56-K63,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.12377462207970683,0.4783783783783784,65-79,18-39,3,3
cohort_C56-K63,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.20588235294117646,0.0,65-79,40-64,3,3
cohort_C56-K63,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.10885572139303484,0.4897388059701492,65-79,18-39,3,3
cohort_C56-K63,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.1875,0.0,65-79,18-39,3,3
cohort_C56-K63,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.20588235294117646,0.0,65-79,40-64,3,3
cohort_C56-K63,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.10682546953733393,0.5151767151767153,65-79,18-39,3,3
cohort_C56-K63,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.20588235294117646,0.0,65-79,40-64,3,3
cohort_C56-K63,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.06567164179104479,0.6716417910447761,65-79,18-39,3,3
cohort_C56-K63,disc,balanced_rf,age_band,predictive_parity,ppv,0.1321937321937322,0.21885521885521883,65-79,40-64,3,3
cohort_C56-K63,disc,balanced_rf,age_band,equal_opportunity,tpr,0.2610294117647059,0.19318181818181818,65-79,40-64,3,3
cohort_C56-K63,disc,balanced_rf,age_band,predictive_equality,fpr,0.0797984425103069,0.6378378378378379,65-79,18-39,3,3
cohort_C56-K63,disc,balanced_rf,age_band,equalised_odds,tpr,0.2610294117647059,0.19318181818181818,65-79,40-64,3,3
cohort_C56-K63,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.09119092962487266,0.5956402199528673,65-79,40-64,3,3
cohort_C56-K63,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.14717348927875243,0.20105820105820105,65-79,40-64,3,3
cohort_C56-K63,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.3492647058823529,0.1517857142857143,18-39,40-64,3,3
cohort_C56-K63,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.06407992150566408,0.6868352223190933,65-79,40-64,3,3
cohort_C56-K63,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.3492647058823529,0.1517857142857143,18-39,40-64,3,3
cohort_C56-K63,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.07740230597753074,0.616403277729002,65-79,40-64,3,3
cohort_C56-K63,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.13647058823529412,0.22666666666666666,65-79,40-64,3,3
cohort_C56-K63,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.29044117647058826,0.17708333333333331,18-39,40-64,3,3
cohort_C56-K63,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.09060925332111772,0.5887733887733888,65-79,18-39,3,3
cohort_C56-K63,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.29044117647058826,0.17708333333333331,18-39,40-64,3,3
