cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_C80-D61_aplasia,bin,balanced_rf,all,all,4539,1010,0.22251597268120732,0.37034589116545497,0.7601992262133552,0.42006960183285397,0.5016722408026756,0.3301064295646996,0.6916251202904365,0.6683168316831684,0.28506659110229526,0.4015466983938132
cohort_C80-D61_aplasia,bin,balanced_rf,gender,F,2248,449,0.19973309608540926,0.3238434163701068,0.7768390258879283,0.41600534166974124,0.4995751911639762,0.35332326840441775,0.706771641260735,0.6547884187082406,0.24124513618677043,0.40384615384615385
cohort_C80-D61_aplasia,bin,balanced_rf,gender,M,2291,561,0.24487123526844173,0.4159755565255347,0.7401811381410157,0.42417132275721736,0.5033025099075297,0.3040488803144905,0.6742542734382245,0.679144385026738,0.330635838150289,0.39979013641133265
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,18-39,496,147,0.2963709677419355,0.4576612903225806,0.7041888388593258,0.4398358710220083,0.5294117647058824,0.28112942077288305,0.6533536050523361,0.673469387755102,0.3667621776504298,0.43612334801762115
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,40-64,2344,499,0.2128839590443686,0.3532423208191126,0.7924711211039965,0.4513550929309773,0.5305199698568199,0.3831734721846022,0.7237081208487436,0.7054108216432866,0.25799457994579944,0.4251207729468599
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,65-79,1496,346,0.23128342245989306,0.3549465240641711,0.7449070118120131,0.41422428407647716,0.4880273660205245,0.3021160454361753,0.6714224679567731,0.6184971098265896,0.2756521739130435,0.4030131826741996
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,80+,203,18,0.08866995073891626,0.46798029556650245,0.632882882882883,0.19707693325768683,0.17699115044247787,0.05474622540394548,0.5480480480480481,0.5555555555555556,0.4594594594594595,0.10526315789473684
cohort_C80-D61_aplasia,cont,balanced_rf,all,all,4539,1010,0.22251597268120732,0.276492619519718,0.8572008731051626,0.6127417284636948,0.6286975717439294,0.5124833183171903,0.7755412718942623,0.7049504950495049,0.15386795126098043,0.5673306772908366
cohort_C80-D61_aplasia,cont,balanced_rf,gender,F,2248,449,0.19973309608540926,0.24644128113879005,0.8634473990128145,0.6155797768269413,0.6301096709870389,0.5301956506034964,0.7857452358461952,0.7037861915367484,0.13229571984435798,0.5703971119133574
cohort_C80-D61_aplasia,cont,balanced_rf,gender,M,2291,561,0.24487123526844173,0.30597992143168923,0.848376144992942,0.6102419989650278,0.6275752773375595,0.4941740566230906,0.7647908874532472,0.7058823529411765,0.17630057803468208,0.5649072753209701
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,18-39,496,147,0.2963709677419355,0.35080645161290325,0.7999922031849989,0.618283081766119,0.616822429906542,0.43880761115354594,0.7292848371440266,0.673469387755102,0.2148997134670487,0.5689655172413793
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,40-64,2344,499,0.2128839590443686,0.2687713310580205,0.8666281071628351,0.6093912146873042,0.6324180690876883,0.5239750606928251,0.783731691024325,0.7154308617234469,0.14796747967479676,0.5666666666666667
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,65-79,1496,346,0.23128342245989306,0.2874331550802139,0.8626401105805479,0.6371485859147228,0.6391752577319587,0.520354096645332,0.7792510681075647,0.7167630057803468,0.1582608695652174,0.5767441860465117
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,80+,203,18,0.08866995073891626,0.10344827586206896,0.8256756756756757,0.37539492586358786,0.41025641025641024,0.3492613949229459,0.6870870870870871,0.4444444444444444,0.07027027027027027,0.38095238095238093
cohort_C80-D61_aplasia,cont_bin,balanced_rf,all,all,4539,1010,0.22251597268120732,0.28001762502753913,0.8597611305477388,0.6124700330076964,0.6295484436650591,0.5133705951872783,0.7770947369602361,0.7108910891089109,0.15670161518843864,0.5649095200629426
cohort_C80-D61_aplasia,cont_bin,balanced_rf,gender,F,2248,449,0.19973309608540926,0.2491103202846975,0.864138205957034,0.6080687496384571,0.6204162537165511,0.5174831397001144,0.7799030889469651,0.6971046770601337,0.13729849916620346,0.5589285714285714
cohort_C80-D61_aplasia,cont_bin,balanced_rf,gender,M,2291,561,0.24487123526844173,0.3103448275862069,0.8523415041266111,0.6172784484836453,0.6367924528301887,0.5066111106863591,0.7725232604865383,0.7219251336898396,0.176878612716763,0.569620253164557
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,18-39,496,147,0.2963709677419355,0.3528225806451613,0.8050796249731985,0.6218087576726079,0.6086956521739131,0.4262555426272688,0.723018147086915,0.6666666666666666,0.22063037249283668,0.56
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,40-64,2344,499,0.2128839590443686,0.2738907849829352,0.8707094405613394,0.6184772990391507,0.6380368098159509,0.5312705477455419,0.7893907055303018,0.7294589178356713,0.15067750677506775,0.5669781931464174
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,65-79,1496,346,0.23128342245989306,0.28342245989304815,0.8626740387031917,0.626141575071234,0.6415584415584416,0.5239182052977425,0.7799798944458407,0.7138728323699421,0.15391304347826087,0.5825471698113207
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,80+,203,18,0.08866995073891626,0.1477832512315271,0.8007507507507508,0.36265207677760797,0.375,0.30957989686818305,0.6932432432432433,0.5,0.11351351351351352,0.3
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,all,all,4539,1010,0.22251597268120732,0.2795769993390615,0.861617180420224,0.6140900951119035,0.6415094339622641,0.5294861566821645,0.7856556284701862,0.7237623762376237,0.15245111929725136,0.5760441292356187
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,gender,F,2248,449,0.19973309608540926,0.24866548042704625,0.8654387304998694,0.6081443056340701,0.6309523809523809,0.531177430768524,0.7871386107847591,0.7082405345211581,0.1339633129516398,0.5688729874776386
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,gender,M,2291,561,0.24487123526844173,0.30990833697075515,0.8548854749466787,0.621298105212308,0.6498819826907947,0.524904513026109,0.782254541333086,0.7361853832442068,0.17167630057803468,0.5816901408450704
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,18-39,496,147,0.2963709677419355,0.3588709677419355,0.8100111104613765,0.6198520857542906,0.6215384615384615,0.44406623927352085,0.733222228719568,0.6870748299319728,0.22063037249283668,0.5674157303370787
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,40-64,2344,499,0.2128839590443686,0.2717576791808874,0.871670712699111,0.6154598583184554,0.647887323943662,0.5444344045424124,0.7958377459526098,0.7374749498997996,0.14579945799457994,0.5777080062794349
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,65-79,1496,346,0.23128342245989306,0.2874331550802139,0.8637572254335261,0.6299520184182811,0.6520618556701031,0.5378687601571627,0.7886504146770545,0.7312138728323699,0.15391304347826087,0.5883720930232558
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,80+,203,18,0.08866995073891626,0.11822660098522167,0.8222222222222222,0.41898061730236763,0.42857142857142855,0.36882466320848184,0.7094594594594594,0.5,0.08108108108108109,0.375
cohort_C80-D61_aplasia,disc,balanced_rf,all,all,4539,1010,0.22251597268120732,0.29191451861643536,0.8497054111758583,0.5886726447143232,0.6209850107066381,0.5011632441203765,0.7739009732653628,0.7178217821782178,0.1700198356474922,0.5471698113207547
cohort_C80-D61_aplasia,disc,balanced_rf,gender,F,2248,449,0.19973309608540926,0.24777580071174377,0.858107263253156,0.5948179529919188,0.6262425447316103,0.5251131887887299,0.7835199213619048,0.7015590200445434,0.13451917732073373,0.5655296229802513
