cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_C80-D61_aplasia,bin,balanced_rf,gender,statistical_parity,selection_rate,0.09213214015542792,0.7785154951772452,F,M,2,2
cohort_C80-D61_aplasia,bin,balanced_rf,gender,predictive_parity,ppv,0.004056017434821202,0.9899565282566332,M,F,2,2
cohort_C80-D61_aplasia,bin,balanced_rf,gender,equal_opportunity,tpr,0.024355966318497457,0.9641372779404801,F,M,2,2
cohort_C80-D61_aplasia,bin,balanced_rf,gender,predictive_equality,fpr,0.08939070196351859,0.7296400097956518,F,M,2,2
cohort_C80-D61_aplasia,bin,balanced_rf,gender,equalised_odds,fpr,0.08939070196351859,0.7296400097956518,F,M,2,2
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.11473797474738984,0.7548230644871564,40-64,80+,4,4
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,predictive_parity,ppv,0.3308601901228843,0.24136097820308344,80+,18-39,4,4
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,equal_opportunity,tpr,0.14985526608773103,0.7875631313131313,80+,40-64,4,4
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,predictive_equality,fpr,0.20146487951366004,0.5615176151761517,40-64,80+,4,4
cohort_C80-D61_aplasia,bin,balanced_rf,age_band,equalised_odds,fpr,0.20146487951366004,0.5615176151761517,40-64,80+,4,4
cohort_C80-D61_aplasia,cont,balanced_rf,gender,statistical_parity,selection_rate,0.05953864029289918,0.8054165122524508,F,M,2,2
cohort_C80-D61_aplasia,cont,balanced_rf,gender,predictive_parity,ppv,0.005489836592387332,0.9903754130627134,M,F,2,2
cohort_C80-D61_aplasia,cont,balanced_rf,gender,equal_opportunity,tpr,0.002096161404428143,0.9970304380103935,F,M,2,2
cohort_C80-D61_aplasia,cont,balanced_rf,gender,predictive_equality,fpr,0.0440048581903241,0.7503986732155388,F,M,2,2
cohort_C80-D61_aplasia,cont,balanced_rf,gender,equalised_odds,fpr,0.0440048581903241,0.7503986732155388,F,M,2,2
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.2473581757508343,0.29488703923900117,80+,18-39,4,4
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,predictive_parity,ppv,0.19579180509413074,0.6605222734254992,80+,65-79,4,4
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,equal_opportunity,tpr,0.2723185613359024,0.6200716845878136,80+,65-79,4,4
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,predictive_equality,fpr,0.14462944319677842,0.32699099099099105,80+,18-39,4,4
cohort_C80-D61_aplasia,cont,balanced_rf,age_band,equalised_odds,tpr,0.2723185613359024,0.6200716845878136,80+,65-79,4,4
cohort_C80-D61_aplasia,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.061234507301509394,0.8026888098062475,F,M,2,2
cohort_C80-D61_aplasia,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.010691681735985559,0.9812301587301587,F,M,2,2
cohort_C80-D61_aplasia,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.02482045662970589,0.965619071187,F,M,2,2
cohort_C80-D61_aplasia,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.03958011355055954,0.7762300769853987,F,M,2,2
cohort_C80-D61_aplasia,cont_bin,balanced_rf,gender,equalised_odds,fpr,0.03958011355055954,0.7762300769853987,F,M,2,2
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.2050393294136342,0.41885995777621393,80+,18-39,4,4
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.2825471698113207,0.5149797570850203,80+,65-79,4,4
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.2294589178356713,0.6854395604395604,80+,40-64,4,4
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.10711685897932316,0.5144963144963145,80+,18-39,4,4
cohort_C80-D61_aplasia,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.2294589178356713,0.6854395604395604,80+,40-64,4,4
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.061242856543708896,0.8023839657160041,F,M,2,2
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.012817153367431833,0.9779656685450929,F,M,2,2
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.0279448487230487,0.9620410166255925,F,M,2,2
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.037712987626394884,0.7803250215701577,F,M,2,2
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,gender,equalised_odds,fpr,0.037712987626394884,0.7803250215701577,F,M,2,2
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.24064436675671383,0.32944041622848286,80+,18-39,4,4
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.21337209302325577,0.6373517786561266,80+,65-79,4,4
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.23747494989979956,0.6779891304347826,80+,40-64,4,4
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.1395492914117556,0.3674973674973675,80+,18-39,4,4
cohort_C80-D61_aplasia,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.23747494989979956,0.6779891304347826,80+,40-64,4,4
cohort_C80-D61_aplasia,disc,balanced_rf,gender,statistical_parity,selection_rate,0.08744899195521388,0.7391332805086003,F,M,2,2
cohort_C80-D61_aplasia,disc,balanced_rf,gender,predictive_parity,ppv,0.031675456313584704,0.9439897486772486,M,F,2,2
cohort_C80-D61_aplasia,disc,balanced_rf,gender,equal_opportunity,tpr,0.02927876961677567,0.9599380737682655,F,M,2,2
cohort_C80-D61_aplasia,disc,balanced_rf,gender,predictive_equality,fpr,0.07241723886423737,0.6500507730862273,F,M,2,2
cohort_C80-D61_aplasia,disc,balanced_rf,gender,equalised_odds,fpr,0.07241723886423737,0.6500507730862273,F,M,2,2
cohort_C80-D61_aplasia,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.21378913078023198,0.4534051089330151,80+,18-39,4,4
cohort_C80-D61_aplasia,disc,balanced_rf,age_band,predictive_parity,ppv,0.29530806908997165,0.4847053531264058,80+,65-79,4,4
cohort_C80-D61_aplasia,disc,balanced_rf,age_band,equal_opportunity,tpr,0.16989534624805158,0.7658072437077963,80+,40-64,4,4
cohort_C80-D61_aplasia,disc,balanced_rf,age_band,predictive_equality,fpr,0.11160845659412993,0.5573710073710074,80+,18-39,4,4
cohort_C80-D61_aplasia,disc,balanced_rf,age_band,equalised_odds,tpr,0.16989534624805158,0.7658072437077963,80+,40-64,4,4
cohort_C80-D61_aplasia,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.0873821980176181,0.7420198251825219,F,M,2,2
cohort_C80-D61_aplasia,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.017092418574947588,0.9692445334559064,M,F,2,2
cohort_C80-D61_aplasia,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.04576619066334775,0.9385769546360333,F,M,2,2
cohort_C80-D61_aplasia,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.06741445954239189,0.6742262150605085,F,M,2,2
cohort_C80-D61_aplasia,disc_bin,balanced_rf,gender,equalised_odds,fpr,0.06741445954239189,0.6742262150605085,F,M,2,2
