cohort,feature_set,fold,feature,itemid,representation,importance
cohort_C80-D61_aplasia,cont,0,cont_50803,50803,cont,0.00012837551566024903
cohort_C80-D61_aplasia,cont,0,cont_50804,50804,cont,0.001994547639075009
cohort_C80-D61_aplasia,cont,0,cont_50805,50805,cont,7.953241241102668e-09
cohort_C80-D61_aplasia,cont,0,cont_50806,50806,cont,0.0002372223597300446
cohort_C80-D61_aplasia,cont,0,cont_50808,50808,cont,0.0016304732605409043
cohort_C80-D61_aplasia,cont,0,cont_50809,50809,cont,0.00020506869778656104
cohort_C80-D61_aplasia,cont,0,cont_50811,50811,cont,9.52551634941627e-05
cohort_C80-D61_aplasia,cont,0,cont_50813,50813,cont,0.00216657883314407
cohort_C80-D61_aplasia,cont,0,cont_50814,50814,cont,8.161156123800938e-06
cohort_C80-D61_aplasia,cont,0,cont_50818,50818,cont,0.002496109305113276
cohort_C80-D61_aplasia,cont,0,cont_50820,50820,cont,0.0033238684715989936
cohort_C80-D61_aplasia,cont,0,cont_50821,50821,cont,0.0017796351526061735
cohort_C80-D61_aplasia,cont,0,cont_50822,50822,cont,0.001376781653938963
cohort_C80-D61_aplasia,cont,0,cont_50824,50824,cont,0.0005261256855165433
cohort_C80-D61_aplasia,cont,0,cont_50853,50853,cont,0.0007521911872327934
cohort_C80-D61_aplasia,cont,0,cont_50856,50856,cont,9.770337787942175e-06
cohort_C80-D61_aplasia,cont,0,cont_50861,50861,cont,0.018363120015362503
cohort_C80-D61_aplasia,cont,0,cont_50862,50862,cont,0.02060230113302927
cohort_C80-D61_aplasia,cont,0,cont_50863,50863,cont,0.016618920904096435
cohort_C80-D61_aplasia,cont,0,cont_50866,50866,cont,0.0001242180130389188
cohort_C80-D61_aplasia,cont,0,cont_50867,50867,cont,0.0007905956812728883
cohort_C80-D61_aplasia,cont,0,cont_50868,50868,cont,0.012747834199822597
cohort_C80-D61_aplasia,cont,0,cont_50877,50877,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50878,50878,cont,0.017129245778298215
cohort_C80-D61_aplasia,cont,0,cont_50881,50881,cont,0.0004736264320974925
cohort_C80-D61_aplasia,cont,0,cont_50882,50882,cont,0.02690830947544862
cohort_C80-D61_aplasia,cont,0,cont_50883,50883,cont,0.0015264555966808344
cohort_C80-D61_aplasia,cont,0,cont_50885,50885,cont,0.016262713631407247
cohort_C80-D61_aplasia,cont,0,cont_50889,50889,cont,0.0032915878812972837
cohort_C80-D61_aplasia,cont,0,cont_50890,50890,cont,7.403864899303283e-05
cohort_C80-D61_aplasia,cont,0,cont_50891,50891,cont,9.074391995994197e-05
cohort_C80-D61_aplasia,cont,0,cont_50893,50893,cont,0.014020155504435607
cohort_C80-D61_aplasia,cont,0,cont_50894,50894,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50895,50895,cont,2.938066256927589e-05
cohort_C80-D61_aplasia,cont,0,cont_50896,50896,cont,2.877355769013224e-05
cohort_C80-D61_aplasia,cont,0,cont_50899,50899,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50902,50902,cont,0.017728154564860266
cohort_C80-D61_aplasia,cont,0,cont_50904,50904,cont,0.000538260821725017
cohort_C80-D61_aplasia,cont,0,cont_50905,50905,cont,5.871291322933109e-05
cohort_C80-D61_aplasia,cont,0,cont_50906,50906,cont,1.5974792100974614e-05
cohort_C80-D61_aplasia,cont,0,cont_50907,50907,cont,0.0006342937165495371
cohort_C80-D61_aplasia,cont,0,cont_50908,50908,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50910,50910,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50911,50911,cont,0.0010698499359194492
cohort_C80-D61_aplasia,cont,0,cont_50912,50912,cont,0.013738370609783853
cohort_C80-D61_aplasia,cont,0,cont_50914,50914,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50915,50915,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50916,50916,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50917,50917,cont,4.599012462526714e-05
cohort_C80-D61_aplasia,cont,0,cont_50924,50924,cont,0.003944438225149401
cohort_C80-D61_aplasia,cont,0,cont_50925,50925,cont,0.0005950486196159234
cohort_C80-D61_aplasia,cont,0,cont_50927,50927,cont,0.00037267928113465614
cohort_C80-D61_aplasia,cont,0,cont_50930,50930,cont,0.0019469470679298816
cohort_C80-D61_aplasia,cont,0,cont_50931,50931,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50935,50935,cont,0.0025987522765962574
cohort_C80-D61_aplasia,cont,0,cont_50945,50945,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50949,50949,cont,0.0014025198386253364
cohort_C80-D61_aplasia,cont,0,cont_50950,50950,cont,0.0010786400238048954
cohort_C80-D61_aplasia,cont,0,cont_50951,50951,cont,0.0011221113641252125
cohort_C80-D61_aplasia,cont,0,cont_50952,50952,cont,0.0026536322598267772
cohort_C80-D61_aplasia,cont,0,cont_50953,50953,cont,0.00211332912519874
cohort_C80-D61_aplasia,cont,0,cont_50954,50954,cont,0.026763086436481374
cohort_C80-D61_aplasia,cont,0,cont_50956,50956,cont,0.001743286427805453
cohort_C80-D61_aplasia,cont,0,cont_50957,50957,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50960,50960,cont,0.01347836085722732
cohort_C80-D61_aplasia,cont,0,cont_50964,50964,cont,0.0016981999512484058
cohort_C80-D61_aplasia,cont,0,cont_50965,50965,cont,0.0006130399569765816
cohort_C80-D61_aplasia,cont,0,cont_50966,50966,cont,9.31408622215214e-06
cohort_C80-D61_aplasia,cont,0,cont_50967,50967,cont,4.2213574455557976e-05
cohort_C80-D61_aplasia,cont,0,cont_50968,50968,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50969,50969,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50970,50970,cont,0.01226504744839118
cohort_C80-D61_aplasia,cont,0,cont_50971,50971,cont,0.015917203427231724
cohort_C80-D61_aplasia,cont,0,cont_50976,50976,cont,0.0021270602753882934
cohort_C80-D61_aplasia,cont,0,cont_50978,50978,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50981,50981,cont,0.0
cohort_C80-D61_aplasia,cont,0,cont_50982,50982,cont,7.49803830393211e-06
