cohort,feature_set,fold,feature,itemid,representation,importance
cohort_C80-D70_NF,cont,0,cont_50803,50803,cont,0.00014964011357784912
cohort_C80-D70_NF,cont,0,cont_50804,50804,cont,0.0017690509861549822
cohort_C80-D70_NF,cont,0,cont_50805,50805,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50806,50806,cont,0.00026528855605286453
cohort_C80-D70_NF,cont,0,cont_50808,50808,cont,0.0010984300268082985
cohort_C80-D70_NF,cont,0,cont_50809,50809,cont,0.00016004320088471678
cohort_C80-D70_NF,cont,0,cont_50811,50811,cont,0.00031434001915992406
cohort_C80-D70_NF,cont,0,cont_50813,50813,cont,0.0025364041741804534
cohort_C80-D70_NF,cont,0,cont_50814,50814,cont,3.550409605772924e-05
cohort_C80-D70_NF,cont,0,cont_50818,50818,cont,0.0019083734581341572
cohort_C80-D70_NF,cont,0,cont_50820,50820,cont,0.001811033357524385
cohort_C80-D70_NF,cont,0,cont_50821,50821,cont,0.0020425094592878465
cohort_C80-D70_NF,cont,0,cont_50822,50822,cont,0.001359985457917432
cohort_C80-D70_NF,cont,0,cont_50824,50824,cont,0.0005721307121880014
cohort_C80-D70_NF,cont,0,cont_50853,50853,cont,0.0014420736435188386
cohort_C80-D70_NF,cont,0,cont_50856,50856,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50861,50861,cont,0.017488944985606974
cohort_C80-D70_NF,cont,0,cont_50862,50862,cont,0.015221352016342168
cohort_C80-D70_NF,cont,0,cont_50863,50863,cont,0.016116926098
cohort_C80-D70_NF,cont,0,cont_50866,50866,cont,5.950000797375003e-05
cohort_C80-D70_NF,cont,0,cont_50867,50867,cont,0.00040292238177119067
cohort_C80-D70_NF,cont,0,cont_50868,50868,cont,0.016643087456471098
cohort_C80-D70_NF,cont,0,cont_50877,50877,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50878,50878,cont,0.016679659804714256
cohort_C80-D70_NF,cont,0,cont_50881,50881,cont,0.0007918281387457604
cohort_C80-D70_NF,cont,0,cont_50882,50882,cont,0.02177124779271495
cohort_C80-D70_NF,cont,0,cont_50883,50883,cont,0.0016461292490339162
cohort_C80-D70_NF,cont,0,cont_50885,50885,cont,0.01942696991348654
cohort_C80-D70_NF,cont,0,cont_50889,50889,cont,0.002101584552175033
cohort_C80-D70_NF,cont,0,cont_50890,50890,cont,3.518416712479384e-05
cohort_C80-D70_NF,cont,0,cont_50891,50891,cont,7.949301012376049e-05
cohort_C80-D70_NF,cont,0,cont_50893,50893,cont,0.013499464783875101
cohort_C80-D70_NF,cont,0,cont_50894,50894,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50895,50895,cont,6.766265067849085e-05
cohort_C80-D70_NF,cont,0,cont_50896,50896,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50899,50899,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50902,50902,cont,0.015443199891697125
cohort_C80-D70_NF,cont,0,cont_50904,50904,cont,0.0006040425493399217
cohort_C80-D70_NF,cont,0,cont_50905,50905,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50906,50906,cont,2.6270102339181313e-05
cohort_C80-D70_NF,cont,0,cont_50907,50907,cont,0.00027078621275524015
cohort_C80-D70_NF,cont,0,cont_50908,50908,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50910,50910,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50911,50911,cont,0.0007913840593145195
cohort_C80-D70_NF,cont,0,cont_50912,50912,cont,0.015736311991660305
cohort_C80-D70_NF,cont,0,cont_50914,50914,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50915,50915,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50916,50916,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50917,50917,cont,3.202614379084967e-05
cohort_C80-D70_NF,cont,0,cont_50924,50924,cont,0.003053525757557355
cohort_C80-D70_NF,cont,0,cont_50925,50925,cont,0.0006447014520085392
cohort_C80-D70_NF,cont,0,cont_50927,50927,cont,0.00013925775470258469
cohort_C80-D70_NF,cont,0,cont_50930,50930,cont,0.0023790291231077245
cohort_C80-D70_NF,cont,0,cont_50931,50931,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50935,50935,cont,0.0025565799914658875
cohort_C80-D70_NF,cont,0,cont_50945,50945,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50949,50949,cont,0.00181164489449016
cohort_C80-D70_NF,cont,0,cont_50950,50950,cont,0.0016726290576661053
cohort_C80-D70_NF,cont,0,cont_50951,50951,cont,0.0012782398223749735
cohort_C80-D70_NF,cont,0,cont_50952,50952,cont,0.002165367839132848
cohort_C80-D70_NF,cont,0,cont_50953,50953,cont,0.0021451796589830236
cohort_C80-D70_NF,cont,0,cont_50954,50954,cont,0.028039207151272935
cohort_C80-D70_NF,cont,0,cont_50956,50956,cont,0.001626724259042189
cohort_C80-D70_NF,cont,0,cont_50957,50957,cont,2.554815029460059e-05
cohort_C80-D70_NF,cont,0,cont_50960,50960,cont,0.015339942538799396
cohort_C80-D70_NF,cont,0,cont_50964,50964,cont,0.0013170992955745537
cohort_C80-D70_NF,cont,0,cont_50965,50965,cont,0.0014036158968824802
cohort_C80-D70_NF,cont,0,cont_50966,50966,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50967,50967,cont,1.9607843137254906e-05
cohort_C80-D70_NF,cont,0,cont_50968,50968,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50969,50969,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50970,50970,cont,0.015234782113126767
cohort_C80-D70_NF,cont,0,cont_50971,50971,cont,0.021087336410109476
cohort_C80-D70_NF,cont,0,cont_50976,50976,cont,0.0034737971276136877
cohort_C80-D70_NF,cont,0,cont_50978,50978,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50981,50981,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50982,50982,cont,3.5784576847378785e-05
cohort_C80-D70_NF,cont,0,cont_50983,50983,cont,0.017552368156211307
cohort_C80-D70_NF,cont,0,cont_50986,50986,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50988,50988,cont,3.49629790940767e-05
cohort_C80-D70_NF,cont,0,cont_50989,50989,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50990,50990,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50992,50992,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50993,50993,cont,0.0026747105818112397
cohort_C80-D70_NF,cont,0,cont_50994,50994,cont,9.766621329848361e-05
cohort_C80-D70_NF,cont,0,cont_50995,50995,cont,0.000821120187287486
cohort_C80-D70_NF,cont,0,cont_50997,50997,cont,0.0
cohort_C80-D70_NF,cont,0,cont_50998,50998,cont,0.002651896780990233
cohort_C80-D70_NF,cont,0,cont_51000,51000,cont,0.0013931094210149378
cohort_C80-D70_NF,cont,0,cont_51001,51001,cont,0.0001739870179974098
cohort_C80-D70_NF,cont,0,cont_51005,51005,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51006,51006,cont,0.013394283562465852
cohort_C80-D70_NF,cont,0,cont_51007,51007,cont,0.021966663119306156
cohort_C80-D70_NF,cont,0,cont_51008,51008,cont,0.0001732458454679692
cohort_C80-D70_NF,cont,0,cont_51009,51009,cont,0.0029840667347710704
cohort_C80-D70_NF,cont,0,cont_51010,51010,cont,0.001426635148981895
cohort_C80-D70_NF,cont,0,cont_51070,51070,cont,0.00013460814207343305
cohort_C80-D70_NF,cont,0,cont_51080,51080,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51099,51099,cont,0.0008573526298337444
cohort_C80-D70_NF,cont,0,cont_51110,51110,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51111,51111,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51114,51114,cont,3.305924520345772e-05
cohort_C80-D70_NF,cont,0,cont_51116,51116,cont,0.0003047738715005514
cohort_C80-D70_NF,cont,0,cont_51117,51117,cont,5.530673434754039e-05
cohort_C80-D70_NF,cont,0,cont_51118,51118,cont,5.916340349921638e-05
cohort_C80-D70_NF,cont,0,cont_51120,51120,cont,0.0001259324244325961
cohort_C80-D70_NF,cont,0,cont_51124,51124,cont,4.3125064071127965e-05
cohort_C80-D70_NF,cont,0,cont_51125,51125,cont,0.00013829706249838587
cohort_C80-D70_NF,cont,0,cont_51127,51127,cont,0.00017975225086007383
cohort_C80-D70_NF,cont,0,cont_51130,51130,cont,0.001044746856482898
cohort_C80-D70_NF,cont,0,cont_51131,51131,cont,0.001227566373368461
cohort_C80-D70_NF,cont,0,cont_51132,51132,cont,0.001223419602582828
cohort_C80-D70_NF,cont,0,cont_51133,51133,cont,0.030886320505809025
cohort_C80-D70_NF,cont,0,cont_51138,51138,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51139,51139,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51140,51140,cont,4.893582968221382e-05
cohort_C80-D70_NF,cont,0,cont_51143,51143,cont,0.007766603160967643
cohort_C80-D70_NF,cont,0,cont_51144,51144,cont,0.009443104057036415
cohort_C80-D70_NF,cont,0,cont_51146,51146,cont,0.02382546841318659
cohort_C80-D70_NF,cont,0,cont_51148,51148,cont,0.0017471863231913966
cohort_C80-D70_NF,cont,0,cont_51149,51149,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51181,51181,cont,0.0011303596414047993
cohort_C80-D70_NF,cont,0,cont_51196,51196,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51199,51199,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51200,51200,cont,0.01958645499558586
cohort_C80-D70_NF,cont,0,cont_51202,51202,cont,6.78314060667002e-05
cohort_C80-D70_NF,cont,0,cont_51203,51203,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51204,51204,cont,7.249774493558173e-05
cohort_C80-D70_NF,cont,0,cont_51205,51205,cont,4.710997545293352e-05
cohort_C80-D70_NF,cont,0,cont_51206,51206,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51207,51207,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51208,51208,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51209,51209,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51214,51214,cont,0.008677613795856564
cohort_C80-D70_NF,cont,0,cont_51218,51218,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51221,51221,cont,0.01803527163310451
cohort_C80-D70_NF,cont,0,cont_51222,51222,cont,0.015971985139136547
cohort_C80-D70_NF,cont,0,cont_51223,51223,cont,0.00010132476118986245
cohort_C80-D70_NF,cont,0,cont_51224,51224,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51225,51225,cont,8.052658870899145e-05
cohort_C80-D70_NF,cont,0,cont_51227,51227,cont,5.06996734413734e-05
cohort_C80-D70_NF,cont,0,cont_51228,51228,cont,3.406063909896008e-05
cohort_C80-D70_NF,cont,0,cont_51229,51229,cont,4.764013562914569e-05
cohort_C80-D70_NF,cont,0,cont_51232,51232,cont,0.00014056638096807938
cohort_C80-D70_NF,cont,0,cont_51237,51237,cont,0.012500888143848322
cohort_C80-D70_NF,cont,0,cont_51241,51241,cont,0.0
cohort_C80-D70_NF,cont,0,cont_51244,51244,cont,0.02037302248258569
cohort_C80-D70_NF,cont,0,cont_51245,51245,cont,0.001431216945547986
cohort_C80-D70_NF,cont,0,cont_51248,51248,cont,0.017951783397317095
cohort_C80-D70_NF,cont,0,cont_51249,51249,cont,0.016816935416405072
cohort_C80-D70_NF,cont,0,cont_51250,51250,cont,0.018000810821149484
cohort_C80-D70_NF,cont,0,cont_51251,51251,cont,0.008579066953238668
cohort_C80-D70_NF,cont,0,cont_51254,51254,cont,0.02854276808679914
cohort_C80-D70_NF,cont,0,cont_51255,51255,cont,0.01068378180042413
cohort_C80-D70_NF,cont,0,cont_51256,51256,cont,0.03885811024655926
cohort_C80-D70_NF,cont,0,cont_51257,51257,cont,0.008255731667496638
cohort_C80-D70_NF,cont,0,cont_51259,51259,cont,7.516299381994829e-05
cohort_C80-D70_NF,cont,0,cont_51263,51263,cont,9.349066021333303e-05
cohort_C80-D70_NF,cont,0,cont_51265,51265,cont,0.017193379858405706
