cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_C83-N17,bin,balanced_rf,gender,statistical_parity,selection_rate,0.012670635205240366,0.9664668385504817,F,M,2,2
cohort_C83-N17,bin,balanced_rf,gender,predictive_parity,ppv,0.09689330691182363,0.7030399575202443,F,M,2,2
cohort_C83-N17,bin,balanced_rf,gender,equal_opportunity,tpr,0.007796376977757424,0.978776529338327,F,M,2,2
cohort_C83-N17,bin,balanced_rf,gender,predictive_equality,fpr,0.016267314075272987,0.95754449869144,F,M,2,2
cohort_C83-N17,bin,balanced_rf,gender,equalised_odds,fpr,0.016267314075272987,0.95754449869144,F,M,2,2
cohort_C83-N17,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.09736847134366577,0.775045255861186,40-64,80+,4,4
cohort_C83-N17,bin,balanced_rf,age_band,predictive_parity,ppv,0.42323481116584566,0.12329931972789114,18-39,80+,4,4
cohort_C83-N17,bin,balanced_rf,age_band,equal_opportunity,tpr,0.15254237288135591,0.6949152542372882,40-64,18-39,4,4
cohort_C83-N17,bin,balanced_rf,age_band,predictive_equality,fpr,0.10130371801062288,0.7652718729022153,40-64,65-79,4,4
cohort_C83-N17,bin,balanced_rf,age_band,equalised_odds,tpr,0.15254237288135591,0.6949152542372882,40-64,18-39,4,4
cohort_C83-N17,cont,balanced_rf,gender,statistical_parity,selection_rate,0.08313012503287193,0.6612930719590893,F,M,2,2
cohort_C83-N17,cont,balanced_rf,gender,predictive_parity,ppv,0.0355588897224306,0.9007121910347717,F,M,2,2
cohort_C83-N17,cont,balanced_rf,gender,equal_opportunity,tpr,0.03718566078116642,0.8580183861082736,F,M,2,2
cohort_C83-N17,cont,balanced_rf,gender,predictive_equality,fpr,0.09376869216424474,0.6045407330464461,F,M,2,2
cohort_C83-N17,cont,balanced_rf,gender,equalised_odds,fpr,0.09376869216424474,0.6045407330464461,F,M,2,2
cohort_C83-N17,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.401678244721095,0.10291858678955453,18-39,80+,4,4
cohort_C83-N17,cont,balanced_rf,age_band,predictive_parity,ppv,0.3666666666666667,0.2142857142857143,18-39,80+,4,4
cohort_C83-N17,cont,balanced_rf,age_band,equal_opportunity,tpr,0.3516129032258064,0.22142857142857145,18-39,80+,4,4
cohort_C83-N17,cont,balanced_rf,age_band,predictive_equality,fpr,0.40096618357487923,0.09782608695652174,18-39,80+,4,4
cohort_C83-N17,cont,balanced_rf,age_band,equalised_odds,fpr,0.40096618357487923,0.09782608695652174,18-39,80+,4,4
cohort_C83-N17,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.06010184321881948,0.7419156144133046,F,M,2,2
cohort_C83-N17,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.040998217468805664,0.8967452300785635,F,M,2,2
cohort_C83-N17,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.011465260261407928,0.9583853516437786,F,M,2,2
cohort_C83-N17,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.06628901164631787,0.6863397985515691,F,M,2,2
