model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.5627230724702477,0.05184897169936561,0.5329548545553573,0.03346624935870327,0.5241649238399836,0.009720918035150006,0.4899218037589684,0.05480019246115283,0.5704767575253328,0.03720399875213021,0.5333103844208814,0.020793080804122878,0.5805338001574346,0.03317349935867798
rf,avg_prec,0.34357177990726473,0.038470846328917514,0.33150203179247023,0.01904332393690421,0.31355852424384223,0.016911063610131272,0.2909036957470811,0.03798183943756104,0.34179638459416195,0.031229973400296165,0.3254686559803394,0.016863753435237,0.3609788347733097,0.046033349690229264
rf,f1,0.055350750169356554,0.016888705971082395,0.1222404487621879,0.04553652754534176,0.08739678751513576,0.025381432615574757,0.21788437057142168,0.08742577944972456,0.042991140448234905,0.025067351631054193,0.10658763610108693,0.014959183563657467,0.0508400758627899,0.04649840085283565
rf,mcc,0.044898559319524176,0.06292330667484414,0.04746542460890972,0.04403866050372458,0.016079531851440943,0.0754605591757911,-0.03061265272873508,0.11012939015272205,0.021180285853535853,0.07520670493292674,0.03205203910051992,0.055614831033796094,0.03512834736082081,0.08777448427100168
rf,balanced_acc,0.5058335341008877,0.010378776063697356,0.512256094532743,0.012814111001146433,0.5014756635013378,0.017955863319242146,0.48687249828736545,0.04834372709347528,0.5005128225667085,0.012234196512088562,0.5061028070364396,0.01183606885380887,0.5064436772761896,0.014205900491731992
balanced_rf,auc_roc,0.5884057411017458,0.03345549180431291,0.5422238990164053,0.04445576760729469,0.5387389219955099,0.012932541992625163,0.4926339631005872,0.05043128369125188,0.5880466914883142,0.04127112200220194,0.5369094193892698,0.014124374346144445,0.5814223170461246,0.03653867159269968
balanced_rf,avg_prec,0.351268837979627,0.023712429629077745,0.3463105502574774,0.035718632254681956,0.34147900986983387,0.011206811878667735,0.29163535557373754,0.037939756256129414,0.36934477054542275,0.038509102084373116,0.34119984123061187,0.019044401489753247,0.3628581809686213,0.03843890668921725
balanced_rf,f1,0.2886888033179239,0.02933678903645809,0.32798916658232335,0.030521506279960392,0.3213027916290164,0.032652637743959725,0.31620980475806915,0.05671081547912281,0.3172353974950465,0.025726986396422243,0.34227163475295125,0.05569714239230231,0.30885956300429146,0.04051489518987096
balanced_rf,mcc,0.06501487427759092,0.043170181234441427,0.06859331071075311,0.045514579146133924,0.0685123310332322,0.021092186183221617,-0.010611497097494524,0.07095051533401324,0.10539769740933165,0.044555049857687844,0.08132381520851603,0.0636317986400238,0.0911804626439194,0.07505149569118132
balanced_rf,balanced_acc,0.5289346363691892,0.019417157119774577,0.5334667781352775,0.021985837616107288,0.5333613647970905,0.011570684946442394,0.4947450724453546,0.03722372001108878,0.5465801860682886,0.018884413177091133,0.5408711709827687,0.03210500809908339,0.539301924949042,0.0318851732947648
catboost,auc_roc,0.610671611114541,0.017902025103463483,0.5328342455266215,0.016197558630592183,0.5201760297054647,0.025664768914811106,0.49939436695741096,0.04294335792108748,0.6152531460121731,0.03808349537265852,0.5251644332482901,0.028498940817557803,0.6001902849206869,0.022227696489155846
catboost,avg_prec,0.4017285627115995,0.0144062706170936,0.3379052820848152,0.030406535660125404,0.311250443754351,0.01767004253445177,0.3097082554805501,0.03225569955180488,0.3863738292805306,0.043340366904554235,0.32156815232209074,0.019398640409222328,0.3758123999026591,0.017723501746883686
catboost,f1,0.2384582668793195,0.0329585126372385,0.13893169141511072,0.04574232144699062,0.12200882994309248,0.014429358329995404,0.08121914203298236,0.02251530075700572,0.19428764268703294,0.0635235474554766,0.1231748157954267,0.015397607605639354,0.21529913121342287,0.028225632036521366
catboost,mcc,0.13951234886945407,0.03994577686725045,0.06428234409980918,0.07155097822038967,0.03258106921084918,0.04380626885081975,0.025069272655872426,0.05310433422388778,0.08760767860081065,0.06448656319260936,0.023121447144705706,0.02313306404188501,0.10064373607771068,0.01555682830908242
catboost,balanced_acc,0.5441188004981747,0.00866209383451953,0.5161962700325455,0.019163921523430754,0.5079622214409232,0.012067874826328545,0.5040394945414434,0.01105333859809155,0.527739312152079,0.020910621187843714,0.5060439623229851,0.006589579275082248,0.5324357505829036,0.0019470972672819982
