cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_C85-I42,bin,balanced_rf,all,all,1346,40,0.029717682020802376,0.2362555720653789,0.4133231240428791,0.02422070812104032,0.01675977653631285,-0.0664367042407539,0.4169027565084226,0.075,0.24119448698315468,0.009433962264150943
cohort_C85-I42,bin,balanced_rf,gender,F,640,22,0.034375,0.2171875,0.4675272138864372,0.0314956381823189,0.024844720496894408,-0.05778297733577895,0.4346131215063254,0.09090909090909091,0.22168284789644013,0.014388489208633094
cohort_C85-I42,bin,balanced_rf,gender,M,706,18,0.025495750708215296,0.2535410764872521,0.35263242894056845,0.020120148364341846,0.01015228426395939,-0.07361195331334894,0.3984173126614987,0.05555555555555555,0.25872093023255816,0.00558659217877095
cohort_C85-I42,bin,balanced_rf,age_band,18-39,186,8,0.043010752688172046,0.20430107526881722,0.3202247191011236,0.03446783393247516,0.0,-0.10742266761330034,0.39325842696629215,0.0,0.21348314606741572,0.0
cohort_C85-I42,bin,balanced_rf,age_band,40-64,501,16,0.031936127744510975,0.22554890219560877,0.36056701030927835,0.027328697451647913,0.031007751937984496,-0.04369674594082565,0.44806701030927837,0.125,0.2288659793814433,0.017699115044247787
cohort_C85-I42,bin,balanced_rf,age_band,65-79,555,15,0.02702702702702703,0.23063063063063063,0.5404320987654321,0.028799191456497193,0.013986013986013986,-0.0648740811306803,0.41574074074074074,0.06666666666666667,0.2351851851851852,0.0078125
cohort_C85-I42,bin,balanced_rf,age_band,80+,104,1,0.009615384615384616,0.375,0.5728155339805825,0.022222222222222223,0.0,-0.07632327769721765,0.3106796116504854,0.0,0.3786407766990291,0.0
cohort_C85-I42,cont,balanced_rf,all,all,1346,40,0.029717682020802376,0.08395245170876671,0.387614854517611,0.022720638161981346,0.0,-0.05298050463960489,0.45673813169984684,0.0,0.08652373660030628,0.0
cohort_C85-I42,cont,balanced_rf,gender,F,640,22,0.034375,0.1,0.32307296263606944,0.024216926657003614,0.0,-0.06289206406536531,0.4482200647249191,0.0,0.10355987055016182,0.0
cohort_C85-I42,cont,balanced_rf,gender,M,706,18,0.025495750708215296,0.06940509915014165,0.46535852713178294,0.024958946490402666,0.0,-0.0441730501837471,0.4643895348837209,0.0,0.07122093023255814,0.0
cohort_C85-I42,cont,balanced_rf,age_band,18-39,186,8,0.043010752688172046,0.0913978494623656,0.07478932584269662,0.025729412192585933,0.0,-0.06723820341841565,0.45224719101123595,0.0,0.09550561797752809,0.0
cohort_C85-I42,cont,balanced_rf,age_band,40-64,501,16,0.031936127744510975,0.059880239520958084,0.42396907216494845,0.027176536784364158,0.0,-0.04583943919914731,0.4690721649484536,0.0,0.061855670103092786,0.0
cohort_C85-I42,cont,balanced_rf,age_band,65-79,555,15,0.02702702702702703,0.08288288288288288,0.5508641975308641,0.030374159858347332,0.0,-0.05010358185882565,0.45740740740740743,0.0,0.08518518518518518,0.0
cohort_C85-I42,cont,balanced_rf,age_band,80+,104,1,0.009615384615384616,0.19230769230769232,0.1456310679611651,0.011235955056179775,0.0,-0.04807914572194296,0.4029126213592233,0.0,0.1941747572815534,0.0
cohort_C85-I42,cont_bin,balanced_rf,all,all,1346,40,0.029717682020802376,0.09212481426448738,0.41356240428790203,0.023866884124903773,0.0,-0.055748559088368295,0.45252679938744256,0.0,0.09494640122511486,0.0
cohort_C85-I42,cont_bin,balanced_rf,gender,F,640,22,0.034375,0.10625,0.35690644307149155,0.025619207618374912,0.0,-0.0650539310169017,0.4449838187702265,0.0,0.11003236245954692,0.0
cohort_C85-I42,cont_bin,balanced_rf,gender,M,706,18,0.025495750708215296,0.07932011331444759,0.476703811369509,0.026337574770272015,0.0,-0.04747657364135199,0.45930232558139533,0.0,0.08139534883720931,0.0
cohort_C85-I42,cont_bin,balanced_rf,age_band,18-39,186,8,0.043010752688172046,0.10752688172043011,0.08707865168539325,0.026209449372171255,0.0,-0.07358612708495907,0.4438202247191011,0.0,0.11235955056179775,0.0
cohort_C85-I42,cont_bin,balanced_rf,age_band,40-64,501,16,0.031936127744510975,0.0658682634730539,0.4489046391752577,0.03010950245559614,0.0,-0.048230655610608596,0.465979381443299,0.0,0.06804123711340206,0.0
cohort_C85-I42,cont_bin,balanced_rf,age_band,65-79,555,15,0.02702702702702703,0.08468468468468468,0.5958641975308642,0.03268088417287837,0.0,-0.050695081133119935,0.4564814814814815,0.0,0.08703703703703704,0.0
