cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_C91-B25,bin,balanced_rf,gender,statistical_parity,selection_rate,0.0377848929284583,0.8348009332430195,M,F,2,2
cohort_C91-B25,bin,balanced_rf,gender,predictive_parity,ppv,0.000985415845486795,0.9717514124293786,M,F,2,2
cohort_C91-B25,bin,balanced_rf,gender,equal_opportunity,tpr,0.032894736842105254,0.7916666666666667,M,F,2,2
cohort_C91-B25,bin,balanced_rf,gender,predictive_equality,fpr,0.03795374805212187,0.8367531559685842,M,F,2,2
cohort_C91-B25,bin,balanced_rf,gender,equalised_odds,fpr,0.03795374805212187,0.8367531559685842,M,F,2,2
cohort_C91-B25,cont,balanced_rf,gender,statistical_parity,selection_rate,0.05889795496798182,0.5973521624007061,M,F,2,2
cohort_C91-B25,cont,balanced_rf,gender,predictive_parity,ppv,0.017845117845117844,0.5092592592592593,M,F,2,2
cohort_C91-B25,cont,balanced_rf,gender,equal_opportunity,tpr,0.07401315789473684,0.296875,M,F,2,2
cohort_C91-B25,cont,balanced_rf,gender,predictive_equality,fpr,0.05801569774667546,0.6092150170648464,M,F,2,2
cohort_C91-B25,cont,balanced_rf,gender,equalised_odds,tpr,0.07401315789473684,0.296875,M,F,2,2
cohort_C91-B25,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.062022309440198306,0.597924338801473,M,F,2,2
cohort_C91-B25,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.01663641863278887,0.6783625730994152,M,F,2,2
cohort_C91-B25,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.09539473684210525,0.39583333333333337,M,F,2,2
cohort_C91-B25,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.06020496935975757,0.6092150170648464,M,F,2,2
cohort_C91-B25,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.09539473684210525,0.39583333333333337,M,F,2,2
cohort_C91-B25,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.06572333539902225,0.5881337648327939,M,F,2,2
cohort_C91-B25,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0005747126436781609,0.9666666666666667,F,M,2,2
cohort_C91-B25,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.021381578947368418,0.59375,M,F,2,2
cohort_C91-B25,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.06799648186919818,0.5885636605541736,M,F,2,2
cohort_C91-B25,cont_disc_bin,balanced_rf,gender,equalised_odds,fpr,0.06799648186919818,0.5885636605541736,M,F,2,2
cohort_C91-B25,disc,balanced_rf,gender,statistical_parity,selection_rate,0.07777318735798389,0.651872399445215,M,F,2,2
cohort_C91-B25,disc,balanced_rf,gender,predictive_parity,ppv,0.0246031746031746,0.3111111111111111,M,F,2,2
cohort_C91-B25,disc,balanced_rf,gender,equal_opportunity,tpr,0.12664473684210525,0.19791666666666669,M,F,2,2
cohort_C91-B25,disc,balanced_rf,gender,predictive_equality,fpr,0.07501362319671895,0.6693844014663127,M,F,2,2
cohort_C91-B25,disc,balanced_rf,gender,equalised_odds,tpr,0.12664473684210525,0.19791666666666669,M,F,2,2
cohort_C91-B25,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.03776767885423121,0.8027687882056814,M,F,2,2
cohort_C91-B25,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.031140350877192982,0.25263157894736843,M,F,2,2
cohort_C91-B25,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.12664473684210525,0.19791666666666669,M,F,2,2
cohort_C91-B25,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.03286775461037658,0.8299450957115299,M,F,2,2
cohort_C91-B25,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.12664473684210525,0.19791666666666669,M,F,2,2
cohort_C91-B25,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.06551676650829719,0.6920711974110032,M,F,2,2
cohort_C91-B25,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.026510989010989007,0.29304029304029305,M,F,2,2
cohort_C91-B25,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.12664473684210525,0.19791666666666669,M,F,2,2
cohort_C91-B25,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.06210265676236365,0.712069500465405,M,F,2,2
cohort_C91-B25,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.12664473684210525,0.19791666666666669,M,F,2,2
