cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_E10-N28,bin,balanced_rf,all,all,2650,73,0.027547169811320753,0.20566037735849058,0.35816575501937586,0.022954588542894165,0.042071197411003236,-0.011483955030684065,0.485820296511288,0.1780821917808219,0.20644159875824603,0.023853211009174313
cohort_E10-N28,bin,balanced_rf,gender,F,1303,35,0.02686108979278588,0.1987720644666155,0.34206849932401984,0.02142257971750621,0.034013605442176874,-0.023278039463237817,0.47127084272194686,0.14285714285714285,0.20031545741324921,0.019305019305019305
cohort_E10-N28,bin,balanced_rf,gender,M,1347,38,0.028210838901262063,0.21232368225686712,0.37174822081942827,0.026481289043460185,0.04938271604938271,-0.000748833900676751,0.49907522817739536,0.21052631578947367,0.21237585943468296,0.027972027972027972
cohort_E10-N28,bin,balanced_rf,age_band,18-39,805,20,0.024844720496894408,0.1763975155279503,0.37964968152866246,0.023804888874495042,0.06172839506172839,0.03082248058889059,0.5377388535031847,0.25,0.17452229299363056,0.035211267605633804
cohort_E10-N28,bin,balanced_rf,age_band,40-64,1422,45,0.03164556962025317,0.22855133614627285,0.3359396433470508,0.02619470105982588,0.03783783783783784,-0.03142618378494976,0.46230936819172114,0.15555555555555556,0.23093681917211328,0.021538461538461538
cohort_E10-N28,bin,balanced_rf,age_band,65-79,381,8,0.02099737532808399,0.1942257217847769,0.41789544235924936,0.02961855955223077,0.024390243902439025,-0.02562701353637159,0.46464477211796246,0.125,0.19571045576407506,0.013513513513513514
cohort_E10-N28,bin,balanced_rf,age_band,80+,42,0,0.0,0.09523809523809523,,,,,,,0.09523809523809523,0.0
cohort_E10-N28,cont,balanced_rf,all,all,2650,73,0.027547169811320753,0.07849056603773585,0.40065170820907814,0.024141348036305833,0.0498220640569395,0.010889074647428122,0.5089463696238059,0.0958904109589041,0.0779976717112922,0.03365384615384615
cohort_E10-N28,cont,balanced_rf,gender,F,1303,35,0.02686108979278588,0.08825786646201074,0.44916629112212714,0.025784700070575997,0.04,-0.0014897287519326995,0.4986931050022533,0.08571428571428572,0.08832807570977919,0.02608695652173913
cohort_E10-N28,cont,balanced_rf,gender,M,1347,38,0.028210838901262063,0.06904231625835189,0.35617787784970445,0.024876136532265898,0.061068702290076333,0.024342090106080832,0.5186361625990109,0.10526315789473684,0.06799083269671505,0.043010752688172046
cohort_E10-N28,cont,balanced_rf,age_band,18-39,805,20,0.024844720496894408,0.04596273291925466,0.5033757961783439,0.04545896618879537,0.10526315789473684,0.07930188546209715,0.553343949044586,0.15,0.04331210191082802,0.08108108108108109
cohort_E10-N28,cont,balanced_rf,age_band,40-64,1422,45,0.03164556962025317,0.09071729957805907,0.36525457919793425,0.025552637493127934,0.04597701149425287,-0.001150849457001564,0.4990559186637618,0.08888888888888889,0.09077705156136529,0.031007751937984496
cohort_E10-N28,cont,balanced_rf,age_band,65-79,381,8,0.02099737532808399,0.10498687664041995,0.3600871313672922,0.01777319798196022,0.0,-0.050158366420270384,0.44638069705093836,0.0,0.10723860589812333,0.0
cohort_E10-N28,cont,balanced_rf,age_band,80+,42,0,0.0,0.047619047619047616,,,,,,,0.047619047619047616,0.0
cohort_E10-N28,cont_bin,balanced_rf,all,all,2650,73,0.027547169811320753,0.08339622641509434,0.3974968238527331,0.024858556068631226,0.05442176870748299,0.01594492095821091,0.5134673959844993,0.1095890410958904,0.08265424912689173,0.03619909502262444
cohort_E10-N28,cont_bin,balanced_rf,gender,F,1303,35,0.02686108979278588,0.09516500383729855,0.42759125732311853,0.024562771755179527,0.03773584905660377,-0.005350764980905564,0.4951442091031997,0.08571428571428572,0.09542586750788644,0.024193548387096774
cohort_E10-N28,cont_bin,balanced_rf,gender,M,1347,38,0.028210838901262063,0.07201187824795843,0.3702806481444253,0.028708705110909383,0.07407407407407407,0.03926041890266858,0.5306481444252342,0.13157894736842105,0.07028265851795264,0.05154639175257732
cohort_E10-N28,cont_bin,balanced_rf,age_band,18-39,805,20,0.024844720496894408,0.0546583850931677,0.47031847133757965,0.03137831780733273,0.0625,0.03183862965468219,0.5232484076433122,0.1,0.0535031847133758,0.045454545454545456
cohort_E10-N28,cont_bin,balanced_rf,age_band,40-64,1422,45,0.03164556962025317,0.09845288326300984,0.3722504639715969,0.027990720973942798,0.06486486486486487,0.021164739761331656,0.5180101670297749,0.13333333333333333,0.09731299927378359,0.04285714285714286
cohort_E10-N28,cont_bin,balanced_rf,age_band,65-79,381,8,0.02099737532808399,0.08923884514435695,0.3810321715817695,0.01987705943658851,0.0,-0.045842183866333125,0.4544235924932976,0.0,0.09115281501340483,0.0
cohort_E10-N28,cont_bin,balanced_rf,age_band,80+,42,0,0.0,0.07142857142857142,,,,,,,0.07142857142857142,0.0
cohort_E10-N28,cont_disc_bin,balanced_rf,all,all,2650,73,0.027547169811320753,0.08452830188679246,0.38979699236129933,0.024836520841500058,0.06060606060606061,0.023450785231842845,0.5199286629350258,0.1232876712328767,0.083430345362825,0.04017857142857143
cohort_E10-N28,cont_disc_bin,balanced_rf,gender,F,1303,35,0.02686108979278588,0.09669992325402917,0.4206173952230734,0.02417074266929671,0.037267080745341616,-0.0061754779153516326,0.49435556557007665,0.08571428571428572,0.09700315457413249,0.023809523809523808
cohort_E10-N28,cont_disc_bin,balanced_rf,gender,M,1347,38,0.028210838901262063,0.07275426874536006,0.3608017369627277,0.029288363426011023,0.08823529411764706,0.055851050646414324,0.5438060391620763,0.15789473684210525,0.07028265851795264,0.061224489795918366
cohort_E10-N28,cont_disc_bin,balanced_rf,age_band,18-39,805,20,0.024844720496894408,0.06086956521739131,0.45019108280254777,0.03165898755004386,0.08695652173913043,0.05950358568579307,0.5457006369426751,0.15,0.05859872611464968,0.061224489795918366
cohort_E10-N28,cont_disc_bin,balanced_rf,age_band,40-64,1422,45,0.03164556962025317,0.0970464135021097,0.36756233357540546,0.027930790700176313,0.06557377049180328,0.02215985596950598,0.5187363834422658,0.13333333333333333,0.09586056644880174,0.043478260869565216
cohort_E10-N28,cont_disc_bin,balanced_rf,age_band,65-79,381,8,0.02099737532808399,0.08661417322834646,0.3585790884718498,0.01868601343172695,0.0,-0.045098066800056284,0.45576407506702415,0.0,0.08847184986595175,0.0
cohort_E10-N28,cont_disc_bin,balanced_rf,age_band,80+,42,0,0.0,0.09523809523809523,,,,,,,0.09523809523809523,0.0
cohort_E10-N28,disc,balanced_rf,all,all,2650,73,0.027547169811320753,0.13169811320754718,0.39480706566518353,0.023892958585090596,0.04739336492890995,0.0026320005249561846,0.502718994689588,0.136986301369863,0.13154831199068684,0.02865329512893983
cohort_E10-N28,disc,balanced_rf,gender,F,1303,35,0.02686108979278588,0.14044512663085187,0.4015885534024335,0.024015805455269296,0.045871559633027525,0.0011533589232748953,0.5012392969806219,0.14285714285714285,0.14037854889589904,0.0273224043715847
cohort_E10-N28,disc,balanced_rf,gender,M,1347,38,0.028210838901262063,0.12323682256867112,0.3883840617586748,0.025443676324084008,0.049019607843137254,0.004324015684641003,0.5042921474810019,0.13157894736842105,0.12299465240641712,0.030120481927710843
cohort_E10-N28,disc,balanced_rf,age_band,18-39,805,20,0.024844720496894408,0.09813664596273292,0.4557643312101911,0.03579316570345645,0.10101010101010101,0.08147927973777838,0.5778662420382166,0.25,0.09426751592356689,0.06329113924050633
cohort_E10-N28,disc,balanced_rf,age_band,40-64,1422,45,0.03164556962025317,0.14486638537271448,0.3731864762365852,0.02537126382909792,0.03187250996015936,-0.028750933943167127,0.4710965867828613,0.08888888888888889,0.1466957153231663,0.019417475728155338
cohort_E10-N28,disc,balanced_rf,age_band,65-79,381,8,0.02099737532808399,0.15748031496062992,0.35690348525469173,0.020090642239601764,0.029411764705882353,-0.013058931499724999,0.48341152815013405,0.125,0.1581769436997319,0.016666666666666666
cohort_E10-N28,disc,balanced_rf,age_band,80+,42,0,0.0,0.09523809523809523,,,,,,,0.09523809523809523,0.0
cohort_E10-N28,disc_bin,balanced_rf,all,all,2650,73,0.027547169811320753,0.1328301886792453,0.38264202295331196,0.023600497613281257,0.05176470588235294,0.008854363556909814,0.5091802616401147,0.1506849315068493,0.1323244082266201,0.03125
cohort_E10-N28,disc_bin,balanced_rf,gender,F,1303,35,0.02686108979278588,0.13123561013046814,0.39099819738621006,0.023316551200389706,0.04854368932038835,0.005718221209408723,0.5059711581793601,0.14285714285714285,0.1309148264984227,0.029239766081871343
cohort_E10-N28,disc_bin,balanced_rf,gender,M,1347,38,0.028210838901262063,0.13437268002969563,0.3741707209199469,0.026538422722961495,0.0547945205479452,0.01175103994868319,0.5121024486349564,0.15789473684210525,0.13368983957219252,0.03314917127071823
cohort_E10-N28,disc_bin,balanced_rf,age_band,18-39,805,20,0.024844720496894408,0.1093167701863354,0.4244904458598726,0.030554191130165224,0.09259259259259259,0.07196435980059014,0.5721337579617835,0.25,0.10573248407643313,0.056818181818181816
cohort_E10-N28,disc_bin,balanced_rf,age_band,40-64,1422,45,0.03164556962025317,0.14838255977496484,0.3615670136367304,0.025815715275916147,0.0390625,-0.018954042807515354,0.4807552650689906,0.1111111111111111,0.14960058097313,0.023696682464454975
cohort_E10-N28,disc_bin,balanced_rf,age_band,65-79,381,8,0.02099737532808399,0.13123359580052493,0.3897453083109919,0.02743760688577828,0.034482758620689655,-0.002703679402762032,0.4968163538873995,0.125,0.13136729222520108,0.02
cohort_E10-N28,disc_bin,balanced_rf,age_band,80+,42,0,0.0,0.07142857142857142,,,,,,,0.07142857142857142,0.0
cohort_E10-N28,disc_imp,balanced_rf,all,all,2650,73,0.027547169811320753,0.11962264150943397,0.3943578866793181,0.024495715209133198,0.05128205128205128,0.009005428117933098,0.5089277645770541,0.136986301369863,0.11913077221575476,0.031545741324921134
cohort_E10-N28,disc_imp,balanced_rf,gender,F,1303,35,0.02686108979278588,0.13123561013046814,0.39562866155926085,0.02373616183626681,0.038834951456310676,-0.008339971688439515,0.4912911221270843,0.11428571428571428,0.13170347003154576,0.023391812865497075
cohort_E10-N28,disc_imp,balanced_rf,gender,M,1347,38,0.028210838901262063,0.10838901262063845,0.3946664790318041,0.027206930091249783,0.06521739130434782,0.0271329526773293,0.5254714325921757,0.15789473684210525,0.10695187165775401,0.0410958904109589
cohort_E10-N28,disc_imp,balanced_rf,age_band,18-39,805,20,0.024844720496894408,0.08695652173913043,0.4464012738853503,0.03944508700601347,0.1111111111111111,0.09236060987562233,0.5835987261146497,0.25,0.08280254777070063,0.07142857142857142
cohort_E10-N28,disc_imp,balanced_rf,age_band,40-64,1422,45,0.03164556962025317,0.13220815752461323,0.37602678931654965,0.02561937880893941,0.04291845493562232,-0.011259627860964544,0.48910675381263613,0.1111111111111111,0.1328976034858388,0.026595744680851064
cohort_E10-N28,disc_imp,balanced_rf,age_band,65-79,381,8,0.02099737532808399,0.14173228346456693,0.35388739946380693,0.018070109573534398,0.0,-0.05951323815674392,0.42761394101876676,0.0,0.1447721179624665,0.0
cohort_E10-N28,disc_imp,balanced_rf,age_band,80+,42,0,0.0,0.11904761904761904,,,,,,,0.11904761904761904,0.0
