cohort,feature_set,fold,feature,itemid,representation,importance
cohort_E10-N28,cont,0,cont_50803,50803,cont,0.0009333523817020331
cohort_E10-N28,cont,0,cont_50804,50804,cont,0.012877968250042443
cohort_E10-N28,cont,0,cont_50805,50805,cont,0.0
cohort_E10-N28,cont,0,cont_50806,50806,cont,0.0017646139597416314
cohort_E10-N28,cont,0,cont_50808,50808,cont,0.002508380606627806
cohort_E10-N28,cont,0,cont_50809,50809,cont,0.003546559456431271
cohort_E10-N28,cont,0,cont_50811,50811,cont,0.0015412866628626266
cohort_E10-N28,cont,0,cont_50813,50813,cont,0.0062409585218773335
cohort_E10-N28,cont,0,cont_50814,50814,cont,0.0
cohort_E10-N28,cont,0,cont_50818,50818,cont,0.010721207888466427
cohort_E10-N28,cont,0,cont_50820,50820,cont,0.009492383126670428
cohort_E10-N28,cont,0,cont_50821,50821,cont,0.0049873496121749985
cohort_E10-N28,cont,0,cont_50822,50822,cont,0.005342181227434838
cohort_E10-N28,cont,0,cont_50824,50824,cont,0.0029259348700338725
cohort_E10-N28,cont,0,cont_50853,50853,cont,0.0002628067134431523
cohort_E10-N28,cont,0,cont_50856,50856,cont,0.0
cohort_E10-N28,cont,0,cont_50861,50861,cont,0.017019655507028955
cohort_E10-N28,cont,0,cont_50862,50862,cont,0.011015211729652336
cohort_E10-N28,cont,0,cont_50863,50863,cont,0.010523856291743182
cohort_E10-N28,cont,0,cont_50866,50866,cont,0.0
cohort_E10-N28,cont,0,cont_50867,50867,cont,0.01942628235002962
cohort_E10-N28,cont,0,cont_50868,50868,cont,0.030663264733891055
cohort_E10-N28,cont,0,cont_50877,50877,cont,0.0
cohort_E10-N28,cont,0,cont_50878,50878,cont,0.015387991523600916
cohort_E10-N28,cont,0,cont_50881,50881,cont,0.00023061411874035858
cohort_E10-N28,cont,0,cont_50882,50882,cont,0.03141049799947516
cohort_E10-N28,cont,0,cont_50883,50883,cont,0.0008575723393063061
cohort_E10-N28,cont,0,cont_50885,50885,cont,0.02395029067004714
cohort_E10-N28,cont,0,cont_50889,50889,cont,0.0026798486347049447
cohort_E10-N28,cont,0,cont_50890,50890,cont,4.975124378109485e-06
cohort_E10-N28,cont,0,cont_50891,50891,cont,0.0
cohort_E10-N28,cont,0,cont_50893,50893,cont,0.022944456607185297
cohort_E10-N28,cont,0,cont_50894,50894,cont,0.0
cohort_E10-N28,cont,0,cont_50895,50895,cont,0.0
cohort_E10-N28,cont,0,cont_50896,50896,cont,6.093769431662732e-05
cohort_E10-N28,cont,0,cont_50899,50899,cont,0.0
cohort_E10-N28,cont,0,cont_50902,50902,cont,0.02662957734997979
cohort_E10-N28,cont,0,cont_50904,50904,cont,0.0020794364531026366
cohort_E10-N28,cont,0,cont_50905,50905,cont,2.1688837478311153e-05
cohort_E10-N28,cont,0,cont_50906,50906,cont,0.00024531423699914785
cohort_E10-N28,cont,0,cont_50907,50907,cont,0.0028482594035167163
cohort_E10-N28,cont,0,cont_50908,50908,cont,0.0004901206801855748
cohort_E10-N28,cont,0,cont_50910,50910,cont,0.0
cohort_E10-N28,cont,0,cont_50911,50911,cont,0.005960976393467419
cohort_E10-N28,cont,0,cont_50912,50912,cont,0.034275021414340544
cohort_E10-N28,cont,0,cont_50914,50914,cont,0.0
cohort_E10-N28,cont,0,cont_50915,50915,cont,0.0
cohort_E10-N28,cont,0,cont_50916,50916,cont,0.0
cohort_E10-N28,cont,0,cont_50917,50917,cont,0.0
cohort_E10-N28,cont,0,cont_50924,50924,cont,0.002671381485080557
cohort_E10-N28,cont,0,cont_50925,50925,cont,0.0008858436540087703
cohort_E10-N28,cont,0,cont_50927,50927,cont,1.0530010530010556e-05
cohort_E10-N28,cont,0,cont_50930,50930,cont,0.00019110582710178258
cohort_E10-N28,cont,0,cont_50931,50931,cont,0.0
cohort_E10-N28,cont,0,cont_50935,50935,cont,0.0015366167351094078
cohort_E10-N28,cont,0,cont_50945,50945,cont,0.0
cohort_E10-N28,cont,0,cont_50949,50949,cont,8.417508417508388e-06
cohort_E10-N28,cont,0,cont_50950,50950,cont,0.00042091028048848946
cohort_E10-N28,cont,0,cont_50951,50951,cont,0.0001334256694367497
cohort_E10-N28,cont,0,cont_50952,50952,cont,0.002917616619590329
cohort_E10-N28,cont,0,cont_50953,50953,cont,0.002993836624568482
cohort_E10-N28,cont,0,cont_50954,50954,cont,0.006704361584433124
cohort_E10-N28,cont,0,cont_50956,50956,cont,0.019476587731069795
cohort_E10-N28,cont,0,cont_50957,50957,cont,0.00017670135012980617
cohort_E10-N28,cont,0,cont_50960,50960,cont,0.021128663636974347
cohort_E10-N28,cont,0,cont_50964,50964,cont,0.001105627361535273
cohort_E10-N28,cont,0,cont_50965,50965,cont,0.000625748050177962
cohort_E10-N28,cont,0,cont_50966,50966,cont,0.0
cohort_E10-N28,cont,0,cont_50967,50967,cont,0.0
cohort_E10-N28,cont,0,cont_50968,50968,cont,0.0
cohort_E10-N28,cont,0,cont_50969,50969,cont,0.0
cohort_E10-N28,cont,0,cont_50970,50970,cont,0.022480127496632786
cohort_E10-N28,cont,0,cont_50971,50971,cont,0.023361400617898088
cohort_E10-N28,cont,0,cont_50976,50976,cont,0.0008296831222838792
cohort_E10-N28,cont,0,cont_50978,50978,cont,0.0
cohort_E10-N28,cont,0,cont_50981,50981,cont,0.0
cohort_E10-N28,cont,0,cont_50982,50982,cont,0.0
cohort_E10-N28,cont,0,cont_50983,50983,cont,0.020608407580897853
cohort_E10-N28,cont,0,cont_50986,50986,cont,0.0
cohort_E10-N28,cont,0,cont_50988,50988,cont,0.0
cohort_E10-N28,cont,0,cont_50989,50989,cont,0.0
cohort_E10-N28,cont,0,cont_50990,50990,cont,0.0
cohort_E10-N28,cont,0,cont_50992,50992,cont,0.0
