cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_E11-G96,bin,balanced_rf,gender,statistical_parity,selection_rate,0.03625678870315063,0.8836750080143875,M,F,2,2
cohort_E11-G96,bin,balanced_rf,gender,predictive_parity,ppv,0.001982659321322942,0.5575365281247634,M,F,2,2
cohort_E11-G96,bin,balanced_rf,gender,equal_opportunity,tpr,0.05797101449275366,0.8518518518518517,M,F,2,2
cohort_E11-G96,bin,balanced_rf,gender,predictive_equality,fpr,0.0360913740802597,0.8840996684324344,M,F,2,2
cohort_E11-G96,bin,balanced_rf,gender,equalised_odds,tpr,0.05797101449275366,0.8518518518518517,M,F,2,2
cohort_E11-G96,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.028361630610823085,0.9052732814588812,65-79,40-64,2,2
cohort_E11-G96,bin,balanced_rf,age_band,predictive_parity,ppv,0.0019176040845707383,0.593871640194071,65-79,40-64,2,2
cohort_E11-G96,bin,balanced_rf,age_band,equal_opportunity,tpr,0.16515151515151516,0.6175438596491228,65-79,40-64,2,2
cohort_E11-G96,bin,balanced_rf,age_band,predictive_equality,fpr,0.027914201499901703,0.9066320491154349,65-79,40-64,2,2
cohort_E11-G96,bin,balanced_rf,age_band,equalised_odds,tpr,0.16515151515151516,0.6175438596491228,65-79,40-64,2,2
cohort_E11-G96,cont,balanced_rf,gender,statistical_parity,selection_rate,0.0481884346661802,0.7601187539676592,M,F,2,2
cohort_E11-G96,cont,balanced_rf,gender,predictive_parity,ppv,0.0018375729795597894,0.47139150621330056,M,F,2,2
cohort_E11-G96,cont,balanced_rf,gender,equal_opportunity,tpr,0.07444005270092227,0.6195286195286195,M,F,2,2
cohort_E11-G96,cont,balanced_rf,gender,predictive_equality,fpr,0.04814204996137375,0.7603720133317978,M,F,2,2
cohort_E11-G96,cont,balanced_rf,gender,equalised_odds,tpr,0.07444005270092227,0.6195286195286195,M,F,2,2
cohort_E11-G96,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.04017243582783672,0.7876012834279601,65-79,40-64,2,2
cohort_E11-G96,cont,balanced_rf,age_band,predictive_parity,ppv,0.0009894988679972384,0.7205215419501133,65-79,40-64,2,2
cohort_E11-G96,cont,balanced_rf,age_band,equal_opportunity,tpr,0.07121212121212123,0.6518518518518518,65-79,40-64,2,2
cohort_E11-G96,cont,balanced_rf,age_band,predictive_equality,fpr,0.040077148074780244,0.7880483712555246,65-79,40-64,2,2
cohort_E11-G96,cont,balanced_rf,age_band,equalised_odds,tpr,0.07121212121212123,0.6518518518518518,65-79,40-64,2,2
cohort_E11-G96,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04435455938595559,0.7773114291522417,M,F,2,2
cohort_E11-G96,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.003058555952985248,0.3457239057239057,M,F,2,2
cohort_E11-G96,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.13965744400527008,0.4646464646464647,M,F,2,2
cohort_E11-G96,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.044064052115087765,0.7785242437330891,M,F,2,2
cohort_E11-G96,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.13965744400527008,0.4646464646464647,M,F,2,2
cohort_E11-G96,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.039222407326981706,0.7926242507967608,65-79,40-64,2,2
cohort_E11-G96,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.001792447091648643,0.5857817720935591,65-79,40-64,2,2
cohort_E11-G96,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.11666666666666667,0.5333333333333333,65-79,40-64,2,2
cohort_E11-G96,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.0389751058743418,0.7937137422786713,65-79,40-64,2,2
cohort_E11-G96,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.11666666666666667,0.5333333333333333,65-79,40-64,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04549376615463421,0.7742303973042257,M,F,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.003048672223424783,0.2082598235765838,M,F,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.15678524374176547,0.2787878787878788,M,F,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.04523950899100479,0.7754287690519971,M,F,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.15678524374176547,0.2787878787878788,M,F,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03807102085086361,0.800205185382426,65-79,40-64,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.0012546208950212935,0.5983644859813084,65-79,40-64,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.08181818181818182,0.55,65-79,40-64,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.037949704225505976,0.8008718222464246,65-79,40-64,2,2
cohort_E11-G96,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.08181818181818182,0.55,65-79,40-64,2,2
cohort_E11-G96,disc,balanced_rf,gender,statistical_parity,selection_rate,0.05079095046154214,0.7755165399354064,M,F,2,2
cohort_E11-G96,disc,balanced_rf,gender,predictive_parity,ppv,0.00268920138201184,0.34652406417112297,M,F,2,2
cohort_E11-G96,disc,balanced_rf,gender,equal_opportunity,tpr,0.13965744400527008,0.4646464646464647,M,F,2,2
cohort_E11-G96,disc,balanced_rf,gender,predictive_equality,fpr,0.050554739948067945,0.776438026717256,M,F,2,2
cohort_E11-G96,disc,balanced_rf,gender,equalised_odds,tpr,0.13965744400527008,0.4646464646464647,M,F,2,2
cohort_E11-G96,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.041074920491662364,0.8083835711878021,65-79,40-64,2,2
cohort_E11-G96,disc,balanced_rf,age_band,predictive_parity,ppv,0.0012780345518429883,0.6317982456140351,65-79,40-64,2,2
cohort_E11-G96,disc,balanced_rf,age_band,equal_opportunity,tpr,0.09393939393939393,0.5866666666666667,65-79,40-64,2,2
cohort_E11-G96,disc,balanced_rf,age_band,predictive_equality,fpr,0.0409183165342403,0.8090763607479334,65-79,40-64,2,2
cohort_E11-G96,disc,balanced_rf,age_band,equalised_odds,tpr,0.09393939393939393,0.5866666666666667,65-79,40-64,2,2
cohort_E11-G96,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.047086960711976156,0.7970378763692479,M,F,2,2
cohort_E11-G96,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.002318056127551921,0.4668470906630582,M,F,2,2
cohort_E11-G96,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.10079051383399207,0.6433566433566434,M,F,2,2
cohort_E11-G96,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.046899276709433,0.7976887767878608,M,F,2,2
cohort_E11-G96,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.10079051383399207,0.6433566433566434,M,F,2,2
cohort_E11-G96,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03870824681288057,0.8241842388762708,65-79,40-64,2,2
cohort_E11-G96,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.0014376230826531533,0.6455061082024433,65-79,40-64,2,2
cohort_E11-G96,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.10606060606060605,0.6111111111111112,65-79,40-64,2,2
cohort_E11-G96,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.038493328687485895,0.8250231994918354,65-79,40-64,2,2
cohort_E11-G96,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.10606060606060605,0.6111111111111112,65-79,40-64,2,2
cohort_E11-G96,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.04934678450410093,0.7806204350849076,M,F,2,2
cohort_E11-G96,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.0027143494931424214,0.3442584016150101,M,F,2,2
cohort_E11-G96,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.13965744400527008,0.4646464646464647,M,F,2,2
cohort_E11-G96,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.049105590336306876,0.7815677204368365,M,F,2,2
cohort_E11-G96,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.13965744400527008,0.4646464646464647,M,F,2,2
cohort_E11-G96,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.04480525263972207,0.7915601954039929,65-79,40-64,2,2
cohort_E11-G96,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.0012280161625016742,0.6452261306532663,65-79,40-64,2,2
cohort_E11-G96,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.09393939393939393,0.5866666666666667,65-79,40-64,2,2
cohort_E11-G96,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.04465956460428669,0.7921988442379213,65-79,40-64,2,2
cohort_E11-G96,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.09393939393939393,0.5866666666666667,65-79,40-64,2,2
