cohort,feature_set,fold,feature,itemid,representation,importance
cohort_E11-G96,cont,0,cont_50803,50803,cont,0.0014843664769170041
cohort_E11-G96,cont,0,cont_50804,50804,cont,0.0068884869507930815
cohort_E11-G96,cont,0,cont_50805,50805,cont,0.0
cohort_E11-G96,cont,0,cont_50806,50806,cont,0.003450102888765864
cohort_E11-G96,cont,0,cont_50808,50808,cont,0.0025964260179773125
cohort_E11-G96,cont,0,cont_50809,50809,cont,0.0050886089717576835
cohort_E11-G96,cont,0,cont_50811,50811,cont,0.0032539421341024797
cohort_E11-G96,cont,0,cont_50813,50813,cont,0.007443923712269096
cohort_E11-G96,cont,0,cont_50814,50814,cont,0.0
cohort_E11-G96,cont,0,cont_50818,50818,cont,0.005805433388786376
cohort_E11-G96,cont,0,cont_50820,50820,cont,0.0075767036542144246
cohort_E11-G96,cont,0,cont_50821,50821,cont,0.004310726821209036
cohort_E11-G96,cont,0,cont_50822,50822,cont,0.004126335093535428
cohort_E11-G96,cont,0,cont_50824,50824,cont,0.0031261468883213924
cohort_E11-G96,cont,0,cont_50853,50853,cont,0.0003176696306789887
cohort_E11-G96,cont,0,cont_50856,50856,cont,0.0
cohort_E11-G96,cont,0,cont_50861,50861,cont,0.015234490414125184
cohort_E11-G96,cont,0,cont_50862,50862,cont,0.015193644343171568
cohort_E11-G96,cont,0,cont_50863,50863,cont,0.01888870749678778
cohort_E11-G96,cont,0,cont_50866,50866,cont,0.0001918332794345451
cohort_E11-G96,cont,0,cont_50867,50867,cont,0.00021513577159398717
cohort_E11-G96,cont,0,cont_50868,50868,cont,0.024003050585086828
cohort_E11-G96,cont,0,cont_50877,50877,cont,0.0
cohort_E11-G96,cont,0,cont_50878,50878,cont,0.018815283902710835
cohort_E11-G96,cont,0,cont_50881,50881,cont,0.00011178180192264701
cohort_E11-G96,cont,0,cont_50882,50882,cont,0.02264725101558782
cohort_E11-G96,cont,0,cont_50883,50883,cont,0.0006760746200989188
cohort_E11-G96,cont,0,cont_50885,50885,cont,0.012595966455005499
cohort_E11-G96,cont,0,cont_50889,50889,cont,0.0012123921389811403
cohort_E11-G96,cont,0,cont_50890,50890,cont,3.346405228758172e-05
cohort_E11-G96,cont,0,cont_50891,50891,cont,0.0
cohort_E11-G96,cont,0,cont_50893,50893,cont,0.02360136087975
cohort_E11-G96,cont,0,cont_50894,50894,cont,0.0
cohort_E11-G96,cont,0,cont_50895,50895,cont,0.0
cohort_E11-G96,cont,0,cont_50896,50896,cont,0.0
cohort_E11-G96,cont,0,cont_50899,50899,cont,0.0
cohort_E11-G96,cont,0,cont_50902,50902,cont,0.02901839277055633
cohort_E11-G96,cont,0,cont_50904,50904,cont,0.0017480228518147812
cohort_E11-G96,cont,0,cont_50905,50905,cont,0.0
cohort_E11-G96,cont,0,cont_50906,50906,cont,0.0001284301987479904
cohort_E11-G96,cont,0,cont_50907,50907,cont,0.0024952623091098157
