cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_E11-I50,bin,balanced_rf,gender,statistical_parity,selection_rate,0.0038711517233499526,0.9872317868584203,F,M,2,2
cohort_E11-I50,bin,balanced_rf,gender,predictive_parity,ppv,0.007253407253407229,0.9673596673596675,F,M,2,2
cohort_E11-I50,bin,balanced_rf,gender,equal_opportunity,tpr,0.03306506319276592,0.9110817895221565,F,M,2,2
cohort_E11-I50,bin,balanced_rf,gender,predictive_equality,fpr,0.0020688125160794324,0.9928676373584953,M,F,2,2
cohort_E11-I50,bin,balanced_rf,gender,equalised_odds,tpr,0.03306506319276592,0.9110817895221565,F,M,2,2
cohort_E11-I50,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.16791916876386015,0.5570636099535972,18-39,80+,4,4
cohort_E11-I50,bin,balanced_rf,age_band,predictive_parity,ppv,0.1955494693598083,0.40012602394454944,18-39,80+,4,4
cohort_E11-I50,bin,balanced_rf,age_band,equal_opportunity,tpr,0.16333154865479854,0.6196820944366527,18-39,80+,4,4
cohort_E11-I50,bin,balanced_rf,age_band,predictive_equality,fpr,0.15391771678678073,0.5709723454985294,18-39,80+,4,4
cohort_E11-I50,bin,balanced_rf,age_band,equalised_odds,tpr,0.16333154865479854,0.6196820944366527,18-39,80+,4,4
cohort_E11-I50,cont,balanced_rf,gender,statistical_parity,selection_rate,0.04738833863858771,0.7682168592565861,F,M,2,2
cohort_E11-I50,cont,balanced_rf,gender,predictive_parity,ppv,0.018614766818453754,0.9459957799427847,M,F,2,2
cohort_E11-I50,cont,balanced_rf,gender,equal_opportunity,tpr,0.08289188771877443,0.7747202262453339,F,M,2,2
cohort_E11-I50,cont,balanced_rf,gender,predictive_equality,fpr,0.041217947527976584,0.7550528140297779,F,M,2,2
cohort_E11-I50,cont,balanced_rf,gender,equalised_odds,tpr,0.08289188771877443,0.7747202262453339,F,M,2,2
cohort_E11-I50,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.19534447960531234,0.3197463548047855,18-39,80+,4,4
cohort_E11-I50,cont,balanced_rf,age_band,predictive_parity,ppv,0.058080455970433376,0.8430522510012447,40-64,80+,4,4
cohort_E11-I50,cont,balanced_rf,age_band,equal_opportunity,tpr,0.08119439704086145,0.7801365203724988,40-64,80+,4,4
cohort_E11-I50,cont,balanced_rf,age_band,predictive_equality,fpr,0.18880465034239147,0.25662063413045216,18-39,80+,4,4
cohort_E11-I50,cont,balanced_rf,age_band,equalised_odds,fpr,0.18880465034239147,0.25662063413045216,18-39,80+,4,4
cohort_E11-I50,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.044989627133944526,0.7722875247214328,F,M,2,2
cohort_E11-I50,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.011518649102188527,0.9658892178761277,M,F,2,2
cohort_E11-I50,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.08436971518433878,0.7627846783435625,F,M,2,2
cohort_E11-I50,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.03783922684763752,0.7672715029598951,F,M,2,2
cohort_E11-I50,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.08436971518433878,0.7627846783435625,F,M,2,2
cohort_E11-I50,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.182204669473999,0.32479464298905253,18-39,80+,4,4
cohort_E11-I50,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.07327594895881634,0.8028528039917561,40-64,80+,4,4
cohort_E11-I50,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.08051670965479496,0.7725536849219318,40-64,65-79,4,4
cohort_E11-I50,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.176602808749362,0.2581438350775041,18-39,80+,4,4
cohort_E11-I50,cont_bin,balanced_rf,age_band,equalised_odds,fpr,0.176602808749362,0.2581438350775041,18-39,80+,4,4
cohort_E11-I50,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04979366007153202,0.7612946994146004,F,M,2,2
cohort_E11-I50,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.010457175521224493,0.9684554232503961,M,F,2,2
cohort_E11-I50,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.09243062553191178,0.7499346671787704,F,M,2,2
cohort_E11-I50,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.04191831401223062,0.7576522617035752,F,M,2,2
cohort_E11-I50,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.09243062553191178,0.7499346671787704,F,M,2,2
cohort_E11-I50,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.1906954376697481,0.33868559400242637,18-39,80+,4,4
cohort_E11-I50,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.06476099802028079,0.8252538433307507,40-64,80+,4,4
cohort_E11-I50,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.07978961471715224,0.7851475179124727,40-64,80+,4,4
cohort_E11-I50,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.1812629850415443,0.2886620356757817,18-39,80+,4,4
cohort_E11-I50,cont_disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.1812629850415443,0.2886620356757817,18-39,80+,4,4
cohort_E11-I50,disc,balanced_rf,gender,statistical_parity,selection_rate,0.038865182328577025,0.8291003882037439,F,M,2,2
cohort_E11-I50,disc,balanced_rf,gender,predictive_parity,ppv,0.011143605463749207,0.9627219864843628,F,M,2,2
cohort_E11-I50,disc,balanced_rf,gender,equal_opportunity,tpr,0.08949509452022014,0.7614795918367347,F,M,2,2
cohort_E11-I50,disc,balanced_rf,gender,predictive_equality,fpr,0.028941660789153473,0.8513618004902233,F,M,2,2
cohort_E11-I50,disc,balanced_rf,gender,equalised_odds,tpr,0.08949509452022014,0.7614795918367347,F,M,2,2
cohort_E11-I50,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.19990481648518676,0.35358963781334396,18-39,80+,4,4
cohort_E11-I50,disc,balanced_rf,age_band,predictive_parity,ppv,0.09742403253853635,0.7148833398024755,18-39,80+,4,4
cohort_E11-I50,disc,balanced_rf,age_band,equal_opportunity,tpr,0.10915540088341591,0.7027519591762347,18-39,80+,4,4
cohort_E11-I50,disc,balanced_rf,age_band,predictive_equality,fpr,0.1936552609027521,0.3224905388358263,18-39,80+,4,4
cohort_E11-I50,disc,balanced_rf,age_band,equalised_odds,fpr,0.1936552609027521,0.3224905388358263,18-39,80+,4,4
cohort_E11-I50,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.03537904319084531,0.8421832843224252,F,M,2,2
cohort_E11-I50,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.017883660273816104,0.9398631393523877,F,M,2,2
cohort_E11-I50,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.09010027566110734,0.7551295998345322,F,M,2,2
cohort_E11-I50,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.02444337491989479,0.8729321280657493,F,M,2,2
cohort_E11-I50,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.09010027566110734,0.7551295998345322,F,M,2,2
cohort_E11-I50,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.19919716941170612,0.3680771614306672,18-39,80+,4,4
cohort_E11-I50,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.09743568781338563,0.7026240279452739,18-39,80+,4,4
cohort_E11-I50,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.10085664569669389,0.719000559388402,18-39,80+,4,4
cohort_E11-I50,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.19794159287338772,0.334804731555066,18-39,80+,4,4
cohort_E11-I50,disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.19794159287338772,0.334804731555066,18-39,80+,4,4
cohort_E11-I50,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.03911270840553105,0.8255283742830891,F,M,2,2
cohort_E11-I50,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.009563630890096875,0.9679863956911561,F,M,2,2
cohort_E11-I50,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.087843469568609,0.7623449335387028,F,M,2,2
cohort_E11-I50,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.029603533500572432,0.8458101672113042,F,M,2,2
cohort_E11-I50,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.087843469568609,0.7623449335387028,F,M,2,2
cohort_E11-I50,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.18510652081827922,0.38359160562501454,18-39,80+,4,4
cohort_E11-I50,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.057957189597838965,0.8275001990076154,40-64,80+,4,4
cohort_E11-I50,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.05041518775488352,0.8569511153681033,40-64,65-79,4,4
cohort_E11-I50,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.18871879882804876,0.32592357185071197,18-39,80+,4,4
cohort_E11-I50,disc_imp,balanced_rf,age_band,equalised_odds,fpr,0.18871879882804876,0.32592357185071197,18-39,80+,4,4
