cohort,feature_set,fold,feature,itemid,representation,importance
cohort_E11-I50,cont,0,cont_50803,50803,cont,0.0006770691858916254
cohort_E11-I50,cont,0,cont_50804,50804,cont,0.006570007844341518
cohort_E11-I50,cont,0,cont_50805,50805,cont,8.304147056043578e-05
cohort_E11-I50,cont,0,cont_50806,50806,cont,0.002505121264129536
cohort_E11-I50,cont,0,cont_50808,50808,cont,0.003449830421712829
cohort_E11-I50,cont,0,cont_50809,50809,cont,0.003024871178687447
cohort_E11-I50,cont,0,cont_50811,50811,cont,0.002818949963162788
cohort_E11-I50,cont,0,cont_50813,50813,cont,0.008551449544701998
cohort_E11-I50,cont,0,cont_50814,50814,cont,0.0001114843236201904
cohort_E11-I50,cont,0,cont_50818,50818,cont,0.006473189904295705
cohort_E11-I50,cont,0,cont_50820,50820,cont,0.006576635960202964
cohort_E11-I50,cont,0,cont_50821,50821,cont,0.0052903702052519265
cohort_E11-I50,cont,0,cont_50822,50822,cont,0.004531186174848227
cohort_E11-I50,cont,0,cont_50824,50824,cont,0.002906489281465359
cohort_E11-I50,cont,0,cont_50853,50853,cont,0.0007564997037328061
cohort_E11-I50,cont,0,cont_50856,50856,cont,0.0001089405363789097
cohort_E11-I50,cont,0,cont_50861,50861,cont,0.016849124197784532
cohort_E11-I50,cont,0,cont_50862,50862,cont,0.012255239348010979
cohort_E11-I50,cont,0,cont_50863,50863,cont,0.01574277876128726
cohort_E11-I50,cont,0,cont_50866,50866,cont,0.00022844813243500523
cohort_E11-I50,cont,0,cont_50867,50867,cont,0.001593128959156235
cohort_E11-I50,cont,0,cont_50868,50868,cont,0.029912132213312233
cohort_E11-I50,cont,0,cont_50877,50877,cont,2.7768328547387294e-06
cohort_E11-I50,cont,0,cont_50878,50878,cont,0.0156234734986469
cohort_E11-I50,cont,0,cont_50881,50881,cont,0.0001035521758603025
cohort_E11-I50,cont,0,cont_50882,50882,cont,0.0238502856030497
cohort_E11-I50,cont,0,cont_50883,50883,cont,0.0014870993563919767
cohort_E11-I50,cont,0,cont_50885,50885,cont,0.014761489001441797
cohort_E11-I50,cont,0,cont_50889,50889,cont,0.0033565191666745835
cohort_E11-I50,cont,0,cont_50890,50890,cont,0.0003915475652504777
cohort_E11-I50,cont,0,cont_50891,50891,cont,0.00043474941371959434
cohort_E11-I50,cont,0,cont_50893,50893,cont,0.024865900283094895
cohort_E11-I50,cont,0,cont_50894,50894,cont,2.26992175705687e-05
cohort_E11-I50,cont,0,cont_50895,50895,cont,1.1829304883392922e-05
cohort_E11-I50,cont,0,cont_50896,50896,cont,9.905475847200997e-06
cohort_E11-I50,cont,0,cont_50899,50899,cont,9.512279840188163e-06
cohort_E11-I50,cont,0,cont_50902,50902,cont,0.022848086212914325
cohort_E11-I50,cont,0,cont_50904,50904,cont,0.0036817901752404683
cohort_E11-I50,cont,0,cont_50905,50905,cont,0.0005333547712557533
cohort_E11-I50,cont,0,cont_50906,50906,cont,0.00014824096968304602
cohort_E11-I50,cont,0,cont_50907,50907,cont,0.0034798594211009823
cohort_E11-I50,cont,0,cont_50908,50908,cont,0.0007384885482415106
cohort_E11-I50,cont,0,cont_50910,50910,cont,0.0
cohort_E11-I50,cont,0,cont_50911,50911,cont,0.009557193583007804
cohort_E11-I50,cont,0,cont_50912,50912,cont,0.041445662829728905
cohort_E11-I50,cont,0,cont_50914,50914,cont,0.0
cohort_E11-I50,cont,0,cont_50915,50915,cont,0.0
cohort_E11-I50,cont,0,cont_50916,50916,cont,2.8810930934845118e-05
cohort_E11-I50,cont,0,cont_50917,50917,cont,0.0002651873096265212
cohort_E11-I50,cont,0,cont_50924,50924,cont,0.003991391796687619
cohort_E11-I50,cont,0,cont_50925,50925,cont,0.0011752814780033064
cohort_E11-I50,cont,0,cont_50927,50927,cont,0.0005509309318310505
cohort_E11-I50,cont,0,cont_50930,50930,cont,0.0008917635692862019
cohort_E11-I50,cont,0,cont_50931,50931,cont,2.8647922244330326e-07
cohort_E11-I50,cont,0,cont_50935,50935,cont,0.002091448686453792
cohort_E11-I50,cont,0,cont_50945,50945,cont,0.0
cohort_E11-I50,cont,0,cont_50949,50949,cont,0.001064659315521548
cohort_E11-I50,cont,0,cont_50950,50950,cont,0.0011854713393561571
cohort_E11-I50,cont,0,cont_50951,50951,cont,0.0007441831391041399
cohort_E11-I50,cont,0,cont_50952,50952,cont,0.0037109197004687
cohort_E11-I50,cont,0,cont_50953,50953,cont,0.003721380154021553
cohort_E11-I50,cont,0,cont_50954,50954,cont,0.011207424107619266
cohort_E11-I50,cont,0,cont_50956,50956,cont,0.005446868791769843
cohort_E11-I50,cont,0,cont_50957,50957,cont,5.533046582608879e-05
cohort_E11-I50,cont,0,cont_50960,50960,cont,0.02428969963484339
cohort_E11-I50,cont,0,cont_50964,50964,cont,0.0019322056640002153
cohort_E11-I50,cont,0,cont_50965,50965,cont,0.0009059654281648142
cohort_E11-I50,cont,0,cont_50966,50966,cont,6.034222934358648e-06
cohort_E11-I50,cont,0,cont_50967,50967,cont,0.00013092240645574125
cohort_E11-I50,cont,0,cont_50968,50968,cont,0.0
cohort_E11-I50,cont,0,cont_50969,50969,cont,6.351288202117232e-06
cohort_E11-I50,cont,0,cont_50970,50970,cont,0.02616377339241974
cohort_E11-I50,cont,0,cont_50971,50971,cont,0.02675340608624313
cohort_E11-I50,cont,0,cont_50976,50976,cont,0.001893937893986053
cohort_E11-I50,cont,0,cont_50978,50978,cont,0.0
cohort_E11-I50,cont,0,cont_50981,50981,cont,4.6846778436804694e-06
cohort_E11-I50,cont,0,cont_50982,50982,cont,3.944241870354228e-05
cohort_E11-I50,cont,0,cont_50983,50983,cont,0.023130198272459632
cohort_E11-I50,cont,0,cont_50986,50986,cont,2.6744984639302997e-06
cohort_E11-I50,cont,0,cont_50988,50988,cont,2.0104339163252563e-05
cohort_E11-I50,cont,0,cont_50989,50989,cont,0.0
cohort_E11-I50,cont,0,cont_50990,50990,cont,0.0
cohort_E11-I50,cont,0,cont_50992,50992,cont,4.664352611631523e-05
cohort_E11-I50,cont,0,cont_50993,50993,cont,0.0062622975628517175
cohort_E11-I50,cont,0,cont_50994,50994,cont,0.0006791264625010212
cohort_E11-I50,cont,0,cont_50995,50995,cont,0.0010579808102419979
cohort_E11-I50,cont,0,cont_50997,50997,cont,2.595018661642925e-05
cohort_E11-I50,cont,0,cont_50998,50998,cont,0.0038936291516484104
cohort_E11-I50,cont,0,cont_51000,51000,cont,0.003943617234024627
cohort_E11-I50,cont,0,cont_51001,51001,cont,0.00024768208548412595
cohort_E11-I50,cont,0,cont_51005,51005,cont,1.6189304925260243e-05
cohort_E11-I50,cont,0,cont_51006,51006,cont,0.045660728261434975
cohort_E11-I50,cont,0,cont_51007,51007,cont,0.0026828974070295403
cohort_E11-I50,cont,0,cont_51008,51008,cont,0.0003813374596690517
cohort_E11-I50,cont,0,cont_51009,51009,cont,0.007026440644211539
cohort_E11-I50,cont,0,cont_51010,51010,cont,0.0028357210327372155
cohort_E11-I50,cont,0,cont_51070,51070,cont,0.0005581368509008913
cohort_E11-I50,cont,0,cont_51080,51080,cont,0.0
cohort_E11-I50,cont,0,cont_51099,51099,cont,0.002001787609530088
cohort_E11-I50,cont,0,cont_51110,51110,cont,4.5486069744697584e-05
cohort_E11-I50,cont,0,cont_51111,51111,cont,2.898585765217803e-05
cohort_E11-I50,cont,0,cont_51114,51114,cont,0.00013094322649482147
cohort_E11-I50,cont,0,cont_51116,51116,cont,0.0013718343229914313
cohort_E11-I50,cont,0,cont_51117,51117,cont,0.0008376759333711181
cohort_E11-I50,cont,0,cont_51118,51118,cont,0.0006655922492831324
cohort_E11-I50,cont,0,cont_51120,51120,cont,0.0008640304075211387
cohort_E11-I50,cont,0,cont_51124,51124,cont,0.00011809955152863291
cohort_E11-I50,cont,0,cont_51125,51125,cont,0.0009691970412018026
cohort_E11-I50,cont,0,cont_51127,51127,cont,0.0010018215421215418
cohort_E11-I50,cont,0,cont_51130,51130,cont,6.734045576412439e-05
cohort_E11-I50,cont,0,cont_51131,51131,cont,7.276566727032768e-05
cohort_E11-I50,cont,0,cont_51132,51132,cont,8.446331888785011e-05
cohort_E11-I50,cont,0,cont_51133,51133,cont,0.010715995874027717
cohort_E11-I50,cont,0,cont_51138,51138,cont,0.0
cohort_E11-I50,cont,0,cont_51139,51139,cont,0.0
cohort_E11-I50,cont,0,cont_51140,51140,cont,1.0619825340143855e-05
cohort_E11-I50,cont,0,cont_51143,51143,cont,0.0016248740381830048
cohort_E11-I50,cont,0,cont_51144,51144,cont,0.002666946624959707
cohort_E11-I50,cont,0,cont_51146,51146,cont,0.008534456516970533
