cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_E11-L30,bin,balanced_rf,gender,statistical_parity,selection_rate,0.015605837152280894,0.9285743021683187,M,F,2,2
cohort_E11-L30,bin,balanced_rf,gender,predictive_parity,ppv,0.001864302780789022,0.9113854791131412,M,F,2,2
cohort_E11-L30,bin,balanced_rf,gender,equal_opportunity,tpr,0.015504516413306912,0.93631221719457,F,M,2,2
cohort_E11-L30,bin,balanced_rf,gender,predictive_equality,fpr,0.016069998274071046,0.9263843683916385,M,F,2,2
cohort_E11-L30,bin,balanced_rf,gender,equalised_odds,fpr,0.016069998274071046,0.9263843683916385,M,F,2,2
cohort_E11-L30,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03965073890451176,0.8164727643429917,18-39,65-79,4,4
cohort_E11-L30,bin,balanced_rf,age_band,predictive_parity,ppv,0.021963242236701073,0.24099121014563266,80+,40-64,4,4
cohort_E11-L30,bin,balanced_rf,age_band,equal_opportunity,tpr,0.1,0.6,18-39,40-64,4,4
cohort_E11-L30,bin,balanced_rf,age_band,predictive_equality,fpr,0.03886110477645133,0.8200301278797505,18-39,65-79,4,4
cohort_E11-L30,bin,balanced_rf,age_band,equalised_odds,tpr,0.1,0.6,18-39,40-64,4,4
cohort_E11-L30,cont,balanced_rf,gender,statistical_parity,selection_rate,0.02781227940816803,0.601347476453379,M,F,2,2
cohort_E11-L30,cont,balanced_rf,gender,predictive_parity,ppv,0.0027196611490189412,0.9237407013815089,F,M,2,2
cohort_E11-L30,cont,balanced_rf,gender,equal_opportunity,tpr,0.02033762943379598,0.8215537030324997,M,F,2,2
cohort_E11-L30,cont,balanced_rf,gender,predictive_equality,fpr,0.02774171252208585,0.5971049750638608,M,F,2,2
cohort_E11-L30,cont,balanced_rf,gender,equalised_odds,fpr,0.02774171252208585,0.5971049750638608,M,F,2,2
cohort_E11-L30,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.02218745707178789,0.6866508255651008,65-79,18-39,4,4
cohort_E11-L30,cont,balanced_rf,age_band,predictive_parity,ppv,0.05558955528355773,0.09468438538205981,80+,18-39,4,4
cohort_E11-L30,cont,balanced_rf,age_band,equal_opportunity,tpr,0.12954545454545452,0.25974025974025977,80+,18-39,4,4
cohort_E11-L30,cont,balanced_rf,age_band,predictive_equality,fpr,0.0197672616532696,0.7099570019099695,65-79,18-39,4,4
cohort_E11-L30,cont,balanced_rf,age_band,equalised_odds,tpr,0.12954545454545452,0.25974025974025977,80+,18-39,4,4
cohort_E11-L30,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.023134312689185837,0.6574801212384868,M,F,2,2
cohort_E11-L30,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.013336548504205861,0.633491889254787,F,M,2,2
