cohort,feature_set,fold,feature,itemid,representation,importance
cohort_E11-L30,cont,0,cont_50803,50803,cont,0.0005369927455005313
cohort_E11-L30,cont,0,cont_50804,50804,cont,0.006365018632797777
cohort_E11-L30,cont,0,cont_50805,50805,cont,4.830929097449668e-05
cohort_E11-L30,cont,0,cont_50806,50806,cont,0.0020484866349283998
cohort_E11-L30,cont,0,cont_50808,50808,cont,0.00351401979823189
cohort_E11-L30,cont,0,cont_50809,50809,cont,0.003040517870534
cohort_E11-L30,cont,0,cont_50811,50811,cont,0.003097188135887807
cohort_E11-L30,cont,0,cont_50813,50813,cont,0.010610961164227349
cohort_E11-L30,cont,0,cont_50814,50814,cont,2.9327797396516793e-05
cohort_E11-L30,cont,0,cont_50818,50818,cont,0.006679090470529897
cohort_E11-L30,cont,0,cont_50820,50820,cont,0.006381260097693309
cohort_E11-L30,cont,0,cont_50821,50821,cont,0.006189841004562942
cohort_E11-L30,cont,0,cont_50822,50822,cont,0.004451753103342952
cohort_E11-L30,cont,0,cont_50824,50824,cont,0.002435807286936986
cohort_E11-L30,cont,0,cont_50853,50853,cont,0.0006957254923086228
cohort_E11-L30,cont,0,cont_50856,50856,cont,0.00015316955976613816
cohort_E11-L30,cont,0,cont_50861,50861,cont,0.01603938229112392
cohort_E11-L30,cont,0,cont_50862,50862,cont,0.012290357492813849
cohort_E11-L30,cont,0,cont_50863,50863,cont,0.01620420788100062
cohort_E11-L30,cont,0,cont_50866,50866,cont,0.00013378317820059325
cohort_E11-L30,cont,0,cont_50867,50867,cont,0.0014495779154894018
cohort_E11-L30,cont,0,cont_50868,50868,cont,0.022655213364276613
cohort_E11-L30,cont,0,cont_50877,50877,cont,0.0
cohort_E11-L30,cont,0,cont_50878,50878,cont,0.01589929417379985
cohort_E11-L30,cont,0,cont_50881,50881,cont,0.00013347041458898598
cohort_E11-L30,cont,0,cont_50882,50882,cont,0.02584830712091658
cohort_E11-L30,cont,0,cont_50883,50883,cont,0.0010769811127060453
cohort_E11-L30,cont,0,cont_50885,50885,cont,0.015108535885850679
cohort_E11-L30,cont,0,cont_50889,50889,cont,0.004012258491855696
cohort_E11-L30,cont,0,cont_50890,50890,cont,0.00022142214361474088
cohort_E11-L30,cont,0,cont_50891,50891,cont,0.00022846405090188804
cohort_E11-L30,cont,0,cont_50893,50893,cont,0.025632633646809243
cohort_E11-L30,cont,0,cont_50894,50894,cont,1.939362629280975e-05
cohort_E11-L30,cont,0,cont_50895,50895,cont,1.0288377159802703e-05
cohort_E11-L30,cont,0,cont_50896,50896,cont,1.9679304258225554e-05
cohort_E11-L30,cont,0,cont_50899,50899,cont,0.0
cohort_E11-L30,cont,0,cont_50902,50902,cont,0.022591399536338905
cohort_E11-L30,cont,0,cont_50904,50904,cont,0.002273107115481135
cohort_E11-L30,cont,0,cont_50905,50905,cont,8.191002242576365e-05
cohort_E11-L30,cont,0,cont_50906,50906,cont,0.00041589551185103785
cohort_E11-L30,cont,0,cont_50907,50907,cont,0.002993957999044914
cohort_E11-L30,cont,0,cont_50908,50908,cont,0.0005175452056359
cohort_E11-L30,cont,0,cont_50910,50910,cont,0.0
cohort_E11-L30,cont,0,cont_50911,50911,cont,0.009272144171106014
cohort_E11-L30,cont,0,cont_50912,50912,cont,0.025946371238714353
cohort_E11-L30,cont,0,cont_50914,50914,cont,0.0
cohort_E11-L30,cont,0,cont_50915,50915,cont,0.0
cohort_E11-L30,cont,0,cont_50916,50916,cont,1.0805757709782495e-05
cohort_E11-L30,cont,0,cont_50917,50917,cont,0.00037095156475512104
cohort_E11-L30,cont,0,cont_50924,50924,cont,0.004336345711348555
cohort_E11-L30,cont,0,cont_50925,50925,cont,0.0009758369821133997
cohort_E11-L30,cont,0,cont_50927,50927,cont,0.0007782343977352206
cohort_E11-L30,cont,0,cont_50930,50930,cont,0.0009451610281152225
cohort_E11-L30,cont,0,cont_50931,50931,cont,0.0
cohort_E11-L30,cont,0,cont_50935,50935,cont,0.0025982204105052397
cohort_E11-L30,cont,0,cont_50945,50945,cont,0.0
cohort_E11-L30,cont,0,cont_50949,50949,cont,0.0008922310618703336
cohort_E11-L30,cont,0,cont_50950,50950,cont,0.0016726372780834528
cohort_E11-L30,cont,0,cont_50951,50951,cont,0.0012141228161461788
cohort_E11-L30,cont,0,cont_50952,50952,cont,0.0049680863854489376
cohort_E11-L30,cont,0,cont_50953,50953,cont,0.0038752680643593
cohort_E11-L30,cont,0,cont_50954,50954,cont,0.012265917098068336
cohort_E11-L30,cont,0,cont_50956,50956,cont,0.00442907401814432
cohort_E11-L30,cont,0,cont_50957,50957,cont,6.705271051025144e-05
cohort_E11-L30,cont,0,cont_50960,50960,cont,0.020904873538801404
cohort_E11-L30,cont,0,cont_50964,50964,cont,0.0015627821538861284
cohort_E11-L30,cont,0,cont_50965,50965,cont,0.0005935248022541624
cohort_E11-L30,cont,0,cont_50966,50966,cont,4.9650811072130875e-06
cohort_E11-L30,cont,0,cont_50967,50967,cont,7.636286206687317e-05
cohort_E11-L30,cont,0,cont_50968,50968,cont,0.0
cohort_E11-L30,cont,0,cont_50969,50969,cont,0.0
cohort_E11-L30,cont,0,cont_50970,50970,cont,0.024639596932481113
cohort_E11-L30,cont,0,cont_50971,50971,cont,0.029346668607762163
cohort_E11-L30,cont,0,cont_50976,50976,cont,0.0017290303714753627
cohort_E11-L30,cont,0,cont_50978,50978,cont,0.0
cohort_E11-L30,cont,0,cont_50981,50981,cont,0.0
cohort_E11-L30,cont,0,cont_50982,50982,cont,0.0
cohort_E11-L30,cont,0,cont_50983,50983,cont,0.022994018620975897
cohort_E11-L30,cont,0,cont_50986,50986,cont,0.0
cohort_E11-L30,cont,0,cont_50988,50988,cont,5.680779450585026e-05
cohort_E11-L30,cont,0,cont_50989,50989,cont,0.0
cohort_E11-L30,cont,0,cont_50990,50990,cont,0.0
cohort_E11-L30,cont,0,cont_50992,50992,cont,4.8046884835096605e-05
cohort_E11-L30,cont,0,cont_50993,50993,cont,0.005731843723897714
cohort_E11-L30,cont,0,cont_50994,50994,cont,0.0008662294712247898
cohort_E11-L30,cont,0,cont_50995,50995,cont,0.0006702334874658534
cohort_E11-L30,cont,0,cont_50997,50997,cont,1.5945907401659353e-05
cohort_E11-L30,cont,0,cont_50998,50998,cont,0.004647595194382562
cohort_E11-L30,cont,0,cont_51000,51000,cont,0.004089433487208849
