cohort,feature_set,fold,feature,itemid,representation,importance
cohort_E16-E87,cont,0,cont_50803,50803,cont,0.00012832669357944426
cohort_E16-E87,cont,0,cont_50804,50804,cont,0.0050298469840697295
cohort_E16-E87,cont,0,cont_50805,50805,cont,0.0
cohort_E16-E87,cont,0,cont_50806,50806,cont,0.00170651692050712
cohort_E16-E87,cont,0,cont_50808,50808,cont,0.0026734511284765795
cohort_E16-E87,cont,0,cont_50809,50809,cont,0.0017447807969593599
cohort_E16-E87,cont,0,cont_50811,50811,cont,0.0007449757960651159
cohort_E16-E87,cont,0,cont_50813,50813,cont,0.005193737684457818
cohort_E16-E87,cont,0,cont_50814,50814,cont,0.0
cohort_E16-E87,cont,0,cont_50818,50818,cont,0.003895187483529523
cohort_E16-E87,cont,0,cont_50820,50820,cont,0.004548854764116755
cohort_E16-E87,cont,0,cont_50821,50821,cont,0.0023751369047398446
cohort_E16-E87,cont,0,cont_50822,50822,cont,0.002085091303656938
cohort_E16-E87,cont,0,cont_50824,50824,cont,0.001205310013643844
cohort_E16-E87,cont,0,cont_50853,50853,cont,0.0021393237332292853
cohort_E16-E87,cont,0,cont_50856,50856,cont,4.9773697966469064e-05
cohort_E16-E87,cont,0,cont_50861,50861,cont,0.016047822749133772
cohort_E16-E87,cont,0,cont_50862,50862,cont,0.013725315619167925
cohort_E16-E87,cont,0,cont_50863,50863,cont,0.020270878051539615
cohort_E16-E87,cont,0,cont_50866,50866,cont,0.0002173390287895585
cohort_E16-E87,cont,0,cont_50867,50867,cont,0.002897757036364159
cohort_E16-E87,cont,0,cont_50868,50868,cont,0.030138614151681082
cohort_E16-E87,cont,0,cont_50877,50877,cont,0.0
cohort_E16-E87,cont,0,cont_50878,50878,cont,0.017950630656930085
cohort_E16-E87,cont,0,cont_50881,50881,cont,0.0
cohort_E16-E87,cont,0,cont_50882,50882,cont,0.026699511497188477
cohort_E16-E87,cont,0,cont_50883,50883,cont,0.0016472317854385253
cohort_E16-E87,cont,0,cont_50885,50885,cont,0.014645993632315401
cohort_E16-E87,cont,0,cont_50889,50889,cont,0.0028314257976129603
cohort_E16-E87,cont,0,cont_50890,50890,cont,0.0009007886336456655
cohort_E16-E87,cont,0,cont_50891,50891,cont,0.00139937230464067
cohort_E16-E87,cont,0,cont_50893,50893,cont,0.022971546818448672
cohort_E16-E87,cont,0,cont_50894,50894,cont,0.0
cohort_E16-E87,cont,0,cont_50895,50895,cont,0.00016145836884839425
cohort_E16-E87,cont,0,cont_50896,50896,cont,5.307100689257274e-05
cohort_E16-E87,cont,0,cont_50899,50899,cont,0.0
cohort_E16-E87,cont,0,cont_50902,50902,cont,0.02564447053630455
cohort_E16-E87,cont,0,cont_50904,50904,cont,0.0014916333231559575
cohort_E16-E87,cont,0,cont_50905,50905,cont,0.0
cohort_E16-E87,cont,0,cont_50906,50906,cont,0.0
cohort_E16-E87,cont,0,cont_50907,50907,cont,0.0008115036147042609
cohort_E16-E87,cont,0,cont_50908,50908,cont,7.785531560488515e-05
cohort_E16-E87,cont,0,cont_50910,50910,cont,0.0
cohort_E16-E87,cont,0,cont_50911,50911,cont,0.0032026163433688045
cohort_E16-E87,cont,0,cont_50912,50912,cont,0.02093780154426261
cohort_E16-E87,cont,0,cont_50914,50914,cont,0.0
cohort_E16-E87,cont,0,cont_50915,50915,cont,0.0
cohort_E16-E87,cont,0,cont_50916,50916,cont,0.0
cohort_E16-E87,cont,0,cont_50917,50917,cont,0.0002539472448895694
