model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.5210956678204598,0.0231571752098477,0.5079026367979218,0.02806313879120883,0.5147513252056978,0.025803629589762983,0.5144417316407001,0.028202729009703335,0.5248249679550588,0.01853255915723882,0.5132636653342436,0.02068840233331293,0.5299896011022599,0.023208269538436774
rf,avg_prec,0.1769550959487754,0.01449153429371859,0.17456669015893128,0.015705380465781547,0.1764128266141882,0.016261484828271833,0.18337885655646846,0.01647026194719549,0.17754876131976402,0.013369743813518997,0.17693112108589099,0.012098927448926391,0.17784776585668693,0.01255230373201907
rf,f1,0.0,0.0,0.012504138101029797,0.009211344291270856,0.011383171911500524,0.005673941780081421,0.12355624127997436,0.018699473833133973,0.0,0.0,0.00908139835548968,0.006463691766243306,0.0,0.0
rf,mcc,-0.0020273789378833043,0.004533357121258392,0.01811653736751139,0.02290451639651985,0.011793724318563795,0.019946992150688098,0.01865961682919002,0.026145121706948674,-0.004051192330014506,0.005547327140720994,-0.00017881349919516356,0.023052716182645466,-0.0020273789378833043,0.004533357121258392
rf,balanced_acc,0.49993990384615383,0.00013437908518629116,0.5015857226212355,0.0022408713251806933,0.5009937327562864,0.0017404210094757392,0.5065789150241352,0.00934333189121388,0.49987984378609374,0.00016453068432407703,0.499930053615439,0.002105128494173255,0.49993990384615383,0.00013437908518629116
balanced_rf,auc_roc,0.553810373476559,0.01988732208373382,0.5312701538235798,0.02230090113296023,0.5349649120362735,0.024188463765812,0.5275674865671621,0.017296551941804215,0.5480921727849315,0.024499247629336897,0.5378172051052914,0.020898192193736113,0.5496569465814565,0.02541303314543769
balanced_rf,avg_prec,0.2039873506663133,0.016235346497398925,0.19397173221699174,0.02039519967291952,0.19758109664380882,0.02286623643367614,0.19312571241856047,0.011314777859886131,0.20041374309454096,0.02036942466757516,0.1980535152541513,0.021057050314497713,0.20248974794325178,0.023110437981945467
balanced_rf,f1,0.16736103827559484,0.026190418365855266,0.18159249920363724,0.023990588065424586,0.19340767233967374,0.02805500554781562,0.23358238008709648,0.0021754036940989344,0.1597680322942753,0.032424842437250335,0.20225715566530825,0.029166735225614814,0.16846947404591922,0.031187507915753348
balanced_rf,mcc,0.0481573331333122,0.0315616784964661,0.030414914185761734,0.03338646039761223,0.04240496475147709,0.034826465244559485,0.042783404666891185,0.009404827028531902,0.03954230857748936,0.040474458413599264,0.05049985435568578,0.03833960918882339,0.0438781217861767,0.038719559380660226
balanced_rf,balanced_acc,0.5192176195505949,0.012729720375196768,0.513909278776525,0.015511023559474476,0.5198433561861663,0.016460518298285085,0.5242146740606058,0.004746720643876799,0.515645747092612,0.01627891848820324,0.5237178076160018,0.018198411718431357,0.517776007648121,0.01628599241684981
catboost,auc_roc,0.5392533482807158,0.0225078792998924,0.5358880218056619,0.020970626347617934,0.535722614902652,0.019141459948803143,0.5343100071335838,0.02594184967977,0.5452008304313174,0.023388658877992033,0.5350092326277768,0.026995502130597777,0.5372606071185108,0.00849080490466275
catboost,avg_prec,0.19202927621448512,0.013879429412932753,0.19042928449632182,0.018812137837874342,0.1902653064893399,0.01276176637698578,0.1886673217958192,0.014626177519081246,0.19802618564247232,0.013836443119048738,0.19513394980608093,0.017135435062712753,0.19089073117412697,0.006433203621507167
catboost,f1,0.015649382228430868,0.014916462326197213,0.012506806913422857,0.007413800620449022,0.009123544084958562,0.006499940296774152,0.005730715648190855,0.005722513768150623,0.0112207338798332,0.008841078122429714,0.009101697701111872,0.008533205394843342,0.013531454800187642,0.006367719034032886
catboost,mcc,0.004949706809096771,0.036915737889784174,0.01401251709862555,0.029819511915267643,0.0057876245259274334,0.024412377038229103,0.0015526557090608996,0.020050599844719113,-0.0019371910678323916,0.019987273774247354,0.010878866392877719,0.024639999286417972,0.008761754308354673,0.01905657328286605
catboost,balanced_acc,0.5006629132463248,0.004327253289644734,0.5011048812028941,0.0025356170010778973,0.5004714105335077,0.0019497485295280725,0.5002569440922018,0.0013162908234122066,0.4999747638362032,0.0019500092724484333,0.5008311349852703,0.001953232101864254,0.5007956092290813,0.0018766979801368305
