cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_F10-F06,bin,balanced_rf,gender,statistical_parity,selection_rate,0.01643483714326424,0.9213710796150455,M,F,2,2
cohort_F10-F06,bin,balanced_rf,gender,predictive_parity,ppv,0.007992291069375605,0.35162538699690404,M,F,2,2
cohort_F10-F06,bin,balanced_rf,gender,equal_opportunity,tpr,0.1,0.625,M,F,2,2
cohort_F10-F06,bin,balanced_rf,gender,predictive_equality,fpr,0.01574195761133068,0.9244828086507928,M,F,2,2
cohort_F10-F06,bin,balanced_rf,gender,equalised_odds,tpr,0.1,0.625,M,F,2,2
cohort_F10-F06,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.0874906507361135,0.6543809045388991,18-39,65-79,3,3
cohort_F10-F06,bin,balanced_rf,age_band,predictive_parity,ppv,0.006740505134724324,0.4297532656023222,40-64,65-79,3,3
cohort_F10-F06,bin,balanced_rf,age_band,equal_opportunity,tpr,0.3056092843326886,0.3276595744680851,40-64,65-79,3,3
cohort_F10-F06,bin,balanced_rf,age_band,predictive_equality,fpr,0.08641672355578517,0.6568139686540589,18-39,65-79,3,3
cohort_F10-F06,bin,balanced_rf,age_band,equalised_odds,tpr,0.3056092843326886,0.3276595744680851,40-64,65-79,3,3
cohort_F10-F06,cont,balanced_rf,gender,statistical_parity,selection_rate,0.007815494960737038,0.9188390907923462,M,F,2,2
cohort_F10-F06,cont,balanced_rf,gender,predictive_parity,ppv,4.958126369119034e-05,0.9926421404682274,F,M,2,2
cohort_F10-F06,cont,balanced_rf,gender,equal_opportunity,tpr,0.052380952380952375,0.56,F,M,2,2
cohort_F10-F06,cont,balanced_rf,gender,predictive_equality,fpr,0.00825842433879756,0.9144961116437627,M,F,2,2
cohort_F10-F06,cont,balanced_rf,gender,equalised_odds,tpr,0.052380952380952375,0.56,F,M,2,2
cohort_F10-F06,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.018882892294201106,0.820719812365852,18-39,65-79,3,3
cohort_F10-F06,cont,balanced_rf,age_band,predictive_parity,ppv,0.003607534169208177,0.5497797356828195,18-39,40-64,3,3
cohort_F10-F06,cont,balanced_rf,age_band,equal_opportunity,tpr,0.03495440729483283,0.6714285714285714,18-39,40-64,3,3
cohort_F10-F06,cont,balanced_rf,age_band,predictive_equality,fpr,0.018897950146681677,0.8207394443229052,18-39,65-79,3,3
cohort_F10-F06,cont,balanced_rf,age_band,equalised_odds,tpr,0.03495440729483283,0.6714285714285714,18-39,40-64,3,3
cohort_F10-F06,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.015985310998739163,0.8419286921939965,M,F,2,2
cohort_F10-F06,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.0006333743688558225,0.9095541401273886,F,M,2,2
cohort_F10-F06,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.052380952380952375,0.56,F,M,2,2
cohort_F10-F06,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.01649217781727194,0.8374569013201564,M,F,2,2
