cohort,feature_set,fold,feature,itemid,representation,importance
cohort_F10-F06,cont,0,cont_50803,50803,cont,0.0
cohort_F10-F06,cont,0,cont_50804,50804,cont,0.0035167785103726924
cohort_F10-F06,cont,0,cont_50805,50805,cont,0.0
cohort_F10-F06,cont,0,cont_50806,50806,cont,0.00033141670187978147
cohort_F10-F06,cont,0,cont_50808,50808,cont,0.001074077184090666
cohort_F10-F06,cont,0,cont_50809,50809,cont,0.0008652880950596833
cohort_F10-F06,cont,0,cont_50811,50811,cont,0.0007786355383233991
cohort_F10-F06,cont,0,cont_50813,50813,cont,0.006927328281173963
cohort_F10-F06,cont,0,cont_50814,50814,cont,0.0
cohort_F10-F06,cont,0,cont_50818,50818,cont,0.004590967202266392
cohort_F10-F06,cont,0,cont_50820,50820,cont,0.0072441538179541945
cohort_F10-F06,cont,0,cont_50821,50821,cont,0.0031304730477534426
cohort_F10-F06,cont,0,cont_50822,50822,cont,0.003063092523566035
cohort_F10-F06,cont,0,cont_50824,50824,cont,0.0011684629422515057
cohort_F10-F06,cont,0,cont_50853,50853,cont,0.00024634787131539224
cohort_F10-F06,cont,0,cont_50856,50856,cont,0.0
cohort_F10-F06,cont,0,cont_50861,50861,cont,0.02224567087673283
cohort_F10-F06,cont,0,cont_50862,50862,cont,0.013902660034940954
cohort_F10-F06,cont,0,cont_50863,50863,cont,0.035838393361221584
cohort_F10-F06,cont,0,cont_50866,50866,cont,0.000198285199203074
cohort_F10-F06,cont,0,cont_50867,50867,cont,0.0001933001263645671
cohort_F10-F06,cont,0,cont_50868,50868,cont,0.019279462433026025
cohort_F10-F06,cont,0,cont_50877,50877,cont,0.0
cohort_F10-F06,cont,0,cont_50878,50878,cont,0.02137681384892099
cohort_F10-F06,cont,0,cont_50881,50881,cont,0.0
cohort_F10-F06,cont,0,cont_50882,50882,cont,0.02706101954529526
cohort_F10-F06,cont,0,cont_50883,50883,cont,0.001834331511218393
cohort_F10-F06,cont,0,cont_50885,50885,cont,0.013844100439202487
cohort_F10-F06,cont,0,cont_50889,50889,cont,0.00029673750732359404
cohort_F10-F06,cont,0,cont_50890,50890,cont,8.004238434828337e-06
cohort_F10-F06,cont,0,cont_50891,50891,cont,0.0001810687545998234
cohort_F10-F06,cont,0,cont_50893,50893,cont,0.02498659255476349
cohort_F10-F06,cont,0,cont_50894,50894,cont,0.0
cohort_F10-F06,cont,0,cont_50895,50895,cont,0.0
cohort_F10-F06,cont,0,cont_50896,50896,cont,0.0
cohort_F10-F06,cont,0,cont_50899,50899,cont,0.0
cohort_F10-F06,cont,0,cont_50902,50902,cont,0.017666862283000063
cohort_F10-F06,cont,0,cont_50904,50904,cont,0.003377475190853491
cohort_F10-F06,cont,0,cont_50905,50905,cont,0.0006478877971492048
cohort_F10-F06,cont,0,cont_50906,50906,cont,0.0
cohort_F10-F06,cont,0,cont_50907,50907,cont,0.0038019613798621066
cohort_F10-F06,cont,0,cont_50908,50908,cont,0.0
cohort_F10-F06,cont,0,cont_50910,50910,cont,0.0
cohort_F10-F06,cont,0,cont_50911,50911,cont,0.0015932560800673995
cohort_F10-F06,cont,0,cont_50912,50912,cont,0.02692614323355457
cohort_F10-F06,cont,0,cont_50914,50914,cont,0.0
cohort_F10-F06,cont,0,cont_50915,50915,cont,0.0
cohort_F10-F06,cont,0,cont_50916,50916,cont,0.0
cohort_F10-F06,cont,0,cont_50917,50917,cont,0.00013784963621665328
cohort_F10-F06,cont,0,cont_50924,50924,cont,0.0039059722417960313
cohort_F10-F06,cont,0,cont_50925,50925,cont,0.0034167934148071327
cohort_F10-F06,cont,0,cont_50927,50927,cont,0.0001123853211009174
cohort_F10-F06,cont,0,cont_50930,50930,cont,8.542581123079293e-05
cohort_F10-F06,cont,0,cont_50931,50931,cont,0.0
cohort_F10-F06,cont,0,cont_50935,50935,cont,0.0015088158396954438
cohort_F10-F06,cont,0,cont_50945,50945,cont,0.0
cohort_F10-F06,cont,0,cont_50949,50949,cont,0.0003424628840959032
cohort_F10-F06,cont,0,cont_50950,50950,cont,0.001316875958258607
cohort_F10-F06,cont,0,cont_50951,50951,cont,0.0008067090274325677
cohort_F10-F06,cont,0,cont_50952,50952,cont,0.005138422932542252
cohort_F10-F06,cont,0,cont_50953,50953,cont,0.0030421974202018295
