cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_F11-J15,bin,balanced_rf,gender,statistical_parity,selection_rate,0.04248289765008187,0.8490564175667525,M,F,2,2
cohort_F11-J15,bin,balanced_rf,gender,predictive_parity,ppv,0.004673626247562235,0.930537084398977,F,M,2,2
cohort_F11-J15,bin,balanced_rf,gender,equal_opportunity,tpr,0.04689876626668921,0.8878107944208611,F,M,2,2
cohort_F11-J15,bin,balanced_rf,gender,predictive_equality,fpr,0.04517513857766245,0.8369001490312966,M,F,2,2
cohort_F11-J15,bin,balanced_rf,gender,equalised_odds,tpr,0.04689876626668921,0.8878107944208611,F,M,2,2
cohort_F11-J15,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.13538644220364462,0.5835395310474845,18-39,65-79,3,3
cohort_F11-J15,bin,balanced_rf,age_band,predictive_parity,ppv,0.059730848861283645,0.38941798941798944,18-39,65-79,3,3
cohort_F11-J15,bin,balanced_rf,age_band,equal_opportunity,tpr,0.1070358213215356,0.7531270572745227,18-39,40-64,3,3
cohort_F11-J15,bin,balanced_rf,age_band,predictive_equality,fpr,0.13761366916859122,0.5755530203956705,18-39,65-79,3,3
cohort_F11-J15,bin,balanced_rf,age_band,equalised_odds,fpr,0.13761366916859122,0.5755530203956705,18-39,65-79,3,3
cohort_F11-J15,cont,balanced_rf,gender,statistical_parity,selection_rate,0.05902663973004117,0.6421619437137266,M,F,2,2
cohort_F11-J15,cont,balanced_rf,gender,predictive_parity,ppv,0.06861134661579765,0.43772164724614604,F,M,2,2
cohort_F11-J15,cont,balanced_rf,gender,equal_opportunity,tpr,0.15049856346121343,0.5521750062861454,F,M,2,2
cohort_F11-J15,cont,balanced_rf,gender,predictive_equality,fpr,0.06720469058008861,0.5900303201603372,M,F,2,2
cohort_F11-J15,cont,balanced_rf,gender,equalised_odds,tpr,0.15049856346121343,0.5521750062861454,F,M,2,2
cohort_F11-J15,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.16769609392206994,0.3408611863896417,18-39,65-79,3,3
