cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_F17-C22,bin,balanced_rf,all,all,16131,107,0.0066331907507284115,0.24363027710619303,0.729131186397973,0.017418572309049387,0.033192965073074066,0.07281959281081024,0.6925461690641608,0.6261682242990654,0.24107588617074388,0.017048346055979643
cohort_F17-C22,bin,balanced_rf,gender,F,6506,7,0.0010759299108515216,0.24638794958499846,0.6819290879915592,0.0018896535164843599,0.004968944099378882,0.024755958321162487,0.6626953597256721,0.5714285714285714,0.24603785197722727,0.002495321272613849
cohort_F17-C22,bin,balanced_rf,gender,M,9625,100,0.01038961038961039,0.24176623376623377,0.7321837270341207,0.027884344357309337,0.0519159456118665,0.09290977960307022,0.6961548556430446,0.63,0.23769028871391076,0.027073485174043833
cohort_F17-C22,bin,balanced_rf,age_band,18-39,4236,16,0.003777148253068933,0.18744098205854579,0.8273400473933649,0.012035358924343074,0.027160493827160494,0.07889787326373324,0.7509774881516588,0.6875,0.18554502369668247,0.013853904282115869
cohort_F17-C22,bin,balanced_rf,age_band,40-64,9169,76,0.008288799214745337,0.26676845893772494,0.7398063576956246,0.025254454188924136,0.040444091990483745,0.08357033263253294,0.7038316055728235,0.6710526315789473,0.2633894204333003,0.020850367947669663
cohort_F17-C22,bin,balanced_rf,age_band,65-79,2421,15,0.006195786864931847,0.25196199917389506,0.5348711554447214,0.00840425497530104,0.016,0.014799256639954274,0.5409393183707398,0.3333333333333333,0.2514546965918537,0.00819672131147541
cohort_F17-C22,bin,balanced_rf,age_band,80+,305,0,0.0,0.26229508196721313,,,,,,,0.26229508196721313,0.0
cohort_F17-C22,cont,balanced_rf,all,all,16131,107,0.0066331907507284115,0.09491042092864671,0.834902144446881,0.04435411760037544,0.08302808302808302,0.15072407258182505,0.7721067347576765,0.6355140186915887,0.09130054917623565,0.04441541476159373
cohort_F17-C22,cont,balanced_rf,gender,F,6506,7,0.0010759299108515216,0.07931140485705503,0.8794429912294199,0.005718621729093437,0.011472275334608031,0.04241802342643724,0.674818103884114,0.42857142857142855,0.07893522080320049,0.005813953488372093
cohort_F17-C22,cont,balanced_rf,gender,M,9625,100,0.01038961038961039,0.10545454545454545,0.8265291338582677,0.06538784523633387,0.11659192825112108,0.1816635456637285,0.7751312335958005,0.65,0.09973753280839895,0.06403940886699508
