cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_F17-C22,bin,balanced_rf,gender,statistical_parity,selection_rate,0.012381234504812738,0.9494653000700679,M,F,2,2
cohort_F17-C22,bin,balanced_rf,gender,predictive_parity,ppv,0.02625550369490771,0.06688773376351796,F,M,2,2
cohort_F17-C22,bin,balanced_rf,gender,equal_opportunity,tpr,0.20142857142857146,0.6802721088435374,F,M,2,2
cohort_F17-C22,bin,balanced_rf,gender,predictive_equality,fpr,0.01635544979865669,0.9331904033680265,M,F,2,2
cohort_F17-C22,bin,balanced_rf,gender,equalised_odds,tpr,0.20142857142857146,0.6802721088435374,F,M,2,2
cohort_F17-C22,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.08068172912153909,0.6883863629674002,18-39,40-64,3,3
cohort_F17-C22,bin,balanced_rf,age_band,predictive_parity,ppv,0.011321239838510268,0.46246753246753247,65-79,40-64,3,3
cohort_F17-C22,bin,balanced_rf,age_band,equal_opportunity,tpr,0.2578947368421053,0.608,65-79,40-64,3,3
cohort_F17-C22,bin,balanced_rf,age_band,predictive_equality,fpr,0.07904093196005677,0.6907404499514647,18-39,40-64,3,3
cohort_F17-C22,bin,balanced_rf,age_band,equalised_odds,tpr,0.2578947368421053,0.608,65-79,40-64,3,3
cohort_F17-C22,cont,balanced_rf,gender,statistical_parity,selection_rate,0.025498365145460125,0.7530968163731854,F,M,2,2
cohort_F17-C22,cont,balanced_rf,gender,predictive_parity,ppv,0.06248160902171925,0.08666589165310391,F,M,2,2
cohort_F17-C22,cont,balanced_rf,gender,equal_opportunity,tpr,0.2514285714285715,0.630252100840336,F,M,2,2
cohort_F17-C22,cont,balanced_rf,gender,predictive_equality,fpr,0.01982132522709934,0.7961143382417697,F,M,2,2
cohort_F17-C22,cont,balanced_rf,gender,equalised_odds,tpr,0.2514285714285715,0.630252100840336,F,M,2,2
cohort_F17-C22,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.03920106970453362,0.6302113085176247,18-39,40-64,3,3
cohort_F17-C22,cont,balanced_rf,age_band,predictive_parity,ppv,0.03658952924025172,0.32896184110330823,65-79,40-64,3,3
cohort_F17-C22,cont,balanced_rf,age_band,equal_opportunity,tpr,0.6083333333333334,0.30476190476190473,65-79,18-39,3,3
cohort_F17-C22,cont,balanced_rf,age_band,predictive_equality,fpr,0.03732267881704743,0.6307126023031423,18-39,40-64,3,3
cohort_F17-C22,cont,balanced_rf,age_band,equalised_odds,tpr,0.6083333333333334,0.30476190476190473,65-79,18-39,3,3
cohort_F17-C22,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.022055772693338027,0.7924860096056906,F,M,2,2
cohort_F17-C22,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.05819437606581473,0.11145004902494825,F,M,2,2
cohort_F17-C22,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.09857142857142864,0.8528784648187633,F,M,2,2
cohort_F17-C22,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.016662268655100995,0.8339873337449404,F,M,2,2
cohort_F17-C22,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.09857142857142864,0.8528784648187633,F,M,2,2
cohort_F17-C22,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.04102064259512206,0.6261249781762682,18-39,40-64,3,3
cohort_F17-C22,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.03728448978261578,0.3054037644201579,65-79,40-64,3,3
cohort_F17-C22,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.5458333333333334,0.3282051282051282,65-79,18-39,3,3
cohort_F17-C22,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.03881914268722933,0.6292201003624198,18-39,40-64,3,3
cohort_F17-C22,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.5458333333333334,0.3282051282051282,65-79,18-39,3,3
cohort_F17-C22,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.02753075882003027,0.7397018137104211,F,M,2,2
cohort_F17-C22,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.05893909626719057,0.09090909090909091,F,M,2,2
cohort_F17-C22,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.23142857142857148,0.6493506493506492,F,M,2,2
cohort_F17-C22,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.022089374541368972,0.7789902389637191,F,M,2,2
cohort_F17-C22,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.23142857142857148,0.6493506493506492,F,M,2,2
cohort_F17-C22,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.04127187918480911,0.6130655825710484,18-39,40-64,3,3
cohort_F17-C22,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.04061743289609912,0.23607981976182812,65-79,40-64,3,3
cohort_F17-C22,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.675,0.2285714285714286,65-79,18-39,3,3
cohort_F17-C22,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.039514302705638375,0.6119832024812422,18-39,40-64,3,3
cohort_F17-C22,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.675,0.2285714285714286,65-79,18-39,3,3
cohort_F17-C22,disc,balanced_rf,gender,statistical_parity,selection_rate,0.03262941300936996,0.7491548720325991,F,M,2,2
cohort_F17-C22,disc,balanced_rf,gender,predictive_parity,ppv,0.04482921962084639,0.14960328840455023,F,M,2,2
cohort_F17-C22,disc,balanced_rf,gender,equal_opportunity,tpr,0.05428571428571427,0.924,M,F,2,2
cohort_F17-C22,disc,balanced_rf,gender,predictive_equality,fpr,0.027730315061594374,0.7772923684977349,F,M,2,2
cohort_F17-C22,disc,balanced_rf,gender,equalised_odds,tpr,0.05428571428571427,0.924,M,F,2,2
cohort_F17-C22,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.05698809502108708,0.5737978440062419,18-39,40-64,3,3
cohort_F17-C22,disc,balanced_rf,age_band,predictive_parity,ppv,0.03380676914853933,0.23246113007205157,65-79,40-64,3,3
cohort_F17-C22,disc,balanced_rf,age_band,equal_opportunity,tpr,0.675,0.2285714285714286,65-79,18-39,3,3
cohort_F17-C22,disc,balanced_rf,age_band,predictive_equality,fpr,0.055193672753844805,0.5717781003833525,18-39,40-64,3,3
cohort_F17-C22,disc,balanced_rf,age_band,equalised_odds,tpr,0.675,0.2285714285714286,65-79,18-39,3,3
cohort_F17-C22,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.02921249915163225,0.7835486494730867,F,M,2,2
cohort_F17-C22,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.04431069516801833,0.14090159666782368,F,M,2,2
cohort_F17-C22,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.04428571428571426,0.9380000000000001,M,F,2,2
cohort_F17-C22,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.024250740776190466,0.8125094919697936,F,M,2,2
cohort_F17-C22,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.04428571428571426,0.9380000000000001,M,F,2,2
cohort_F17-C22,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.056847311902373354,0.5889329630655669,18-39,40-64,3,3
cohort_F17-C22,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.03035433488650286,0.2872352474798958,65-79,40-64,3,3
cohort_F17-C22,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.6083333333333334,0.30476190476190473,65-79,18-39,3,3
cohort_F17-C22,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.055811695090866836,0.584263348642026,18-39,65-79,3,3
cohort_F17-C22,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.6083333333333334,0.30476190476190473,65-79,18-39,3,3
cohort_F17-C22,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.03009037811251153,0.7649189209960037,F,M,2,2
cohort_F17-C22,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.04491044669616098,0.14877430262045646,F,M,2,2
cohort_F17-C22,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.06428571428571428,0.91,M,F,2,2
cohort_F17-C22,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.02527395492704511,0.7937151493743747,F,M,2,2
cohort_F17-C22,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.06428571428571428,0.91,M,F,2,2
cohort_F17-C22,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.0522638790579292,0.6006604107648725,18-39,40-64,3,3
cohort_F17-C22,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.03403153153153153,0.22947475777664458,65-79,40-64,3,3
cohort_F17-C22,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.675,0.2285714285714286,65-79,18-39,3,3
cohort_F17-C22,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.050548570511246865,0.5992692662085721,18-39,40-64,3,3
cohort_F17-C22,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.675,0.2285714285714286,65-79,18-39,3,3
