cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_F19-E87,bin,balanced_rf,gender,statistical_parity,selection_rate,0.10239610279262101,0.6405395552314983,M,F,2,2
cohort_F19-E87,bin,balanced_rf,gender,predictive_parity,ppv,0.14985014985014986,0.5384615384615384,F,M,2,2
cohort_F19-E87,bin,balanced_rf,gender,equal_opportunity,tpr,0.04675981956210806,0.814207650273224,F,M,2,2
cohort_F19-E87,bin,balanced_rf,gender,predictive_equality,fpr,0.14936929099608529,0.5189802493346406,M,F,2,2
cohort_F19-E87,bin,balanced_rf,gender,equalised_odds,fpr,0.14936929099608529,0.5189802493346406,M,F,2,2
cohort_F19-E87,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.40823297823066235,0.2694778284293411,18-39,65-79,3,3
cohort_F19-E87,bin,balanced_rf,age_band,predictive_parity,ppv,0.17922256621947022,0.5743464052287582,18-39,65-79,3,3
cohort_F19-E87,bin,balanced_rf,age_band,equal_opportunity,tpr,0.250545719136551,0.4049539170506913,18-39,65-79,3,3
cohort_F19-E87,bin,balanced_rf,age_band,predictive_equality,fpr,0.5881518564872757,0.19797474115371488,18-39,65-79,3,3
cohort_F19-E87,bin,balanced_rf,age_band,equalised_odds,fpr,0.5881518564872757,0.19797474115371488,18-39,65-79,3,3
cohort_F19-E87,cont,balanced_rf,gender,statistical_parity,selection_rate,0.129010026245728,0.49796098313677944,M,F,2,2
cohort_F19-E87,cont,balanced_rf,gender,predictive_parity,ppv,0.137525122021246,0.6817275747508307,F,M,2,2
cohort_F19-E87,cont,balanced_rf,gender,equal_opportunity,tpr,0.07657608097700519,0.7541504768632992,M,F,2,2
cohort_F19-E87,cont,balanced_rf,gender,predictive_equality,fpr,0.14443236189647674,0.396875851421306,M,F,2,2
cohort_F19-E87,cont,balanced_rf,gender,equalised_odds,fpr,0.14443236189647674,0.396875851421306,M,F,2,2
cohort_F19-E87,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.5995831403427513,0.15059055118110237,18-39,65-79,3,3
cohort_F19-E87,cont,balanced_rf,age_band,predictive_parity,ppv,0.1935654008438818,0.6426484907497566,40-64,65-79,3,3
