cohort,feature_set,fold,feature,itemid,representation,importance
cohort_F19-E87,cont,0,cont_50803,50803,cont,0.0002137297546718529
cohort_F19-E87,cont,0,cont_50804,50804,cont,0.005135203926442786
cohort_F19-E87,cont,0,cont_50805,50805,cont,0.0
cohort_F19-E87,cont,0,cont_50806,50806,cont,0.00046997822879741013
cohort_F19-E87,cont,0,cont_50808,50808,cont,0.0009315748228567524
cohort_F19-E87,cont,0,cont_50809,50809,cont,0.0009604570853674834
cohort_F19-E87,cont,0,cont_50811,50811,cont,0.00046119258689057945
cohort_F19-E87,cont,0,cont_50813,50813,cont,0.0055642455528800375
cohort_F19-E87,cont,0,cont_50814,50814,cont,0.00028705668605054504
cohort_F19-E87,cont,0,cont_50818,50818,cont,0.00476442981322468
cohort_F19-E87,cont,0,cont_50820,50820,cont,0.005752549732427518
cohort_F19-E87,cont,0,cont_50821,50821,cont,0.001967822426231253
cohort_F19-E87,cont,0,cont_50822,50822,cont,0.0015773119409501894
cohort_F19-E87,cont,0,cont_50824,50824,cont,0.0010300546124774404
cohort_F19-E87,cont,0,cont_50853,50853,cont,0.0015825427662997022
cohort_F19-E87,cont,0,cont_50856,50856,cont,0.00041900566753944437
cohort_F19-E87,cont,0,cont_50861,50861,cont,0.01975401207692408
cohort_F19-E87,cont,0,cont_50862,50862,cont,0.011895582830213186
cohort_F19-E87,cont,0,cont_50863,50863,cont,0.019568427477100355
cohort_F19-E87,cont,0,cont_50866,50866,cont,0.0002974674855359044
cohort_F19-E87,cont,0,cont_50867,50867,cont,0.0007473274037398853
cohort_F19-E87,cont,0,cont_50868,50868,cont,0.019982613888878866
cohort_F19-E87,cont,0,cont_50877,50877,cont,0.0
cohort_F19-E87,cont,0,cont_50878,50878,cont,0.019710879965927332
cohort_F19-E87,cont,0,cont_50881,50881,cont,0.0
cohort_F19-E87,cont,0,cont_50882,50882,cont,0.018043584417345243
cohort_F19-E87,cont,0,cont_50883,50883,cont,0.00021507228976604738
cohort_F19-E87,cont,0,cont_50885,50885,cont,0.015348068751117723
cohort_F19-E87,cont,0,cont_50889,50889,cont,0.0036565240224442773
cohort_F19-E87,cont,0,cont_50890,50890,cont,0.00048424424664756315
cohort_F19-E87,cont,0,cont_50891,50891,cont,0.00039695392657173505
cohort_F19-E87,cont,0,cont_50893,50893,cont,0.02180476380364719
cohort_F19-E87,cont,0,cont_50894,50894,cont,0.0
cohort_F19-E87,cont,0,cont_50895,50895,cont,0.0
cohort_F19-E87,cont,0,cont_50896,50896,cont,0.0
cohort_F19-E87,cont,0,cont_50899,50899,cont,0.0037295621344800357
cohort_F19-E87,cont,0,cont_50902,50902,cont,0.022566867688834157
cohort_F19-E87,cont,0,cont_50904,50904,cont,0.009547286312067608
cohort_F19-E87,cont,0,cont_50905,50905,cont,0.00012616491827538575
cohort_F19-E87,cont,0,cont_50906,50906,cont,0.00013547878479633766
cohort_F19-E87,cont,0,cont_50907,50907,cont,0.009830350002174679
cohort_F19-E87,cont,0,cont_50908,50908,cont,0.00013988109962178707
cohort_F19-E87,cont,0,cont_50910,50910,cont,0.0
cohort_F19-E87,cont,0,cont_50911,50911,cont,0.003273236328324561
cohort_F19-E87,cont,0,cont_50912,50912,cont,0.02215602888223931
cohort_F19-E87,cont,0,cont_50914,50914,cont,0.0
cohort_F19-E87,cont,0,cont_50915,50915,cont,0.0
cohort_F19-E87,cont,0,cont_50916,50916,cont,0.0
cohort_F19-E87,cont,0,cont_50917,50917,cont,4.682650527622596e-05
cohort_F19-E87,cont,0,cont_50924,50924,cont,0.00857752446922935
cohort_F19-E87,cont,0,cont_50925,50925,cont,0.0023338037972073736
cohort_F19-E87,cont,0,cont_50927,50927,cont,0.0002860505299044139
cohort_F19-E87,cont,0,cont_50930,50930,cont,0.0003200852153654791
cohort_F19-E87,cont,0,cont_50931,50931,cont,0.0
cohort_F19-E87,cont,0,cont_50935,50935,cont,0.000807977812273485
cohort_F19-E87,cont,0,cont_50945,50945,cont,0.0
cohort_F19-E87,cont,0,cont_50949,50949,cont,0.00020978284498919764
cohort_F19-E87,cont,0,cont_50950,50950,cont,0.00016933008261706608
cohort_F19-E87,cont,0,cont_50951,50951,cont,0.0002548357401774123
cohort_F19-E87,cont,0,cont_50952,50952,cont,0.004606341177493027
cohort_F19-E87,cont,0,cont_50953,50953,cont,0.004077735399629292
cohort_F19-E87,cont,0,cont_50954,50954,cont,0.009507051528594416
cohort_F19-E87,cont,0,cont_50956,50956,cont,0.007679966456778368
cohort_F19-E87,cont,0,cont_50957,50957,cont,0.0039818560006999295
cohort_F19-E87,cont,0,cont_50960,50960,cont,0.021837949777401198
cohort_F19-E87,cont,0,cont_50964,50964,cont,0.0002814094789080102
cohort_F19-E87,cont,0,cont_50965,50965,cont,0.000727658473756375
cohort_F19-E87,cont,0,cont_50966,50966,cont,0.0
cohort_F19-E87,cont,0,cont_50967,50967,cont,0.0
cohort_F19-E87,cont,0,cont_50968,50968,cont,0.0
cohort_F19-E87,cont,0,cont_50969,50969,cont,0.0
cohort_F19-E87,cont,0,cont_50970,50970,cont,0.02397901151881018
cohort_F19-E87,cont,0,cont_50971,50971,cont,0.024097359655548576
cohort_F19-E87,cont,0,cont_50976,50976,cont,0.0007299063115754851
cohort_F19-E87,cont,0,cont_50978,50978,cont,0.0
cohort_F19-E87,cont,0,cont_50981,50981,cont,0.0
cohort_F19-E87,cont,0,cont_50982,50982,cont,0.0
cohort_F19-E87,cont,0,cont_50983,50983,cont,0.021021703631123254
cohort_F19-E87,cont,0,cont_50986,50986,cont,0.0
cohort_F19-E87,cont,0,cont_50988,50988,cont,0.0
cohort_F19-E87,cont,0,cont_50989,50989,cont,0.0
cohort_F19-E87,cont,0,cont_50990,50990,cont,0.0
cohort_F19-E87,cont,0,cont_50992,50992,cont,0.0
cohort_F19-E87,cont,0,cont_50993,50993,cont,0.011050650718032844
cohort_F19-E87,cont,0,cont_50994,50994,cont,0.00024729128469733717
cohort_F19-E87,cont,0,cont_50995,50995,cont,0.0009794470185495918
cohort_F19-E87,cont,0,cont_50997,50997,cont,0.0
cohort_F19-E87,cont,0,cont_50998,50998,cont,0.0038540350845712983
cohort_F19-E87,cont,0,cont_51000,51000,cont,0.01034106664026632
cohort_F19-E87,cont,0,cont_51001,51001,cont,0.00013060556592274904
cohort_F19-E87,cont,0,cont_51005,51005,cont,0.0
cohort_F19-E87,cont,0,cont_51006,51006,cont,0.023743728716825
cohort_F19-E87,cont,0,cont_51007,51007,cont,0.0002116086557301199
cohort_F19-E87,cont,0,cont_51008,51008,cont,0.0005502290614723395
cohort_F19-E87,cont,0,cont_51009,51009,cont,0.0028633232657467866
cohort_F19-E87,cont,0,cont_51010,51010,cont,0.00545462927250286
cohort_F19-E87,cont,0,cont_51070,51070,cont,0.0001603588051937247
cohort_F19-E87,cont,0,cont_51080,51080,cont,0.0
cohort_F19-E87,cont,0,cont_51099,51099,cont,0.00012148096031443642
cohort_F19-E87,cont,0,cont_51110,51110,cont,0.0
cohort_F19-E87,cont,0,cont_51111,51111,cont,0.0
cohort_F19-E87,cont,0,cont_51114,51114,cont,7.079675464435885e-05
cohort_F19-E87,cont,0,cont_51116,51116,cont,0.0002610811502198475
cohort_F19-E87,cont,0,cont_51117,51117,cont,0.00010162188066423677
cohort_F19-E87,cont,0,cont_51118,51118,cont,6.357074517712625e-05
cohort_F19-E87,cont,0,cont_51120,51120,cont,0.00030945908128367477
cohort_F19-E87,cont,0,cont_51124,51124,cont,0.0
cohort_F19-E87,cont,0,cont_51125,51125,cont,0.00017520840577824918
cohort_F19-E87,cont,0,cont_51127,51127,cont,0.00023376356877448007
cohort_F19-E87,cont,0,cont_51130,51130,cont,0.0009079489496423897
cohort_F19-E87,cont,0,cont_51131,51131,cont,0.0012347349599647307
cohort_F19-E87,cont,0,cont_51132,51132,cont,0.0006668715069124158
cohort_F19-E87,cont,0,cont_51133,51133,cont,0.017019344023137192
cohort_F19-E87,cont,0,cont_51138,51138,cont,0.0
cohort_F19-E87,cont,0,cont_51139,51139,cont,0.0
cohort_F19-E87,cont,0,cont_51140,51140,cont,0.0
cohort_F19-E87,cont,0,cont_51143,51143,cont,0.0011308518177428222
cohort_F19-E87,cont,0,cont_51144,51144,cont,0.0011448025851429635
cohort_F19-E87,cont,0,cont_51146,51146,cont,0.009630162228203364
cohort_F19-E87,cont,0,cont_51148,51148,cont,0.0
cohort_F19-E87,cont,0,cont_51149,51149,cont,0.0
cohort_F19-E87,cont,0,cont_51181,51181,cont,0.0009047979949961676
cohort_F19-E87,cont,0,cont_51196,51196,cont,0.0
cohort_F19-E87,cont,0,cont_51199,51199,cont,0.0
cohort_F19-E87,cont,0,cont_51200,51200,cont,0.013267649116681433
cohort_F19-E87,cont,0,cont_51202,51202,cont,0.0
cohort_F19-E87,cont,0,cont_51203,51203,cont,0.0
cohort_F19-E87,cont,0,cont_51204,51204,cont,0.0
cohort_F19-E87,cont,0,cont_51205,51205,cont,0.0
cohort_F19-E87,cont,0,cont_51206,51206,cont,0.0
cohort_F19-E87,cont,0,cont_51207,51207,cont,0.0
cohort_F19-E87,cont,0,cont_51208,51208,cont,0.0
cohort_F19-E87,cont,0,cont_51209,51209,cont,0.0
cohort_F19-E87,cont,0,cont_51214,51214,cont,0.0014964070291936576
cohort_F19-E87,cont,0,cont_51218,51218,cont,0.0
cohort_F19-E87,cont,0,cont_51221,51221,cont,0.032925955184554385
cohort_F19-E87,cont,0,cont_51222,51222,cont,0.030387778863562025
cohort_F19-E87,cont,0,cont_51223,51223,cont,0.0
cohort_F19-E87,cont,0,cont_51224,51224,cont,0.0
cohort_F19-E87,cont,0,cont_51225,51225,cont,0.0
cohort_F19-E87,cont,0,cont_51227,51227,cont,0.0
cohort_F19-E87,cont,0,cont_51228,51228,cont,3.465620904510513e-07
cohort_F19-E87,cont,0,cont_51229,51229,cont,7.171835034379984e-05
cohort_F19-E87,cont,0,cont_51232,51232,cont,0.0
cohort_F19-E87,cont,0,cont_51237,51237,cont,0.012202113289230168
cohort_F19-E87,cont,0,cont_51241,51241,cont,0.0
cohort_F19-E87,cont,0,cont_51244,51244,cont,0.017587494063125424
cohort_F19-E87,cont,0,cont_51245,51245,cont,0.0013447009937459778
cohort_F19-E87,cont,0,cont_51248,51248,cont,0.03161027534521464
cohort_F19-E87,cont,0,cont_51249,51249,cont,0.02976104057348211
cohort_F19-E87,cont,0,cont_51250,51250,cont,0.031865512178325485
cohort_F19-E87,cont,0,cont_51251,51251,cont,0.0007989225097722058
cohort_F19-E87,cont,0,cont_51254,51254,cont,0.013092746604435516
cohort_F19-E87,cont,0,cont_51255,51255,cont,0.0007229329137053295
cohort_F19-E87,cont,0,cont_51256,51256,cont,0.01529166720694104
cohort_F19-E87,cont,0,cont_51257,51257,cont,0.0011024411069246683
cohort_F19-E87,cont,0,cont_51259,51259,cont,0.0
cohort_F19-E87,cont,0,cont_51263,51263,cont,0.0
cohort_F19-E87,cont,0,cont_51265,51265,cont,0.02183392146612486
cohort_F19-E87,cont,0,cont_51269,51269,cont,0.0
cohort_F19-E87,cont,0,cont_51270,51270,cont,0.0
cohort_F19-E87,cont,0,cont_51271,51271,cont,0.0
cohort_F19-E87,cont,0,cont_51272,51272,cont,0.0
cohort_F19-E87,cont,0,cont_51273,51273,cont,0.0
cohort_F19-E87,cont,0,cont_51274,51274,cont,0.015349640686545632
cohort_F19-E87,cont,0,cont_51275,51275,cont,0.014477974183423283
cohort_F19-E87,cont,0,cont_51276,51276,cont,0.0
cohort_F19-E87,cont,0,cont_51277,51277,cont,0.03437761668281978
cohort_F19-E87,cont,0,cont_51279,51279,cont,0.02378059970316477
cohort_F19-E87,cont,0,cont_51282,51282,cont,0.00114906999161606
cohort_F19-E87,cont,0,cont_51283,51283,cont,0.001436045711162449
cohort_F19-E87,cont,0,cont_51284,51284,cont,9.129901039117493e-05
cohort_F19-E87,cont,0,cont_51288,51288,cont,0.0
cohort_F19-E87,cont,0,cont_51289,51289,cont,0.0
cohort_F19-E87,cont,0,cont_51297,51297,cont,0.0
cohort_F19-E87,cont,0,cont_51298,51298,cont,0.0
cohort_F19-E87,cont,0,cont_51299,51299,cont,0.0
cohort_F19-E87,cont,0,cont_51300,51300,cont,0.0007354939728953462
cohort_F19-E87,cont,0,cont_51301,51301,cont,0.02268362109198397
cohort_F19-E87,cont,0,cont_51366,51366,cont,0.0
cohort_F19-E87,cont,0,cont_51368,51368,cont,0.0
cohort_F19-E87,cont,0,cont_51375,51375,cont,0.00011517911891713264
cohort_F19-E87,cont,0,cont_51376,51376,cont,0.0
cohort_F19-E87,cont,0,cont_51377,51377,cont,0.0
cohort_F19-E87,cont,0,cont_51379,51379,cont,0.00020430750176913198
cohort_F19-E87,cont,0,cont_51382,51382,cont,0.00013248182871853368
cohort_F19-E87,cont,0,cont_51383,51383,cont,0.00010094995534322707
cohort_F19-E87,cont,0,cont_51386,51386,cont,0.0
cohort_F19-E87,cont,0,cont_51419,51419,cont,0.0
cohort_F19-E87,cont,0,cont_51427,51427,cont,6.602965566383535e-05
cohort_F19-E87,cont,0,cont_51428,51428,cont,0.0
cohort_F19-E87,cont,0,cont_51429,51429,cont,0.0
cohort_F19-E87,cont,0,cont_51431,51431,cont,0.0
cohort_F19-E87,cont,0,cont_51433,51433,cont,0.0
cohort_F19-E87,cont,0,cont_51435,51435,cont,0.0
cohort_F19-E87,cont,0,cont_51436,51436,cont,0.0
cohort_F19-E87,cont,0,cont_51438,51438,cont,0.0
cohort_F19-E87,cont,0,cont_51440,51440,cont,0.0
cohort_F19-E87,cont,0,cont_51441,51441,cont,0.0
cohort_F19-E87,cont,0,cont_51442,51442,cont,0.0
cohort_F19-E87,cont,0,cont_51444,51444,cont,0.0
cohort_F19-E87,cont,0,cont_51446,51446,cont,0.0
cohort_F19-E87,cont,0,cont_51447,51447,cont,4.8147724215714726e-05
cohort_F19-E87,cont,0,cont_51448,51448,cont,2.399663205164187e-05
cohort_F19-E87,cont,0,cont_51450,51450,cont,0.0
cohort_F19-E87,cont,0,cont_51452,51452,cont,0.0
cohort_F19-E87,cont,0,cont_51454,51454,cont,0.0
cohort_F19-E87,cont,0,cont_51455,51455,cont,0.0
cohort_F19-E87,cont,0,cont_51457,51457,cont,2.141302290365322e-06
cohort_F19-E87,cont,0,cont_51467,51467,cont,0.0
cohort_F19-E87,cont,0,cont_51471,51471,cont,6.532516768737235e-06
cohort_F19-E87,cont,0,cont_51479,51479,cont,0.0002732275707036912
cohort_F19-E87,cont,0,cont_51482,51482,cont,0.0036351564602128215
cohort_F19-E87,cont,0,cont_51484,51484,cont,0.004356819523689291
cohort_F19-E87,cont,0,cont_51492,51492,cont,0.0038878274194631304
cohort_F19-E87,cont,0,cont_51493,51493,cont,0.009435653225467652
cohort_F19-E87,cont,0,cont_51494,51494,cont,0.0
cohort_F19-E87,cont,0,cont_51498,51498,cont,0.03147357862830082
cohort_F19-E87,cont,0,cont_51507,51507,cont,0.0
cohort_F19-E87,cont,0,cont_51515,51515,cont,0.0
cohort_F19-E87,cont,0,cont_51516,51516,cont,0.007782602193750996
cohort_F19-E87,cont,0,cont_51517,51517,cont,0.0
cohort_F19-E87,cont,0,cont_51567,51567,cont,6.557491573180887e-05
cohort_F19-E87,cont,0,cont_51621,51621,cont,0.0
cohort_F19-E87,cont,0,cont_51625,51625,cont,0.0
