cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_F23-F20,bin,balanced_rf,all,all,190,45,0.23684210526315788,0.45263157894736844,0.543831417624521,0.3226559514526457,0.32061068702290074,0.01570815191681652,0.5091954022988505,0.4666666666666667,0.4482758620689655,0.2441860465116279
cohort_F23-F20,bin,balanced_rf,gender,F,76,15,0.19736842105263158,0.3815789473684211,0.6060109289617486,0.32848144876529894,0.36363636363636365,0.1549129157241915,0.594535519125683,0.5333333333333333,0.3442622950819672,0.27586206896551724
cohort_F23-F20,bin,balanced_rf,gender,M,114,30,0.2631578947368421,0.5,0.5029761904761905,0.3419392178498346,0.2988505747126437,-0.07968190728895959,0.45476190476190476,0.43333333333333335,0.5238095238095238,0.22807017543859648
cohort_F23-F20,bin,balanced_rf,age_band,18-39,115,23,0.2,0.5478260869565217,0.5564744801512287,0.28453349256869637,0.3023255813953488,0.017471413945365305,0.5108695652173912,0.5652173913043478,0.5434782608695652,0.20634920634920634
cohort_F23-F20,bin,balanced_rf,age_band,40-64,58,22,0.3793103448275862,0.3448275862068966,0.5542929292929293,0.5180622167531073,0.38095238095238093,0.0309344112444873,0.5151515151515151,0.36363636363636365,0.3333333333333333,0.4
cohort_F23-F20,bin,balanced_rf,age_band,65-79,16,0,0.0,0.125,,,,,,,0.125,0.0
cohort_F23-F20,bin,balanced_rf,age_band,80+,1,0,0.0,1.0,,,,,,,1.0,0.0
cohort_F23-F20,cont,balanced_rf,all,all,190,45,0.23684210526315788,0.9315789473684211,0.5570114942528736,0.2748577199401401,0.3963963963963964,0.1019409152069766,0.5302681992337165,0.9777777777777777,0.9172413793103448,0.24858757062146894
cohort_F23-F20,cont,balanced_rf,gender,F,76,15,0.19736842105263158,0.9210526315789473,0.46284153005464485,0.182156839373323,0.35294117647058826,0.14518017554874818,0.5491803278688525,1.0,0.9016393442622951,0.21428571428571427
cohort_F23-F20,cont,balanced_rf,gender,M,114,30,0.2631578947368421,0.9385964912280702,0.6031746031746033,0.3524805007078598,0.4233576642335766,0.06987632463037063,0.5190476190476191,0.9666666666666667,0.9285714285714286,0.27102803738317754
cohort_F23-F20,cont,balanced_rf,age_band,18-39,115,23,0.2,0.9478260869565217,0.5876654064272212,0.2701250243448973,0.3484848484848485,0.11730928305086624,0.532608695652174,1.0,0.9347826086956522,0.21100917431192662
cohort_F23-F20,cont,balanced_rf,age_band,40-64,58,22,0.3793103448275862,0.9137931034482759,0.5669191919191919,0.4326044437401181,0.56,0.11350573776771822,0.5328282828282829,0.9545454545454546,0.8888888888888888,0.39622641509433965
cohort_F23-F20,cont,balanced_rf,age_band,65-79,16,0,0.0,0.875,,,,,,,0.875,0.0
cohort_F23-F20,cont,balanced_rf,age_band,80+,1,0,0.0,1.0,,,,,,,1.0,0.0
cohort_F23-F20,cont_bin,balanced_rf,all,all,190,45,0.23684210526315788,0.5368421052631579,0.5236015325670498,0.2564950930777648,0.35374149659863946,0.04573370271679516,0.5268199233716475,0.5777777777777777,0.5241379310344828,0.2549019607843137
cohort_F23-F20,cont_bin,balanced_rf,gender,F,76,15,0.19736842105263158,0.5394736842105263,0.4972677595628416,0.1969346602852035,0.32142857142857145,0.060216095690076986,0.5377049180327869,0.6,0.5245901639344263,0.21951219512195122
cohort_F23-F20,cont_bin,balanced_rf,gender,M,114,30,0.2631578947368421,0.5350877192982456,0.5325396825396825,0.32619766612992235,0.37362637362637363,0.03783734307470753,0.5214285714285714,0.5666666666666667,0.5238095238095238,0.2786885245901639
cohort_F23-F20,cont_bin,balanced_rf,age_band,18-39,115,23,0.2,0.6521739130434783,0.5562381852551985,0.24323145839268484,0.32653061224489793,0.045643546458763846,0.5271739130434783,0.6956521739130435,0.6413043478260869,0.21333333333333335
cohort_F23-F20,cont_bin,balanced_rf,age_band,40-64,58,22,0.3793103448275862,0.39655172413793105,0.5176767676767677,0.4098308145125975,0.4444444444444444,0.09267683392044251,0.5467171717171717,0.45454545454545453,0.3611111111111111,0.43478260869565216
cohort_F23-F20,cont_bin,balanced_rf,age_band,65-79,16,0,0.0,0.1875,,,,,,,0.1875,0.0
cohort_F23-F20,cont_bin,balanced_rf,age_band,80+,1,0,0.0,1.0,,,,,,,1.0,0.0
cohort_F23-F20,cont_disc_bin,balanced_rf,all,all,190,45,0.23684210526315788,0.7,0.5303448275862068,0.2664460973018928,0.39325842696629215,0.09455143815519591,0.5509578544061302,0.7777777777777778,0.6758620689655173,0.2631578947368421
cohort_F23-F20,cont_disc_bin,balanced_rf,gender,F,76,15,0.19736842105263158,0.7236842105263158,0.5579234972677596,0.22721883611007437,0.4,0.23248576254759062,0.6306010928961748,0.9333333333333333,0.6721311475409836,0.2545454545454545
cohort_F23-F20,cont_disc_bin,balanced_rf,gender,M,114,30,0.2631578947368421,0.6842105263157895,0.5200396825396826,0.3041361448862616,0.3888888888888889,0.020299948573528754,0.5107142857142857,0.7,0.6785714285714286,0.2692307692307692
cohort_F23-F20,cont_disc_bin,balanced_rf,age_band,18-39,115,23,0.2,0.8173913043478261,0.5645085066162571,0.27466141413236467,0.39316239316239315,0.23632829671833044,0.6141304347826086,1.0,0.7717391304347826,0.24468085106382978
cohort_F23-F20,cont_disc_bin,balanced_rf,age_band,40-64,58,22,0.3793103448275862,0.5344827586206896,0.5435606060606061,0.4106875252453078,0.4528301886792453,0.017195021211098182,0.5088383838383839,0.5454545454545454,0.5277777777777778,0.3870967741935484
cohort_F23-F20,cont_disc_bin,balanced_rf,age_band,65-79,16,0,0.0,0.4375,,,,,,,0.4375,0.0
cohort_F23-F20,cont_disc_bin,balanced_rf,age_band,80+,1,0,0.0,1.0,,,,,,,1.0,0.0
cohort_F23-F20,disc,balanced_rf,all,all,190,45,0.23684210526315788,1.0,0.5547892720306513,0.254604461078351,0.3829787234042553,0.0,0.5,1.0,1.0,0.23684210526315788
cohort_F23-F20,disc,balanced_rf,gender,F,76,15,0.19736842105263158,1.0,0.598360655737705,0.26143708600065335,0.32967032967032966,0.0,0.5,1.0,1.0,0.19736842105263158
cohort_F23-F20,disc,balanced_rf,gender,M,114,30,0.2631578947368421,1.0,0.5230158730158729,0.2723460348045315,0.4166666666666667,0.0,0.5,1.0,1.0,0.2631578947368421
cohort_F23-F20,disc,balanced_rf,age_band,18-39,115,23,0.2,1.0,0.6101134215500945,0.2841230733105392,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
cohort_F23-F20,disc,balanced_rf,age_band,40-64,58,22,0.3793103448275862,1.0,0.5151515151515151,0.3746798205533287,0.55,0.0,0.5,1.0,1.0,0.3793103448275862
cohort_F23-F20,disc,balanced_rf,age_band,65-79,16,0,0.0,1.0,,,,,,,1.0,0.0
cohort_F23-F20,disc,balanced_rf,age_band,80+,1,0,0.0,1.0,,,,,,,1.0,0.0
cohort_F23-F20,disc_bin,balanced_rf,all,all,190,45,0.23684210526315788,0.6894736842105263,0.5395402298850575,0.286278660355207,0.3977272727272727,0.10631512153125654,0.5578544061302682,0.7777777777777778,0.6620689655172414,0.26717557251908397
cohort_F23-F20,disc_bin,balanced_rf,gender,F,76,15,0.19736842105263158,0.7236842105263158,0.473224043715847,0.21553708439897698,0.37142857142857144,0.1585572355450095,0.5890710382513662,0.8666666666666667,0.6885245901639344,0.23636363636363636
cohort_F23-F20,disc_bin,balanced_rf,gender,M,114,30,0.2631578947368421,0.6666666666666666,0.5734126984126985,0.37459738545551774,0.41509433962264153,0.08451542547285165,0.5452380952380952,0.7333333333333333,0.6428571428571429,0.2894736842105263
cohort_F23-F20,disc_bin,balanced_rf,age_band,18-39,115,23,0.2,0.7652173913043478,0.5784499054820417,0.275127357916007,0.36036036036036034,0.12309149097933272,0.5652173913043478,0.8695652173913043,0.7391304347826086,0.22727272727272727
cohort_F23-F20,disc_bin,balanced_rf,age_band,40-64,58,22,0.3793103448275862,0.5862068965517241,0.5170454545454545,0.4336010282602093,0.5357142857142857,0.1517581978150769,0.577020202020202,0.6818181818181818,0.5277777777777778,0.4411764705882353
cohort_F23-F20,disc_bin,balanced_rf,age_band,65-79,16,0,0.0,0.5,,,,,,,0.5,0.0
cohort_F23-F20,disc_bin,balanced_rf,age_band,80+,1,0,0.0,1.0,,,,,,,1.0,0.0
cohort_F23-F20,disc_imp,balanced_rf,all,all,190,45,0.23684210526315788,1.0,0.5501149425287356,0.25287839059784567,0.3829787234042553,0.0,0.5,1.0,1.0,0.23684210526315788
cohort_F23-F20,disc_imp,balanced_rf,gender,F,76,15,0.19736842105263158,1.0,0.601639344262295,0.26605905485901227,0.32967032967032966,0.0,0.5,1.0,1.0,0.19736842105263158
cohort_F23-F20,disc_imp,balanced_rf,gender,M,114,30,0.2631578947368421,1.0,0.5142857142857143,0.26940358667856645,0.4166666666666667,0.0,0.5,1.0,1.0,0.2631578947368421
cohort_F23-F20,disc_imp,balanced_rf,age_band,18-39,115,23,0.2,1.0,0.6020793950850661,0.2810769772308749,0.3333333333333333,0.0,0.5,1.0,1.0,0.2
cohort_F23-F20,disc_imp,balanced_rf,age_band,40-64,58,22,0.3793103448275862,1.0,0.5126262626262627,0.3775906342964611,0.55,0.0,0.5,1.0,1.0,0.3793103448275862
