cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_G20-A04,bin,balanced_rf,gender,statistical_parity,selection_rate,0.006466165413533814,0.9718032786885247,M,F,2,2
cohort_G20-A04,bin,balanced_rf,gender,predictive_parity,ppv,0.06347204707860446,0.44688644688644685,M,F,2,2
cohort_G20-A04,bin,balanced_rf,gender,equal_opportunity,tpr,0.025396825396825418,0.9183673469387754,M,F,2,2
cohort_G20-A04,bin,balanced_rf,gender,predictive_equality,fpr,0.0015278185196049843,0.9931106701940035,M,F,2,2
cohort_G20-A04,bin,balanced_rf,gender,equalised_odds,tpr,0.025396825396825418,0.9183673469387754,M,F,2,2
cohort_G20-A04,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.07424242424242425,0.703030303030303,40-64,80+,3,3
cohort_G20-A04,bin,balanced_rf,age_band,predictive_parity,ppv,0.10449453187516669,0.2605002359603587,65-79,80+,3,3
cohort_G20-A04,bin,balanced_rf,age_band,equal_opportunity,tpr,0.2482758620689655,0.4461538461538462,40-64,80+,3,3
cohort_G20-A04,bin,balanced_rf,age_band,predictive_equality,fpr,0.06020864381520119,0.7426751592356688,40-64,65-79,3,3
cohort_G20-A04,bin,balanced_rf,age_band,equalised_odds,tpr,0.2482758620689655,0.4461538461538462,40-64,80+,3,3
cohort_G20-A04,cont,balanced_rf,gender,statistical_parity,selection_rate,0.01726315789473684,0.836,M,F,2,2
cohort_G20-A04,cont,balanced_rf,gender,predictive_parity,ppv,0.019480519480519473,0.7272727272727274,M,F,2,2
cohort_G20-A04,cont,balanced_rf,gender,equal_opportunity,tpr,0.02539682539682539,0.7777777777777778,F,M,2,2
cohort_G20-A04,cont,balanced_rf,gender,predictive_equality,fpr,0.01987141879339005,0.8138965201465201,M,F,2,2
cohort_G20-A04,cont,balanced_rf,gender,equalised_odds,tpr,0.02539682539682539,0.7777777777777778,F,M,2,2
cohort_G20-A04,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.05672622175512349,0.49020070838252655,40-64,65-79,3,3
cohort_G20-A04,cont,balanced_rf,age_band,predictive_parity,ppv,0.16348357524828114,0.0735930735930736,65-79,80+,3,3
cohort_G20-A04,cont,balanced_rf,age_band,equal_opportunity,tpr,0.16689655172413792,0.19333333333333333,40-64,80+,3,3
cohort_G20-A04,cont,balanced_rf,age_band,predictive_equality,fpr,0.05752608047690015,0.4921052631578947,40-64,65-79,3,3
cohort_G20-A04,cont,balanced_rf,age_band,equalised_odds,tpr,0.16689655172413792,0.19333333333333333,40-64,80+,3,3
cohort_G20-A04,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.018631578947368416,0.7891063829787235,M,F,2,2
cohort_G20-A04,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.001743983257760734,0.9734042553191488,F,M,2,2
cohort_G20-A04,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.047619047619047616,0.5833333333333334,F,M,2,2
cohort_G20-A04,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.022491933118216498,0.7510551948051947,M,F,2,2
cohort_G20-A04,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.047619047619047616,0.5833333333333334,F,M,2,2
cohort_G20-A04,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.04875634962340165,0.4468951813214108,40-64,65-79,3,3
cohort_G20-A04,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.16666666666666666,0.0,65-79,80+,3,3
cohort_G20-A04,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.1724137931034483,0.0,65-79,80+,3,3
cohort_G20-A04,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.054843517138599106,0.39672131147540984,40-64,65-79,3,3
