cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_G25-J69,bin,balanced_rf,all,all,3513,280,0.07970395673213777,0.27469399373754627,0.49993427157438913,0.0772923801827021,0.12208835341365462,-0.002152931936572448,0.49822588484821706,0.2714285714285714,0.27497680173213734,0.07875647668393783
cohort_G25-J69,bin,balanced_rf,gender,F,1883,123,0.06532129580456718,0.2915560276155072,0.5133384146341463,0.0669306127156539,0.10416666666666667,-0.004073595228113158,0.4962536954915004,0.2845528455284553,0.29204545454545455,0.06375227686703097
cohort_G25-J69,bin,balanced_rf,gender,M,1630,157,0.09631901840490797,0.2552147239263804,0.49305546546975065,0.09293346881344318,0.1431064572425829,0.004441856901585501,0.5032820060451179,0.2611464968152866,0.2545824847250509,0.0985576923076923
cohort_G25-J69,bin,balanced_rf,age_band,18-39,383,3,0.007832898172323759,0.20887728459530025,0.737280701754386,0.02907263200903694,0.04819277108433735,0.10006150039833075,0.7307017543859649,0.6666666666666666,0.20526315789473684,0.025
cohort_G25-J69,bin,balanced_rf,age_band,40-64,1630,143,0.08773006134969324,0.27791411042944786,0.47697998034245515,0.08294836728449764,0.1174496644295302,-0.022954216413601066,0.4818261765134664,0.24475524475524477,0.28110289172831204,0.0772626931567329
cohort_G25-J69,bin,balanced_rf,age_band,65-79,1143,94,0.08223972003499562,0.2773403324584427,0.5273056406303875,0.08455001133271889,0.1362530413625304,0.01372885070957666,0.5111859318905543,0.2978723404255319,0.2755004766444233,0.08832807570977919
cohort_G25-J69,bin,balanced_rf,age_band,80+,357,40,0.11204481792717087,0.32212885154061627,0.45973974763406944,0.10262625857270688,0.14193548387096774,-0.03582604229542593,0.4734621451104101,0.275,0.3280757097791798,0.09565217391304348
cohort_G25-J69,cont,balanced_rf,all,all,3513,280,0.07970395673213777,0.09735269000853972,0.52343411691927,0.07864025649448902,0.04823151125401929,-0.04346417188778454,0.47621349034510185,0.05357142857142857,0.10114444788122487,0.043859649122807015
cohort_G25-J69,cont,balanced_rf,gender,F,1883,123,0.06532129580456718,0.10939989378651088,0.48537278270509976,0.05915083402214428,0.0243161094224924,-0.06511144564415129,0.45887379896526237,0.032520325203252036,0.11477272727272728,0.019417475728155338
cohort_G25-J69,cont,balanced_rf,gender,M,1630,157,0.09631901840490797,0.0834355828220859,0.5595279792096376,0.10603041456594264,0.07508532423208192,-0.015786434523968208,0.49260143301291615,0.07006369426751592,0.08486082824168364,0.08088235294117647
cohort_G25-J69,cont,balanced_rf,age_band,18-39,383,3,0.007832898172323759,0.04960835509138381,0.4631578947368421,0.009216352689842687,0.0,-0.020299948573528754,0.475,0.0,0.05,0.0
