cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_G40-I46,bin,balanced_rf,all,all,5949,122,0.02050764834425954,0.26004370482434025,0.7239475927494112,0.04416546614602371,0.07908927501497903,0.09267116558076723,0.6434109726625911,0.5409836065573771,0.25416166123219497,0.04266321913380737
cohort_G40-I46,bin,balanced_rf,gender,F,2889,64,0.02215299411561094,0.2796815507095881,0.7034153761061948,0.043419531249294555,0.0779816513761468,0.08436120120842333,0.6286338495575221,0.53125,0.27398230088495573,0.04207920792079208
cohort_G40-I46,bin,balanced_rf,gender,M,3060,58,0.01895424836601307,0.2415032679738562,0.743056353235774,0.04756486025052188,0.08030112923462986,0.10074912924174417,0.6581072388522594,0.5517241379310345,0.23550966022651565,0.04330175913396482
cohort_G40-I46,bin,balanced_rf,age_band,18-39,1265,51,0.04031620553359684,0.21818181818181817,0.7900555609393675,0.11272434929285838,0.17737003058103976,0.17391387653134466,0.6825839067093065,0.5686274509803921,0.20345963756177923,0.10507246376811594
cohort_G40-I46,bin,balanced_rf,age_band,40-64,3187,51,0.016002510197678066,0.24443049890178853,0.7207382953181273,0.040635880943312885,0.06265060240963856,0.0787480086270762,0.63484456282513,0.5098039215686274,0.24011479591836735,0.03337612323491656
cohort_G40-I46,bin,balanced_rf,age_band,65-79,1202,14,0.011647254575707155,0.3386023294509151,0.6867784992784992,0.020559392150217626,0.047505938242280284,0.0861790067599045,0.690055315055315,0.7142857142857143,0.3341750841750842,0.02457002457002457
cohort_G40-I46,bin,balanced_rf,age_band,80+,295,6,0.020338983050847456,0.288135593220339,0.484717416378316,0.021962272168434147,0.02197802197802198,-0.03864513271785596,0.4380046136101499,0.16666666666666666,0.2906574394463668,0.011764705882352941
cohort_G40-I46,cont,balanced_rf,all,all,5949,122,0.02050764834425954,0.10943015632879476,0.8221661738599566,0.11313812614900881,0.15265200517464425,0.17343282467302404,0.6910052694213202,0.48360655737704916,0.10159601853440879,0.09062980030721966
cohort_G40-I46,cont,balanced_rf,gender,F,2889,64,0.02215299411561094,0.13187954309449637,0.8437693584070797,0.13164569221078037,0.1662921348314607,0.19850701396795786,0.7281775442477876,0.578125,0.12176991150442477,0.09711286089238845
cohort_G40-I46,cont,balanced_rf,gender,M,3060,58,0.01895424836601307,0.08823529411764706,0.8025454294837925,0.10076454576767055,0.13414634146341464,0.14264320141959744,0.6483493762778837,0.3793103448275862,0.08261159227181879,0.08148148148148149
cohort_G40-I46,cont,balanced_rf,age_band,18-39,1265,51,0.04031620553359684,0.06086956521739131,0.8980279096811706,0.3557047376784598,0.4375,0.41847162828933293,0.7543285848111898,0.5490196078431373,0.04036243822075782,0.36363636363636365
cohort_G40-I46,cont,balanced_rf,age_band,40-64,3187,51,0.016002510197678066,0.10887982428616254,0.8070134303721489,0.09616079949703554,0.12562814070351758,0.15611352683209148,0.6937587535014006,0.49019607843137253,0.10267857142857142,0.07204610951008646
cohort_G40-I46,cont,balanced_rf,age_band,65-79,1202,14,0.011647254575707155,0.16638935108153077,0.7577861952861953,0.027776398659195782,0.04672897196261682,0.055601170669452034,0.5965007215007215,0.35714285714285715,0.16414141414141414,0.025
cohort_G40-I46,cont,balanced_rf,age_band,80+,295,6,0.020338983050847456,0.09152542372881356,0.7756632064590542,0.05591328622363806,0.06060606060606061,0.03754722241905912,0.5383506343713956,0.16666666666666666,0.08996539792387544,0.037037037037037035
cohort_G40-I46,cont_bin,balanced_rf,all,all,5949,122,0.02050764834425954,0.11380063876281728,0.8180797699797718,0.10959496123780772,0.16270337922403003,0.19090579303710192,0.7138792843940165,0.5327868852459017,0.10502831645786855,0.09601181683899557
cohort_G40-I46,cont_bin,balanced_rf,gender,F,2889,64,0.02215299411561094,0.12876427829698858,0.8359043141592921,0.1264507591819772,0.1651376146788991,0.19491282515249791,0.7217809734513274,0.5625,0.11893805309734513,0.0967741935483871
cohort_G40-I46,cont_bin,balanced_rf,gender,M,3060,58,0.01895424836601307,0.09967320261437909,0.8021520136001287,0.10102743893892424,0.15977961432506887,0.1857522231514775,0.7040306462358428,0.5,0.09193870752831446,0.09508196721311475
cohort_G40-I46,cont_bin,balanced_rf,age_band,18-39,1265,51,0.04031620553359684,0.06482213438735178,0.8977291081177117,0.3841559841777425,0.45112781954887216,0.43572412778553155,0.772700843104952,0.5882352941176471,0.042833607907743,0.36585365853658536
cohort_G40-I46,cont_bin,balanced_rf,age_band,40-64,3187,51,0.016002510197678066,0.11139002196422969,0.7956057422969187,0.07721838210830304,0.12807881773399016,0.16149266627455106,0.7024466036414565,0.5098039215686274,0.10491071428571429,0.07323943661971831
cohort_G40-I46,cont_bin,balanced_rf,age_band,65-79,1202,14,0.011647254575707155,0.17304492512479203,0.7571849446849447,0.029816780716950483,0.05405405405405406,0.07332825627807928,0.6292688792688793,0.42857142857142855,0.17003367003367004,0.028846153846153848
cohort_G40-I46,cont_bin,balanced_rf,age_band,80+,295,6,0.020338983050847456,0.10847457627118644,0.7661476355247981,0.06328696059803232,0.15789473684210525,0.18140774491715836,0.6998269896193772,0.5,0.10034602076124567,0.09375
cohort_G40-I46,cont_disc_bin,balanced_rf,all,all,5949,122,0.02050764834425954,0.11161539754580602,0.8043611283820091,0.10222321219158037,0.15012722646310434,0.1709336077243781,0.6898897725961958,0.48360655737704916,0.10382701218465763,0.08885542168674698
cohort_G40-I46,cont_disc_bin,balanced_rf,gender,F,2889,64,0.02215299411561094,0.12391831083419869,0.8249308628318585,0.10672560881094821,0.15639810426540285,0.17893763989667313,0.7002903761061947,0.515625,0.11504424778761062,0.09217877094972067
cohort_G40-I46,cont_disc_bin,balanced_rf,gender,M,3060,58,0.01895424836601307,0.1,0.7834748098968504,0.11277847246377078,0.14285714285714285,0.1613655319511937,0.6775023547520045,0.4482758620689655,0.09327115256495669,0.08496732026143791
cohort_G40-I46,cont_disc_bin,balanced_rf,age_band,18-39,1265,51,0.04031620553359684,0.06403162055335969,0.8763042284459088,0.34709089554342515,0.4393939393939394,0.42246580968638014,0.7628969215363246,0.5686274509803921,0.042833607907743,0.35802469135802467
cohort_G40-I46,cont_disc_bin,balanced_rf,age_band,40-64,3187,51,0.016002510197678066,0.1110762472544713,0.7898909563825531,0.07515328420907229,0.11358024691358025,0.1379464939077177,0.6727159613845538,0.45098039215686275,0.1055484693877551,0.06497175141242938
