cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_G91-G97,bin,balanced_rf,all,all,582,15,0.02577319587628866,0.27835051546391754,0.41857730746619637,0.02801123568147023,0.04519774011299435,-0.004240146483305576,0.4940035273368607,0.26666666666666666,0.2786596119929453,0.024691358024691357
cohort_G91-G97,bin,balanced_rf,gender,F,294,4,0.013605442176870748,0.24829931972789115,0.421551724137931,0.020535527306872567,0.025974025974025976,0.0004623208012620123,0.5008620689655172,0.25,0.2482758620689655,0.0136986301369863
cohort_G91-G97,bin,balanced_rf,gender,M,288,11,0.03819444444444445,0.3090277777777778,0.41270101739415815,0.04517791523433991,0.06,-0.01565453138783053,0.4811289793239252,0.2727272727272727,0.3104693140794224,0.033707865168539325
cohort_G91-G97,bin,balanced_rf,age_band,18-39,67,3,0.04477611940298507,0.2835820895522388,0.07812499999999999,0.032072761378951216,0.0,-0.13621559198564603,0.3515625,0.0,0.296875,0.0
cohort_G91-G97,bin,balanced_rf,age_band,40-64,263,11,0.04182509505703422,0.33079847908745247,0.4466089466089466,0.04521096111696059,0.061224489795918366,-0.025786755860507975,0.46969696969696967,0.2727272727272727,0.3333333333333333,0.034482758620689655
cohort_G91-G97,bin,balanced_rf,age_band,65-79,199,1,0.005025125628140704,0.23115577889447236,0.9217171717171716,0.058823529411764705,0.0425531914893617,0.1296087148780205,0.8863636363636364,1.0,0.22727272727272727,0.021739130434782608
cohort_G91-G97,bin,balanced_rf,age_band,80+,53,0,0.0,0.18867924528301888,,,,,,,0.18867924528301888,0.0
cohort_G91-G97,cont,balanced_rf,all,all,582,15,0.02577319587628866,0.14261168384879724,0.4268665490887713,0.029270382049180352,0.04081632653061224,-0.004315772475409967,0.4952380952380952,0.13333333333333333,0.14285714285714285,0.024096385542168676
cohort_G91-G97,cont,balanced_rf,gender,F,294,4,0.013605442176870748,0.07142857142857142,0.04181034482758622,0.009711151316683783,0.0,-0.032573117099222816,0.46379310344827585,0.0,0.07241379310344828,0.0
cohort_G91-G97,cont,balanced_rf,gender,M,288,11,0.03819444444444445,0.2152777777777778,0.5052510666229078,0.04874729034020625,0.0547945205479452,-0.016222566900583844,0.48260584181161803,0.18181818181818182,0.21660649819494585,0.03225806451612903
