cohort,feature_set,fold,feature,itemid,representation,importance
cohort_G96-J96,cont,0,cont_50803,50803,cont,0.0008442351299494155
cohort_G96-J96,cont,0,cont_50804,50804,cont,0.010806321363455579
cohort_G96-J96,cont,0,cont_50805,50805,cont,0.0
cohort_G96-J96,cont,0,cont_50806,50806,cont,0.0012637944066515496
cohort_G96-J96,cont,0,cont_50808,50808,cont,0.009949718824036417
cohort_G96-J96,cont,0,cont_50809,50809,cont,0.005180245628759304
cohort_G96-J96,cont,0,cont_50811,50811,cont,0.003385348841515024
cohort_G96-J96,cont,0,cont_50813,50813,cont,0.008536203093295827
cohort_G96-J96,cont,0,cont_50814,50814,cont,0.0
cohort_G96-J96,cont,0,cont_50818,50818,cont,0.012309547088079454
cohort_G96-J96,cont,0,cont_50820,50820,cont,0.019047180370601664
cohort_G96-J96,cont,0,cont_50821,50821,cont,0.013859862085174368
cohort_G96-J96,cont,0,cont_50822,50822,cont,0.008247086364700734
cohort_G96-J96,cont,0,cont_50824,50824,cont,0.0052454032077342274
cohort_G96-J96,cont,0,cont_50853,50853,cont,0.00019047619047619045
cohort_G96-J96,cont,0,cont_50856,50856,cont,0.0
cohort_G96-J96,cont,0,cont_50861,50861,cont,0.009153989381724915
cohort_G96-J96,cont,0,cont_50862,50862,cont,0.008447394196949669
cohort_G96-J96,cont,0,cont_50863,50863,cont,0.010887765617811365
cohort_G96-J96,cont,0,cont_50866,50866,cont,0.0002612244897959181
cohort_G96-J96,cont,0,cont_50867,50867,cont,0.00025396825396825396
cohort_G96-J96,cont,0,cont_50868,50868,cont,0.016387222730734636
cohort_G96-J96,cont,0,cont_50877,50877,cont,0.0
cohort_G96-J96,cont,0,cont_50878,50878,cont,0.006787887660327774
cohort_G96-J96,cont,0,cont_50881,50881,cont,0.0
cohort_G96-J96,cont,0,cont_50882,50882,cont,0.02614075429357808
cohort_G96-J96,cont,0,cont_50883,50883,cont,0.0
cohort_G96-J96,cont,0,cont_50885,50885,cont,0.005636285538629634
cohort_G96-J96,cont,0,cont_50889,50889,cont,0.005887242737916915
cohort_G96-J96,cont,0,cont_50890,50890,cont,0.0
cohort_G96-J96,cont,0,cont_50891,50891,cont,0.0
cohort_G96-J96,cont,0,cont_50893,50893,cont,0.021485256548561864
cohort_G96-J96,cont,0,cont_50894,50894,cont,0.0
cohort_G96-J96,cont,0,cont_50895,50895,cont,0.0
cohort_G96-J96,cont,0,cont_50896,50896,cont,0.0
cohort_G96-J96,cont,0,cont_50899,50899,cont,0.0
cohort_G96-J96,cont,0,cont_50902,50902,cont,0.02482685998136461
cohort_G96-J96,cont,0,cont_50904,50904,cont,0.0009177489177489178
cohort_G96-J96,cont,0,cont_50905,50905,cont,0.0
cohort_G96-J96,cont,0,cont_50906,50906,cont,0.0
cohort_G96-J96,cont,0,cont_50907,50907,cont,0.0004952380952380952
cohort_G96-J96,cont,0,cont_50908,50908,cont,0.0
cohort_G96-J96,cont,0,cont_50910,50910,cont,0.0
cohort_G96-J96,cont,0,cont_50911,50911,cont,0.00054421768707483
cohort_G96-J96,cont,0,cont_50912,50912,cont,0.017909425715844127
cohort_G96-J96,cont,0,cont_50914,50914,cont,0.0
cohort_G96-J96,cont,0,cont_50915,50915,cont,0.0
cohort_G96-J96,cont,0,cont_50916,50916,cont,0.0
cohort_G96-J96,cont,0,cont_50917,50917,cont,0.0
cohort_G96-J96,cont,0,cont_50924,50924,cont,0.00291319119722481
cohort_G96-J96,cont,0,cont_50925,50925,cont,0.0011537827252112965
cohort_G96-J96,cont,0,cont_50927,50927,cont,0.0
cohort_G96-J96,cont,0,cont_50930,50930,cont,0.000492063492063492
cohort_G96-J96,cont,0,cont_50931,50931,cont,0.0
cohort_G96-J96,cont,0,cont_50935,50935,cont,0.00384164448189216
cohort_G96-J96,cont,0,cont_50945,50945,cont,0.0
cohort_G96-J96,cont,0,cont_50949,50949,cont,0.0
cohort_G96-J96,cont,0,cont_50950,50950,cont,0.0004761904761904762
cohort_G96-J96,cont,0,cont_50951,50951,cont,0.0006614338042909475
cohort_G96-J96,cont,0,cont_50952,50952,cont,0.0035640231539391196
cohort_G96-J96,cont,0,cont_50953,50953,cont,0.002143715143715144
cohort_G96-J96,cont,0,cont_50954,50954,cont,0.01023458969714955
cohort_G96-J96,cont,0,cont_50956,50956,cont,0.0004705882352941174
cohort_G96-J96,cont,0,cont_50957,50957,cont,0.0
cohort_G96-J96,cont,0,cont_50960,50960,cont,0.018323634240580353
cohort_G96-J96,cont,0,cont_50964,50964,cont,0.003082368250567009
cohort_G96-J96,cont,0,cont_50965,50965,cont,0.0
cohort_G96-J96,cont,0,cont_50966,50966,cont,0.0
cohort_G96-J96,cont,0,cont_50967,50967,cont,0.0
cohort_G96-J96,cont,0,cont_50968,50968,cont,0.0
cohort_G96-J96,cont,0,cont_50969,50969,cont,0.0
cohort_G96-J96,cont,0,cont_50970,50970,cont,0.028780563280733012
cohort_G96-J96,cont,0,cont_50971,50971,cont,0.018965645545408995
cohort_G96-J96,cont,0,cont_50976,50976,cont,0.002289833932773891
cohort_G96-J96,cont,0,cont_50978,50978,cont,0.0
cohort_G96-J96,cont,0,cont_50981,50981,cont,0.0
cohort_G96-J96,cont,0,cont_50982,50982,cont,0.0
cohort_G96-J96,cont,0,cont_50983,50983,cont,0.014748053939051377
cohort_G96-J96,cont,0,cont_50986,50986,cont,0.0
cohort_G96-J96,cont,0,cont_50988,50988,cont,0.0
cohort_G96-J96,cont,0,cont_50989,50989,cont,0.0
cohort_G96-J96,cont,0,cont_50990,50990,cont,0.0
cohort_G96-J96,cont,0,cont_50992,50992,cont,0.0
cohort_G96-J96,cont,0,cont_50993,50993,cont,0.0016750657973627155
cohort_G96-J96,cont,0,cont_50994,50994,cont,0.0003174603174603175
cohort_G96-J96,cont,0,cont_50995,50995,cont,0.0002857142857142857
cohort_G96-J96,cont,0,cont_50997,50997,cont,0.0
cohort_G96-J96,cont,0,cont_50998,50998,cont,0.0035581669980105216
cohort_G96-J96,cont,0,cont_51000,51000,cont,0.0005714285714285714
cohort_G96-J96,cont,0,cont_51001,51001,cont,0.0
cohort_G96-J96,cont,0,cont_51005,51005,cont,0.0
cohort_G96-J96,cont,0,cont_51006,51006,cont,0.01918838054012755
cohort_G96-J96,cont,0,cont_51007,51007,cont,0.0012334662600672454
cohort_G96-J96,cont,0,cont_51008,51008,cont,0.0
cohort_G96-J96,cont,0,cont_51009,51009,cont,0.006471321294491084
cohort_G96-J96,cont,0,cont_51010,51010,cont,0.0014325272054595368
cohort_G96-J96,cont,0,cont_51070,51070,cont,0.0009304029304029305
cohort_G96-J96,cont,0,cont_51080,51080,cont,0.0
cohort_G96-J96,cont,0,cont_51099,51099,cont,0.0003047619047619047
cohort_G96-J96,cont,0,cont_51110,51110,cont,0.0
cohort_G96-J96,cont,0,cont_51111,51111,cont,0.0
cohort_G96-J96,cont,0,cont_51114,51114,cont,0.0
cohort_G96-J96,cont,0,cont_51116,51116,cont,0.0
cohort_G96-J96,cont,0,cont_51117,51117,cont,0.0
cohort_G96-J96,cont,0,cont_51118,51118,cont,0.0
cohort_G96-J96,cont,0,cont_51120,51120,cont,0.0
cohort_G96-J96,cont,0,cont_51124,51124,cont,0.0
cohort_G96-J96,cont,0,cont_51125,51125,cont,0.0
cohort_G96-J96,cont,0,cont_51127,51127,cont,0.0
cohort_G96-J96,cont,0,cont_51130,51130,cont,0.0
cohort_G96-J96,cont,0,cont_51131,51131,cont,0.0
cohort_G96-J96,cont,0,cont_51132,51132,cont,0.0
cohort_G96-J96,cont,0,cont_51133,51133,cont,0.010678612720841826
cohort_G96-J96,cont,0,cont_51138,51138,cont,0.0
cohort_G96-J96,cont,0,cont_51139,51139,cont,0.0
cohort_G96-J96,cont,0,cont_51140,51140,cont,0.0
cohort_G96-J96,cont,0,cont_51143,51143,cont,0.0019903471269930896
cohort_G96-J96,cont,0,cont_51144,51144,cont,0.0010256410256410254
cohort_G96-J96,cont,0,cont_51146,51146,cont,0.010487510550779015
cohort_G96-J96,cont,0,cont_51148,51148,cont,0.0003174603174603175
cohort_G96-J96,cont,0,cont_51149,51149,cont,0.0
cohort_G96-J96,cont,0,cont_51181,51181,cont,0.0
cohort_G96-J96,cont,0,cont_51196,51196,cont,0.0
cohort_G96-J96,cont,0,cont_51199,51199,cont,0.0
cohort_G96-J96,cont,0,cont_51200,51200,cont,0.016638114558684528
cohort_G96-J96,cont,0,cont_51202,51202,cont,0.0
cohort_G96-J96,cont,0,cont_51203,51203,cont,0.0
cohort_G96-J96,cont,0,cont_51204,51204,cont,0.0
cohort_G96-J96,cont,0,cont_51205,51205,cont,0.0
cohort_G96-J96,cont,0,cont_51206,51206,cont,0.0
cohort_G96-J96,cont,0,cont_51207,51207,cont,0.0
cohort_G96-J96,cont,0,cont_51208,51208,cont,0.0
cohort_G96-J96,cont,0,cont_51209,51209,cont,0.0
cohort_G96-J96,cont,0,cont_51214,51214,cont,0.00572562540636901
cohort_G96-J96,cont,0,cont_51218,51218,cont,0.0
cohort_G96-J96,cont,0,cont_51221,51221,cont,0.04220786384881221
cohort_G96-J96,cont,0,cont_51222,51222,cont,0.047321359008439624
cohort_G96-J96,cont,0,cont_51223,51223,cont,0.0
cohort_G96-J96,cont,0,cont_51224,51224,cont,0.0
cohort_G96-J96,cont,0,cont_51225,51225,cont,0.0
cohort_G96-J96,cont,0,cont_51227,51227,cont,0.0
cohort_G96-J96,cont,0,cont_51228,51228,cont,0.0
cohort_G96-J96,cont,0,cont_51229,51229,cont,0.0
cohort_G96-J96,cont,0,cont_51232,51232,cont,0.0
cohort_G96-J96,cont,0,cont_51237,51237,cont,0.01802213336158493
cohort_G96-J96,cont,0,cont_51241,51241,cont,0.0
cohort_G96-J96,cont,0,cont_51244,51244,cont,0.011187275102451367
cohort_G96-J96,cont,0,cont_51245,51245,cont,0.0
cohort_G96-J96,cont,0,cont_51248,51248,cont,0.01955814047822085
cohort_G96-J96,cont,0,cont_51249,51249,cont,0.012810293421487646
cohort_G96-J96,cont,0,cont_51250,51250,cont,0.02873028411452297
cohort_G96-J96,cont,0,cont_51251,51251,cont,0.00219716239592016
cohort_G96-J96,cont,0,cont_51254,51254,cont,0.012009845487289093
cohort_G96-J96,cont,0,cont_51255,51255,cont,0.0010125060125060125
cohort_G96-J96,cont,0,cont_51256,51256,cont,0.018079722378869793
cohort_G96-J96,cont,0,cont_51257,51257,cont,0.00959934175163292
cohort_G96-J96,cont,0,cont_51259,51259,cont,0.0
cohort_G96-J96,cont,0,cont_51263,51263,cont,0.0
cohort_G96-J96,cont,0,cont_51265,51265,cont,0.027824888872519493
cohort_G96-J96,cont,0,cont_51269,51269,cont,0.0
cohort_G96-J96,cont,0,cont_51270,51270,cont,0.0
cohort_G96-J96,cont,0,cont_51271,51271,cont,0.0
cohort_G96-J96,cont,0,cont_51272,51272,cont,0.0
cohort_G96-J96,cont,0,cont_51273,51273,cont,0.0
cohort_G96-J96,cont,0,cont_51274,51274,cont,0.018021234696525862
cohort_G96-J96,cont,0,cont_51275,51275,cont,0.02514571970742775
cohort_G96-J96,cont,0,cont_51276,51276,cont,0.0
cohort_G96-J96,cont,0,cont_51277,51277,cont,0.01519783590689262
cohort_G96-J96,cont,0,cont_51279,51279,cont,0.04081284698837223
cohort_G96-J96,cont,0,cont_51282,51282,cont,0.0012335600907029483
cohort_G96-J96,cont,0,cont_51283,51283,cont,0.000747089947089947
cohort_G96-J96,cont,0,cont_51284,51284,cont,0.0
cohort_G96-J96,cont,0,cont_51288,51288,cont,0.0
cohort_G96-J96,cont,0,cont_51289,51289,cont,0.0
cohort_G96-J96,cont,0,cont_51297,51297,cont,0.0
cohort_G96-J96,cont,0,cont_51298,51298,cont,0.0
cohort_G96-J96,cont,0,cont_51299,51299,cont,0.0
cohort_G96-J96,cont,0,cont_51300,51300,cont,0.0
cohort_G96-J96,cont,0,cont_51301,51301,cont,0.01624273945192123
cohort_G96-J96,cont,0,cont_51366,51366,cont,0.0
cohort_G96-J96,cont,0,cont_51368,51368,cont,0.0
cohort_G96-J96,cont,0,cont_51375,51375,cont,0.0
cohort_G96-J96,cont,0,cont_51376,51376,cont,0.0
cohort_G96-J96,cont,0,cont_51377,51377,cont,0.0
cohort_G96-J96,cont,0,cont_51379,51379,cont,0.0
cohort_G96-J96,cont,0,cont_51382,51382,cont,0.0
cohort_G96-J96,cont,0,cont_51383,51383,cont,0.0
cohort_G96-J96,cont,0,cont_51386,51386,cont,0.0
cohort_G96-J96,cont,0,cont_51419,51419,cont,0.0
cohort_G96-J96,cont,0,cont_51427,51427,cont,0.0
cohort_G96-J96,cont,0,cont_51428,51428,cont,0.0
cohort_G96-J96,cont,0,cont_51429,51429,cont,0.0
cohort_G96-J96,cont,0,cont_51431,51431,cont,0.0
cohort_G96-J96,cont,0,cont_51433,51433,cont,0.0
cohort_G96-J96,cont,0,cont_51435,51435,cont,0.0
cohort_G96-J96,cont,0,cont_51436,51436,cont,0.0
cohort_G96-J96,cont,0,cont_51438,51438,cont,0.0
cohort_G96-J96,cont,0,cont_51440,51440,cont,0.0
cohort_G96-J96,cont,0,cont_51441,51441,cont,0.0
cohort_G96-J96,cont,0,cont_51442,51442,cont,0.0
cohort_G96-J96,cont,0,cont_51444,51444,cont,0.0
cohort_G96-J96,cont,0,cont_51446,51446,cont,0.0
cohort_G96-J96,cont,0,cont_51447,51447,cont,0.0
cohort_G96-J96,cont,0,cont_51448,51448,cont,0.0
cohort_G96-J96,cont,0,cont_51450,51450,cont,0.0
cohort_G96-J96,cont,0,cont_51452,51452,cont,0.0
cohort_G96-J96,cont,0,cont_51454,51454,cont,0.0
cohort_G96-J96,cont,0,cont_51455,51455,cont,0.0
cohort_G96-J96,cont,0,cont_51457,51457,cont,0.0
cohort_G96-J96,cont,0,cont_51467,51467,cont,0.0
cohort_G96-J96,cont,0,cont_51471,51471,cont,0.0
cohort_G96-J96,cont,0,cont_51479,51479,cont,0.0
cohort_G96-J96,cont,0,cont_51482,51482,cont,0.0023944584516013096
cohort_G96-J96,cont,0,cont_51484,51484,cont,0.0006134123186754766
cohort_G96-J96,cont,0,cont_51492,51492,cont,0.005538145536435379
cohort_G96-J96,cont,0,cont_51493,51493,cont,0.006517412763166853
cohort_G96-J96,cont,0,cont_51494,51494,cont,0.0
cohort_G96-J96,cont,0,cont_51498,51498,cont,0.01306794650227854
cohort_G96-J96,cont,0,cont_51507,51507,cont,0.0
cohort_G96-J96,cont,0,cont_51515,51515,cont,0.0
cohort_G96-J96,cont,0,cont_51516,51516,cont,0.008351889644746787
cohort_G96-J96,cont,0,cont_51517,51517,cont,0.0
cohort_G96-J96,cont,0,cont_51567,51567,cont,0.004113158586547584
cohort_G96-J96,cont,0,cont_51621,51621,cont,0.003795121868319569
cohort_G96-J96,cont,0,cont_51625,51625,cont,0.007602338438757783
cohort_G96-J96,cont,0,cont_51626,51626,cont,0.0027451429940712766
cohort_G96-J96,cont,0,cont_51627,51627,cont,0.004019256284419192
cohort_G96-J96,cont,0,cont_51802,51802,cont,0.0050094401481946445
cohort_G96-J96,cont,0,cont_52024,52024,cont,0.00715536858410808
cohort_G96-J96,cont,0,cont_52065,52065,cont,0.0030863130679506657
cohort_G96-J96,cont,0,cont_52069,52069,cont,0.007540168918178649
cohort_G96-J96,cont,0,cont_52073,52073,cont,0.005607661756233184
cohort_G96-J96,cont,0,cont_52074,52074,cont,0.008809739716799535
cohort_G96-J96,cont,0,cont_52075,52075,cont,0.005081436362966276
cohort_G96-J96,cont,0,cont_52107,52107,cont,0.004035100800926573
cohort_G96-J96,cont,0,cont_52108,52108,cont,0.004202293927942449
cohort_G96-J96,cont,0,cont_52109,52109,cont,0.004646586679927529
cohort_G96-J96,cont,0,cont_52132,52132,cont,0.004296055070564876
cohort_G96-J96,cont,0,cont_52135,52135,cont,0.0036883160480164485
cohort_G96-J96,cont,0,cont_52172,52172,cont,0.016935537130567557
cohort_G96-J96,cont,0,cont_52177,52177,cont,0.00430690075334923
cohort_G96-J96,cont,0,cont_52178,52178,cont,0.006472652418144024
cohort_G96-J96,cont,0,cont_52179,52179,cont,0.00442518567644618
cohort_G96-J96,cont,0,cont_52285,52285,cont,0.007516174168032074
cohort_G96-J96,cont,0,cont_52286,52286,cont,0.005984987658734176
cohort_G96-J96,cont,0,cont_52312,52312,cont,0.0035311667605030313
cohort_G96-J96,cont,0,cont_52369,52369,cont,0.0035125678717894565
cohort_G96-J96,cont,0,cont_52391,52391,cont,0.007574986218575266
cohort_G96-J96,disc,0,50803,50803,disc,0.001835222978080121
cohort_G96-J96,disc,0,50804,50804,disc,0.009989451722351285
cohort_G96-J96,disc,0,50805,50805,disc,0.0
cohort_G96-J96,disc,0,50806,50806,disc,0.005113846693545944
cohort_G96-J96,disc,0,50808,50808,disc,0.007646707461485787
