cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_G96-N17,bin,balanced_rf,all,all,252,37,0.14682539682539683,0.30952380952380953,0.5679446888749214,0.2064744833940671,0.22608695652173913,0.03753380466977173,0.5245128849780013,0.35135135135135137,0.3023255813953488,0.16666666666666666
cohort_G96-N17,bin,balanced_rf,gender,F,127,20,0.15748031496062992,0.28346456692913385,0.6341121495327102,0.3306783233010393,0.2857142857142857,0.1117925539309195,0.5691588785046728,0.4,0.2616822429906542,0.2222222222222222
cohort_G96-N17,bin,balanced_rf,gender,M,125,17,0.136,0.336,0.5,0.15032984975161692,0.1694915254237288,-0.03517952545225332,0.4757625272331155,0.29411764705882354,0.3425925925925926,0.11904761904761904
cohort_G96-N17,bin,balanced_rf,age_band,18-39,38,1,0.02631578947368421,0.23684210526315788,0.7027027027027026,0.08333333333333333,0.0,-0.09158437663089954,0.3783783783783784,0.0,0.24324324324324326,0.0
cohort_G96-N17,bin,balanced_rf,age_band,40-64,141,17,0.12056737588652482,0.3191489361702128,0.3956356736242885,0.1149052457697655,0.0967741935483871,-0.113331054410246,0.41888045540796964,0.17647058823529413,0.3387096774193548,0.06666666666666667
cohort_G96-N17,bin,balanced_rf,age_band,65-79,65,17,0.26153846153846155,0.35384615384615387,0.7622549019607844,0.5366259313976033,0.5,0.2917199439831521,0.6587009803921569,0.5882352941176471,0.2708333333333333,0.43478260869565216
cohort_G96-N17,bin,balanced_rf,age_band,80+,8,2,0.25,0.125,0.7500000000000001,0.5,0.0,-0.2182178902359924,0.4166666666666667,0.0,0.16666666666666666,0.0
cohort_G96-N17,cont,balanced_rf,all,all,252,37,0.14682539682539683,0.21031746031746032,0.6501571338780642,0.2988100599473847,0.26666666666666666,0.11605094988235042,0.5668133249528599,0.32432432432432434,0.19069767441860466,0.22641509433962265
cohort_G96-N17,cont,balanced_rf,gender,F,127,20,0.15748031496062992,0.2047244094488189,0.7579439252336448,0.4714837057775159,0.391304347826087,0.26280510617997316,0.6455607476635514,0.45,0.1588785046728972,0.34615384615384615
cohort_G96-N17,cont,balanced_rf,gender,M,125,17,0.136,0.216,0.5217864923747277,0.17072543179631453,0.13636363636363635,-0.0381107966983353,0.477124183006536,0.17647058823529413,0.2222222222222222,0.1111111111111111
cohort_G96-N17,cont,balanced_rf,age_band,18-39,38,1,0.02631578947368421,0.07894736842105263,0.9054054054054054,0.2,0.0,-0.048131095111188946,0.4594594594594595,0.0,0.08108108108108109,0.0
cohort_G96-N17,cont,balanced_rf,age_band,40-64,141,17,0.12056737588652482,0.2198581560283688,0.6513282732447818,0.2877170254143416,0.20833333333333334,0.0663907400251554,0.5422201138519924,0.29411764705882354,0.20967741935483872,0.16129032258064516
cohort_G96-N17,cont,balanced_rf,age_band,65-79,65,17,0.26153846153846155,0.24615384615384617,0.5704656862745098,0.41922898441898027,0.42424242424242425,0.2287957637295766,0.6121323529411764,0.4117647058823529,0.1875,0.4375
cohort_G96-N17,cont,balanced_rf,age_band,80+,8,2,0.25,0.375,0.33333333333333337,0.26666666666666666,0.0,-0.4472135954999579,0.25,0.0,0.5,0.0
cohort_G96-N17,cont_bin,balanced_rf,all,all,252,37,0.14682539682539683,0.23809523809523808,0.6826524198617222,0.30975325210629256,0.32989690721649484,0.18928310948787233,0.6138906348208674,0.43243243243243246,0.20465116279069767,0.26666666666666666
cohort_G96-N17,cont_bin,balanced_rf,gender,F,127,20,0.15748031496062992,0.1968503937007874,0.7780373831775701,0.48282095230486355,0.4444444444444444,0.32962014666103945,0.6799065420560748,0.5,0.14018691588785046,0.4
cohort_G96-N17,cont_bin,balanced_rf,gender,M,125,17,0.136,0.28,0.5642701525054467,0.17847869376102737,0.23076923076923078,0.06445254679310754,0.5422113289760349,0.35294117647058826,0.26851851851851855,0.17142857142857143
cohort_G96-N17,cont_bin,balanced_rf,age_band,18-39,38,1,0.02631578947368421,0.18421052631578946,0.8513513513513513,0.14285714285714285,0.25,0.34596404392815117,0.9189189189189189,1.0,0.16216216216216217,0.14285714285714285
cohort_G96-N17,cont_bin,balanced_rf,age_band,40-64,141,17,0.12056737588652482,0.19858156028368795,0.7210626185958254,0.268700533082609,0.26666666666666666,0.14326766521097758,0.5877609108159393,0.35294117647058826,0.1774193548387097,0.21428571428571427
cohort_G96-N17,cont_bin,balanced_rf,age_band,65-79,65,17,0.26153846153846155,0.3076923076923077,0.5790441176470589,0.4696509538700572,0.43243243243243246,0.21004201260420147,0.6102941176470589,0.47058823529411764,0.25,0.4
cohort_G96-N17,cont_bin,balanced_rf,age_band,80+,8,2,0.25,0.625,0.4166666666666667,0.29166666666666663,0.2857142857142857,-0.14907119849998599,0.41666666666666663,0.5,0.6666666666666666,0.2
cohort_G96-N17,cont_disc_bin,balanced_rf,all,all,252,37,0.14682539682539683,0.2698412698412698,0.6162162162162163,0.2571767182501279,0.2857142857142857,0.1266962072394805,0.5794468887492144,0.40540540540540543,0.24651162790697675,0.22058823529411764
cohort_G96-N17,cont_disc_bin,balanced_rf,gender,F,127,20,0.15748031496062992,0.25196850393700787,0.708411214953271,0.3704838235631846,0.38461538461538464,0.24699995320132345,0.647196261682243,0.5,0.205607476635514,0.3125
cohort_G96-N17,cont_disc_bin,balanced_rf,gender,M,125,17,0.136,0.288,0.50599128540305,0.1808289244232486,0.18867924528301888,0.005359950268417398,0.5035403050108932,0.29411764705882354,0.28703703703703703,0.1388888888888889
cohort_G96-N17,cont_disc_bin,balanced_rf,age_band,18-39,38,1,0.02631578947368421,0.21052631578947367,0.7567567567567568,0.1,0.0,-0.08489527199560178,0.3918918918918919,0.0,0.21621621621621623,0.0
