cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_G96-N17,bin,balanced_rf,gender,statistical_parity,selection_rate,0.05253543307086617,0.8436445444319459,F,M,2,2
cohort_G96-N17,bin,balanced_rf,gender,predictive_parity,ppv,0.10317460317460317,0.5357142857142857,M,F,2,2
cohort_G96-N17,bin,balanced_rf,gender,equal_opportunity,tpr,0.10588235294117648,0.7352941176470588,M,F,2,2
cohort_G96-N17,bin,balanced_rf,gender,predictive_equality,fpr,0.08091034960193844,0.7638292498105581,F,M,2,2
cohort_G96-N17,bin,balanced_rf,gender,equalised_odds,tpr,0.10588235294117648,0.7352941176470588,M,F,2,2
cohort_G96-N17,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.03469721767594108,0.9019426456984274,40-64,65-79,2,2
cohort_G96-N17,bin,balanced_rf,age_band,predictive_parity,ppv,0.3681159420289855,0.15333333333333335,40-64,65-79,2,2
cohort_G96-N17,bin,balanced_rf,age_band,equal_opportunity,tpr,0.4117647058823529,0.3,40-64,65-79,2,2
cohort_G96-N17,bin,balanced_rf,age_band,predictive_equality,fpr,0.0678763440860215,0.7996031746031746,65-79,40-64,2,2
cohort_G96-N17,bin,balanced_rf,age_band,equalised_odds,tpr,0.4117647058823529,0.3,40-64,65-79,2,2
cohort_G96-N17,cont,balanced_rf,gender,statistical_parity,selection_rate,0.011275590551181103,0.9477981918926801,F,M,2,2
cohort_G96-N17,cont,balanced_rf,gender,predictive_parity,ppv,0.23504273504273504,0.32098765432098764,M,F,2,2
cohort_G96-N17,cont,balanced_rf,gender,equal_opportunity,tpr,0.2735294117647059,0.39215686274509803,M,F,2,2
cohort_G96-N17,cont,balanced_rf,gender,predictive_equality,fpr,0.06334371754932502,0.7149532710280374,F,M,2,2
cohort_G96-N17,cont,balanced_rf,gender,equalised_odds,tpr,0.2735294117647059,0.39215686274509803,M,F,2,2
cohort_G96-N17,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.02629569012547736,0.8931737588652482,40-64,65-79,2,2
cohort_G96-N17,cont,balanced_rf,age_band,predictive_parity,ppv,0.27620967741935487,0.3686635944700461,40-64,65-79,2,2
cohort_G96-N17,cont,balanced_rf,age_band,equal_opportunity,tpr,0.11764705882352938,0.7142857142857143,40-64,65-79,2,2
cohort_G96-N17,cont,balanced_rf,age_band,predictive_equality,fpr,0.022177419354838718,0.8942307692307692,65-79,40-64,2,2
cohort_G96-N17,cont,balanced_rf,age_band,equalised_odds,tpr,0.11764705882352938,0.7142857142857143,40-64,65-79,2,2
cohort_G96-N17,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.08314960629921261,0.703037120359955,F,M,2,2
cohort_G96-N17,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.2285714285714286,0.42857142857142855,M,F,2,2
cohort_G96-N17,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.14705882352941174,0.7058823529411765,M,F,2,2
cohort_G96-N17,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.1283316026306681,0.5220754108926844,F,M,2,2
cohort_G96-N17,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.14705882352941174,0.7058823529411765,M,F,2,2
cohort_G96-N17,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.10911074740861976,0.6453900709219859,40-64,65-79,2,2
