cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_H43-H54,bin,balanced_rf,gender,statistical_parity,selection_rate,0.062482318231418976,0.7636085626911315,M,F,2,2
cohort_H43-H54,bin,balanced_rf,gender,predictive_parity,ppv,0.12575757575757576,0.20952380952380953,F,M,2,2
cohort_H43-H54,bin,balanced_rf,gender,equal_opportunity,tpr,0.10588235294117646,0.48571428571428577,F,M,2,2
cohort_H43-H54,bin,balanced_rf,gender,predictive_equality,fpr,0.07910628019323673,0.7176724137931034,M,F,2,2
cohort_H43-H54,bin,balanced_rf,gender,equalised_odds,tpr,0.10588235294117646,0.48571428571428577,F,M,2,2
cohort_H43-H54,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.004497751124437788,0.9806763285024155,40-64,65-79,2,2
cohort_H43-H54,bin,balanced_rf,age_band,predictive_parity,ppv,0.015873015873015872,0.8571428571428571,40-64,65-79,2,2
cohort_H43-H54,bin,balanced_rf,age_band,equal_opportunity,tpr,0.12272727272727271,0.55,40-64,65-79,2,2
cohort_H43-H54,bin,balanced_rf,age_band,predictive_equality,fpr,0.01295399515738499,0.9463659147869674,65-79,40-64,2,2
cohort_H43-H54,bin,balanced_rf,age_band,equalised_odds,tpr,0.12272727272727271,0.55,40-64,65-79,2,2
cohort_H43-H54,cont,balanced_rf,gender,statistical_parity,selection_rate,0.02362284282423313,0.843946068615672,F,M,2,2
cohort_H43-H54,cont,balanced_rf,gender,predictive_parity,ppv,0.14733542319749215,0.1896551724137931,F,M,2,2
cohort_H43-H54,cont,balanced_rf,gender,equal_opportunity,tpr,0.1264705882352941,0.2833333333333333,F,M,2,2
cohort_H43-H54,cont,balanced_rf,gender,predictive_equality,fpr,0.011473429951690844,0.9218106995884772,F,M,2,2
cohort_H43-H54,cont,balanced_rf,gender,equalised_odds,tpr,0.1264705882352941,0.2833333333333333,F,M,2,2
cohort_H43-H54,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.06734132933533235,0.6094202898550724,40-64,65-79,2,2
cohort_H43-H54,cont,balanced_rf,age_band,predictive_parity,ppv,0.07241379310344828,0.58,65-79,40-64,2,2
cohort_H43-H54,cont,balanced_rf,age_band,equal_opportunity,tpr,0.05681818181818182,0.6875,40-64,65-79,2,2
cohort_H43-H54,cont,balanced_rf,age_band,predictive_equality,fpr,0.06973365617433414,0.5932203389830509,40-64,65-79,2,2
cohort_H43-H54,cont,balanced_rf,age_band,equalised_odds,fpr,0.06973365617433414,0.5932203389830509,40-64,65-79,2,2
cohort_H43-H54,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.019581295720001612,0.87803650094399,F,M,2,2
cohort_H43-H54,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.11160714285714285,0.21875,F,M,2,2
cohort_H43-H54,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.09705882352941177,0.34,F,M,2,2
cohort_H43-H54,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.013285024154589375,0.9185185185185185,F,M,2,2
cohort_H43-H54,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.09705882352941177,0.34,F,M,2,2
cohort_H43-H54,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.08595702148925538,0.5664776307498425,40-64,65-79,2,2
cohort_H43-H54,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.04207573632538569,0.6739130434782609,65-79,40-64,2,2
cohort_H43-H54,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.08181818181818182,0.55,40-64,65-79,2,2
cohort_H43-H54,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.08559322033898306,0.5720338983050847,40-64,65-79,2,2
cohort_H43-H54,cont_bin,balanced_rf,age_band,equalised_odds,fpr,0.08559322033898306,0.5720338983050847,40-64,65-79,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.0375661803338318,0.7786641266817478,F,M,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.15585585585585587,0.17619047619047618,F,M,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.15588235294117647,0.24285714285714288,F,M,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.022946859903381633,0.8592592592592593,F,M,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.15588235294117647,0.24285714285714288,F,M,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.05647176411794104,0.672463768115942,40-64,65-79,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.0875,0.5333333333333333,65-79,40-64,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.03181818181818183,0.825,40-64,65-79,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.0612590799031477,0.6426553672316384,40-64,65-79,2,2
cohort_H43-H54,cont_disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.0612590799031477,0.6426553672316384,40-64,65-79,2,2
cohort_H43-H54,disc,balanced_rf,gender,statistical_parity,selection_rate,0.02194560077597707,0.9003303964757708,F,M,2,2
cohort_H43-H54,disc,balanced_rf,gender,predictive_parity,ppv,0.015277777777777779,0.8533333333333333,F,M,2,2
cohort_H43-H54,disc,balanced_rf,gender,equal_opportunity,tpr,0.05294117647058824,0.7352941176470588,M,F,2,2
cohort_H43-H54,disc,balanced_rf,gender,predictive_equality,fpr,0.03562801932367152,0.8475452196382428,F,M,2,2
cohort_H43-H54,disc,balanced_rf,gender,equalised_odds,tpr,0.05294117647058824,0.7352941176470588,M,F,2,2
cohort_H43-H54,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.034107946026986496,0.8348457350272233,65-79,40-64,2,2
cohort_H43-H54,disc,balanced_rf,age_band,predictive_parity,ppv,0.04473684210526316,0.7017543859649122,40-64,65-79,2,2
cohort_H43-H54,disc,balanced_rf,age_band,equal_opportunity,tpr,0.12272727272727271,0.55,40-64,65-79,2,2
cohort_H43-H54,disc,balanced_rf,age_band,predictive_equality,fpr,0.05419693301049233,0.7492063492063492,65-79,40-64,2,2
cohort_H43-H54,disc,balanced_rf,age_band,equalised_odds,tpr,0.12272727272727271,0.55,40-64,65-79,2,2
cohort_H43-H54,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.014387907691064128,0.9305094671091159,M,F,2,2
cohort_H43-H54,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.05521783181357649,0.5361702127659574,F,M,2,2
cohort_H43-H54,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.002941176470588225,0.9803921568627452,M,F,2,2
cohort_H43-H54,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.011473429951690817,0.9460227272727273,M,F,2,2
cohort_H43-H54,disc_bin,balanced_rf,gender,equalised_odds,fpr,0.011473429951690817,0.9460227272727273,M,F,2,2
cohort_H43-H54,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.036856571714142916,0.808067664281067,65-79,40-64,2,2
cohort_H43-H54,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.0020964360587002184,0.9814814814814814,65-79,40-64,2,2
cohort_H43-H54,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.03181818181818183,0.825,40-64,65-79,2,2
cohort_H43-H54,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.04677158999192896,0.765146909827761,65-79,40-64,2,2
cohort_H43-H54,disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.04677158999192896,0.765146909827761,65-79,40-64,2,2
cohort_H43-H54,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.004506325021218144,0.9799514519464172,F,M,2,2
cohort_H43-H54,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.0016326530612244816,0.9800000000000001,F,M,2,2
cohort_H43-H54,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.0823529411764706,0.588235294117647,M,F,2,2
cohort_H43-H54,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.02234299516908214,0.9086419753086419,F,M,2,2
cohort_H43-H54,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.0823529411764706,0.588235294117647,M,F,2,2
cohort_H43-H54,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.011869065467266349,0.9435196195005946,65-79,40-64,2,2
cohort_H43-H54,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.044227886056971505,0.6609195402298851,40-64,65-79,2,2
cohort_H43-H54,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.1477272727272727,0.45833333333333337,40-64,65-79,2,2
cohort_H43-H54,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.034100080710250225,0.848158131176999,65-79,40-64,2,2
cohort_H43-H54,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.1477272727272727,0.45833333333333337,40-64,65-79,2,2
