cohort,feature_set,fold,feature,itemid,representation,importance
cohort_H43-H54,cont,0,cont_50803,50803,cont,0.0
cohort_H43-H54,cont,0,cont_50804,50804,cont,0.004496282000092657
cohort_H43-H54,cont,0,cont_50805,50805,cont,0.00016507936507936517
cohort_H43-H54,cont,0,cont_50806,50806,cont,0.00014158249158249152
cohort_H43-H54,cont,0,cont_50808,50808,cont,0.0019111149417031777
cohort_H43-H54,cont,0,cont_50809,50809,cont,0.0004556893745640553
cohort_H43-H54,cont,0,cont_50811,50811,cont,0.0002536460570946589
cohort_H43-H54,cont,0,cont_50813,50813,cont,0.004127890193195977
cohort_H43-H54,cont,0,cont_50814,50814,cont,0.0002009777200951761
cohort_H43-H54,cont,0,cont_50818,50818,cont,0.005808839784674867
cohort_H43-H54,cont,0,cont_50820,50820,cont,0.003250210125589096
cohort_H43-H54,cont,0,cont_50821,50821,cont,0.0031256453117620314
cohort_H43-H54,cont,0,cont_50822,50822,cont,0.003277512926122845
cohort_H43-H54,cont,0,cont_50824,50824,cont,0.0002550425745766248
cohort_H43-H54,cont,0,cont_50853,50853,cont,0.0005254274156834542
cohort_H43-H54,cont,0,cont_50856,50856,cont,0.0
cohort_H43-H54,cont,0,cont_50861,50861,cont,0.0157845349794281
cohort_H43-H54,cont,0,cont_50862,50862,cont,0.03156996182212276
cohort_H43-H54,cont,0,cont_50863,50863,cont,0.016157235872646638
cohort_H43-H54,cont,0,cont_50866,50866,cont,0.0
cohort_H43-H54,cont,0,cont_50867,50867,cont,0.00045545914168136403
cohort_H43-H54,cont,0,cont_50868,50868,cont,0.03700337712234339
cohort_H43-H54,cont,0,cont_50877,50877,cont,0.0
cohort_H43-H54,cont,0,cont_50878,50878,cont,0.03770045353581897
cohort_H43-H54,cont,0,cont_50881,50881,cont,0.0006355540938822673
cohort_H43-H54,cont,0,cont_50882,50882,cont,0.019863995849590085
cohort_H43-H54,cont,0,cont_50883,50883,cont,0.0
cohort_H43-H54,cont,0,cont_50885,50885,cont,0.015463753683697378
cohort_H43-H54,cont,0,cont_50889,50889,cont,0.004137396392769262
cohort_H43-H54,cont,0,cont_50890,50890,cont,1.1428571428571388e-05
cohort_H43-H54,cont,0,cont_50891,50891,cont,0.0
cohort_H43-H54,cont,0,cont_50893,50893,cont,0.014886405342633082
cohort_H43-H54,cont,0,cont_50894,50894,cont,0.0
cohort_H43-H54,cont,0,cont_50895,50895,cont,0.0
cohort_H43-H54,cont,0,cont_50896,50896,cont,0.0
cohort_H43-H54,cont,0,cont_50899,50899,cont,0.0
cohort_H43-H54,cont,0,cont_50902,50902,cont,0.016144502798162902
cohort_H43-H54,cont,0,cont_50904,50904,cont,0.002266384811940664
cohort_H43-H54,cont,0,cont_50905,50905,cont,0.0
cohort_H43-H54,cont,0,cont_50906,50906,cont,0.0
cohort_H43-H54,cont,0,cont_50907,50907,cont,0.0009926971240372773
cohort_H43-H54,cont,0,cont_50908,50908,cont,0.0002548362855609235
cohort_H43-H54,cont,0,cont_50910,50910,cont,0.0
cohort_H43-H54,cont,0,cont_50911,50911,cont,0.0029901784463671425
cohort_H43-H54,cont,0,cont_50912,50912,cont,0.028558146484622012
cohort_H43-H54,cont,0,cont_50914,50914,cont,0.0
cohort_H43-H54,cont,0,cont_50915,50915,cont,0.0
cohort_H43-H54,cont,0,cont_50916,50916,cont,0.0
cohort_H43-H54,cont,0,cont_50917,50917,cont,0.0004766174774503943
cohort_H43-H54,cont,0,cont_50924,50924,cont,0.0026820986919025465
cohort_H43-H54,cont,0,cont_50925,50925,cont,0.0002833010419787609
cohort_H43-H54,cont,0,cont_50927,50927,cont,0.0005673604429364799
cohort_H43-H54,cont,0,cont_50930,50930,cont,0.001349956262670793
cohort_H43-H54,cont,0,cont_50931,50931,cont,0.0
cohort_H43-H54,cont,0,cont_50935,50935,cont,0.006715180468278836
cohort_H43-H54,cont,0,cont_50945,50945,cont,0.0
cohort_H43-H54,cont,0,cont_50949,50949,cont,0.0011398441668124025
cohort_H43-H54,cont,0,cont_50950,50950,cont,0.0013135151947893066
cohort_H43-H54,cont,0,cont_50951,50951,cont,0.0003490849673202613
cohort_H43-H54,cont,0,cont_50952,50952,cont,0.0017978103785314416
cohort_H43-H54,cont,0,cont_50953,50953,cont,0.0019033819865092718
cohort_H43-H54,cont,0,cont_50954,50954,cont,0.009339561737025333
cohort_H43-H54,cont,0,cont_50956,50956,cont,0.0009443092233008203
cohort_H43-H54,cont,0,cont_50957,50957,cont,0.0
cohort_H43-H54,cont,0,cont_50960,50960,cont,0.019570744915418447
cohort_H43-H54,cont,0,cont_50964,50964,cont,0.0003600502765208645
cohort_H43-H54,cont,0,cont_50965,50965,cont,0.0006416027927289167
cohort_H43-H54,cont,0,cont_50966,50966,cont,0.0
cohort_H43-H54,cont,0,cont_50967,50967,cont,0.0
cohort_H43-H54,cont,0,cont_50968,50968,cont,0.0
cohort_H43-H54,cont,0,cont_50969,50969,cont,0.0
cohort_H43-H54,cont,0,cont_50970,50970,cont,0.017297311637287604
cohort_H43-H54,cont,0,cont_50971,50971,cont,0.026286969795287815
cohort_H43-H54,cont,0,cont_50976,50976,cont,0.00215174584515067
cohort_H43-H54,cont,0,cont_50978,50978,cont,0.0
cohort_H43-H54,cont,0,cont_50981,50981,cont,0.0
cohort_H43-H54,cont,0,cont_50982,50982,cont,0.0
cohort_H43-H54,cont,0,cont_50983,50983,cont,0.028708075428827064
cohort_H43-H54,cont,0,cont_50986,50986,cont,0.0
cohort_H43-H54,cont,0,cont_50988,50988,cont,0.0
cohort_H43-H54,cont,0,cont_50989,50989,cont,0.0
cohort_H43-H54,cont,0,cont_50990,50990,cont,0.0
cohort_H43-H54,cont,0,cont_50992,50992,cont,0.0
cohort_H43-H54,cont,0,cont_50993,50993,cont,0.0065211288492184535
cohort_H43-H54,cont,0,cont_50994,50994,cont,0.0
cohort_H43-H54,cont,0,cont_50995,50995,cont,0.002227752533697061
cohort_H43-H54,cont,0,cont_50997,50997,cont,0.0
cohort_H43-H54,cont,0,cont_50998,50998,cont,0.001235275598335206
cohort_H43-H54,cont,0,cont_51000,51000,cont,0.0022506934660509537
cohort_H43-H54,cont,0,cont_51001,51001,cont,0.0002933333333333333
cohort_H43-H54,cont,0,cont_51005,51005,cont,0.0
cohort_H43-H54,cont,0,cont_51006,51006,cont,0.028348225984975155
cohort_H43-H54,cont,0,cont_51007,51007,cont,0.005513085294094894
cohort_H43-H54,cont,0,cont_51008,51008,cont,0.0
cohort_H43-H54,cont,0,cont_51009,51009,cont,0.0033197244273140583
cohort_H43-H54,cont,0,cont_51010,51010,cont,0.0011952656054052188
cohort_H43-H54,cont,0,cont_51070,51070,cont,0.0
cohort_H43-H54,cont,0,cont_51080,51080,cont,0.0
cohort_H43-H54,cont,0,cont_51099,51099,cont,0.0028088545211107123
cohort_H43-H54,cont,0,cont_51110,51110,cont,0.0
cohort_H43-H54,cont,0,cont_51111,51111,cont,0.0
cohort_H43-H54,cont,0,cont_51114,51114,cont,0.0
cohort_H43-H54,cont,0,cont_51116,51116,cont,0.0
cohort_H43-H54,cont,0,cont_51117,51117,cont,0.0
cohort_H43-H54,cont,0,cont_51118,51118,cont,0.0
cohort_H43-H54,cont,0,cont_51120,51120,cont,0.00013333333333333334
cohort_H43-H54,cont,0,cont_51124,51124,cont,5.431013431013444e-05
cohort_H43-H54,cont,0,cont_51125,51125,cont,0.00016141093474426792
cohort_H43-H54,cont,0,cont_51127,51127,cont,0.0001339664450775562
cohort_H43-H54,cont,0,cont_51130,51130,cont,0.000127135014939893
cohort_H43-H54,cont,0,cont_51131,51131,cont,7.901234567901206e-06
cohort_H43-H54,cont,0,cont_51132,51132,cont,0.0
cohort_H43-H54,cont,0,cont_51133,51133,cont,0.013182240192745089
cohort_H43-H54,cont,0,cont_51138,51138,cont,0.0
cohort_H43-H54,cont,0,cont_51139,51139,cont,0.0
cohort_H43-H54,cont,0,cont_51140,51140,cont,0.0
cohort_H43-H54,cont,0,cont_51143,51143,cont,0.0026994653061409952
cohort_H43-H54,cont,0,cont_51144,51144,cont,0.007414578636753502
cohort_H43-H54,cont,0,cont_51146,51146,cont,0.00950240895611575
cohort_H43-H54,cont,0,cont_51148,51148,cont,0.0006464069264069265
cohort_H43-H54,cont,0,cont_51149,51149,cont,0.0
cohort_H43-H54,cont,0,cont_51181,51181,cont,0.0001580246913580247
cohort_H43-H54,cont,0,cont_51196,51196,cont,0.0
cohort_H43-H54,cont,0,cont_51199,51199,cont,0.0
cohort_H43-H54,cont,0,cont_51200,51200,cont,0.004512717635475244
cohort_H43-H54,cont,0,cont_51202,51202,cont,0.0
cohort_H43-H54,cont,0,cont_51203,51203,cont,0.0
cohort_H43-H54,cont,0,cont_51204,51204,cont,0.0
cohort_H43-H54,cont,0,cont_51205,51205,cont,0.0
cohort_H43-H54,cont,0,cont_51206,51206,cont,0.00021386357359845363
cohort_H43-H54,cont,0,cont_51207,51207,cont,0.0
cohort_H43-H54,cont,0,cont_51208,51208,cont,0.0
