cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_H81-E55,bin,balanced_rf,gender,statistical_parity,selection_rate,0.01244956088298127,0.9541520979020979,F,M,2,2
cohort_H81-E55,bin,balanced_rf,gender,predictive_parity,ppv,0.018837156995051736,0.6081871345029239,F,M,2,2
cohort_H81-E55,bin,balanced_rf,gender,equal_opportunity,tpr,0.06944444444444445,0.75,F,M,2,2
cohort_H81-E55,bin,balanced_rf,gender,predictive_equality,fpr,0.010226587404152665,0.9622959151261038,F,M,2,2
cohort_H81-E55,bin,balanced_rf,gender,equalised_odds,tpr,0.06944444444444445,0.75,F,M,2,2
cohort_H81-E55,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.01787103150237135,0.9351498175027585,65-79,40-64,2,2
cohort_H81-E55,bin,balanced_rf,age_band,predictive_parity,ppv,0.0019762845849802396,0.9565217391304347,65-79,40-64,2,2
cohort_H81-E55,bin,balanced_rf,age_band,equal_opportunity,tpr,0.11904761904761904,0.6428571428571429,40-64,65-79,2,2
cohort_H81-E55,bin,balanced_rf,age_band,predictive_equality,fpr,0.024306693659821965,0.9129974695192087,65-79,40-64,2,2
cohort_H81-E55,bin,balanced_rf,age_band,equalised_odds,tpr,0.11904761904761904,0.6428571428571429,40-64,65-79,2,2
cohort_H81-E55,cont,balanced_rf,gender,statistical_parity,selection_rate,0.029060843421156723,0.8363190730837791,F,M,2,2
cohort_H81-E55,cont,balanced_rf,gender,predictive_parity,ppv,0.02040816326530612,0.0,M,F,2,2
cohort_H81-E55,cont,balanced_rf,gender,equal_opportunity,tpr,0.08333333333333333,0.0,M,F,2,2
cohort_H81-E55,cont,balanced_rf,gender,predictive_equality,fpr,0.03535797363659862,0.8102108768035515,F,M,2,2
cohort_H81-E55,cont,balanced_rf,gender,equalised_odds,tpr,0.08333333333333333,0.0,M,F,2,2
cohort_H81-E55,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.03316900873084097,0.8173798254934158,65-79,40-64,2,2
cohort_H81-E55,cont,balanced_rf,age_band,predictive_parity,ppv,0.022988505747126436,0.0,65-79,40-64,2,2
cohort_H81-E55,cont,balanced_rf,age_band,equal_opportunity,tpr,0.07142857142857142,0.0,65-79,40-64,2,2
cohort_H81-E55,cont,balanced_rf,age_band,predictive_equality,fpr,0.0348468781130499,0.8151065643648764,65-79,40-64,2,2
cohort_H81-E55,cont,balanced_rf,age_band,equalised_odds,tpr,0.07142857142857142,0.0,65-79,40-64,2,2
cohort_H81-E55,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.025354062821425744,0.8528696051423325,F,M,2,2
cohort_H81-E55,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.010309278350515464,0.0,M,F,2,2
cohort_H81-E55,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.041666666666666664,0.0,M,F,2,2
cohort_H81-E55,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.029878521581804096,0.8347627215551743,F,M,2,2
cohort_H81-E55,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.041666666666666664,0.0,M,F,2,2
cohort_H81-E55,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.025479085162248616,0.8580874210149176,65-79,40-64,2,2
cohort_H81-E55,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.011627906976744186,0.0,65-79,40-64,2,2
cohort_H81-E55,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.03571428571428571,0.0,65-79,40-64,2,2
cohort_H81-E55,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.029049776663774562,0.8458653026427961,65-79,40-64,2,2
cohort_H81-E55,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.03571428571428571,0.0,65-79,40-64,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.01652029432708285,0.908300395256917,F,M,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.027777777777777776,0.0,M,F,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.125,0.0,M,F,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.02394675626776946,0.8733251298878862,F,M,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.125,0.0,M,F,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.021911896282521354,0.8846615569304646,65-79,40-64,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.03296703296703297,0.0,65-79,40-64,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.10714285714285714,0.0,65-79,40-64,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.021208907741251337,0.8913043478260869,65-79,40-64,2,2
cohort_H81-E55,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.10714285714285714,0.0,65-79,40-64,2,2
