cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_I20-K29,bin,balanced_rf,gender,statistical_parity,selection_rate,0.027647884030862768,0.9022929146870481,M,F,2,2
cohort_I20-K29,bin,balanced_rf,gender,predictive_parity,ppv,0.05145631067961166,0.48543689320388345,F,M,2,2
cohort_I20-K29,bin,balanced_rf,gender,equal_opportunity,tpr,0.1264367816091954,0.6206896551724138,M,F,2,2
cohort_I20-K29,bin,balanced_rf,gender,predictive_equality,fpr,0.018666369933513227,0.9335248662571825,M,F,2,2
cohort_I20-K29,bin,balanced_rf,gender,equalised_odds,tpr,0.1264367816091954,0.6206896551724138,M,F,2,2
cohort_I20-K29,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.09372937293729372,0.6808988764044944,18-39,40-64,3,3
cohort_I20-K29,bin,balanced_rf,age_band,predictive_parity,ppv,0.07895535985423627,0.41573033707865165,40-64,65-79,3,3
cohort_I20-K29,bin,balanced_rf,age_band,equal_opportunity,tpr,0.3131868131868132,0.1857142857142857,18-39,65-79,3,3
cohort_I20-K29,bin,balanced_rf,age_band,predictive_equality,fpr,0.09617542950876284,0.6725455614344503,65-79,40-64,3,3
cohort_I20-K29,bin,balanced_rf,age_band,equalised_odds,tpr,0.3131868131868132,0.1857142857142857,18-39,65-79,3,3
cohort_I20-K29,cont,balanced_rf,gender,statistical_parity,selection_rate,0.0030745849894786015,0.961408657373441,M,F,2,2
cohort_I20-K29,cont,balanced_rf,gender,predictive_parity,ppv,0.05555555555555555,0.0,F,M,2,2
cohort_I20-K29,cont,balanced_rf,gender,equal_opportunity,tpr,0.034482758620689655,0.0,F,M,2,2
cohort_I20-K29,cont,balanced_rf,gender,predictive_equality,fpr,0.0005702840292653027,0.9931369266822899,M,F,2,2
cohort_I20-K29,cont,balanced_rf,gender,equalised_odds,tpr,0.034482758620689655,0.0,F,M,2,2
cohort_I20-K29,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.04136413641364136,0.517948717948718,18-39,40-64,3,3
cohort_I20-K29,cont,balanced_rf,age_band,predictive_parity,ppv,0.1,0.0,18-39,65-79,3,3
cohort_I20-K29,cont,balanced_rf,age_band,equal_opportunity,tpr,0.07692307692307693,0.0,18-39,65-79,3,3
cohort_I20-K29,cont,balanced_rf,age_band,predictive_equality,fpr,0.03535353535353536,0.611111111111111,65-79,40-64,3,3
cohort_I20-K29,cont,balanced_rf,age_band,equalised_odds,tpr,0.07692307692307693,0.0,18-39,65-79,3,3
cohort_I20-K29,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.033294365209258825,0.6970212765957446,M,F,2,2
cohort_I20-K29,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.05555555555555555,0.0,F,M,2,2
cohort_I20-K29,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.034482758620689655,0.0,F,M,2,2
cohort_I20-K29,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.03208890867109912,0.7200242718446602,M,F,2,2
cohort_I20-K29,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.034482758620689655,0.0,F,M,2,2
cohort_I20-K29,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.05126512651265127,0.464367816091954,18-39,40-64,3,3
cohort_I20-K29,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.07142857142857142,0.0,18-39,65-79,3,3
cohort_I20-K29,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.07692307692307693,0.0,18-39,65-79,3,3
cohort_I20-K29,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.03688247236634333,0.6362625139043382,18-39,40-64,3,3
cohort_I20-K29,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.07692307692307693,0.0,18-39,65-79,3,3
cohort_I20-K29,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.043207855973813436,0.7191489361702127,M,F,2,2
cohort_I20-K29,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.11538461538461539,0.0,F,M,2,2
cohort_I20-K29,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.10344827586206896,0.0,F,M,2,2
cohort_I20-K29,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.04880796728516984,0.6958217753120666,M,F,2,2
cohort_I20-K29,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.10344827586206896,0.0,F,M,2,2
cohort_I20-K29,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.045374823196605366,0.705903923725706,40-64,65-79,3,3
cohort_I20-K29,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.13636363636363635,0.18181818181818182,40-64,18-39,3,3
cohort_I20-K29,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.018099547511312222,0.7647058823529411,40-64,65-79,3,3
cohort_I20-K29,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.04940221069253327,0.6937062937062938,40-64,18-39,3,3
cohort_I20-K29,cont_disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.04940221069253327,0.6937062937062938,40-64,18-39,3,3
cohort_I20-K29,disc,balanced_rf,gender,statistical_parity,selection_rate,0.04870236146831891,0.6943506969919295,M,F,2,2
cohort_I20-K29,disc,balanced_rf,gender,predictive_parity,ppv,0.0596816976127321,0.22413793103448273,F,M,2,2
cohort_I20-K29,disc,balanced_rf,gender,equal_opportunity,tpr,0.0022988505747126436,0.9666666666666667,F,M,2,2
cohort_I20-K29,disc,balanced_rf,gender,predictive_equality,fpr,0.046818927866024984,0.7133367399080225,M,F,2,2
cohort_I20-K29,disc,balanced_rf,gender,equalised_odds,fpr,0.046818927866024984,0.7133367399080225,M,F,2,2
cohort_I20-K29,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.06292629262926293,0.5855072463768116,18-39,40-64,3,3
cohort_I20-K29,disc,balanced_rf,age_band,predictive_parity,ppv,0.05555555555555555,0.0,18-39,65-79,3,3
cohort_I20-K29,disc,balanced_rf,age_band,equal_opportunity,tpr,0.11764705882352941,0.0,18-39,40-64,3,3
cohort_I20-K29,disc,balanced_rf,age_band,predictive_equality,fpr,0.04890788224121559,0.6820987654320987,65-79,40-64,3,3
cohort_I20-K29,disc,balanced_rf,age_band,equalised_odds,tpr,0.11764705882352941,0.0,18-39,40-64,3,3
cohort_I20-K29,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.02537993920972645,0.8578723404255318,M,F,2,2
cohort_I20-K29,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.16367521367521368,0.15824175824175823,F,M,2,2
cohort_I20-K29,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.10804597701149427,0.5523809523809523,F,M,2,2
cohort_I20-K29,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.03973906028319471,0.7798582216057944,M,F,2,2
cohort_I20-K29,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.10804597701149427,0.5523809523809523,F,M,2,2
cohort_I20-K29,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.04158415841584159,0.7622641509433962,18-39,40-64,3,3
cohort_I20-K29,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.09119496855345911,0.4528301886792453,40-64,18-39,3,3
cohort_I20-K29,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.23626373626373628,0.23214285714285712,18-39,65-79,3,3
