cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_I21-I97,bin,balanced_rf,all,all,6454,295,0.045708088007437246,0.21273628757359778,0.5280055919269306,0.05475308622253394,0.08872901678657075,0.020381084201739393,0.5199682977370859,0.25084745762711863,0.2109108621529469,0.053896576839038604
cohort_I21-I97,bin,balanced_rf,gender,F,2567,94,0.036618620958317104,0.21425788858589795,0.5642061928401202,0.05073102154591775,0.08695652173913043,0.039730569508770956,0.5433963400469755,0.2978723404255319,0.21107966033158107,0.05090909090909091
cohort_I21-I97,bin,balanced_rf,gender,M,3887,201,0.05171083097504502,0.2117314124003087,0.5120484123063467,0.05973504147813299,0.08984375,0.009788218636627188,0.5090290544024317,0.22885572139303484,0.21079761258817145,0.05589307411907655
cohort_I21-I97,bin,balanced_rf,age_band,18-39,245,18,0.07346938775510205,0.17959183673469387,0.62506118453255,0.12014593226686167,0.16129032258064516,0.0720301548218736,0.5529858051884484,0.2777777777777778,0.17180616740088106,0.11363636363636363
cohort_I21-I97,bin,balanced_rf,age_band,40-64,2593,92,0.03548013883532588,0.2148091014269186,0.46221294091059223,0.03732827276949739,0.06471494607087827,0.006282065686275747,0.5069732976374667,0.22826086956521738,0.21431427429028388,0.03770197486535009
cohort_I21-I97,bin,balanced_rf,age_band,65-79,2559,139,0.05431809300508011,0.21297381789761627,0.5562013199357869,0.07202215791812261,0.10526315789473684,0.026938851815609097,0.5243311136214995,0.2589928057553957,0.2103305785123967,0.06605504587155964
cohort_I21-I97,bin,balanced_rf,age_band,80+,1057,46,0.043519394512771994,0.21475875118259224,0.5408871973508795,0.05536608706504724,0.08791208791208792,0.023951302720631337,0.5241044166344128,0.2608695652173913,0.21266073194856577,0.05286343612334802
cohort_I21-I97,cont,balanced_rf,all,all,6454,295,0.045708088007437246,0.0872327238921599,0.5845979839342177,0.05971983814012685,0.09557109557109557,0.04013740181553729,0.5271145161689796,0.13898305084745763,0.08475401850949829,0.07282415630550622
cohort_I21-I97,cont,balanced_rf,gender,F,2567,94,0.036618620958317104,0.07596416049863654,0.5844439091120269,0.04794037338586008,0.06920415224913495,0.022384398403629036,0.5157875265634814,0.10638297872340426,0.07480792559644157,0.05128205128205128
cohort_I21-I97,cont,balanced_rf,gender,M,3887,201,0.05171083097504502,0.09467455621301775,0.5816778829671501,0.06801035865340094,0.10896309314586995,0.047502282911924036,0.5314009172801214,0.15422885572139303,0.0914270211611503,0.08423913043478261
cohort_I21-I97,cont,balanced_rf,age_band,18-39,245,18,0.07346938775510205,0.09795918367346938,0.4964512971120901,0.0772163956046798,0.047619047619047616,-0.04016896739698164,0.47711698482623593,0.05555555555555555,0.1013215859030837,0.041666666666666664
cohort_I21-I97,cont,balanced_rf,age_band,40-64,2593,92,0.03548013883532588,0.07828769764751253,0.589894476991812,0.05224355133803764,0.1016949152542373,0.060514847515213376,0.5439367731168402,0.16304347826086957,0.07516993202718912,0.07389162561576355
cohort_I21-I97,cont,balanced_rf,age_band,65-79,2559,139,0.05431809300508011,0.0914419695193435,0.6022846185861228,0.07341559744080685,0.09651474530831099,0.03164141196961771,0.5201201022652953,0.12949640287769784,0.08925619834710743,0.07692307692307693
cohort_I21-I97,cont,balanced_rf,age_band,80+,1057,46,0.043519394512771994,0.09649952696310313,0.5587236055562722,0.05731218258719309,0.0945945945945946,0.04021906689132544,0.5291037715563583,0.15217391304347827,0.09396636993076163,0.06862745098039216
cohort_I21-I97,cont_bin,balanced_rf,all,all,6454,295,0.045708088007437246,0.08335915711186861,0.5793263819517257,0.060944180985000915,0.10324129651860744,0.04940705594470435,0.5326962609492516,0.14576271186440679,0.08037018996590356,0.07992565055762081
cohort_I21-I97,cont_bin,balanced_rf,gender,F,2567,94,0.036618620958317104,0.06856252434748734,0.5988677719369186,0.05148138363668843,0.08888888888888889,0.045592921162555734,0.5306716796723766,0.1276595744680851,0.06631621512333198,0.06818181818181818
cohort_I21-I97,cont_bin,balanced_rf,gender,M,3887,201,0.05171083097504502,0.09313094931824029,0.5674881155805347,0.06780136518576801,0.11012433392539965,0.04909388340154235,0.5322148076762147,0.15422885572139303,0.08979924036896364,0.0856353591160221
cohort_I21-I97,cont_bin,balanced_rf,age_band,18-39,245,18,0.07346938775510205,0.08163265306122448,0.4334312285854136,0.07436989634745342,0.10526315789473684,0.03031711801163597,0.5159079784630446,0.1111111111111111,0.07929515418502203,0.1
cohort_I21-I97,cont_bin,balanced_rf,age_band,40-64,2593,92,0.03548013883532588,0.07327419976860779,0.5870108478347791,0.05409586445985345,0.11347517730496454,0.0740715677944584,0.5521704361733568,0.17391304347826086,0.06957217113154739,0.08421052631578947
cohort_I21-I97,cont_bin,balanced_rf,age_band,65-79,2559,139,0.05431809300508011,0.08870652598671357,0.6090076698971402,0.07615899209589899,0.09836065573770492,0.03438311310989114,0.5215663832570308,0.12949640287769784,0.08636363636363636,0.07929515418502203
cohort_I21-I97,cont_bin,balanced_rf,age_band,80+,1057,46,0.043519394512771994,0.09555345316934721,0.5377693200877307,0.057270188999132214,0.09523809523809523,0.04108299387009313,0.5295983313980992,0.15217391304347827,0.09297725024727992,0.06930693069306931
cohort_I21-I97,cont_disc_bin,balanced_rf,all,all,6454,295,0.045708088007437246,0.08351409978308026,0.5763941978254229,0.05816897836798114,0.09112709832134293,0.03583489452134004,0.5237345926176658,0.1288135593220339,0.08134437408670239,0.07050092764378478
cohort_I21-I97,cont_disc_bin,balanced_rf,gender,F,2567,94,0.036618620958317104,0.0724581223217764,0.5923161635019916,0.04416988642631285,0.05,0.0015115745938917258,0.5010431812511292,0.07446808510638298,0.07238172260412455,0.03763440860215054
cohort_I21-I97,cont_disc_bin,balanced_rf,gender,M,3887,201,0.05171083097504502,0.0908155389760741,0.5670696976322943,0.06768609249914194,0.11191335740072202,0.051534106136289046,0.5334356432703546,0.15422885572139303,0.08735756918068367,0.08781869688385269
