cohort,feature_set,fold,feature,itemid,representation,importance
cohort_I21-I97,cont,0,cont_50803,50803,cont,0.0005970574457793618
cohort_I21-I97,cont,0,cont_50804,50804,cont,0.008904954975943985
cohort_I21-I97,cont,0,cont_50805,50805,cont,0.00012499549313714145
cohort_I21-I97,cont,0,cont_50806,50806,cont,0.00308957308344582
cohort_I21-I97,cont,0,cont_50808,50808,cont,0.005583242740032845
cohort_I21-I97,cont,0,cont_50809,50809,cont,0.0027464114241812685
cohort_I21-I97,cont,0,cont_50811,50811,cont,0.005787016557375444
cohort_I21-I97,cont,0,cont_50813,50813,cont,0.009073858460145582
cohort_I21-I97,cont,0,cont_50814,50814,cont,0.0001325640648184364
cohort_I21-I97,cont,0,cont_50818,50818,cont,0.007690084706648002
cohort_I21-I97,cont,0,cont_50820,50820,cont,0.011968928894629067
cohort_I21-I97,cont,0,cont_50821,50821,cont,0.007542206120781378
cohort_I21-I97,cont,0,cont_50822,50822,cont,0.004811355783000629
cohort_I21-I97,cont,0,cont_50824,50824,cont,0.003508990791179512
cohort_I21-I97,cont,0,cont_50853,50853,cont,0.0006140237795130901
cohort_I21-I97,cont,0,cont_50856,50856,cont,5.3172886655159075e-05
cohort_I21-I97,cont,0,cont_50861,50861,cont,0.014056983879017567
cohort_I21-I97,cont,0,cont_50862,50862,cont,0.013715604832476112
cohort_I21-I97,cont,0,cont_50863,50863,cont,0.016004900211754408
cohort_I21-I97,cont,0,cont_50866,50866,cont,0.0001853216090097775
cohort_I21-I97,cont,0,cont_50867,50867,cont,0.0020794625619086427
cohort_I21-I97,cont,0,cont_50868,50868,cont,0.022991247933157544
cohort_I21-I97,cont,0,cont_50877,50877,cont,0.0
cohort_I21-I97,cont,0,cont_50878,50878,cont,0.016523845887864586
cohort_I21-I97,cont,0,cont_50881,50881,cont,3.9734330108038706e-05
cohort_I21-I97,cont,0,cont_50882,50882,cont,0.024079097862233785
cohort_I21-I97,cont,0,cont_50883,50883,cont,0.0007710913806517825
cohort_I21-I97,cont,0,cont_50885,50885,cont,0.0180683654984335
cohort_I21-I97,cont,0,cont_50889,50889,cont,0.00203795139236717
cohort_I21-I97,cont,0,cont_50890,50890,cont,0.00023297117763123782
cohort_I21-I97,cont,0,cont_50891,50891,cont,0.0002091359547006541
cohort_I21-I97,cont,0,cont_50893,50893,cont,0.026207311130304747
cohort_I21-I97,cont,0,cont_50894,50894,cont,0.0
cohort_I21-I97,cont,0,cont_50895,50895,cont,0.0
cohort_I21-I97,cont,0,cont_50896,50896,cont,0.0
cohort_I21-I97,cont,0,cont_50899,50899,cont,0.0
cohort_I21-I97,cont,0,cont_50902,50902,cont,0.029675667380990256
cohort_I21-I97,cont,0,cont_50904,50904,cont,0.005534750684807037
cohort_I21-I97,cont,0,cont_50905,50905,cont,0.0001453907688152734
cohort_I21-I97,cont,0,cont_50906,50906,cont,4.993941805161221e-05
cohort_I21-I97,cont,0,cont_50907,50907,cont,0.005190153571624084
cohort_I21-I97,cont,0,cont_50908,50908,cont,0.005425346089142721
cohort_I21-I97,cont,0,cont_50910,50910,cont,0.0
cohort_I21-I97,cont,0,cont_50911,50911,cont,0.02092739899737214
cohort_I21-I97,cont,0,cont_50912,50912,cont,0.027151826508086174
cohort_I21-I97,cont,0,cont_50914,50914,cont,0.0
cohort_I21-I97,cont,0,cont_50915,50915,cont,0.0
cohort_I21-I97,cont,0,cont_50916,50916,cont,0.0
cohort_I21-I97,cont,0,cont_50917,50917,cont,0.0005755060676777198
cohort_I21-I97,cont,0,cont_50924,50924,cont,0.005924759145771426
cohort_I21-I97,cont,0,cont_50925,50925,cont,0.0005007260749971646
cohort_I21-I97,cont,0,cont_50927,50927,cont,0.0006553827611343456
cohort_I21-I97,cont,0,cont_50930,50930,cont,0.000885066549545177
cohort_I21-I97,cont,0,cont_50931,50931,cont,0.0
cohort_I21-I97,cont,0,cont_50935,50935,cont,0.003036046343375032
cohort_I21-I97,cont,0,cont_50945,50945,cont,0.0
cohort_I21-I97,cont,0,cont_50949,50949,cont,0.0006002393194979627
cohort_I21-I97,cont,0,cont_50950,50950,cont,0.000768932918288789
cohort_I21-I97,cont,0,cont_50951,50951,cont,0.0004192583175324667
cohort_I21-I97,cont,0,cont_50952,50952,cont,0.007651418705734587
cohort_I21-I97,cont,0,cont_50953,50953,cont,0.005763834425291744
cohort_I21-I97,cont,0,cont_50954,50954,cont,0.011592385316211096
cohort_I21-I97,cont,0,cont_50956,50956,cont,0.005061775363765864
cohort_I21-I97,cont,0,cont_50957,50957,cont,0.0
cohort_I21-I97,cont,0,cont_50960,50960,cont,0.02287463666127146
cohort_I21-I97,cont,0,cont_50964,50964,cont,0.0009437658440408418
cohort_I21-I97,cont,0,cont_50965,50965,cont,0.0007198713493111684
cohort_I21-I97,cont,0,cont_50966,50966,cont,3.0327920641941e-05
cohort_I21-I97,cont,0,cont_50967,50967,cont,2.7551420487660114e-05
cohort_I21-I97,cont,0,cont_50968,50968,cont,0.0
cohort_I21-I97,cont,0,cont_50969,50969,cont,0.0
cohort_I21-I97,cont,0,cont_50970,50970,cont,0.03186523166511554
cohort_I21-I97,cont,0,cont_50971,50971,cont,0.023396802769270832
cohort_I21-I97,cont,0,cont_50976,50976,cont,0.0017882467154441885
cohort_I21-I97,cont,0,cont_50978,50978,cont,0.0
cohort_I21-I97,cont,0,cont_50981,50981,cont,0.0
cohort_I21-I97,cont,0,cont_50982,50982,cont,0.0
cohort_I21-I97,cont,0,cont_50983,50983,cont,0.02510783246492947
cohort_I21-I97,cont,0,cont_50986,50986,cont,0.0
cohort_I21-I97,cont,0,cont_50988,50988,cont,0.0
cohort_I21-I97,cont,0,cont_50989,50989,cont,0.0
cohort_I21-I97,cont,0,cont_50990,50990,cont,0.0
cohort_I21-I97,cont,0,cont_50992,50992,cont,2.1836195725276012e-05
cohort_I21-I97,cont,0,cont_50993,50993,cont,0.008424334745147815
