cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_I25-A04,bin,balanced_rf,all,all,24054,1221,0.0507607882264904,0.24844100773260164,0.5638246732058321,0.059349038756634796,0.09865221620119494,0.02263953506337687,0.5222832572063948,0.29074529074529076,0.2461787763325012,0.059404283801874166
cohort_I25-A04,bin,balanced_rf,gender,F,8902,494,0.05549314760727926,0.23938440799820265,0.5598631003054735,0.06483593005682002,0.10514285714285715,0.022703720312216204,0.5211580353393914,0.2793522267206478,0.2370361560418649,0.0647583294228062
cohort_I25-A04,bin,balanced_rf,gender,M,15152,727,0.047980464625131995,0.25376187961985214,0.5666316073033453,0.056412499055035495,0.09492563429571303,0.023073222373744207,0.5234895668197932,0.2984869325997249,0.25150779896013864,0.0564369310793238
cohort_I25-A04,bin,balanced_rf,age_band,18-39,623,32,0.051364365971107544,0.24879614767255218,0.5895198815566836,0.08348552254901082,0.11764705882352941,0.051108496922485626,0.5500475888324874,0.34375,0.2436548223350254,0.07096774193548387
cohort_I25-A04,bin,balanced_rf,age_band,40-64,9145,560,0.0612356478950246,0.24581738655002733,0.5830683709127216,0.0762210621469164,0.1282051282051282,0.04485029985319719,0.5402716532157418,0.32142857142857145,0.24088526499708796,0.0800711743772242
cohort_I25-A04,bin,balanced_rf,age_band,65-79,9975,444,0.044511278195488724,0.24962406015037594,0.5406438071688308,0.04961467995933588,0.07430129516019086,-0.0020589161915083444,0.4978395534344543,0.24549549549549549,0.24981638862658692,0.043775100401606426
cohort_I25-A04,bin,balanced_rf,age_band,80+,4311,185,0.04291347715147298,0.2512178148921364,0.5600548925076312,0.04886014114376756,0.08675078864353312,0.022497065670764184,0.5240727882511692,0.2972972972972973,0.2491517207949588,0.050784856879039705
cohort_I25-A04,cont,balanced_rf,all,all,24054,1221,0.0507607882264904,0.14072503533715805,0.6362415556345394,0.07825501743744291,0.12548849326964828,0.06381795530872286,0.5505490081761268,0.23669123669123668,0.13559322033898305,0.08537666174298375
cohort_I25-A04,cont,balanced_rf,gender,F,8902,494,0.05549314760727926,0.1380588631768142,0.6245235403336711,0.08308824136721414,0.13000580383052815,0.062299224549353965,0.5469354903947272,0.22672064777327935,0.13284966698382492,0.09113100081366965
cohort_I25-A04,cont,balanced_rf,gender,M,15152,727,0.047980464625131995,0.14229144667370644,0.6425035341459286,0.07610786991003972,0.12278876170655567,0.06501635371029664,0.5531369627561808,0.24346629986244842,0.13719237435008666,0.08209647495361781
cohort_I25-A04,cont,balanced_rf,age_band,18-39,623,32,0.051364365971107544,0.16211878009630817,0.746404399323181,0.11489183223423642,0.12030075187969924,0.055484213453604346,0.5463197969543148,0.25,0.15736040609137056,0.07920792079207921
cohort_I25-A04,cont,balanced_rf,age_band,40-64,9145,560,0.0612356478950246,0.13362493165664296,0.6627508528163741,0.10782797954145872,0.16498316498316498,0.09673776542127936,0.5686407979033198,0.2625,0.1252184041933605,0.12029459901800327
cohort_I25-A04,cont,balanced_rf,age_band,65-79,9975,444,0.044511278195488724,0.15027568922305765,0.6157634263158343,0.06238019686563806,0.10087493566649511,0.04254898767818211,0.5368633506027274,0.22072072072072071,0.14699401951526597,0.06537691794529686
cohort_I25-A04,cont,balanced_rf,age_band,80+,4311,185,0.04291347715147298,0.13059614938529343,0.6012268933984882,0.059546611009621185,0.0962566844919786,0.04021746661543811,0.5334339914320525,0.1945945945945946,0.12772661173048958,0.06394316163410302
cohort_I25-A04,cont_bin,balanced_rf,all,all,24054,1221,0.0507607882264904,0.14072503533715805,0.6366363138140829,0.0784451054357036,0.13026487190620928,0.06980898679898184,0.5552943921095281,0.2457002457002457,0.1351114614811895,0.08862629246676514
cohort_I25-A04,cont_bin,balanced_rf,gender,F,8902,494,0.05549314760727926,0.13569984273197033,0.6252838534343617,0.08514109234895695,0.13278495887191538,0.06585498354838858,0.5492559139743525,0.22874493927125505,0.13023311132254994,0.0935430463576159
cohort_I25-A04,cont_bin,balanced_rf,gender,M,15152,727,0.047980464625131995,0.14367740232312565,0.6427909382829653,0.07543681883182254,0.12878787878787878,0.07267093723142515,0.5596332593526732,0.25722145804676755,0.13795493934142114,0.08589802480477722
cohort_I25-A04,cont_bin,balanced_rf,age_band,18-39,623,32,0.051364365971107544,0.1653290529695024,0.7417777072758037,0.1200256569011333,0.2074074074074074,0.17048680644846684,0.6434538917089678,0.4375,0.1505922165820643,0.13592233009708737
cohort_I25-A04,cont_bin,balanced_rf,age_band,40-64,9145,560,0.0612356478950246,0.13493712411153636,0.6642028246942342,0.10790241257580044,0.1705685618729097,0.10336767731197599,0.5736484940510858,0.2732142857142857,0.12591729761211415,0.1239870340356564
cohort_I25-A04,cont_bin,balanced_rf,age_band,65-79,9975,444,0.044511278195488724,0.14917293233082707,0.6125816562549329,0.06180492897730366,0.10041407867494824,0.041981876546029695,0.5362618284006386,0.21846846846846846,0.14594481166719128,0.06518817204301075
cohort_I25-A04,cont_bin,balanced_rf,age_band,80+,4311,185,0.04291347715147298,0.1299002551612155,0.6047542937993737,0.058709323400255656,0.09664429530201342,0.04074722266103944,0.5337975396627845,0.1945945945945946,0.1269995152690257,0.06428571428571428
cohort_I25-A04,cont_disc_bin,balanced_rf,all,all,24054,1221,0.0507607882264904,0.1416812172611624,0.6372017733862432,0.08000587476505082,0.12400086411751998,0.06191738979651964,0.5491825541096333,0.23505323505323505,0.1366881268339684,0.08421361502347417
cohort_I25-A04,cont_disc_bin,balanced_rf,gender,F,8902,494,0.05549314760727926,0.1345764996629971,0.6200412321791083,0.0832725002219423,0.12411347517730496,0.05538199294718641,0.5412776823306895,0.2125506072874494,0.1299952426260704,0.08764607679465776
cohort_I25-A04,cont_disc_bin,balanced_rf,gender,M,15152,727,0.047980464625131995,0.14585533262935585,0.6472262020267998,0.07877914273924438,0.12393598910452842,0.06645858783094212,0.5548773120942884,0.25034387895460797,0.1405892547660312,0.08235294117647059
cohort_I25-A04,cont_disc_bin,balanced_rf,age_band,18-39,623,32,0.051364365971107544,0.15730337078651685,0.7445801607445008,0.10772071748687044,0.12307692307692308,0.05924347814471314,0.5488578680203046,0.25,0.15228426395939088,0.08163265306122448
cohort_I25-A04,cont_disc_bin,balanced_rf,age_band,40-64,9145,560,0.0612356478950246,0.13187534171678514,0.669944046925701,0.11088328339696124,0.16534541336353342,0.09725191800449261,0.5686215575339046,0.26071428571428573,0.12347117064647642,0.12106135986733002
cohort_I25-A04,cont_disc_bin,balanced_rf,age_band,65-79,9975,444,0.044511278195488724,0.15127819548872182,0.6133467036441541,0.0638422526998183,0.10138248847926268,0.043185596620747314,0.5375173331972198,0.22297297297297297,0.1479383065785332,0.06560636182902585
cohort_I25-A04,cont_disc_bin,balanced_rf,age_band,80+,4311,185,0.04291347715147298,0.13801902110879147,0.5922416842436231,0.05933582885769049,0.08717948717948718,0.02809533108069423,0.5239083727450184,0.1837837837837838,0.13596703829374698,0.05714285714285714
cohort_I25-A04,disc,balanced_rf,all,all,24054,1221,0.0507607882264904,0.16450486405587428,0.611906312734062,0.07397988231400596,0.11664735419080727,0.05166785226498953,0.5436314588856962,0.24733824733824733,0.160075329566855,0.07632044478140006
cohort_I25-A04,disc,balanced_rf,gender,F,8902,494,0.05549314760727926,0.1444619186699618,0.6019055497559679,0.08111372327999178,0.11685393258426967,0.04554998486874838,0.5349729580850318,0.21052631578947367,0.14058039961941007,0.08087091757387248
cohort_I25-A04,disc,balanced_rf,gender,M,15152,727,0.047980464625131995,0.17628035902851108,0.6195522541056883,0.07059265145797176,0.11653914067098294,0.05659960838845394,0.5504568285897506,0.2723521320495186,0.17143847487001734,0.07412953949831524
cohort_I25-A04,disc,balanced_rf,age_band,18-39,623,32,0.051364365971107544,0.15248796147672553,0.7096023688663282,0.11973997949677856,0.23622047244094488,0.20470931139199247,0.6666931049069373,0.46875,0.1353637901861252,0.15789473684210525
cohort_I25-A04,disc,balanced_rf,age_band,40-64,9145,560,0.0612356478950246,0.15188627665390925,0.6345864880605707,0.10284002709159362,0.15084658799384298,0.07871301753073777,0.5589145311589983,0.2625,0.14467093768200348,0.10583153347732181
cohort_I25-A04,disc,balanced_rf,age_band,65-79,9975,444,0.044511278195488724,0.172531328320802,0.5927291786593014,0.06019430064198639,0.08775981524249422,0.023667645083816365,0.5216813839335086,0.21396396396396397,0.1706011960969468,0.05520046484601976
cohort_I25-A04,disc,balanced_rf,age_band,80+,4311,185,0.04291347715147298,0.17443748550220367,0.5911438340909985,0.0547567442703981,0.096051227321238,0.03839291991094036,0.5359454219124602,0.24324324324324326,0.17135239941832284,0.0598404255319149
cohort_I25-A04,disc_bin,balanced_rf,all,all,24054,1221,0.0507607882264904,0.17169701504947202,0.6129360987461105,0.07384473546984849,0.11698747897589236,0.051907314228169965,0.5445884663464482,0.25634725634725636,0.1671703236543599,0.07578692493946732
cohort_I25-A04,disc_bin,balanced_rf,gender,F,8902,494,0.05549314760727926,0.15210065153898,0.6040209680774431,0.08172542454707471,0.12445887445887446,0.05446463545898199,0.5427169323990647,0.23279352226720648,0.14735965746907706,0.08493353028064993
cohort_I25-A04,disc_bin,balanced_rf,gender,M,15152,727,0.047980464625131995,0.18321013727560717,0.6198252594289583,0.0702464870431091,0.11304596060519555,0.05173229235224212,0.5468173138583814,0.2723521320495186,0.17871750433275563,0.07132564841498559
cohort_I25-A04,disc_bin,balanced_rf,age_band,18-39,623,32,0.051364365971107544,0.1637239165329053,0.6689667935702199,0.08885600442263239,0.11940298507462686,0.05425512517162341,0.5454737732656514,0.25,0.15905245346869712,0.0784313725490196
cohort_I25-A04,disc_bin,balanced_rf,age_band,40-64,9145,560,0.0612356478950246,0.15921268452706397,0.6371723937099592,0.10118967446840989,0.15674603174603174,0.08581247875789078,0.5654744571095764,0.28214285714285714,0.15119394292370414,0.10851648351648352
cohort_I25-A04,disc_bin,balanced_rf,age_band,65-79,9975,444,0.044511278195488724,0.17894736842105263,0.591908598872716,0.06207380332970642,0.08882907133243607,0.024790165256390398,0.523038264893789,0.22297297297297297,0.17689644318539502,0.05546218487394958
cohort_I25-A04,disc_bin,balanced_rf,age_band,80+,4311,185,0.04291347715147298,0.18255625144977963,0.596122152205526,0.054569354820418484,0.09876543209876543,0.04215396357480419,0.5401756822260942,0.2594594594594595,0.17910809500727096,0.060991105463786534
cohort_I25-A04,disc_imp,balanced_rf,all,all,24054,1221,0.0507607882264904,0.1656273384884011,0.6145609902015106,0.07466758645005485,0.11834774255523535,0.053885648572406644,0.5456286006148048,0.25225225225225223,0.16099505102264267,0.07730923694779117
cohort_I25-A04,disc_imp,balanced_rf,gender,F,8902,494,0.05549314760727926,0.14064255223545272,0.6042322330381322,0.08201775086351375,0.12027491408934708,0.050135964378478656,0.5380664549282157,0.2125506072874494,0.1364176974310181,0.08386581469648563
cohort_I25-A04,disc_imp,balanced_rf,gender,M,15152,727,0.047980464625131995,0.18030623020063358,0.6225309491059147,0.07100203849472769,0.11737496386238798,0.05776669230655759,0.5519545436124335,0.2792297111416781,0.17532062391681108,0.07430453879941434
cohort_I25-A04,disc_imp,balanced_rf,age_band,18-39,623,32,0.051364365971107544,0.17174959871589085,0.6802030456852792,0.09059680807835599,0.18705035971223022,0.14467588442562734,0.6235987732656514,0.40625,0.15905245346869712,0.12149532710280374
cohort_I25-A04,disc_imp,balanced_rf,age_band,40-64,9145,560,0.0612356478950246,0.15341716785128484,0.6365129170480073,0.10112534051566557,0.15486500254712177,0.08363270240427714,0.5628546468092187,0.2714285714285714,0.14571927781013397,0.1083392729864576
cohort_I25-A04,disc_imp,balanced_rf,age_band,65-79,9975,444,0.044511278195488724,0.1730325814536341,0.6003501140422765,0.06367574009842518,0.09032258064516129,0.027209745785004288,0.5249548415270795,0.22072072072072071,0.17081103766656175,0.056778679026651215
cohort_I25-A04,disc_imp,balanced_rf,age_band,80+,4311,185,0.04291347715147298,0.1735096265367664,0.5891190997104716,0.05530895731425111,0.09646302250803858,0.03899265035223119,0.5364301528867694,0.24324324324324326,0.17038293746970432,0.06016042780748663
