cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_I25-D50,bin,balanced_rf,gender,statistical_parity,selection_rate,0.00024989296139310557,0.9990321404591729,M,F,2,2
cohort_I25-D50,bin,balanced_rf,gender,predictive_parity,ppv,0.0063977293070690555,0.9592118875892361,M,F,2,2
cohort_I25-D50,bin,balanced_rf,gender,equal_opportunity,tpr,0.025324296711326133,0.9173728995770342,F,M,2,2
cohort_I25-D50,bin,balanced_rf,gender,predictive_equality,fpr,0.0034225424816262673,0.9865426701098728,M,F,2,2
cohort_I25-D50,bin,balanced_rf,gender,equalised_odds,tpr,0.025324296711326133,0.9173728995770342,F,M,2,2
cohort_I25-D50,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.02991820429902986,0.891456176673568,40-64,80+,4,4
cohort_I25-D50,bin,balanced_rf,age_band,predictive_parity,ppv,0.1636523336128079,0.4342305037957212,80+,18-39,4,4
cohort_I25-D50,bin,balanced_rf,age_band,equal_opportunity,tpr,0.03574542284219706,0.8866359447004607,80+,18-39,4,4
cohort_I25-D50,bin,balanced_rf,age_band,predictive_equality,fpr,0.03646366235893869,0.8674414926398804,40-64,80+,4,4
cohort_I25-D50,bin,balanced_rf,age_band,equalised_odds,fpr,0.03646366235893869,0.8674414926398804,40-64,80+,4,4
cohort_I25-D50,cont,balanced_rf,gender,statistical_parity,selection_rate,0.046335924021770974,0.7636743982044703,M,F,2,2
cohort_I25-D50,cont,balanced_rf,gender,predictive_parity,ppv,0.015675313820686654,0.9410797249353084,M,F,2,2
cohort_I25-D50,cont,balanced_rf,gender,equal_opportunity,tpr,0.06608715180871266,0.8175131159854894,M,F,2,2
cohort_I25-D50,cont,balanced_rf,gender,predictive_equality,fpr,0.039603838148317416,0.7644329080631502,M,F,2,2
cohort_I25-D50,cont,balanced_rf,gender,equalised_odds,tpr,0.06608715180871266,0.8175131159854894,M,F,2,2
cohort_I25-D50,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.028904780342050823,0.8352595680181887,18-39,65-79,4,4
cohort_I25-D50,cont,balanced_rf,age_band,predictive_parity,ppv,0.22617331771912438,0.5038778837128884,80+,18-39,4,4
cohort_I25-D50,cont,balanced_rf,age_band,equal_opportunity,tpr,0.05345614672968935,0.8393433865131977,18-39,65-79,4,4
cohort_I25-D50,cont,balanced_rf,age_band,predictive_equality,fpr,0.04807167397125807,0.6855749356551908,18-39,80+,4,4
cohort_I25-D50,cont,balanced_rf,age_band,equalised_odds,tpr,0.05345614672968935,0.8393433865131977,18-39,65-79,4,4
cohort_I25-D50,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04931739992479173,0.7479626514225313,M,F,2,2
cohort_I25-D50,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.006742240732440619,0.973854115809003,M,F,2,2
cohort_I25-D50,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.060051959170719815,0.8285789529126725,M,F,2,2
cohort_I25-D50,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.044158936756956174,0.7397093718775444,M,F,2,2
cohort_I25-D50,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.060051959170719815,0.8285789529126725,M,F,2,2
cohort_I25-D50,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.0269764424524723,0.8464484873444491,18-39,65-79,4,4
cohort_I25-D50,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.1923828783282777,0.5422614274258221,80+,18-39,4,4
cohort_I25-D50,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.06071183290914234,0.8114381791262014,18-39,65-79,4,4
cohort_I25-D50,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.041190875700583274,0.7334015759278215,18-39,65-79,4,4
cohort_I25-D50,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.06071183290914234,0.8114381791262014,18-39,65-79,4,4
cohort_I25-D50,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.040269197889745756,0.7849867180554513,M,F,2,2
cohort_I25-D50,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.009518751161078809,0.9630372407359196,M,F,2,2
cohort_I25-D50,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.046900848448552745,0.8599346944430449,M,F,2,2
cohort_I25-D50,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.035870510885602225,0.7791985800246295,M,F,2,2
cohort_I25-D50,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.046900848448552745,0.8599346944430449,M,F,2,2
cohort_I25-D50,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.024843565190622002,0.8567392319910306,40-64,65-79,4,4
cohort_I25-D50,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.17414946686526234,0.5708459566534607,80+,18-39,4,4
cohort_I25-D50,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.07330828586433968,0.7748244111880476,18-39,65-79,4,4
cohort_I25-D50,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.035241940763702906,0.7672097532057978,18-39,65-79,4,4
cohort_I25-D50,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.07330828586433968,0.7748244111880476,18-39,65-79,4,4
cohort_I25-D50,disc,balanced_rf,gender,statistical_parity,selection_rate,0.005358699279733287,0.9711861342463953,M,F,2,2
cohort_I25-D50,disc,balanced_rf,gender,predictive_parity,ppv,0.035882983004816266,0.8589530391029522,M,F,2,2
cohort_I25-D50,disc,balanced_rf,gender,equal_opportunity,tpr,0.01677707638989201,0.9489251884972539,M,F,2,2
cohort_I25-D50,disc,balanced_rf,gender,predictive_equality,fpr,0.00038386370536253045,0.9976304216826818,M,F,2,2
cohort_I25-D50,disc,balanced_rf,gender,equalised_odds,tpr,0.01677707638989201,0.9489251884972539,M,F,2,2
cohort_I25-D50,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.022179950542134286,0.8854391825505994,40-64,80+,4,4
cohort_I25-D50,disc,balanced_rf,age_band,predictive_parity,ppv,0.17776419243636116,0.5355193681501531,80+,18-39,4,4
cohort_I25-D50,disc,balanced_rf,age_band,equal_opportunity,tpr,0.06063103462206604,0.8216263757160854,18-39,65-79,4,4
cohort_I25-D50,disc,balanced_rf,age_band,predictive_equality,fpr,0.03404083108742262,0.8062381759902761,18-39,80+,4,4
cohort_I25-D50,disc,balanced_rf,age_band,equalised_odds,tpr,0.06063103462206604,0.8216263757160854,18-39,65-79,4,4
cohort_I25-D50,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.004067890119786144,0.9776544264838242,M,F,2,2
cohort_I25-D50,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.022928652105193487,0.9031978791060372,M,F,2,2
cohort_I25-D50,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.0013321918060978377,0.9955696280205687,F,M,2,2
cohort_I25-D50,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.002118066963419568,0.9869499100584026,M,F,2,2
cohort_I25-D50,disc_bin,balanced_rf,gender,equalised_odds,fpr,0.002118066963419568,0.9869499100584026,M,F,2,2
cohort_I25-D50,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.02448998093727106,0.8735077325729672,40-64,80+,4,4
cohort_I25-D50,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.1581679439313552,0.5418583693022815,80+,18-39,4,4
cohort_I25-D50,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.061608693895689404,0.8091841841841843,18-39,65-79,4,4
cohort_I25-D50,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.02902180468499177,0.8384403766266956,40-64,80+,4,4
cohort_I25-D50,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.061608693895689404,0.8091841841841843,18-39,65-79,4,4
cohort_I25-D50,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.008157981195626773,0.9566837880844591,M,F,2,2
cohort_I25-D50,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.04222315537028601,0.8323904025770691,M,F,2,2
cohort_I25-D50,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.031012602840251924,0.9058484792225501,M,F,2,2
cohort_I25-D50,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.0015588627134209554,0.990529365226649,M,F,2,2
cohort_I25-D50,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.031012602840251924,0.9058484792225501,M,F,2,2
cohort_I25-D50,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.019887850681849506,0.8954077320583405,18-39,80+,4,4
cohort_I25-D50,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.1710101762223877,0.5341446923597025,80+,18-39,4,4
cohort_I25-D50,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.07506160869389572,0.7768168168168167,18-39,65-79,4,4
cohort_I25-D50,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.03282502561629799,0.8118565604919505,18-39,80+,4,4
cohort_I25-D50,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.07506160869389572,0.7768168168168167,18-39,65-79,4,4
