model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.625160914980396,0.016917831598634036,0.5848589545555771,0.010110157358308341,0.5866536943241301,0.0100058335397634,0.5005264065007435,0.010978212555325915,0.6213125968181575,0.018407854611321484,0.5852575030097196,0.009993818734343744,0.6202586198992516,0.016849676891552538
rf,avg_prec,0.1748738224365076,0.010802130369534512,0.16176597950010643,0.004915595186561771,0.16246346772527576,0.005466055897827432,0.1320633854980364,0.0040454835662636374,0.17427666492138605,0.010462286506834263,0.1612813174022765,0.004490459457306274,0.1745255401373791,0.010117728687499312
rf,f1,0.011852888915144489,0.005280450876626896,0.035808811090761464,0.009919176416310451,0.03789472137451779,0.007084924704049855,0.10958385125620518,0.012245205850457179,0.011196236348806534,0.005749784043073201,0.03524320913210035,0.010805637337785706,0.008401465976595643,0.005849644864069917
rf,mcc,0.03557795775170565,0.022791559309382738,0.02958438210315264,0.018795014531617693,0.03552719190270204,0.014809752142434055,0.0005251544651770554,0.012378079683939024,0.04261520669430026,0.02777166719803453,0.029705719750775607,0.02021610861950387,0.029640622391882792,0.027818319937158175
rf,balanced_acc,0.502330835641006,0.0014541563559051147,0.5046086445216631,0.0029596093244058973,0.505437978219786,0.0022983518341177255,0.5002535096353489,0.005326997052868727,0.5023979159687653,0.0016367679266477031,0.5045944020096622,0.0032329291865113652,0.5016085917561919,0.0017113865453299189
balanced_rf,auc_roc,0.6611704931486603,0.02104153593890685,0.6254331454894013,0.01379566132552864,0.6210794103888524,0.014937414887456774,0.5305167194068863,0.005613825033430127,0.6572326013362709,0.02132319809096022,0.6170818758528246,0.015375083570697827,0.6546521547667474,0.02069100790203225
balanced_rf,avg_prec,0.2253287866557369,0.012940385697733592,0.2018880062248015,0.00764076998810216,0.200138975297111,0.007883963247650963,0.14600752082219431,0.0022980762986139886,0.22792004565689034,0.012391492644085829,0.196063729378785,0.008831520767322569,0.22696423477730798,0.01139312512399318
balanced_rf,f1,0.2857829981316648,0.020547985716765162,0.26814623518835545,0.017053117135064532,0.2612058917855828,0.018768063379078957,0.20148528586508715,0.008842663548665659,0.28070741240340474,0.02195443698154018,0.25547446171919913,0.015371488999723888,0.2763811905385624,0.0169292774613105
balanced_rf,mcc,0.16358126873229367,0.024667437202417895,0.13755277752200773,0.020744672494928482,0.1290086980865056,0.023373697241493595,0.03447792355316159,0.009476363191269242,0.15822192637997623,0.026122530094259157,0.12324857431721423,0.018969023423210198,0.15401627656861763,0.019640927378840954
balanced_rf,balanced_acc,0.589611480382634,0.013453997061087374,0.5782408112182125,0.011628096520308733,0.5734249278679686,0.012964912383767945,0.5222610194434812,0.006411024862968645,0.5862458275148527,0.01414722375100251,0.5696210826622897,0.010531939468795343,0.5834511870007829,0.01089136740412232
catboost,auc_roc,0.6408168789747318,0.029072142473666764,0.6283928783306021,0.01209658077021416,0.6291455008895833,0.01943495345744307,0.5498249287015324,0.010357396968150108,0.6414702747882768,0.018819898620932078,0.6261260834903606,0.01457408628796248,0.6463894644262242,0.022963942975729217
catboost,avg_prec,0.21724391281445565,0.019639207371178274,0.2059017788265159,0.006322393428724122,0.21081912808961079,0.014169291162933325,0.1601947030841997,0.0037936875225327627,0.21462881872421616,0.01174771979715456,0.20564857954779608,0.01705412854977611,0.21852560943158514,0.020206778492292143
catboost,f1,0.049295558004081065,0.00706424705777226,0.028238746641044588,0.012261570548005016,0.033573894768857346,0.008341464943477931,0.004844352695011385,0.004649171073083962,0.045959798868071375,0.002222486744401823,0.03404050215257017,0.011108515280521997,0.05003241343265761,0.0051590390241182775
catboost,mcc,0.06357606990497185,0.01770430691403068,0.03752225067774405,0.029768640160388094,0.049235706048669794,0.013977930921538501,-0.0024643368691136813,0.01665951807881505,0.05601075819101359,0.008956819550367723,0.0466774989679833,0.0187998355855396,0.06729422401006631,0.012158079251224769
catboost,balanced_acc,0.5093689058178175,0.002476594838447525,0.5046130465947929,0.0034775315017538345,0.506137479793433,0.002127785828548878,0.4998286876393495,0.001307849965107633,0.5082941305849533,0.0008807233559548183,0.5059890325006614,0.0027179049364787974,0.5097628534789995,0.0015023716617947635
