cohort,feature_set,fold,feature,itemid,representation,importance
cohort_I25-N16,cont,0,cont_50803,50803,cont,0.0
cohort_I25-N16,cont,0,cont_50804,50804,cont,0.005052494103032277
cohort_I25-N16,cont,0,cont_50805,50805,cont,0.0
cohort_I25-N16,cont,0,cont_50806,50806,cont,0.001972062494756917
cohort_I25-N16,cont,0,cont_50808,50808,cont,0.0020897618929217997
cohort_I25-N16,cont,0,cont_50809,50809,cont,0.0009465679248287941
cohort_I25-N16,cont,0,cont_50811,50811,cont,0.0018585762064022933
cohort_I25-N16,cont,0,cont_50813,50813,cont,0.006996158512750356
cohort_I25-N16,cont,0,cont_50814,50814,cont,0.0
cohort_I25-N16,cont,0,cont_50818,50818,cont,0.003988710742099594
cohort_I25-N16,cont,0,cont_50820,50820,cont,0.005982717582717583
cohort_I25-N16,cont,0,cont_50821,50821,cont,0.003917465386413493
cohort_I25-N16,cont,0,cont_50822,50822,cont,0.003828478495100405
cohort_I25-N16,cont,0,cont_50824,50824,cont,0.0015490630284747933
cohort_I25-N16,cont,0,cont_50853,50853,cont,0.00021880341880341873
cohort_I25-N16,cont,0,cont_50856,50856,cont,0.0
cohort_I25-N16,cont,0,cont_50861,50861,cont,0.012193504754989096
cohort_I25-N16,cont,0,cont_50862,50862,cont,0.008891088866947108
cohort_I25-N16,cont,0,cont_50863,50863,cont,0.016939579224739536
cohort_I25-N16,cont,0,cont_50866,50866,cont,0.0
cohort_I25-N16,cont,0,cont_50867,50867,cont,0.00021880341880341873
cohort_I25-N16,cont,0,cont_50868,50868,cont,0.03156333768755257
cohort_I25-N16,cont,0,cont_50877,50877,cont,0.0
cohort_I25-N16,cont,0,cont_50878,50878,cont,0.00881005570086107
cohort_I25-N16,cont,0,cont_50881,50881,cont,0.0
cohort_I25-N16,cont,0,cont_50882,50882,cont,0.06277213015204094
cohort_I25-N16,cont,0,cont_50883,50883,cont,0.0
cohort_I25-N16,cont,0,cont_50885,50885,cont,0.023043740126061783
cohort_I25-N16,cont,0,cont_50889,50889,cont,0.0015941890985369245
cohort_I25-N16,cont,0,cont_50890,50890,cont,0.0
cohort_I25-N16,cont,0,cont_50891,50891,cont,0.0
cohort_I25-N16,cont,0,cont_50893,50893,cont,0.02117298903966854
cohort_I25-N16,cont,0,cont_50894,50894,cont,0.0
cohort_I25-N16,cont,0,cont_50895,50895,cont,0.0
cohort_I25-N16,cont,0,cont_50896,50896,cont,0.0
cohort_I25-N16,cont,0,cont_50899,50899,cont,0.0
cohort_I25-N16,cont,0,cont_50902,50902,cont,0.024718094733490712
cohort_I25-N16,cont,0,cont_50904,50904,cont,0.0007822954822954825
cohort_I25-N16,cont,0,cont_50905,50905,cont,0.0
cohort_I25-N16,cont,0,cont_50906,50906,cont,0.0
cohort_I25-N16,cont,0,cont_50907,50907,cont,0.00042795736535789554
cohort_I25-N16,cont,0,cont_50908,50908,cont,0.0013115055884286653
cohort_I25-N16,cont,0,cont_50910,50910,cont,0.0
cohort_I25-N16,cont,0,cont_50911,50911,cont,0.005633265322645323
cohort_I25-N16,cont,0,cont_50912,50912,cont,0.054007113062440125
cohort_I25-N16,cont,0,cont_50914,50914,cont,0.0
cohort_I25-N16,cont,0,cont_50915,50915,cont,0.0
cohort_I25-N16,cont,0,cont_50916,50916,cont,0.0
cohort_I25-N16,cont,0,cont_50917,50917,cont,0.002224573778450118
cohort_I25-N16,cont,0,cont_50924,50924,cont,0.004408872548666433
cohort_I25-N16,cont,0,cont_50925,50925,cont,0.00029370629370629385
cohort_I25-N16,cont,0,cont_50927,50927,cont,8.496732026143842e-05
