cohort,feature_set,fold,feature,itemid,representation,importance
cohort_I35-D64,cont,0,cont_50803,50803,cont,0.0006075962126707315
cohort_I35-D64,cont,0,cont_50804,50804,cont,0.007485126758680022
cohort_I35-D64,cont,0,cont_50805,50805,cont,7.506593452300015e-05
cohort_I35-D64,cont,0,cont_50806,50806,cont,0.004441983379718735
cohort_I35-D64,cont,0,cont_50808,50808,cont,0.0069830493157499686
cohort_I35-D64,cont,0,cont_50809,50809,cont,0.004382373589677012
cohort_I35-D64,cont,0,cont_50811,50811,cont,0.005142872677824525
cohort_I35-D64,cont,0,cont_50813,50813,cont,0.008317066490746762
cohort_I35-D64,cont,0,cont_50814,50814,cont,6.745277147214327e-05
cohort_I35-D64,cont,0,cont_50818,50818,cont,0.008482425756487891
cohort_I35-D64,cont,0,cont_50820,50820,cont,0.00811872065223249
cohort_I35-D64,cont,0,cont_50821,50821,cont,0.00737807106608915
cohort_I35-D64,cont,0,cont_50822,50822,cont,0.0062579103506789305
cohort_I35-D64,cont,0,cont_50824,50824,cont,0.00494984362517402
cohort_I35-D64,cont,0,cont_50853,50853,cont,0.0005311529073640946
cohort_I35-D64,cont,0,cont_50856,50856,cont,2.2117716144773598e-05
cohort_I35-D64,cont,0,cont_50861,50861,cont,0.014575473054184348
cohort_I35-D64,cont,0,cont_50862,50862,cont,0.01218997074410698
cohort_I35-D64,cont,0,cont_50863,50863,cont,0.016366174434844602
cohort_I35-D64,cont,0,cont_50866,50866,cont,0.0001316182514233443
cohort_I35-D64,cont,0,cont_50867,50867,cont,0.0019070466095047578
cohort_I35-D64,cont,0,cont_50868,50868,cont,0.03809201379394247
cohort_I35-D64,cont,0,cont_50877,50877,cont,0.0
cohort_I35-D64,cont,0,cont_50878,50878,cont,0.013768740473479925
cohort_I35-D64,cont,0,cont_50881,50881,cont,0.0
cohort_I35-D64,cont,0,cont_50882,50882,cont,0.021998400025045224
cohort_I35-D64,cont,0,cont_50883,50883,cont,0.0009046400499626638
cohort_I35-D64,cont,0,cont_50885,50885,cont,0.015378565264086553
cohort_I35-D64,cont,0,cont_50889,50889,cont,0.0032367143070516653
cohort_I35-D64,cont,0,cont_50890,50890,cont,0.0001276870663229804
cohort_I35-D64,cont,0,cont_50891,50891,cont,0.00018870373526096637
cohort_I35-D64,cont,0,cont_50893,50893,cont,0.025192800604252986
cohort_I35-D64,cont,0,cont_50894,50894,cont,0.0
cohort_I35-D64,cont,0,cont_50895,50895,cont,1.854902443264549e-05
cohort_I35-D64,cont,0,cont_50896,50896,cont,4.480518783073376e-05
cohort_I35-D64,cont,0,cont_50899,50899,cont,2.8693653560350175e-05
cohort_I35-D64,cont,0,cont_50902,50902,cont,0.024191427422473915
cohort_I35-D64,cont,0,cont_50904,50904,cont,0.002848810770259186
cohort_I35-D64,cont,0,cont_50905,50905,cont,0.00031103661385031937
cohort_I35-D64,cont,0,cont_50906,50906,cont,0.00016439318137710345
cohort_I35-D64,cont,0,cont_50907,50907,cont,0.002921694020536145
cohort_I35-D64,cont,0,cont_50908,50908,cont,0.0008991391953272028
cohort_I35-D64,cont,0,cont_50910,50910,cont,0.0
cohort_I35-D64,cont,0,cont_50911,50911,cont,0.009941093210204708
cohort_I35-D64,cont,0,cont_50912,50912,cont,0.0269977668052145
cohort_I35-D64,cont,0,cont_50914,50914,cont,0.0
cohort_I35-D64,cont,0,cont_50915,50915,cont,0.0
cohort_I35-D64,cont,0,cont_50916,50916,cont,1.1419272477308754e-05
cohort_I35-D64,cont,0,cont_50917,50917,cont,0.0007066361863697428
cohort_I35-D64,cont,0,cont_50924,50924,cont,0.004864822885726678
cohort_I35-D64,cont,0,cont_50925,50925,cont,0.0009083340092148744
cohort_I35-D64,cont,0,cont_50927,50927,cont,0.00046098691763568167
cohort_I35-D64,cont,0,cont_50930,50930,cont,0.000996083305464083
cohort_I35-D64,cont,0,cont_50931,50931,cont,0.0
cohort_I35-D64,cont,0,cont_50935,50935,cont,0.003618660809526099
cohort_I35-D64,cont,0,cont_50945,50945,cont,0.0
cohort_I35-D64,cont,0,cont_50949,50949,cont,0.0005480353886200517
cohort_I35-D64,cont,0,cont_50950,50950,cont,0.0006357808392984014
cohort_I35-D64,cont,0,cont_50951,50951,cont,0.000373997638939295
cohort_I35-D64,cont,0,cont_50952,50952,cont,0.004116672372725631
cohort_I35-D64,cont,0,cont_50953,50953,cont,0.00395883266544888
cohort_I35-D64,cont,0,cont_50954,50954,cont,0.01129986684641524
cohort_I35-D64,cont,0,cont_50956,50956,cont,0.003941701458810682
cohort_I35-D64,cont,0,cont_50957,50957,cont,0.0
cohort_I35-D64,cont,0,cont_50960,50960,cont,0.02308561831200477
cohort_I35-D64,cont,0,cont_50964,50964,cont,0.0011795931167815899
cohort_I35-D64,cont,0,cont_50965,50965,cont,0.00043693170355590635
