model,measure,mean_cont,std_cont,mean_disc,std_disc,mean_disc_imp,std_disc_imp,mean_bin,std_bin,mean_cont_bin,std_cont_bin,mean_disc_bin,std_disc_bin,mean_cont_disc_bin,std_cont_disc_bin
rf,auc_roc,0.5335579161421488,0.06836844747660838,0.5760559978635689,0.03877061957107212,0.5457239079999333,0.05806144135333785,0.5062553716046162,0.054679382860369156,0.5427018518957751,0.03703518444145922,0.5420888605729771,0.023757626536286266,0.5541508869146812,0.03656502248322499
rf,avg_prec,0.032076430495286704,0.005966960639035502,0.03501736687116595,0.006452810618096209,0.03308929575143071,0.005998151800074017,0.03661455240147769,0.009752223534962051,0.03234300397280189,0.004290705180586197,0.031802298935794754,0.002548662497303778,0.03269145704570325,0.004024155790840673
rf,f1,0.0,0.0,0.0,0.0,0.0,0.0,0.03382966051220965,0.046353791257537004,0.0,0.0,0.0,0.0,0.0,0.0
rf,mcc,0.0,0.0,-0.0010792577259390534,0.0024132936404415613,0.0,0.0,0.002107559491172714,0.04746079407530427,0.0,0.0,0.0,0.0,0.0,0.0
rf,balanced_acc,0.5,0.0,0.4998947368421053,0.00023537557657893592,0.5,0.0,0.5018305991055452,0.0296772145359182,0.5,0.0,0.5,0.0,0.5,0.0
balanced_rf,auc_roc,0.5888513517114436,0.0606080910319853,0.5769243795316074,0.05355671213980781,0.5796054108867214,0.05489390863589385,0.5106309451336016,0.04332511842777749,0.5903347788503857,0.06629178221651326,0.5591292624305242,0.07081410284756329,0.5923261386905749,0.05666113175502335
balanced_rf,avg_prec,0.053556551207370205,0.021847295685601578,0.04101666851601302,0.007790160104477985,0.04087640423364098,0.008078325502143914,0.035181311553190694,0.007937741661423553,0.046308400764252466,0.011111298688051621,0.04019922180752027,0.008928510416997463,0.04379631854542898,0.0058075369711105065
balanced_rf,f1,0.07279007936507936,0.029573332973806696,0.07775237801049702,0.03977632173074675,0.08429029866548705,0.04150958561636136,0.05231838491653227,0.016981391435344426,0.07796686989227693,0.03284927194017509,0.0784571552052095,0.028764239177109113,0.09467717722564653,0.014193090767339048
balanced_rf,mcc,0.03809143553634178,0.03756448754465115,0.04670190406334278,0.06010725966390587,0.056613319730932955,0.06325687026846624,0.005234643066582145,0.03295472288698677,0.04506625503285878,0.04213500338065098,0.04914290330413913,0.044767121155952175,0.06708360665445842,0.018448980437724777
balanced_rf,balanced_acc,0.5350066166116307,0.03427941530996847,0.5507243766619492,0.06563347303920407,0.561466781218732,0.06974810873639044,0.5076318240395943,0.04413092137686876,0.5417297493646489,0.03929406010859264,0.5551319413149065,0.051319290921304925,0.5628210888244094,0.01864776538295512
catboost,auc_roc,0.5412417250627445,0.08100969729735986,0.49740492163930095,0.07809606753726422,0.5219621805419027,0.04856757071351476,0.4193741073679642,0.06287126509159122,0.5077487769546544,0.07468081865378738,0.535944315456242,0.04462854533923282,0.5182563717390216,0.03993196460771727
catboost,avg_prec,0.0389567342045555,0.009851997847836363,0.04004095948005101,0.014809262453305145,0.0444275192566356,0.02316435466907581,0.026527459126555318,0.005381912974171964,0.04956479438411478,0.031753706857403155,0.039559863154332756,0.010075891200236376,0.03419447087331805,0.006443335499670244
catboost,f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost,mcc,0.0,0.0,-0.001078137960238497,0.002410789768216245,0.0,0.0,-0.0010792577259390534,0.0024132936404415613,0.0,0.0,-0.0010984996599862097,0.0024563199129895704,0.0,0.0
catboost,balanced_acc,0.5,0.0,0.49989484752891694,0.00023512807334382497,0.5,0.0,0.4998947368421053,0.0002353755765789359,0.5,0.0,0.4998947368421053,0.00023537557657893592,0.5,0.0
