cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_I42-E87,bin,balanced_rf,gender,statistical_parity,selection_rate,0.013240934063710186,0.9681056425594081,F,M,2,2
cohort_I42-E87,bin,balanced_rf,gender,predictive_parity,ppv,0.009807690154616633,0.9777040612883795,F,M,2,2
cohort_I42-E87,bin,balanced_rf,gender,equal_opportunity,tpr,0.020161878652444676,0.9553326868439409,F,M,2,2
cohort_I42-E87,bin,balanced_rf,gender,predictive_equality,fpr,0.008231659422946014,0.9789219629927595,F,M,2,2
cohort_I42-E87,bin,balanced_rf,gender,equalised_odds,tpr,0.020161878652444676,0.9553326868439409,F,M,2,2
cohort_I42-E87,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.05821248585827421,0.8713197681027622,65-79,18-39,4,4
cohort_I42-E87,bin,balanced_rf,age_band,predictive_parity,ppv,0.1490503715937242,0.6749699879951981,80+,40-64,4,4
cohort_I42-E87,bin,balanced_rf,age_band,equal_opportunity,tpr,0.16555555555555557,0.702,80+,18-39,4,4
cohort_I42-E87,bin,balanced_rf,age_band,predictive_equality,fpr,0.03928571428571431,0.9051724137931034,65-79,80+,4,4
cohort_I42-E87,bin,balanced_rf,age_band,equalised_odds,tpr,0.16555555555555557,0.702,80+,18-39,4,4
cohort_I42-E87,cont,balanced_rf,gender,statistical_parity,selection_rate,0.02367788364242751,0.9340041966562127,F,M,2,2
cohort_I42-E87,cont,balanced_rf,gender,predictive_parity,ppv,0.1051347655845366,0.8070950697532977,F,M,2,2
cohort_I42-E87,cont,balanced_rf,gender,equal_opportunity,tpr,0.11558427596163445,0.7608481497370386,F,M,2,2
cohort_I42-E87,cont,balanced_rf,gender,predictive_equality,fpr,0.0391126005829886,0.8751490433367878,M,F,2,2
cohort_I42-E87,cont,balanced_rf,gender,equalised_odds,tpr,0.11558427596163445,0.7608481497370386,F,M,2,2
cohort_I42-E87,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.1991167434715822,0.5251831501831502,18-39,80+,4,4
