cohort,feature_set,fold,feature,itemid,representation,importance
cohort_I42-E87,cont,0,cont_50803,50803,cont,0.0004228794913659126
cohort_I42-E87,cont,0,cont_50804,50804,cont,0.007666352242189523
cohort_I42-E87,cont,0,cont_50805,50805,cont,4.956773626696296e-05
cohort_I42-E87,cont,0,cont_50806,50806,cont,0.0020931100433763347
cohort_I42-E87,cont,0,cont_50808,50808,cont,0.0031647398906308605
cohort_I42-E87,cont,0,cont_50809,50809,cont,0.002462012755665204
cohort_I42-E87,cont,0,cont_50811,50811,cont,0.0028540239040352523
cohort_I42-E87,cont,0,cont_50813,50813,cont,0.007760970479507244
cohort_I42-E87,cont,0,cont_50814,50814,cont,4.66809650279711e-05
cohort_I42-E87,cont,0,cont_50818,50818,cont,0.005951523463525788
cohort_I42-E87,cont,0,cont_50820,50820,cont,0.006476188184731431
cohort_I42-E87,cont,0,cont_50821,50821,cont,0.004937401154308643
cohort_I42-E87,cont,0,cont_50822,50822,cont,0.003982688103516014
cohort_I42-E87,cont,0,cont_50824,50824,cont,0.0022650406054922933
cohort_I42-E87,cont,0,cont_50853,50853,cont,0.0003351743233788968
cohort_I42-E87,cont,0,cont_50856,50856,cont,2.3451145228469177e-05
cohort_I42-E87,cont,0,cont_50861,50861,cont,0.015438107032372897
cohort_I42-E87,cont,0,cont_50862,50862,cont,0.012170167825799555
cohort_I42-E87,cont,0,cont_50863,50863,cont,0.014882349158479698
cohort_I42-E87,cont,0,cont_50866,50866,cont,5.345126059871228e-05
cohort_I42-E87,cont,0,cont_50867,50867,cont,0.00139480636466255
cohort_I42-E87,cont,0,cont_50868,50868,cont,0.02998327252711443
cohort_I42-E87,cont,0,cont_50877,50877,cont,0.0
cohort_I42-E87,cont,0,cont_50878,50878,cont,0.014803962731035437
cohort_I42-E87,cont,0,cont_50881,50881,cont,7.065298023802806e-05
cohort_I42-E87,cont,0,cont_50882,50882,cont,0.02617600666328509
cohort_I42-E87,cont,0,cont_50883,50883,cont,0.002430007996148044
cohort_I42-E87,cont,0,cont_50885,50885,cont,0.014592470679814012
cohort_I42-E87,cont,0,cont_50889,50889,cont,0.0029889370651556726
cohort_I42-E87,cont,0,cont_50890,50890,cont,0.00024870364315010497
cohort_I42-E87,cont,0,cont_50891,50891,cont,0.00016270645855800416
cohort_I42-E87,cont,0,cont_50893,50893,cont,0.02432994491409304
cohort_I42-E87,cont,0,cont_50894,50894,cont,1.0635748506748733e-05
cohort_I42-E87,cont,0,cont_50895,50895,cont,5.0656541735461744e-05
cohort_I42-E87,cont,0,cont_50896,50896,cont,6.771310201020602e-05
cohort_I42-E87,cont,0,cont_50899,50899,cont,5.065190985493612e-05
cohort_I42-E87,cont,0,cont_50902,50902,cont,0.03521385967080622
cohort_I42-E87,cont,0,cont_50904,50904,cont,0.003531248450875603
cohort_I42-E87,cont,0,cont_50905,50905,cont,0.00029856419380848784
cohort_I42-E87,cont,0,cont_50906,50906,cont,0.00012125509995517851
cohort_I42-E87,cont,0,cont_50907,50907,cont,0.003870885077559
cohort_I42-E87,cont,0,cont_50908,50908,cont,0.0005137044673311401
cohort_I42-E87,cont,0,cont_50910,50910,cont,0.0
cohort_I42-E87,cont,0,cont_50911,50911,cont,0.00966668447090112
cohort_I42-E87,cont,0,cont_50912,50912,cont,0.03231953258439527
cohort_I42-E87,cont,0,cont_50914,50914,cont,0.0
cohort_I42-E87,cont,0,cont_50915,50915,cont,0.0
cohort_I42-E87,cont,0,cont_50916,50916,cont,0.0
cohort_I42-E87,cont,0,cont_50917,50917,cont,0.001967614406822968
cohort_I42-E87,cont,0,cont_50924,50924,cont,0.005977494794879186
cohort_I42-E87,cont,0,cont_50925,50925,cont,0.0009823107035547417
cohort_I42-E87,cont,0,cont_50927,50927,cont,0.00028647357843012843
cohort_I42-E87,cont,0,cont_50930,50930,cont,0.0010966412098861178
cohort_I42-E87,cont,0,cont_50931,50931,cont,0.0
cohort_I42-E87,cont,0,cont_50935,50935,cont,0.0032032424279399697
cohort_I42-E87,cont,0,cont_50945,50945,cont,0.0
cohort_I42-E87,cont,0,cont_50949,50949,cont,0.000664093388431176
cohort_I42-E87,cont,0,cont_50950,50950,cont,0.0008601695368862098
cohort_I42-E87,cont,0,cont_50951,50951,cont,0.0005603387136587765
cohort_I42-E87,cont,0,cont_50952,50952,cont,0.005688334147393367
cohort_I42-E87,cont,0,cont_50953,50953,cont,0.005927005179793512
cohort_I42-E87,cont,0,cont_50954,50954,cont,0.012297557468681783
cohort_I42-E87,cont,0,cont_50956,50956,cont,0.0044978449204857
cohort_I42-E87,cont,0,cont_50957,50957,cont,9.977030850253317e-06
cohort_I42-E87,cont,0,cont_50960,50960,cont,0.026320895944434996
cohort_I42-E87,cont,0,cont_50964,50964,cont,0.0005152622980604529
cohort_I42-E87,cont,0,cont_50965,50965,cont,0.0004648920424681328
cohort_I42-E87,cont,0,cont_50966,50966,cont,0.0
cohort_I42-E87,cont,0,cont_50967,50967,cont,0.0
cohort_I42-E87,cont,0,cont_50968,50968,cont,0.0
cohort_I42-E87,cont,0,cont_50969,50969,cont,0.0
cohort_I42-E87,cont,0,cont_50970,50970,cont,0.02487715300178438
cohort_I42-E87,cont,0,cont_50971,50971,cont,0.02547170039536264
cohort_I42-E87,cont,0,cont_50976,50976,cont,0.003779286815317417
cohort_I42-E87,cont,0,cont_50978,50978,cont,0.0
cohort_I42-E87,cont,0,cont_50981,50981,cont,0.0
cohort_I42-E87,cont,0,cont_50982,50982,cont,2.9300441912313692e-05
cohort_I42-E87,cont,0,cont_50983,50983,cont,0.031320098101906224
cohort_I42-E87,cont,0,cont_50986,50986,cont,0.0
cohort_I42-E87,cont,0,cont_50988,50988,cont,8.799889656556039e-06
cohort_I42-E87,cont,0,cont_50989,50989,cont,0.0
cohort_I42-E87,cont,0,cont_50990,50990,cont,0.0
cohort_I42-E87,cont,0,cont_50992,50992,cont,0.0
cohort_I42-E87,cont,0,cont_50993,50993,cont,0.007977964454139208
cohort_I42-E87,cont,0,cont_50994,50994,cont,0.0010088515705809343
cohort_I42-E87,cont,0,cont_50995,50995,cont,0.0018676027800626363
cohort_I42-E87,cont,0,cont_50997,50997,cont,0.0
cohort_I42-E87,cont,0,cont_50998,50998,cont,0.005568775634170616
cohort_I42-E87,cont,0,cont_51000,51000,cont,0.004443324509116388
cohort_I42-E87,cont,0,cont_51001,51001,cont,0.0005844424924509865
cohort_I42-E87,cont,0,cont_51005,51005,cont,1.436531350207143e-05
cohort_I42-E87,cont,0,cont_51006,51006,cont,0.02974445077701456
cohort_I42-E87,cont,0,cont_51007,51007,cont,0.0014286791194466474
cohort_I42-E87,cont,0,cont_51008,51008,cont,6.919323386688412e-05
cohort_I42-E87,cont,0,cont_51009,51009,cont,0.002722867701297745
cohort_I42-E87,cont,0,cont_51010,51010,cont,0.0022187781765472384
cohort_I42-E87,cont,0,cont_51070,51070,cont,0.0002364982890368698
cohort_I42-E87,cont,0,cont_51080,51080,cont,0.0
cohort_I42-E87,cont,0,cont_51099,51099,cont,0.0010335615507874138
cohort_I42-E87,cont,0,cont_51110,51110,cont,2.4922444141486365e-05
cohort_I42-E87,cont,0,cont_51111,51111,cont,0.0
cohort_I42-E87,cont,0,cont_51114,51114,cont,0.0
cohort_I42-E87,cont,0,cont_51116,51116,cont,2.9396872031080857e-05
cohort_I42-E87,cont,0,cont_51117,51117,cont,9.61744529918433e-06
cohort_I42-E87,cont,0,cont_51118,51118,cont,3.487032686085444e-05
cohort_I42-E87,cont,0,cont_51120,51120,cont,2.5678329355037276e-05
cohort_I42-E87,cont,0,cont_51124,51124,cont,0.0
cohort_I42-E87,cont,0,cont_51125,51125,cont,0.0
cohort_I42-E87,cont,0,cont_51127,51127,cont,2.340458895531406e-05
cohort_I42-E87,cont,0,cont_51130,51130,cont,9.531695653282249e-05
cohort_I42-E87,cont,0,cont_51131,51131,cont,9.57759816422667e-05
cohort_I42-E87,cont,0,cont_51132,51132,cont,0.00012649196285073087
cohort_I42-E87,cont,0,cont_51133,51133,cont,0.0098619272493601
cohort_I42-E87,cont,0,cont_51138,51138,cont,0.0
cohort_I42-E87,cont,0,cont_51139,51139,cont,0.0
cohort_I42-E87,cont,0,cont_51140,51140,cont,0.0
cohort_I42-E87,cont,0,cont_51143,51143,cont,0.0006470817330638161
cohort_I42-E87,cont,0,cont_51144,51144,cont,0.0009924477787461206
cohort_I42-E87,cont,0,cont_51146,51146,cont,0.00823475179058247
cohort_I42-E87,cont,0,cont_51148,51148,cont,3.2129952939838445e-05
cohort_I42-E87,cont,0,cont_51149,51149,cont,0.0
cohort_I42-E87,cont,0,cont_51181,51181,cont,6.260908663375602e-05
cohort_I42-E87,cont,0,cont_51196,51196,cont,0.0
cohort_I42-E87,cont,0,cont_51199,51199,cont,0.0
cohort_I42-E87,cont,0,cont_51200,51200,cont,0.009173675812749547
cohort_I42-E87,cont,0,cont_51202,51202,cont,0.0
cohort_I42-E87,cont,0,cont_51203,51203,cont,0.0
cohort_I42-E87,cont,0,cont_51204,51204,cont,8.496395880299585e-06
cohort_I42-E87,cont,0,cont_51205,51205,cont,1.2728781166576124e-05
cohort_I42-E87,cont,0,cont_51206,51206,cont,6.020464973410908e-06
cohort_I42-E87,cont,0,cont_51207,51207,cont,0.0
cohort_I42-E87,cont,0,cont_51208,51208,cont,8.772290792725586e-06
cohort_I42-E87,cont,0,cont_51209,51209,cont,0.0
cohort_I42-E87,cont,0,cont_51214,51214,cont,0.0037061699749484926
cohort_I42-E87,cont,0,cont_51218,51218,cont,0.0
