cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_I50-J06,bin,balanced_rf,gender,statistical_parity,selection_rate,0.004368501130659841,0.9844105703259493,M,F,2,2
cohort_I50-J06,bin,balanced_rf,gender,predictive_parity,ppv,0.003755368114667177,0.8883783888060086,F,M,2,2
cohort_I50-J06,bin,balanced_rf,gender,equal_opportunity,tpr,0.041666666666666685,0.8645833333333333,F,M,2,2
cohort_I50-J06,bin,balanced_rf,gender,predictive_equality,fpr,0.005820181123972479,0.9792642544811107,M,F,2,2
cohort_I50-J06,bin,balanced_rf,gender,equalised_odds,tpr,0.041666666666666685,0.8645833333333333,F,M,2,2
cohort_I50-J06,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.032518792419782505,0.8880607951095946,18-39,80+,4,4
cohort_I50-J06,bin,balanced_rf,age_band,predictive_parity,ppv,0.043428866511748,0.34856700232378,80+,18-39,4,4
cohort_I50-J06,bin,balanced_rf,age_band,equal_opportunity,tpr,0.1237879767291532,0.6245098039215686,18-39,80+,4,4
cohort_I50-J06,bin,balanced_rf,age_band,predictive_equality,fpr,0.026950690072915118,0.9069656194390171,18-39,80+,4,4
cohort_I50-J06,bin,balanced_rf,age_band,equalised_odds,tpr,0.1237879767291532,0.6245098039215686,18-39,80+,4,4
cohort_I50-J06,cont,balanced_rf,gender,statistical_parity,selection_rate,0.02096149067159625,0.8661543991265986,M,F,2,2
cohort_I50-J06,cont,balanced_rf,gender,predictive_parity,ppv,0.0024757697321602865,0.9480757483200978,M,F,2,2
cohort_I50-J06,cont,balanced_rf,gender,equal_opportunity,tpr,0.03388278388278387,0.8571428571428572,M,F,2,2
cohort_I50-J06,cont,balanced_rf,gender,predictive_equality,fpr,0.020446327178266943,0.8672233773633247,M,F,2,2
cohort_I50-J06,cont,balanced_rf,gender,equalised_odds,tpr,0.03388278388278387,0.8571428571428572,M,F,2,2
cohort_I50-J06,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.10127837108035127,0.5495049504950495,80+,18-39,4,4
cohort_I50-J06,cont,balanced_rf,age_band,predictive_parity,ppv,0.023679417122040067,0.6060606060606062,80+,18-39,4,4
cohort_I50-J06,cont,balanced_rf,age_band,equal_opportunity,tpr,0.0755234297108674,0.6817226890756303,18-39,40-64,4,4
cohort_I50-J06,cont,balanced_rf,age_band,predictive_equality,fpr,0.10903761788886773,0.5270810293889806,80+,18-39,4,4
cohort_I50-J06,cont,balanced_rf,age_band,equalised_odds,fpr,0.10903761788886773,0.5270810293889806,80+,18-39,4,4
cohort_I50-J06,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.01752325453442935,0.8852244200686088,M,F,2,2
cohort_I50-J06,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.003636175017820216,0.921965770341253,F,M,2,2
cohort_I50-J06,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.00045787545787545625,0.9978070175438597,F,M,2,2
cohort_I50-J06,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.01800420300025482,0.8806599859140568,M,F,2,2
cohort_I50-J06,cont_bin,balanced_rf,gender,equalised_odds,fpr,0.01800420300025482,0.8806599859140568,M,F,2,2
cohort_I50-J06,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.08980830515483981,0.5699767035527082,80+,18-39,4,4
cohort_I50-J06,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.038240853997553656,0.40900498367417076,80+,18-39,4,4
cohort_I50-J06,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.09361147327249023,0.6217070600632244,80+,40-64,4,4
cohort_I50-J06,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.09482751718484494,0.5550859885541237,80+,18-39,4,4
cohort_I50-J06,cont_bin,balanced_rf,age_band,equalised_odds,fpr,0.09482751718484494,0.5550859885541237,80+,18-39,4,4
cohort_I50-J06,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.019933662157294335,0.8698665401984277,M,F,2,2
cohort_I50-J06,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0006759679861561771,0.9846907532149418,F,M,2,2
cohort_I50-J06,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.01648351648351648,0.922077922077922,M,F,2,2
cohort_I50-J06,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.01995889223902736,0.8680678734778343,M,F,2,2
cohort_I50-J06,cont_disc_bin,balanced_rf,gender,equalised_odds,fpr,0.01995889223902736,0.8680678734778343,M,F,2,2
cohort_I50-J06,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.08624443525433624,0.5770905403793392,80+,18-39,4,4
cohort_I50-J06,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.03758437190444379,0.4328176603511211,80+,18-39,4,4
cohort_I50-J06,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.06535393818544366,0.7122475856014048,18-39,40-64,4,4
cohort_I50-J06,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.0910736732671499,0.5616712241464915,80+,18-39,4,4
cohort_I50-J06,cont_disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.0910736732671499,0.5616712241464915,80+,18-39,4,4
cohort_I50-J06,disc,balanced_rf,gender,statistical_parity,selection_rate,0.027367955617795814,0.8594733470609551,M,F,2,2
cohort_I50-J06,disc,balanced_rf,gender,predictive_parity,ppv,0.003827014825834918,0.9076732673267326,M,F,2,2
cohort_I50-J06,disc,balanced_rf,gender,equal_opportunity,tpr,0.04761904761904759,0.8142857142857144,M,F,2,2
cohort_I50-J06,disc,balanced_rf,gender,predictive_equality,fpr,0.026651428434694674,0.8617295080452976,M,F,2,2
cohort_I50-J06,disc,balanced_rf,gender,equalised_odds,tpr,0.04761904761904759,0.8142857142857144,M,F,2,2
cohort_I50-J06,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.06726348310506727,0.7072060147191189,80+,18-39,4,4
cohort_I50-J06,disc,balanced_rf,age_band,predictive_parity,ppv,0.025775104803946257,0.518005540166205,80+,18-39,4,4
cohort_I50-J06,disc,balanced_rf,age_band,equal_opportunity,tpr,0.10378863409770686,0.586248012718601,18-39,40-64,4,4
cohort_I50-J06,disc,balanced_rf,age_band,predictive_equality,fpr,0.07599732457785421,0.6796948918922077,80+,18-39,4,4
cohort_I50-J06,disc,balanced_rf,age_band,equalised_odds,tpr,0.10378863409770686,0.586248012718601,18-39,40-64,4,4
cohort_I50-J06,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.02597328558953016,0.8657301720436913,M,F,2,2
cohort_I50-J06,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0020669769713263716,0.9485403265710045,M,F,2,2
cohort_I50-J06,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.03525641025641027,0.8571428571428571,M,F,2,2
cohort_I50-J06,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.02560954470891849,0.8664128205890219,M,F,2,2
cohort_I50-J06,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.03525641025641027,0.8571428571428571,M,F,2,2
cohort_I50-J06,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.043228647189043234,0.7930110658124636,80+,18-39,4,4
cohort_I50-J06,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.03345588235294118,0.4829545454545454,80+,18-39,4,4
cohort_I50-J06,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.09098254686489979,0.6400255754475704,18-39,80+,4,4
cohort_I50-J06,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.04934164537230187,0.7684976890079421,80+,18-39,4,4
cohort_I50-J06,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.09098254686489979,0.6400255754475704,18-39,80+,4,4
cohort_I50-J06,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.03265722292812978,0.833436397726317,M,F,2,2
cohort_I50-J06,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.006751233689564352,0.8509358288770053,M,F,2,2
cohort_I50-J06,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.07326007326007325,0.7402597402597403,M,F,2,2
cohort_I50-J06,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.03127353229348162,0.8381868663327027,M,F,2,2
cohort_I50-J06,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.07326007326007325,0.7402597402597403,M,F,2,2
cohort_I50-J06,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.055842070693555845,0.748864941742793,80+,18-39,4,4
cohort_I50-J06,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.03521726146035538,0.4688063063063064,80+,18-39,4,4
cohort_I50-J06,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.10149551345962113,0.6348637015781923,18-39,40-64,4,4
cohort_I50-J06,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.0618275646083038,0.7270806911373099,80+,18-39,4,4
cohort_I50-J06,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.10149551345962113,0.6348637015781923,18-39,40-64,4,4
