cohort,feature_set,fold,feature,itemid,representation,importance
cohort_I69-J15,cont,0,cont_50803,50803,cont,0.0003891301175805385
cohort_I69-J15,cont,0,cont_50804,50804,cont,0.011447063270318794
cohort_I69-J15,cont,0,cont_50805,50805,cont,0.0
cohort_I69-J15,cont,0,cont_50806,50806,cont,0.002530748126028554
cohort_I69-J15,cont,0,cont_50808,50808,cont,0.003541948585479424
cohort_I69-J15,cont,0,cont_50809,50809,cont,0.002098255901997658
cohort_I69-J15,cont,0,cont_50811,50811,cont,0.0026915347473525494
cohort_I69-J15,cont,0,cont_50813,50813,cont,0.011166064802871701
cohort_I69-J15,cont,0,cont_50814,50814,cont,0.0
cohort_I69-J15,cont,0,cont_50818,50818,cont,0.009437314533827477
cohort_I69-J15,cont,0,cont_50820,50820,cont,0.008484564189979326
cohort_I69-J15,cont,0,cont_50821,50821,cont,0.00653349994727268
cohort_I69-J15,cont,0,cont_50822,50822,cont,0.004455141725383105
cohort_I69-J15,cont,0,cont_50824,50824,cont,0.0021784551914168287
cohort_I69-J15,cont,0,cont_50853,50853,cont,0.00013170627767539406
cohort_I69-J15,cont,0,cont_50856,50856,cont,0.00013705819614483932
cohort_I69-J15,cont,0,cont_50861,50861,cont,0.01687166035882285
cohort_I69-J15,cont,0,cont_50862,50862,cont,0.012035386008191753
cohort_I69-J15,cont,0,cont_50863,50863,cont,0.016098833307535663
cohort_I69-J15,cont,0,cont_50866,50866,cont,3.770331427971592e-05
cohort_I69-J15,cont,0,cont_50867,50867,cont,0.0012557265195614457
cohort_I69-J15,cont,0,cont_50868,50868,cont,0.02687739401636696
cohort_I69-J15,cont,0,cont_50877,50877,cont,0.0
cohort_I69-J15,cont,0,cont_50878,50878,cont,0.022377832463498778
cohort_I69-J15,cont,0,cont_50881,50881,cont,0.0
cohort_I69-J15,cont,0,cont_50882,50882,cont,0.022845266932179826
cohort_I69-J15,cont,0,cont_50883,50883,cont,0.0006069223054260292
cohort_I69-J15,cont,0,cont_50885,50885,cont,0.01736993645911003
cohort_I69-J15,cont,0,cont_50889,50889,cont,0.0026854380498535805
cohort_I69-J15,cont,0,cont_50890,50890,cont,0.0
cohort_I69-J15,cont,0,cont_50891,50891,cont,4.8023325615298875e-05
cohort_I69-J15,cont,0,cont_50893,50893,cont,0.02502865374566709
cohort_I69-J15,cont,0,cont_50894,50894,cont,0.0
cohort_I69-J15,cont,0,cont_50895,50895,cont,0.0
cohort_I69-J15,cont,0,cont_50896,50896,cont,0.0
cohort_I69-J15,cont,0,cont_50899,50899,cont,2.5555217523577735e-05
cohort_I69-J15,cont,0,cont_50902,50902,cont,0.017885437203408364
cohort_I69-J15,cont,0,cont_50904,50904,cont,0.002370234567604412
cohort_I69-J15,cont,0,cont_50905,50905,cont,0.00025046025478478635
cohort_I69-J15,cont,0,cont_50906,50906,cont,0.00011045608362585567
