cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_I70-A49,bin,balanced_rf,gender,statistical_parity,selection_rate,0.011422711924913342,0.9446808127467798,F,M,2,2
cohort_I70-A49,bin,balanced_rf,gender,predictive_parity,ppv,0.013952361168813184,0.3930722891566265,F,M,2,2
cohort_I70-A49,bin,balanced_rf,gender,equal_opportunity,tpr,0.009523809523809545,0.9722222222222222,F,M,2,2
cohort_I70-A49,bin,balanced_rf,gender,predictive_equality,fpr,0.010243211411325615,0.9499287724540495,F,M,2,2
cohort_I70-A49,bin,balanced_rf,gender,equalised_odds,fpr,0.010243211411325615,0.9499287724540495,F,M,2,2
cohort_I70-A49,cont,balanced_rf,gender,statistical_parity,selection_rate,0.011191227000252879,0.8911868390129258,F,M,2,2
cohort_I70-A49,cont,balanced_rf,gender,predictive_parity,ppv,0.020512820512820516,0.23809523809523808,F,M,2,2
cohort_I70-A49,cont,balanced_rf,gender,equal_opportunity,tpr,0.0888888888888889,0.5555555555555555,F,M,2,2
cohort_I70-A49,cont,balanced_rf,gender,predictive_equality,fpr,0.009930700231172984,0.9021453135323547,F,M,2,2
cohort_I70-A49,cont,balanced_rf,gender,equalised_odds,tpr,0.0888888888888889,0.5555555555555555,F,M,2,2
cohort_I70-A49,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.013721756979874752,0.8644976498237368,F,M,2,2
cohort_I70-A49,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.013920931208053692,0.49089165867689355,F,M,2,2
cohort_I70-A49,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.0222222222222222,0.9000000000000001,M,F,2,2
cohort_I70-A49,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.013051547285737333,0.8693272795849671,F,M,2,2
cohort_I70-A49,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.0222222222222222,0.9000000000000001,M,F,2,2
cohort_I70-A49,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.008829430007883499,0.9131486417901576,F,M,2,2
cohort_I70-A49,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.0311284046692607,0.0,F,M,2,2
cohort_I70-A49,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.22857142857142856,0.0,F,M,2,2
cohort_I70-A49,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.006554205289281342,0.9343789807784001,F,M,2,2
cohort_I70-A49,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.22857142857142856,0.0,F,M,2,2
cohort_I70-A49,disc,balanced_rf,gender,statistical_parity,selection_rate,0.009346784869624702,0.9305039054399669,F,M,2,2
cohort_I70-A49,disc,balanced_rf,gender,predictive_parity,ppv,0.012952223142778238,0.26604068857589985,F,M,2,2
cohort_I70-A49,disc,balanced_rf,gender,equal_opportunity,tpr,0.060317460317460325,0.6481481481481481,F,M,2,2
cohort_I70-A49,disc,balanced_rf,gender,predictive_equality,fpr,0.00875363006968835,0.9346622761564879,F,M,2,2
cohort_I70-A49,disc,balanced_rf,gender,equalised_odds,tpr,0.060317460317460325,0.6481481481481481,F,M,2,2
cohort_I70-A49,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,9.157134569903747e-05,0.9992920722876845,F,M,2,2
cohort_I70-A49,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.007686961356686128,0.3715909090909091,F,M,2,2
cohort_I70-A49,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.003174603174603177,0.9722222222222222,F,M,2,2
cohort_I70-A49,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.00020660329726540638,0.9984053807427782,F,M,2,2
cohort_I70-A49,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.003174603174603177,0.9722222222222222,F,M,2,2
cohort_I70-A49,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.010463769355486457,0.9186079725210161,F,M,2,2
cohort_I70-A49,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.010409491006505933,0.3233830845771144,F,M,2,2
cohort_I70-A49,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.031746031746031744,0.7777777777777778,F,M,2,2
cohort_I70-A49,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.010225915493091237,0.9203337271116361,F,M,2,2
cohort_I70-A49,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.031746031746031744,0.7777777777777778,F,M,2,2
