cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_J18-B96,bin,balanced_rf,all,all,8154,1368,0.16777041942604856,0.26490066225165565,0.5162045116105914,0.1717665939853678,0.2199546485260771,0.019052194391219496,0.511249941830704,0.28362573099415206,0.2611258473327439,0.17962962962962964
cohort_J18-B96,bin,balanced_rf,gender,F,3576,715,0.19994407158836688,0.25727069351230425,0.5179058620512658,0.2096599233365592,0.25443425076452597,0.03846971332998484,0.5210225286771949,0.2909090909090909,0.24886403355470116,0.22608695652173913
cohort_J18-B96,bin,balanced_rf,gender,M,4578,653,0.14263870685889035,0.27086063783311487,0.5157052701397762,0.14380567000448347,0.1901743264659271,0.004396555785357146,0.5027935739994732,0.27565084226646247,0.2700636942675159,0.14516129032258066
cohort_J18-B96,bin,balanced_rf,age_band,18-39,824,186,0.22572815533980584,0.25849514563106796,0.49809974045235444,0.23590404509158003,0.2706766917293233,0.039252251937582215,0.5205531398523612,0.2903225806451613,0.24921630094043887,0.2535211267605634
cohort_J18-B96,bin,balanced_rf,age_band,40-64,3689,560,0.15180265654648956,0.25616698292220114,0.5120365931607542,0.1522458443357081,0.19401993355481728,0.004407027930951284,0.5026805688718441,0.26071428571428573,0.25535314797059766,0.1544973544973545
cohort_J18-B96,bin,balanced_rf,age_band,65-79,2695,468,0.17365491651205936,0.2675324675324675,0.5252202955952394,0.1811698108929084,0.223717409587889,0.017248041714761634,0.5100778518492932,0.2841880341880342,0.2640323304894477,0.18446601941747573
cohort_J18-B96,bin,balanced_rf,age_band,80+,946,154,0.16279069767441862,0.29704016913319237,0.527314541519087,0.17637842206266013,0.25287356321839083,0.05799877476118099,0.5358946608946609,0.35714285714285715,0.28535353535353536,0.19572953736654805
cohort_J18-B96,cont,balanced_rf,all,all,8154,1368,0.16777041942604856,0.11871474123129752,0.556264790082092,0.19350935312376133,0.1678082191780822,0.03409226818221263,0.5147556113980797,0.14327485380116958,0.11376363100501032,0.2024793388429752
cohort_J18-B96,cont,balanced_rf,gender,F,3576,715,0.19994407158836688,0.12276286353467561,0.5722340225311214,0.24132148554413302,0.19410745233968804,0.05161213270165844,0.521173827919721,0.15664335664335666,0.11429570080391471,0.255125284738041
cohort_J18-B96,cont,balanced_rf,gender,M,4578,653,0.14263870685889035,0.11555264307557886,0.5386935359584866,0.156726020431298,0.14213197969543148,0.016694183734859123,0.5076306317730026,0.12863705972434916,0.11337579617834395,0.15879017013232513
cohort_J18-B96,cont,balanced_rf,age_band,18-39,824,186,0.22572815533980584,0.08373786407766991,0.5730862574577814,0.3045280875042766,0.20392156862745098,0.1092517321214176,0.5361934135571511,0.13978494623655913,0.06739811912225706,0.37681159420289856
cohort_J18-B96,cont,balanced_rf,age_band,40-64,3689,560,0.15180265654648956,0.12089997289238276,0.5458983929142127,0.16916405620928399,0.15705765407554673,0.026175574588690825,0.5118907798018536,0.14107142857142857,0.11728986896772131,0.17713004484304934
cohort_J18-B96,cont,balanced_rf,age_band,65-79,2695,468,0.17365491651205936,0.11131725417439703,0.5673403144777192,0.20860694477454084,0.1640625,0.03395699680370854,0.5140970950917066,0.1346153846153846,0.10642119443197126,0.21
