cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_J18-B96,bin,balanced_rf,gender,statistical_parity,selection_rate,0.01358994432081062,0.9498268023381685,F,M,2,2
cohort_J18-B96,bin,balanced_rf,gender,predictive_parity,ppv,0.08092566619915847,0.642059553349876,M,F,2,2
cohort_J18-B96,bin,balanced_rf,gender,equal_opportunity,tpr,0.015258248642628425,0.9475497702909648,M,F,2,2
cohort_J18-B96,bin,balanced_rf,gender,predictive_equality,fpr,0.02119966071281476,0.9215012563228321,F,M,2,2
cohort_J18-B96,bin,balanced_rf,gender,equalised_odds,fpr,0.02119966071281476,0.9215012563228321,F,M,2,2
cohort_J18-B96,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.04087318621099123,0.8623984549622857,40-64,80+,4,4
cohort_J18-B96,bin,balanced_rf,age_band,predictive_parity,ppv,0.09902377226320888,0.6094062316284539,40-64,18-39,4,4
cohort_J18-B96,bin,balanced_rf,age_band,equal_opportunity,tpr,0.09642857142857142,0.73,40-64,80+,4,4
cohort_J18-B96,bin,balanced_rf,age_band,predictive_equality,fpr,0.03613723441309649,0.8733597802868477,18-39,80+,4,4
cohort_J18-B96,bin,balanced_rf,age_band,equalised_odds,tpr,0.09642857142857142,0.73,40-64,80+,4,4
cohort_J18-B96,cont,balanced_rf,gender,statistical_parity,selection_rate,0.00721022045909675,0.9412670880142825,M,F,2,2
cohort_J18-B96,cont,balanced_rf,gender,predictive_parity,ppv,0.0963351146057159,0.6224007561436672,M,F,2,2
cohort_J18-B96,cont,balanced_rf,gender,equal_opportunity,tpr,0.028006296919007495,0.8212098009188361,M,F,2,2
cohort_J18-B96,cont,balanced_rf,gender,predictive_equality,fpr,0.000919904625570761,0.991951537817254,M,F,2,2
cohort_J18-B96,cont,balanced_rf,gender,equalised_odds,tpr,0.028006296919007495,0.8212098009188361,M,F,2,2
cohort_J18-B96,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.07799575114431741,0.5177517608985343,18-39,80+,4,4
cohort_J18-B96,cont,balanced_rf,age_band,predictive_parity,ppv,0.19968154935984922,0.4700758882373232,40-64,18-39,4,4
cohort_J18-B96,cont,balanced_rf,age_band,equal_opportunity,tpr,0.047202797202797214,0.7403846153846153,65-79,80+,4,4
cohort_J18-B96,cont,balanced_rf,age_band,predictive_equality,fpr,0.09043016370602576,0.42703448275862077,18-39,80+,4,4
cohort_J18-B96,cont,balanced_rf,age_band,equalised_odds,fpr,0.09043016370602576,0.42703448275862077,18-39,80+,4,4
cohort_J18-B96,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.011413280908693757,0.9086937527304499,M,F,2,2
cohort_J18-B96,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.08996300120461195,0.6503177257525083,M,F,2,2
cohort_J18-B96,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.027607920410370634,0.8283507557094347,M,F,2,2
cohort_J18-B96,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.0057248701514102385,0.9506661039060702,M,F,2,2
