cohort,feature_set,fold,feature,itemid,representation,importance
cohort_J18-B96,cont,0,cont_50803,50803,cont,0.00040138676514955184
cohort_J18-B96,cont,0,cont_50804,50804,cont,0.008373333856239581
cohort_J18-B96,cont,0,cont_50805,50805,cont,8.872889157186418e-05
cohort_J18-B96,cont,0,cont_50806,50806,cont,0.0020627914880118462
cohort_J18-B96,cont,0,cont_50808,50808,cont,0.004846707784990966
cohort_J18-B96,cont,0,cont_50809,50809,cont,0.0028437633026899387
cohort_J18-B96,cont,0,cont_50811,50811,cont,0.002337903306044619
cohort_J18-B96,cont,0,cont_50813,50813,cont,0.00997193932414133
cohort_J18-B96,cont,0,cont_50814,50814,cont,0.0001252277072695286
cohort_J18-B96,cont,0,cont_50818,50818,cont,0.00870305982582186
cohort_J18-B96,cont,0,cont_50820,50820,cont,0.009543081602822438
cohort_J18-B96,cont,0,cont_50821,50821,cont,0.008797693064069072
cohort_J18-B96,cont,0,cont_50822,50822,cont,0.005358809544159683
cohort_J18-B96,cont,0,cont_50824,50824,cont,0.0025587660944838817
cohort_J18-B96,cont,0,cont_50853,50853,cont,0.001015507591190444
cohort_J18-B96,cont,0,cont_50856,50856,cont,6.701746563266377e-05
cohort_J18-B96,cont,0,cont_50861,50861,cont,0.018153552075683307
cohort_J18-B96,cont,0,cont_50862,50862,cont,0.014181987259667172
cohort_J18-B96,cont,0,cont_50863,50863,cont,0.019112192370754757
cohort_J18-B96,cont,0,cont_50866,50866,cont,0.0003640821452504762
cohort_J18-B96,cont,0,cont_50867,50867,cont,0.0014971696932263923
cohort_J18-B96,cont,0,cont_50868,50868,cont,0.024477513326274843
cohort_J18-B96,cont,0,cont_50877,50877,cont,0.0
cohort_J18-B96,cont,0,cont_50878,50878,cont,0.017320189371143067
cohort_J18-B96,cont,0,cont_50881,50881,cont,5.726222156845447e-05
cohort_J18-B96,cont,0,cont_50882,50882,cont,0.02226895043809246
cohort_J18-B96,cont,0,cont_50883,50883,cont,0.0022179780029826885
cohort_J18-B96,cont,0,cont_50885,50885,cont,0.01564488648659635
cohort_J18-B96,cont,0,cont_50889,50889,cont,0.0031446868581780857
cohort_J18-B96,cont,0,cont_50890,50890,cont,0.0004869749485863018
cohort_J18-B96,cont,0,cont_50891,50891,cont,0.0005033283653826327
cohort_J18-B96,cont,0,cont_50893,50893,cont,0.020801492361193004
cohort_J18-B96,cont,0,cont_50894,50894,cont,1.888058127381587e-05
cohort_J18-B96,cont,0,cont_50895,50895,cont,1.6333691371502353e-05
cohort_J18-B96,cont,0,cont_50896,50896,cont,8.878614333702146e-06
cohort_J18-B96,cont,0,cont_50899,50899,cont,1.8529538488445852e-05
cohort_J18-B96,cont,0,cont_50902,50902,cont,0.02118922296471632
cohort_J18-B96,cont,0,cont_50904,50904,cont,0.0017493405724594935
cohort_J18-B96,cont,0,cont_50905,50905,cont,4.827008399097029e-05
cohort_J18-B96,cont,0,cont_50906,50906,cont,0.00012000988887283183
cohort_J18-B96,cont,0,cont_50907,50907,cont,0.0017595905638215972
cohort_J18-B96,cont,0,cont_50908,50908,cont,0.0006468748248597264
cohort_J18-B96,cont,0,cont_50910,50910,cont,0.0
cohort_J18-B96,cont,0,cont_50911,50911,cont,0.007969876549158266
cohort_J18-B96,cont,0,cont_50912,50912,cont,0.02423919874313439
cohort_J18-B96,cont,0,cont_50914,50914,cont,0.0
cohort_J18-B96,cont,0,cont_50915,50915,cont,0.0
cohort_J18-B96,cont,0,cont_50916,50916,cont,0.0
cohort_J18-B96,cont,0,cont_50917,50917,cont,0.0007766481002531538
cohort_J18-B96,cont,0,cont_50924,50924,cont,0.0059617543971056276
cohort_J18-B96,cont,0,cont_50925,50925,cont,0.002115199725929997
cohort_J18-B96,cont,0,cont_50927,50927,cont,0.0006593928061277634
cohort_J18-B96,cont,0,cont_50930,50930,cont,0.0011360275840034378
cohort_J18-B96,cont,0,cont_50931,50931,cont,0.0
cohort_J18-B96,cont,0,cont_50935,50935,cont,0.003827483850198615
cohort_J18-B96,cont,0,cont_50945,50945,cont,0.0
cohort_J18-B96,cont,0,cont_50949,50949,cont,0.0014558626083362096
cohort_J18-B96,cont,0,cont_50950,50950,cont,0.002062522565987165
cohort_J18-B96,cont,0,cont_50951,50951,cont,0.0012803171079421732
cohort_J18-B96,cont,0,cont_50952,50952,cont,0.005529888260385696
cohort_J18-B96,cont,0,cont_50953,50953,cont,0.005025717696588898
cohort_J18-B96,cont,0,cont_50954,50954,cont,0.01452922609954659
cohort_J18-B96,cont,0,cont_50956,50956,cont,0.004371484970293257
cohort_J18-B96,cont,0,cont_50957,50957,cont,2.4280980471114852e-05
cohort_J18-B96,cont,0,cont_50960,50960,cont,0.022130004248286938
cohort_J18-B96,cont,0,cont_50964,50964,cont,0.0024642478883649906
cohort_J18-B96,cont,0,cont_50965,50965,cont,0.0006824496073723545
cohort_J18-B96,cont,0,cont_50966,50966,cont,1.5015783572214711e-05
cohort_J18-B96,cont,0,cont_50967,50967,cont,0.00018901287059786378
cohort_J18-B96,cont,0,cont_50968,50968,cont,0.0
cohort_J18-B96,cont,0,cont_50969,50969,cont,0.0
cohort_J18-B96,cont,0,cont_50970,50970,cont,0.022681563840187043
cohort_J18-B96,cont,0,cont_50971,50971,cont,0.022581566858674792
cohort_J18-B96,cont,0,cont_50976,50976,cont,0.003720135212800687
cohort_J18-B96,cont,0,cont_50978,50978,cont,0.0
cohort_J18-B96,cont,0,cont_50981,50981,cont,3.136768891522027e-05
cohort_J18-B96,cont,0,cont_50982,50982,cont,2.294468960117482e-05
cohort_J18-B96,cont,0,cont_50983,50983,cont,0.021867300896579726
cohort_J18-B96,cont,0,cont_50986,50986,cont,6.064644745094525e-06
cohort_J18-B96,cont,0,cont_50988,50988,cont,1.5119496871756035e-05
cohort_J18-B96,cont,0,cont_50989,50989,cont,0.0
cohort_J18-B96,cont,0,cont_50990,50990,cont,0.0
cohort_J18-B96,cont,0,cont_50992,50992,cont,5.6059384195688284e-05
cohort_J18-B96,cont,0,cont_50993,50993,cont,0.006505042159908295
cohort_J18-B96,cont,0,cont_50994,50994,cont,0.0011072027558696718
cohort_J18-B96,cont,0,cont_50995,50995,cont,0.0019287715944851715
cohort_J18-B96,cont,0,cont_50997,50997,cont,2.1049098317744897e-05
cohort_J18-B96,cont,0,cont_50998,50998,cont,0.005037736012503127
cohort_J18-B96,cont,0,cont_51000,51000,cont,0.0028679992288206946
cohort_J18-B96,cont,0,cont_51001,51001,cont,0.00063580988077393
cohort_J18-B96,cont,0,cont_51005,51005,cont,5.9946243062756966e-06
cohort_J18-B96,cont,0,cont_51006,51006,cont,0.023949926970470475
cohort_J18-B96,cont,0,cont_51007,51007,cont,0.0037311600439490123
cohort_J18-B96,cont,0,cont_51008,51008,cont,0.0003480481152976221
cohort_J18-B96,cont,0,cont_51009,51009,cont,0.007437005802724302
cohort_J18-B96,cont,0,cont_51010,51010,cont,0.003210891926247102
cohort_J18-B96,cont,0,cont_51070,51070,cont,0.0002813039277821293
cohort_J18-B96,cont,0,cont_51080,51080,cont,0.0
cohort_J18-B96,cont,0,cont_51099,51099,cont,0.001596990908058278
cohort_J18-B96,cont,0,cont_51110,51110,cont,0.0
cohort_J18-B96,cont,0,cont_51111,51111,cont,1.3020752062657368e-05
cohort_J18-B96,cont,0,cont_51114,51114,cont,0.00012634664500896822
cohort_J18-B96,cont,0,cont_51116,51116,cont,0.0010856900756079152
cohort_J18-B96,cont,0,cont_51117,51117,cont,0.000838396184282904
cohort_J18-B96,cont,0,cont_51118,51118,cont,0.000778346195099923
cohort_J18-B96,cont,0,cont_51120,51120,cont,0.000933592928201493
cohort_J18-B96,cont,0,cont_51124,51124,cont,0.00022850711871816857
cohort_J18-B96,cont,0,cont_51125,51125,cont,0.0009844565749584822
cohort_J18-B96,cont,0,cont_51127,51127,cont,0.000756507605701114
cohort_J18-B96,cont,0,cont_51130,51130,cont,0.000449577978100423
cohort_J18-B96,cont,0,cont_51131,51131,cont,0.000567270009330509
cohort_J18-B96,cont,0,cont_51132,51132,cont,0.0006171977231859457
cohort_J18-B96,cont,0,cont_51133,51133,cont,0.012815337098595142
cohort_J18-B96,cont,0,cont_51138,51138,cont,0.0
cohort_J18-B96,cont,0,cont_51139,51139,cont,0.0
cohort_J18-B96,cont,0,cont_51140,51140,cont,0.0
cohort_J18-B96,cont,0,cont_51143,51143,cont,0.003308984383460096
cohort_J18-B96,cont,0,cont_51144,51144,cont,0.004478689031637533
cohort_J18-B96,cont,0,cont_51146,51146,cont,0.009746848460826959
cohort_J18-B96,cont,0,cont_51148,51148,cont,0.0008843387607112416
cohort_J18-B96,cont,0,cont_51149,51149,cont,0.0
cohort_J18-B96,cont,0,cont_51181,51181,cont,0.0005080626165862044
cohort_J18-B96,cont,0,cont_51196,51196,cont,0.0
cohort_J18-B96,cont,0,cont_51199,51199,cont,0.0
cohort_J18-B96,cont,0,cont_51200,51200,cont,0.010649275488681668
cohort_J18-B96,cont,0,cont_51202,51202,cont,0.0
cohort_J18-B96,cont,0,cont_51203,51203,cont,0.0
cohort_J18-B96,cont,0,cont_51204,51204,cont,1.1383913055410361e-05
cohort_J18-B96,cont,0,cont_51205,51205,cont,0.0
cohort_J18-B96,cont,0,cont_51206,51206,cont,4.544828800686472e-05
cohort_J18-B96,cont,0,cont_51207,51207,cont,0.0
cohort_J18-B96,cont,0,cont_51208,51208,cont,0.0
cohort_J18-B96,cont,0,cont_51209,51209,cont,0.0
cohort_J18-B96,cont,0,cont_51214,51214,cont,0.004829705824182834
cohort_J18-B96,cont,0,cont_51218,51218,cont,0.0
cohort_J18-B96,cont,0,cont_51221,51221,cont,0.02232042476401629
cohort_J18-B96,cont,0,cont_51222,51222,cont,0.022435314046912035
cohort_J18-B96,cont,0,cont_51223,51223,cont,1.7221743691239162e-05
cohort_J18-B96,cont,0,cont_51224,51224,cont,1.3175417108471206e-05
cohort_J18-B96,cont,0,cont_51225,51225,cont,1.1840704122956308e-05
cohort_J18-B96,cont,0,cont_51227,51227,cont,3.020237814273374e-05
cohort_J18-B96,cont,0,cont_51228,51228,cont,0.00035265657871059243
cohort_J18-B96,cont,0,cont_51229,51229,cont,6.13252073553706e-05
cohort_J18-B96,cont,0,cont_51232,51232,cont,4.269891101510945e-05
cohort_J18-B96,cont,0,cont_51237,51237,cont,0.018379936831730316
cohort_J18-B96,cont,0,cont_51241,51241,cont,0.0
