cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_J38-J96,bin,balanced_rf,gender,statistical_parity,selection_rate,0.0113970440175587,0.9654372252076209,F,M,2,2
cohort_J38-J96,bin,balanced_rf,gender,predictive_parity,ppv,0.056777493606138096,0.821256038647343,M,F,2,2
cohort_J38-J96,bin,balanced_rf,gender,equal_opportunity,tpr,0.017579980994615163,0.9466089466089466,M,F,2,2
cohort_J38-J96,bin,balanced_rf,gender,predictive_equality,fpr,0.023120149852823124,0.9313195548489666,F,M,2,2
cohort_J38-J96,bin,balanced_rf,gender,equalised_odds,fpr,0.023120149852823124,0.9313195548489666,F,M,2,2
cohort_J38-J96,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.06483630438003063,0.8278484331978497,40-64,18-39,3,3
cohort_J38-J96,bin,balanced_rf,age_band,predictive_parity,ppv,0.2914349276974416,0.4365591397849462,65-79,18-39,3,3
cohort_J38-J96,bin,balanced_rf,age_band,equal_opportunity,tpr,0.1307692307692308,0.673076923076923,40-64,65-79,3,3
cohort_J38-J96,bin,balanced_rf,age_band,predictive_equality,fpr,0.0903225806451613,0.7741935483870968,65-79,18-39,3,3
cohort_J38-J96,bin,balanced_rf,age_band,equalised_odds,tpr,0.1307692307692308,0.673076923076923,40-64,65-79,3,3
cohort_J38-J96,cont,balanced_rf,gender,statistical_parity,selection_rate,0.09435785912770328,0.6595466434176112,M,F,2,2
cohort_J38-J96,cont,balanced_rf,gender,predictive_parity,ppv,0.15050344462109172,0.6287581699346404,M,F,2,2
cohort_J38-J96,cont,balanced_rf,gender,equal_opportunity,tpr,0.19702248970541653,0.4614718614718615,M,F,2,2
cohort_J38-J96,cont,balanced_rf,gender,predictive_equality,fpr,0.04971902595664973,0.7909540954095409,M,F,2,2
cohort_J38-J96,cont,balanced_rf,gender,equalised_odds,tpr,0.19702248970541653,0.4614718614718615,M,F,2,2
cohort_J38-J96,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.16591773245765642,0.5437262357414449,40-64,18-39,3,3
cohort_J38-J96,cont,balanced_rf,age_band,predictive_parity,ppv,0.511904761904762,0.24561403508771928,65-79,18-39,3,3
cohort_J38-J96,cont,balanced_rf,age_band,equal_opportunity,tpr,0.2523809523809524,0.4421052631578948,65-79,18-39,3,3
cohort_J38-J96,cont,balanced_rf,age_band,predictive_equality,fpr,0.06795366795366792,0.7357357357357358,40-64,18-39,3,3
cohort_J38-J96,cont,balanced_rf,age_band,equalised_odds,tpr,0.2523809523809524,0.4421052631578948,65-79,18-39,3,3
cohort_J38-J96,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.029036285288550623,0.8876422004051737,M,F,2,2
cohort_J38-J96,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.12681159420289856,0.6634615384615384,M,F,2,2
cohort_J38-J96,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.10928096293949952,0.6553446553446554,M,F,2,2
cohort_J38-J96,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.0051913299438051674,0.9781531531531532,F,M,2,2
cohort_J38-J96,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.10928096293949952,0.6553446553446554,M,F,2,2
cohort_J38-J96,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.15831316972001383,0.564638783269962,40-64,18-39,3,3
cohort_J38-J96,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.40476190476190477,0.2916666666666667,65-79,18-39,3,3
cohort_J38-J96,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.15238095238095237,0.6,65-79,18-39,3,3
cohort_J38-J96,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.14826254826254825,0.5675675675675675,40-64,18-39,3,3
cohort_J38-J96,cont_bin,balanced_rf,age_band,equalised_odds,tpr,0.15238095238095237,0.6,65-79,18-39,3,3
cohort_J38-J96,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.04776287704885024,0.8276663760534728,M,F,2,2
cohort_J38-J96,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.22719594594594594,0.49053030303030304,M,F,2,2
cohort_J38-J96,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.2206208425720621,0.45179063360881544,M,F,2,2
cohort_J38-J96,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.02590313085362589,0.8953513513513514,F,M,2,2
cohort_J38-J96,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.2206208425720621,0.45179063360881544,M,F,2,2
cohort_J38-J96,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.27583823021085374,0.3931558935361217,40-64,18-39,3,3
cohort_J38-J96,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.5126373626373626,0.25240384615384615,65-79,18-39,3,3
cohort_J38-J96,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.3919413919413919,0.3141025641025641,40-64,18-39,3,3
cohort_J38-J96,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.1359073359073359,0.5675675675675677,40-64,18-39,3,3
cohort_J38-J96,cont_disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.3919413919413919,0.3141025641025641,40-64,18-39,3,3
cohort_J38-J96,disc,balanced_rf,gender,statistical_parity,selection_rate,0.06632837984777093,0.7729528535980149,M,F,2,2
cohort_J38-J96,disc,balanced_rf,gender,predictive_parity,ppv,0.10195360195360198,0.7257799671592774,M,F,2,2
cohort_J38-J96,disc,balanced_rf,gender,equal_opportunity,tpr,0.13287931580614507,0.6242722794446932,M,F,2,2
cohort_J38-J96,disc,balanced_rf,gender,predictive_equality,fpr,0.03714209258763715,0.8597696504344312,M,F,2,2
cohort_J38-J96,disc,balanced_rf,gender,equalised_odds,tpr,0.13287931580614507,0.6242722794446932,M,F,2,2
cohort_J38-J96,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.17288035158757595,0.5562737642585551,40-64,18-39,3,3
cohort_J38-J96,disc,balanced_rf,age_band,predictive_parity,ppv,0.403921568627451,0.32679738562091504,65-79,18-39,3,3
cohort_J38-J96,disc,balanced_rf,age_band,equal_opportunity,tpr,0.19780219780219777,0.5384615384615385,40-64,18-39,3,3
cohort_J38-J96,disc,balanced_rf,age_band,predictive_equality,fpr,0.13204633204633204,0.6148648648648649,40-64,18-39,3,3
cohort_J38-J96,disc,balanced_rf,age_band,equalised_odds,tpr,0.19780219780219777,0.5384615384615385,40-64,18-39,3,3
cohort_J38-J96,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.048568321855744834,0.8358513679052675,M,F,2,2
cohort_J38-J96,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.13153549807374793,0.664796633941094,M,F,2,2
cohort_J38-J96,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.14428254672157112,0.6183493925429409,M,F,2,2
cohort_J38-J96,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.006984211934706996,0.9730816831683168,M,F,2,2
cohort_J38-J96,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.14428254672157112,0.6183493925429409,M,F,2,2
cohort_J38-J96,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.14848649449409906,0.6057427559984266,40-64,18-39,3,3
