cohort,feature_set,classifier,attribute,criterion,quantity,difference,ratio,min_group,max_group,n_groups,n_groups_total
cohort_J45-E27,bin,balanced_rf,gender,statistical_parity,selection_rate,0.004677592006329889,0.9820570192865186,M,F,2,2
cohort_J45-E27,bin,balanced_rf,gender,predictive_parity,ppv,0.011997087154882406,0.5781893704674679,M,F,2,2
cohort_J45-E27,bin,balanced_rf,gender,equal_opportunity,tpr,0.024872912127814117,0.9194591416813638,F,M,2,2
cohort_J45-E27,bin,balanced_rf,gender,predictive_equality,fpr,0.0047838571732291,0.9816053892401462,M,F,2,2
cohort_J45-E27,bin,balanced_rf,gender,equalised_odds,tpr,0.024872912127814117,0.9194591416813638,F,M,2,2
cohort_J45-E27,bin,balanced_rf,age_band,statistical_parity,selection_rate,0.10339622641509433,0.6510861423220974,18-39,80+,4,4
cohort_J45-E27,bin,balanced_rf,age_band,predictive_parity,ppv,0.013211019810732867,0.5312628547922665,65-79,40-64,4,4
cohort_J45-E27,bin,balanced_rf,age_band,equal_opportunity,tpr,0.17676767676767677,0.5454545454545454,65-79,80+,4,4
cohort_J45-E27,bin,balanced_rf,age_band,predictive_equality,fpr,0.10341934599231115,0.6487719903414971,18-39,80+,4,4
cohort_J45-E27,bin,balanced_rf,age_band,equalised_odds,tpr,0.17676767676767677,0.5454545454545454,65-79,80+,4,4
cohort_J45-E27,cont,balanced_rf,gender,statistical_parity,selection_rate,0.014773259390127108,0.8115370387776112,F,M,2,2
cohort_J45-E27,cont,balanced_rf,gender,predictive_parity,ppv,0.02606362756618511,0.3291448904703658,M,F,2,2
cohort_J45-E27,cont,balanced_rf,gender,equal_opportunity,tpr,0.021120793996610987,0.7768542199488492,M,F,2,2
cohort_J45-E27,cont,balanced_rf,gender,predictive_equality,fpr,0.015672541531770834,0.8002359991287241,F,M,2,2
cohort_J45-E27,cont,balanced_rf,gender,equalised_odds,tpr,0.021120793996610987,0.7768542199488492,M,F,2,2
cohort_J45-E27,cont,balanced_rf,age_band,statistical_parity,selection_rate,0.06253607103218646,0.37394444444444447,18-39,80+,4,4
cohort_J45-E27,cont,balanced_rf,age_band,predictive_parity,ppv,0.03377608102017551,0.2850729517396184,65-79,18-39,4,4
cohort_J45-E27,cont,balanced_rf,age_band,equal_opportunity,tpr,0.1616161616161616,0.27272727272727276,65-79,80+,4,4
cohort_J45-E27,cont,balanced_rf,age_band,predictive_equality,fpr,0.06122185036404296,0.37140821079709385,18-39,80+,4,4
cohort_J45-E27,cont,balanced_rf,age_band,equalised_odds,tpr,0.1616161616161616,0.27272727272727276,65-79,80+,4,4
cohort_J45-E27,cont_bin,balanced_rf,gender,statistical_parity,selection_rate,0.025260840933348558,0.7266787970161765,F,M,2,2
cohort_J45-E27,cont_bin,balanced_rf,gender,predictive_parity,ppv,0.01144642082429501,0.6025548324897566,M,F,2,2
cohort_J45-E27,cont_bin,balanced_rf,gender,equal_opportunity,tpr,0.04357298474945534,0.6296296296296297,F,M,2,2
cohort_J45-E27,cont_bin,balanced_rf,gender,predictive_equality,fpr,0.025097555593232193,0.727417277000657,F,M,2,2
cohort_J45-E27,cont_bin,balanced_rf,gender,equalised_odds,tpr,0.04357298474945534,0.6296296296296297,F,M,2,2
cohort_J45-E27,cont_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.06534406215316316,0.360054347826087,18-39,80+,4,4
cohort_J45-E27,cont_bin,balanced_rf,age_band,predictive_parity,ppv,0.021130434782608697,0.33967391304347827,80+,18-39,4,4
cohort_J45-E27,cont_bin,balanced_rf,age_band,equal_opportunity,tpr,0.05050505050505051,0.5238095238095237,80+,65-79,4,4
cohort_J45-E27,cont_bin,balanced_rf,age_band,predictive_equality,fpr,0.06688436452032834,0.35100116624780303,18-39,80+,4,4
cohort_J45-E27,cont_bin,balanced_rf,age_band,equalised_odds,fpr,0.06688436452032834,0.35100116624780303,18-39,80+,4,4
cohort_J45-E27,cont_disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.021557562349079004,0.764706518605676,F,M,2,2
cohort_J45-E27,cont_disc_bin,balanced_rf,gender,predictive_parity,ppv,0.028936381576297805,0.27436458508668576,M,F,2,2
cohort_J45-E27,cont_disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.033466473008956665,0.6872171945701357,M,F,2,2
cohort_J45-E27,cont_disc_bin,balanced_rf,gender,predictive_equality,fpr,0.022797867502011668,0.7518462209958022,F,M,2,2
cohort_J45-E27,cont_disc_bin,balanced_rf,gender,equalised_odds,tpr,0.033466473008956665,0.6872171945701357,M,F,2,2
cohort_J45-E27,cont_disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.0832630410654828,0.31800000000000006,18-39,80+,4,4
cohort_J45-E27,cont_disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.03473762010347377,0.34494773519163763,65-79,18-39,4,4
cohort_J45-E27,cont_disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.07945736434108526,0.5232558139534884,40-64,80+,4,4
cohort_J45-E27,cont_disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.08380859517171214,0.30838327535867455,18-39,80+,4,4
cohort_J45-E27,cont_disc_bin,balanced_rf,age_band,equalised_odds,fpr,0.08380859517171214,0.30838327535867455,18-39,80+,4,4
cohort_J45-E27,disc,balanced_rf,gender,statistical_parity,selection_rate,0.013079747292922744,0.8947713233917763,F,M,2,2
cohort_J45-E27,disc,balanced_rf,gender,predictive_parity,ppv,0.016393953560853984,0.5414123801220575,M,F,2,2
cohort_J45-E27,disc,balanced_rf,gender,equal_opportunity,tpr,0.02420721374969742,0.8628257887517147,F,M,2,2
cohort_J45-E27,disc,balanced_rf,gender,predictive_equality,fpr,0.01345917332063093,0.8910869527343681,F,M,2,2
cohort_J45-E27,disc,balanced_rf,gender,equalised_odds,tpr,0.02420721374969742,0.8628257887517147,F,M,2,2
cohort_J45-E27,disc,balanced_rf,age_band,statistical_parity,selection_rate,0.08026082130965595,0.4562781954887218,18-39,80+,4,4
cohort_J45-E27,disc,balanced_rf,age_band,predictive_parity,ppv,0.03441295546558704,0.34615384615384615,65-79,80+,4,4
cohort_J45-E27,disc,balanced_rf,age_band,equal_opportunity,tpr,0.25252525252525254,0.3506493506493506,65-79,80+,4,4
cohort_J45-E27,disc,balanced_rf,age_band,predictive_equality,fpr,0.08111087269662179,0.4477771100118657,18-39,65-79,4,4
cohort_J45-E27,disc,balanced_rf,age_band,equalised_odds,tpr,0.25252525252525254,0.3506493506493506,65-79,80+,4,4
cohort_J45-E27,disc_bin,balanced_rf,gender,statistical_parity,selection_rate,0.0057598369333768384,0.957310450782045,F,M,2,2
cohort_J45-E27,disc_bin,balanced_rf,gender,predictive_parity,ppv,0.016635226578782764,0.5556546144956248,M,F,2,2
cohort_J45-E27,disc_bin,balanced_rf,gender,equal_opportunity,tpr,0.020697167755991286,0.8994708994708994,F,M,2,2
cohort_J45-E27,disc_bin,balanced_rf,gender,predictive_equality,fpr,0.00628116733004469,0.9531057006618818,F,M,2,2
cohort_J45-E27,disc_bin,balanced_rf,gender,equalised_odds,tpr,0.020697167755991286,0.8994708994708994,F,M,2,2
cohort_J45-E27,disc_bin,balanced_rf,age_band,statistical_parity,selection_rate,0.08442286348501665,0.4929,18-39,80+,4,4
cohort_J45-E27,disc_bin,balanced_rf,age_band,predictive_parity,ppv,0.022640382317801674,0.4736111111111111,65-79,18-39,4,4
cohort_J45-E27,disc_bin,balanced_rf,age_band,equal_opportunity,tpr,0.11111111111111113,0.6,65-79,80+,4,4
cohort_J45-E27,disc_bin,balanced_rf,age_band,predictive_equality,fpr,0.08439228272958574,0.486080098963971,18-39,80+,4,4
cohort_J45-E27,disc_bin,balanced_rf,age_band,equalised_odds,tpr,0.11111111111111113,0.6,65-79,80+,4,4
cohort_J45-E27,disc_imp,balanced_rf,gender,statistical_parity,selection_rate,0.007737331685018903,0.9359969976038569,F,M,2,2
cohort_J45-E27,disc_imp,balanced_rf,gender,predictive_parity,ppv,0.0199713682300747,0.3991471215351812,M,F,2,2
cohort_J45-E27,disc_imp,balanced_rf,gender,equal_opportunity,tpr,0.02638586298717019,0.8168067226890755,M,F,2,2
cohort_J45-E27,disc_imp,balanced_rf,gender,predictive_equality,fpr,0.008610122099234896,0.9288036962550661,F,M,2,2
cohort_J45-E27,disc_imp,balanced_rf,gender,equalised_odds,tpr,0.02638586298717019,0.8168067226890755,M,F,2,2
cohort_J45-E27,disc_imp,balanced_rf,age_band,statistical_parity,selection_rate,0.07635252200642728,0.4686874088478366,18-39,65-79,4,4
cohort_J45-E27,disc_imp,balanced_rf,age_band,predictive_parity,ppv,0.012412710615670446,0.5996900826446281,65-79,80+,4,4
cohort_J45-E27,disc_imp,balanced_rf,age_band,equal_opportunity,tpr,0.11313131313131312,0.4909090909090909,18-39,80+,4,4
cohort_J45-E27,disc_imp,balanced_rf,age_band,predictive_equality,fpr,0.07718554411467797,0.4634385964912281,18-39,65-79,4,4
cohort_J45-E27,disc_imp,balanced_rf,age_band,equalised_odds,tpr,0.11313131313131312,0.4909090909090909,18-39,80+,4,4
