cohort,feature_set,fold,feature,itemid,representation,importance
cohort_J98-A04,cont,0,cont_50803,50803,cont,0.001059832703088448
cohort_J98-A04,cont,0,cont_50804,50804,cont,0.010412530473296624
cohort_J98-A04,cont,0,cont_50805,50805,cont,0.00016091978319552008
cohort_J98-A04,cont,0,cont_50806,50806,cont,0.0030771191761673347
cohort_J98-A04,cont,0,cont_50808,50808,cont,0.005796143176198335
cohort_J98-A04,cont,0,cont_50809,50809,cont,0.004097976015514733
cohort_J98-A04,cont,0,cont_50811,50811,cont,0.0034437606921861696
cohort_J98-A04,cont,0,cont_50813,50813,cont,0.011138078354780308
cohort_J98-A04,cont,0,cont_50814,50814,cont,6.888571151186715e-05
cohort_J98-A04,cont,0,cont_50818,50818,cont,0.009486700347925824
cohort_J98-A04,cont,0,cont_50820,50820,cont,0.009251409532180788
cohort_J98-A04,cont,0,cont_50821,50821,cont,0.0090681727210434
cohort_J98-A04,cont,0,cont_50822,50822,cont,0.004520760240780975
cohort_J98-A04,cont,0,cont_50824,50824,cont,0.005083006608115322
cohort_J98-A04,cont,0,cont_50853,50853,cont,0.000512226757704725
cohort_J98-A04,cont,0,cont_50856,50856,cont,3.601943776390286e-06
cohort_J98-A04,cont,0,cont_50861,50861,cont,0.015407421670194616
cohort_J98-A04,cont,0,cont_50862,50862,cont,0.01788198955421031
cohort_J98-A04,cont,0,cont_50863,50863,cont,0.01659007462047528
cohort_J98-A04,cont,0,cont_50866,50866,cont,0.0007393757296344442
cohort_J98-A04,cont,0,cont_50867,50867,cont,0.002101397378913036
cohort_J98-A04,cont,0,cont_50868,50868,cont,0.03134039932334419
cohort_J98-A04,cont,0,cont_50877,50877,cont,0.0
cohort_J98-A04,cont,0,cont_50878,50878,cont,0.01571288722928385
cohort_J98-A04,cont,0,cont_50881,50881,cont,4.10657214645546e-05
cohort_J98-A04,cont,0,cont_50882,50882,cont,0.02236678511726091
cohort_J98-A04,cont,0,cont_50883,50883,cont,0.0015198910159655444
cohort_J98-A04,cont,0,cont_50885,50885,cont,0.014025264471911745
cohort_J98-A04,cont,0,cont_50889,50889,cont,0.0035312856752914195
cohort_J98-A04,cont,0,cont_50890,50890,cont,0.0002860504092149713
cohort_J98-A04,cont,0,cont_50891,50891,cont,0.0003240795919642286
cohort_J98-A04,cont,0,cont_50893,50893,cont,0.022461124269725647
cohort_J98-A04,cont,0,cont_50894,50894,cont,0.0
cohort_J98-A04,cont,0,cont_50895,50895,cont,2.7032474857849874e-05
cohort_J98-A04,cont,0,cont_50896,50896,cont,0.0
cohort_J98-A04,cont,0,cont_50899,50899,cont,0.0
cohort_J98-A04,cont,0,cont_50902,50902,cont,0.020237920100617944
cohort_J98-A04,cont,0,cont_50904,50904,cont,0.001309982081313637
cohort_J98-A04,cont,0,cont_50905,50905,cont,3.536090739763097e-05
cohort_J98-A04,cont,0,cont_50906,50906,cont,8.851558445003586e-05
cohort_J98-A04,cont,0,cont_50907,50907,cont,0.0013710965904830434
cohort_J98-A04,cont,0,cont_50908,50908,cont,0.0005009948300041924
cohort_J98-A04,cont,0,cont_50910,50910,cont,0.0
cohort_J98-A04,cont,0,cont_50911,50911,cont,0.006714860984273089
cohort_J98-A04,cont,0,cont_50912,50912,cont,0.02303458724296115
cohort_J98-A04,cont,0,cont_50914,50914,cont,0.0
cohort_J98-A04,cont,0,cont_50915,50915,cont,0.0
cohort_J98-A04,cont,0,cont_50916,50916,cont,0.0
cohort_J98-A04,cont,0,cont_50917,50917,cont,0.0003240260444407462
cohort_J98-A04,cont,0,cont_50924,50924,cont,0.006180300887487047
cohort_J98-A04,cont,0,cont_50925,50925,cont,0.0009730417824115463
cohort_J98-A04,cont,0,cont_50927,50927,cont,0.0004611777249529972
cohort_J98-A04,cont,0,cont_50930,50930,cont,0.0009178398623597729
cohort_J98-A04,cont,0,cont_50931,50931,cont,0.0
cohort_J98-A04,cont,0,cont_50935,50935,cont,0.0030284734695529285
cohort_J98-A04,cont,0,cont_50945,50945,cont,0.0
cohort_J98-A04,cont,0,cont_50949,50949,cont,0.000717282638466582
