cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_K04-N17,bin,balanced_rf,all,all,274,55,0.20072992700729927,0.3284671532846715,0.5242009132420092,0.20422662783172874,0.27586206896551724,0.03752686640912686,0.5220008302200083,0.36363636363636365,0.319634703196347,0.2222222222222222
cohort_K04-N17,bin,balanced_rf,gender,F,157,21,0.1337579617834395,0.29936305732484075,0.4856442577030813,0.1304650461382329,0.14705882352941177,-0.052568670840656265,0.4646358543417367,0.23809523809523808,0.3088235294117647,0.10638297872340426
cohort_K04-N17,bin,balanced_rf,gender,M,117,34,0.2905982905982906,0.36752136752136755,0.5340184266477676,0.30013944391006964,0.38961038961038963,0.09777752230510872,0.5519135364989369,0.4411764705882353,0.3373493975903614,0.3488372093023256
cohort_K04-N17,bin,balanced_rf,age_band,18-39,88,11,0.125,0.18181818181818182,0.5507674144037781,0.14551291292102053,0.14814814814814814,0.0,0.5,0.18181818181818182,0.18181818181818182,0.125
cohort_K04-N17,bin,balanced_rf,age_band,40-64,134,35,0.26119402985074625,0.41044776119402987,0.5268398268398269,0.26803516726379406,0.3333333333333333,0.02190647074110169,0.5122655122655122,0.42857142857142855,0.40404040404040403,0.2727272727272727
cohort_K04-N17,bin,balanced_rf,age_band,65-79,41,9,0.21951219512195122,0.36585365853658536,0.40624999999999994,0.2089904667652846,0.25,-0.03580574370197164,0.47916666666666663,0.3333333333333333,0.375,0.2
cohort_K04-N17,bin,balanced_rf,age_band,80+,11,0,0.0,0.36363636363636365,,,,,,,0.36363636363636365,0.0
cohort_K04-N17,cont,balanced_rf,all,all,274,55,0.20072992700729927,0.2773722627737226,0.5067247820672478,0.1927193151211227,0.15267175572519084,-0.10695958240154815,0.4402241594022416,0.18181818181818182,0.3013698630136986,0.13157894736842105
cohort_K04-N17,cont,balanced_rf,gender,F,157,21,0.1337579617834395,0.2929936305732484,0.4380252100840336,0.11852526325165547,0.05970149253731343,-0.17073717405377198,0.3858543417366947,0.09523809523809523,0.3235294117647059,0.043478260869565216
cohort_K04-N17,cont,balanced_rf,gender,M,117,34,0.2905982905982906,0.2564102564102564,0.573706591070163,0.32316934782418594,0.25,-0.03095141637652458,0.48511693834160174,0.23529411764705882,0.26506024096385544,0.26666666666666666
cohort_K04-N17,cont,balanced_rf,age_band,18-39,88,11,0.125,0.1590909090909091,0.4639905548996458,0.16445973334784253,0.16,0.023485569615051043,0.512987012987013,0.18181818181818182,0.15584415584415584,0.14285714285714285
cohort_K04-N17,cont,balanced_rf,age_band,40-64,134,35,0.26119402985074625,0.30597014925373134,0.4997113997113997,0.24911672078741048,0.15789473684210525,-0.17359784799071523,0.40894660894660895,0.17142857142857143,0.35353535353535354,0.14634146341463414
cohort_K04-N17,cont,balanced_rf,age_band,65-79,41,9,0.21951219512195122,0.34146341463414637,0.4253472222222222,0.19972484439460703,0.17391304347826086,-0.1333553773664398,0.4236111111111111,0.2222222222222222,0.375,0.14285714285714285
cohort_K04-N17,cont,balanced_rf,age_band,80+,11,0,0.0,0.6363636363636364,,,,,,,0.6363636363636364,0.0
cohort_K04-N17,cont_bin,balanced_rf,all,all,274,55,0.20072992700729927,0.2664233576642336,0.539186384391864,0.20669212317505653,0.265625,0.048366884310844724,0.5266915732669157,0.3090909090909091,0.2557077625570776,0.2328767123287671
cohort_K04-N17,cont_bin,balanced_rf,gender,F,157,21,0.1337579617834395,0.2611464968152866,0.48616946778711484,0.12492537493330433,0.12903225806451613,-0.0632202045249518,0.45920868347338933,0.19047619047619047,0.27205882352941174,0.0975609756097561
cohort_K04-N17,cont_bin,balanced_rf,gender,M,117,34,0.2905982905982906,0.27350427350427353,0.5855776045357903,0.3443979358334866,0.3939393939393939,0.15628775026526642,0.5767186392629341,0.38235294117647056,0.2289156626506024,0.40625
cohort_K04-N17,cont_bin,balanced_rf,age_band,18-39,88,11,0.125,0.10227272727272728,0.5684769775678866,0.16746798819251046,0.2,0.09922342629793121,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.2222222222222222
cohort_K04-N17,cont_bin,balanced_rf,age_band,40-64,134,35,0.26119402985074625,0.3283582089552239,0.543001443001443,0.27208095439665086,0.3291139240506329,0.05453209178415124,0.5291486291486291,0.37142857142857144,0.31313131313131315,0.29545454545454547
