cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_K08-F41,bin,balanced_rf,all,all,317,37,0.1167192429022082,0.2807570977917981,0.4598938223938225,0.10729665777081417,0.14285714285714285,-0.030346623177936953,0.4787644787644788,0.24324324324324326,0.2857142857142857,0.10112359550561797
cohort_K08-F41,bin,balanced_rf,gender,F,111,11,0.0990990990990991,0.3153153153153153,0.3563636363636364,0.08661181182392028,0.043478260869565216,-0.16018188568106495,0.3754545454545455,0.09090909090909091,0.34,0.02857142857142857
cohort_K08-F41,bin,balanced_rf,gender,M,206,26,0.1262135922330097,0.2621359223300971,0.505982905982906,0.1293158365386382,0.2,0.039368441811848794,0.5260683760683761,0.3076923076923077,0.25555555555555554,0.14814814814814814
cohort_K08-F41,bin,balanced_rf,age_band,18-39,55,3,0.05454545454545454,0.2727272727272727,0.3237179487179487,0.05192614403140719,0.0,-0.14708710135363803,0.3557692307692308,0.0,0.28846153846153844,0.0
cohort_K08-F41,bin,balanced_rf,age_band,40-64,171,18,0.10526315789473684,0.26900584795321636,0.5437545388525781,0.12503659011281665,0.1875,0.04975644003350907,0.5359477124183006,0.3333333333333333,0.26143790849673204,0.13043478260869565
cohort_K08-F41,bin,balanced_rf,age_band,65-79,86,15,0.1744186046511628,0.313953488372093,0.3990610328638497,0.15128482225731743,0.14285714285714285,-0.11285859593926623,0.4309859154929577,0.2,0.3380281690140845,0.1111111111111111
cohort_K08-F41,bin,balanced_rf,age_band,80+,5,1,0.2,0.2,0.0,0.2,0.0,-0.25,0.375,0.0,0.25,0.0
cohort_K08-F41,cont,balanced_rf,all,all,317,37,0.1167192429022082,0.14826498422712933,0.4346525096525097,0.10430305566271739,0.07142857142857142,-0.06872512346648073,0.46196911196911195,0.08108108108108109,0.15714285714285714,0.06382978723404255
cohort_K08-F41,cont,balanced_rf,gender,F,111,11,0.0990990990990991,0.11711711711711711,0.43409090909090914,0.16688743353399482,0.16666666666666666,0.06673382754733932,0.5359090909090909,0.18181818181818182,0.11,0.15384615384615385
cohort_K08-F41,cont,balanced_rf,gender,M,206,26,0.1262135922330097,0.1650485436893204,0.4221153846153846,0.10439696367993663,0.03333333333333333,-0.12959942818450962,0.42756410256410254,0.038461538461538464,0.18333333333333332,0.029411764705882353
cohort_K08-F41,cont,balanced_rf,age_band,18-39,55,3,0.05454545454545454,0.2909090909090909,0.6442307692307693,0.4626262626262626,0.21052631578947367,0.1987179487179487,0.6987179487179487,0.6666666666666666,0.2692307692307692,0.125
cohort_K08-F41,cont,balanced_rf,age_band,40-64,171,18,0.10526315789473684,0.09941520467836257,0.3638344226579521,0.08139549209615182,0.0,-0.11396057645963795,0.4444444444444444,0.0,0.1111111111111111,0.0
