cohort,feature_set,classifier,attribute,group,n,n_positive,prevalence,selection_rate,auc_roc,avg_prec,f1,mcc,balanced_acc,tpr,fpr,ppv
cohort_K22-M80,bin,balanced_rf,all,all,4857,79,0.01626518427012559,0.23924233065678402,0.5646767091786723,0.02944373561706258,0.046736502820306204,0.03853331531653782,0.5649800509720184,0.3670886075949367,0.23712850565089996,0.02495697074010327
cohort_K22-M80,bin,balanced_rf,gender,F,2237,66,0.029503799731783638,0.24944121591417076,0.6030805521823486,0.06138042547503106,0.08653846153846154,0.06433298174667708,0.5822515807545747,0.4090909090909091,0.24458774758175955,0.04838709677419355
cohort_K22-M80,bin,balanced_rf,gender,M,2620,13,0.004961832061068702,0.23053435114503817,0.35193709244342164,0.003971701455306825,0.006482982171799027,-0.01285781721709391,0.46146469564191084,0.15384615384615385,0.23091676256233218,0.0033112582781456954
cohort_K22-M80,bin,balanced_rf,age_band,18-39,600,0,0.0,0.295,,,,,,,0.295,0.0
cohort_K22-M80,bin,balanced_rf,age_band,40-64,2316,20,0.008635578583765112,0.23877374784110536,0.6020579268292683,0.021248067797345817,0.027923211169284468,0.0352951187798571,0.581315331010453,0.4,0.23736933797909407,0.014466546112115732
cohort_K22-M80,bin,balanced_rf,age_band,65-79,1473,28,0.019008825526137134,0.241683638832315,0.5502842313395946,0.022882080146493025,0.052083333333333336,0.03754264495694669,0.5588482451804251,0.35714285714285715,0.23944636678200693,0.028089887640449437
cohort_K22-M80,bin,balanced_rf,age_band,80+,468,31,0.06623931623931624,0.1623931623931624,0.6020152063187422,0.1788199957379615,0.205607476635514,0.13897734761278138,0.6030486454565587,0.3548387096774194,0.14874141876430205,0.14473684210526316
cohort_K22-M80,cont,balanced_rf,all,all,4857,79,0.01626518427012559,0.12209182623018323,0.6197670229056169,0.02770700270025138,0.047619047619047616,0.03159320738172855,0.5408849102691132,0.20253164556962025,0.12076182503139389,0.026981450252951095
cohort_K22-M80,cont,balanced_rf,gender,F,2237,66,0.029503799731783638,0.13232007152436298,0.6539578186284773,0.05512682888560158,0.08287292817679558,0.048860345432733,0.5489196432310205,0.22727272727272727,0.1294334408106863,0.05067567567567568
cohort_K22-M80,cont,balanced_rf,gender,M,2620,13,0.004961832061068702,0.1133587786259542,0.39402791301525475,0.004585254838989883,0.0064516129032258064,-0.008115714490140596,0.48169130447611463,0.07692307692307693,0.11354046797084771,0.003367003367003367
cohort_K22-M80,cont,balanced_rf,age_band,18-39,600,0,0.0,0.17,,,,,,,0.17,0.0
cohort_K22-M80,cont,balanced_rf,age_band,40-64,2316,20,0.008635578583765112,0.09758203799654577,0.6795949477351917,0.014227334067148475,0.016260162601626018,0.0007604833680071173,0.501219512195122,0.1,0.0975609756097561,0.008849557522123894
cohort_K22-M80,cont,balanced_rf,age_band,65-79,1473,28,0.019008825526137134,0.13577732518669383,0.4483316856154227,0.017544726599425412,0.02631578947368421,-0.011636108408846059,0.48540533860603063,0.10714285714285714,0.13633217993079585,0.015
cohort_K22-M80,cont,balanced_rf,age_band,80+,468,31,0.06623931623931624,0.1388888888888889,0.6939174725031372,0.15711006759809942,0.22916666666666666,0.16631431372834596,0.615634457813538,0.3548387096774194,0.12356979405034325,0.16923076923076924
cohort_K22-M80,cont_bin,balanced_rf,all,all,4857,79,0.01626518427012559,0.12023883055383981,0.6276300660728763,0.03102988636693173,0.042232277526395176,0.022525809223561333,0.5289592064896599,0.17721518987341772,0.11929677689409796,0.023972602739726026
cohort_K22-M80,cont_bin,balanced_rf,gender,F,2237,66,0.029503799731783638,0.12695574430040232,0.6625699649651745,0.05947473677440081,0.07428571428571429,0.03666758818326356,0.5360712142149268,0.19696969696969696,0.12482726853984338,0.045774647887323945
cohort_K22-M80,cont_bin,balanced_rf,gender,M,2620,13,0.004961832061068702,0.11450381679389313,0.41226284264258944,0.0044900468499608414,0.006389776357827476,-0.008334185413058682,0.48111593048301904,0.07692307692307693,0.11469121595703874,0.0033333333333333335
cohort_K22-M80,cont_bin,balanced_rf,age_band,18-39,600,0,0.0,0.17,,,,,,,0.17,0.0
cohort_K22-M80,cont_bin,balanced_rf,age_band,40-64,2316,20,0.008635578583765112,0.09542314335060449,0.718074912891986,0.01579146686198879,0.016597510373443983,0.0014539409573254424,0.502308362369338,0.1,0.09538327526132404,0.00904977375565611
cohort_K22-M80,cont_bin,balanced_rf,age_band,65-79,1473,28,0.019008825526137134,0.13713509843856075,0.488173504695996,0.01979513679410423,0.034782608695652174,0.0023155310219173295,0.5029164607019279,0.14285714285714285,0.1370242214532872,0.019801980198019802
cohort_K22-M80,cont_bin,balanced_rf,age_band,80+,468,31,0.06623931623931624,0.12606837606837606,0.6596294382520115,0.15536536132049586,0.17777777777777778,0.10591550788438453,0.5706798553185207,0.25806451612903225,0.11670480549199085,0.13559322033898305
cohort_K22-M80,cont_disc_bin,balanced_rf,all,all,4857,79,0.01626518427012559,0.1272390364422483,0.6188490497056657,0.029056020667072604,0.04878048780487805,0.0339369342722703,0.5447025131006564,0.21518987341772153,0.12578484721640854,0.02750809061488673
cohort_K22-M80,cont_disc_bin,balanced_rf,gender,F,2237,66,0.029503799731783638,0.13321412606168975,0.6556781541811483,0.05762016267158509,0.08791208791208792,0.05603687052932456,0.5562650921932359,0.24242424242424243,0.1298940580377706,0.053691275167785234
cohort_K22-M80,cont_disc_bin,balanced_rf,gender,M,2620,13,0.004961832061068702,0.12213740458015267,0.37604378743619243,0.004067466168406359,0.006006006006006006,-0.009750785928737944,0.4772801038623824,0.07692307692307693,0.12236286919831224,0.003125
cohort_K22-M80,cont_disc_bin,balanced_rf,age_band,18-39,600,0,0.0,0.17833333333333334,,,,,,,0.17833333333333334,0.0
cohort_K22-M80,cont_disc_bin,balanced_rf,age_band,40-64,2316,20,0.008635578583765112,0.10189982728842832,0.7202526132404181,0.015818392650690592,0.0234375,0.01483974976903345,0.5242595818815331,0.15,0.1014808362369338,0.012711864406779662
cohort_K22-M80,cont_disc_bin,balanced_rf,age_band,65-79,1473,28,0.019008825526137134,0.1446028513238289,0.46932773109243703,0.019378904940972493,0.024896265560165973,-0.014826562418536924,0.48090706870983685,0.10714285714285714,0.1453287197231834,0.014084507042253521
cohort_K22-M80,cont_disc_bin,balanced_rf,age_band,80+,468,31,0.06623931623931624,0.13247863247863248,0.6591496272237396,0.15813496778297328,0.23655913978494625,0.17469639220509192,0.6190669520927143,0.3548387096774194,0.11670480549199085,0.1774193548387097
cohort_K22-M80,disc,balanced_rf,all,all,4857,79,0.01626518427012559,0.16759316450483838,0.5807789923224059,0.027899083358581888,0.04703247480403135,0.033817147256527784,0.5499268800568005,0.26582278481012656,0.16596902469652575,0.025798525798525797
cohort_K22-M80,disc,balanced_rf,gender,F,2237,66,0.029503799731783638,0.18372820742065266,0.6012101670784306,0.05913400593362236,0.07966457023060797,0.04689196555832235,0.5536584174308725,0.2878787878787879,0.18056195301704284,0.046228710462287104
cohort_K22-M80,disc,balanced_rf,gender,M,2620,13,0.004961832061068702,0.15381679389312977,0.4253341595113747,0.004578049126972004,0.009615384615384616,5.7467517749579624e-06,0.5000147531793102,0.15384615384615385,0.15381664748753357,0.004962779156327543
cohort_K22-M80,disc,balanced_rf,age_band,18-39,600,0,0.0,0.20666666666666667,,,,,,,0.20666666666666667,0.0
cohort_K22-M80,disc,balanced_rf,age_band,40-64,2316,20,0.008635578583765112,0.14723661485319517,0.6969403310104529,0.01587574461343703,0.0332409972299169,0.040237051146382555,0.5770470383275261,0.3,0.14590592334494773,0.017595307917888565
cohort_K22-M80,disc,balanced_rf,age_band,65-79,1473,28,0.019008825526137134,0.1846571622539036,0.45412753336628764,0.01794176322590811,0.04,0.010629242392999385,0.5151013346515076,0.21428571428571427,0.18408304498269895,0.022058823529411766
cohort_K22-M80,disc,balanced_rf,age_band,80+,468,31,0.06623931623931624,0.16452991452991453,0.6069240422233705,0.1848515408284502,0.16666666666666666,0.09036652085585947,0.5673580866612534,0.2903225806451613,0.15560640732265446,0.11688311688311688
cohort_K22-M80,disc_bin,balanced_rf,all,all,4857,79,0.01626518427012559,0.17232859789993824,0.5862908054320699,0.02668407643669622,0.056768558951965066,0.05338118798102188,0.579688816357673,0.3291139240506329,0.16973629133528673,0.03106332138590203
cohort_K22-M80,disc_bin,balanced_rf,gender,F,2237,66,0.029503799731783638,0.18864550737594993,0.6171642728528957,0.05285073457109338,0.09836065573770492,0.07798819271751169,0.5901553536284075,0.36363636363636365,0.1833256563795486,0.05687203791469194
cohort_K22-M80,disc_bin,balanced_rf,gender,M,2620,13,0.004961832061068702,0.15839694656488548,0.3957097754566109,0.004445952573983203,0.009345794392523364,-0.0008801590547113355,0.4977132572069281,0.15384615384615385,0.15841963943229767,0.004819277108433735
cohort_K22-M80,disc_bin,balanced_rf,age_band,18-39,600,0,0.0,0.21666666666666667,,,,,,,0.21666666666666667,0.0
cohort_K22-M80,disc_bin,balanced_rf,age_band,40-64,2316,20,0.008635578583765112,0.15500863557858377,0.7016006097560975,0.018613557369345,0.04221635883905013,0.06317943682218412,0.6235627177700349,0.4,0.1528745644599303,0.022284122562674095
cohort_K22-M80,disc_bin,balanced_rf,age_band,65-79,1473,28,0.019008825526137134,0.1826205023761032,0.4840212555610479,0.0194554646878418,0.04713804713804714,0.024276508409213107,0.5343425605536332,0.25,0.18131487889273357,0.026022304832713755
cohort_K22-M80,disc_bin,balanced_rf,age_band,80+,468,31,0.06623931623931624,0.16880341880341881,0.6075145788735513,0.1522182221845699,0.2,0.13227963041726634,0.5996161511773824,0.3548387096774194,0.15560640732265446,0.13924050632911392
cohort_K22-M80,disc_imp,balanced_rf,all,all,4857,79,0.01626518427012559,0.17026971381511222,0.5891546698740535,0.026509346992856543,0.04856512141280353,0.0370191044602469,0.5550002384345973,0.27848101265822783,0.16848053578903308,0.026602176541717048
cohort_K22-M80,disc_imp,balanced_rf,gender,F,2237,66,0.029503799731783638,0.18730442556995977,0.6060885222561869,0.051497708967892714,0.08247422680412371,0.05171714852267693,0.559622014711835,0.30303030303030304,0.18378627360663288,0.0477326968973747
cohort_K22-M80,disc_imp,balanced_rf,gender,M,2620,13,0.004961832061068702,0.15572519083969466,0.46084506211088494,0.0050776818852383675,0.009501187648456057,-0.0003659444284741553,0.49905579652415094,0.15384615384615385,0.15573456079785195,0.004901960784313725
cohort_K22-M80,disc_imp,balanced_rf,age_band,18-39,600,0,0.0,0.21333333333333335,,,,,,,0.21333333333333335,0.0
cohort_K22-M80,disc_imp,balanced_rf,age_band,40-64,2316,20,0.008635578583765112,0.15198618307426598,0.7043880662020906,0.016451850707128582,0.03763440860215054,0.05147792501063948,0.599869337979094,0.35,0.15026132404181183,0.019886363636363636
cohort_K22-M80,disc_imp,balanced_rf,age_band,65-79,1473,28,0.019008825526137134,0.18397827562797012,0.4587864557587741,0.01812763705729329,0.04013377926421405,0.0108883029146998,0.5154473554127533,0.21428571428571427,0.18339100346020762,0.02214022140221402
cohort_K22-M80,disc_imp,balanced_rf,age_band,80+,468,31,0.06623931623931624,0.1623931623931624,0.6184764154425334,0.14942433511368375,0.16822429906542055,0.09238608781136183,0.5685022514209789,0.2903225806451613,0.15331807780320367,0.11842105263157894
